Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  4.770000000000000e+00,  1.127703882158087e-01,  1.697033775113876e-02, -1.127946959376293e-01,  1.073117771699543e-01, -2.262140036563833e-02,  1.999318092005548e-01
  4.779999999999999e+00,  1.224623028222092e-01,  1.673531691759944e-02, -1.136232768790213e-01,  1.127153532614130e-01, -2.277246668484654e-02,  2.007988280172812e-01
  4.789999999999999e+00,  1.325751291683408e-01,  1.650143725272990e-02, -1.144065494776250e-01,  1.183855802822987e-01, -2.300101377836871e-02,  2.015802786266814e-01
  4.800000000000000e+00,  1.432424944808350e-01,  1.626771719398157e-02, -1.151306943299928e-01,  1.244148061140359e-01, -2.335636555835685e-02,  2.022461260129015e-01
  4.810000000000000e+00,  1.545193107540788e-01,  1.603613934405757e-02, -1.157802404256412e-01,  1.308421200851194e-01, -2.385826939574019e-02,  2.027700890754252e-01
  4.819999999999999e+00,  1.664108445177771e-01,  1.581031159861723e-02, -1.163411713251582e-01,  1.376716265679784e-01, -2.450405967616125e-02,  2.031325269907637e-01
  4.829999999999999e+00,  1.789421279244451e-01,  1.559376057192452e-02, -1.167979701270991e-01,  1.449213320312779e-01, -2.529836985262405e-02,  2.033097730592207e-01
  4.840000000000000e+00,  1.921378418442384e-01,  1.539041721931578e-02, -1.171345747764573e-01,  1.526090362307737e-01, -2.624461155625236e-02,  2.032773076383267e-01
  4.850000000000000e+00,  2.060216484589384e-01,  1.520460134277601e-02, -1.173346242321583e-01,  1.607518904630237e-01, -2.734475714864781e-02,  2.030101465832202e-01
  4.859999999999999e+00,  2.206153941005737e-01,  1.504100232678773e-02, -1.173817750421800e-01,  1.693658864265781e-01, -2.859913731363581e-02,  2.024833111271101e-01
  4.869999999999999e+00,  2.359381949271552e-01,  1.490465561592513e-02, -1.172600870016681e-01,  1.784652885766818e-01, -3.000626887538347e-02,  2.016723773807001e-01
  4.880000000000000e+00,  2.520054304065226e-01,  1.480091150684903e-02, -1.169544637092865e-01,  1.880620224966358e-01, -3.156272573886870e-02,  2.005541023027355e-01
  4.890000000000000e+00,  2.688276838268058e-01,  1.473539426871451e-02, -1.164511311737599e-01,  1.981650430903153e-01, -3.326307046404223e-02,  1.991071045234834e-01
  4.899999999999999e+00,  2.864096840869863e-01,  1.471395724559521e-02, -1.157381399452860e-01,  2.087797268594960e-01, -3.509986972588192e-02,  1.973125612342150e-01
  4.909999999999999e+00,  3.047493264495721e-01,  1.474264465047392e-02, -1.148058673703721e-01,  2.199073434448123e-01, -3.706380730269777e-02,  1.951548668177651e-01
  4.920000000000000e+00,  3.238374474436043e-01,  1.482780224354863e-02, -1.136476020574274e-01,  2.315452293078171e-01, -3.914438117440230e-02,  1.926218692259211e-01
  4.930000000000000e+00,  3.436549878116689e-01,  1.497553932165374e-02, -1.122594540133601e-01,  2.436843405250566e-01, -4.132832059039557e-02,  1.897065094308808e-01
  4.940000000000000e+00,  3.641764429967788e-01,  1.519248090007497e-02, -1.106413273351005e-01,  2.563126772020008e-01, -4.360282722360981e-02,  1.864051066695627e-01
  4.949999999999999e+00,  3.853677311659061e-01,  1.548527610598760e-02, -1.087965996865057e-01,  2.694133267901507e-01, -4.595419984867120e-02,  1.827185499469055e-01
  4.960000000000000e+00,  4.071875582291015e-01,  1.586069771981147e-02, -1.067322177480712e-01,  2.829655737163885e-01, -4.836880158664313e-02,  1.786517106631206e-01
  4.970000000000000e+00,  4.295885259410768e-01,  1.632560699536700e-02, -1.044585356961698e-01,  2.969456474316896e-01, -5.083356035478942e-02,  1.742130015649797e-01
  4.980000000000000e+00,  4.525185251892061e-01,  1.688688342022249e-02, -1.019890531301133e-01,  3.113276110170916e-01, -5.333640922535664e-02,  1.694138314583562e-01
  4.989999999999999e+00,  4.759223947591030e-01,  1.755143551397809e-02, -9.934015106162129e-02,  3.260845857500658e-01, -5.586690997556426e-02,  1.642678360021085e-01
  5.000000000000000e+00,  4.997430453023692e-01,  1.832552418932165e-02, -9.653051129756496e-02,  3.411885232954137e-01, -5.841532397796893e-02,  1.587911347425454e-01
  5.010000000000000e+00,  5.239234398941708e-01,  1.921529072417316e-02, -9.358107721897845e-02,  3.566125771233992e-01, -6.097436505328741e-02,  1.530008217557718e-01
  5.020000000000000e+00,  5.484073356923619e-01,  2.022601083205444e-02, -9.051448751046422e-02,  3.723306297772371e-01, -6.353805757240162e-02,  1.469154284412931e-01
  5.029999999999999e+00,  5.731402143032801e-01,  2.136194705834882e-02, -8.735478655684573e-02,  3.883179534679539e-01, -6.610187246547701e-02,  1.405545913219229e-01
  5.039999999999999e+00,  5.980698236522493e-01,  2.262609689153061e-02, -8.412706750212427e-02,  4.045514431992913e-01, -6.866253513982541e-02,  1.339389685750112e-01
  5.050000000000000e+00,  6.231464333615966e-01,  2.401997393350763e-02, -8.085710186504971e-02,  4.210096904994314e-01, -7.121780632075438e-02,  1.270902046834666e-01
  5.060000000000000e+00,  6.483228444877480e-01,  2.554343224536226e-02, -7.757097786795311e-02,  4.376729254154614e-01, -7.376625455116997e-02,  1.200309194081835e-01
  5.069999999999999e+00,  6.735543018353980e-01,  2.719461666498635e-02, -7.429479806918678e-02,  4.545230736189886e-01, -7.630718878271739e-02,  1.127845372311107e-01
  5.080000000000000e+00,  6.987978369130919e-01,  2.896960902377432e-02, -7.105413394612491e-02,  4.715427379238722e-01, -7.883985332198760e-02,  1.053757249484515e-01
  5.090000000000000e+00,  7.240123931970218e-01,  3.086287501540941e-02, -6.787394024700474e-02,  4.887161911306213e-01, -8.136418473553690e-02,  9.782942098732846e-02
  5.100000000000000e+00,  7.491580415259335e-01,  3.286704721512312e-02, -6.477800190135925e-02,  5.060283452531587e-01, -8.388005966395473e-02,  9.017114143464258e-02
  5.109999999999999e+00,  7.741956561262858e-01,  3.497315200125839e-02, -6.178863239504096e-02,  5.234647554558981e-01, -8.638733394461288e-02,  8.242655228469258e-02
  5.119999999999999e+00,  7.990865593285537e-01,  3.717083023908874e-02, -5.892635671366377e-02,  5.410114642066191e-01, -8.888575879519346e-02,  7.462112496356800e-02
  5.130000000000000e+00,  8.237922322411066e-01,  3.944859672504508e-02, -5.620963099865890e-02,  5.586548746279072e-01, -9.137490859496904e-02,  6.677978677922217e-02
  5.140000000000000e+00,  8.482740777131595e-01,  4.179410908261505e-02, -5.365458946307021e-02,  5.763816348262217e-01, -9.385410559985910e-02,  5.892659946132053e-02
  5.149999999999999e+00,  8.724932342561382e-01,  4.419444108841075e-02, -5.127482236758939e-02,  5.941785211968805e-01, -9.632234365399697e-02,  5.108447662040089e-02
  5.159999999999999e+00,  8.964104573765810e-01,  4.663638746173993e-02, -4.908122851884426e-02,  6.120324052204261e-01, -9.877826416745367e-02,  4.327488484264432e-02
  5.170000000000000e+00,  9.199861082949472e-01,  4.910668767647941e-02, -4.708193169010740e-02,  6.299298474644752e-01, -1.012199050814638e-01,  3.551783293101820e-02
  5.180000000000000e+00,  9.431801627468478e-01,  5.159240621216576e-02, -4.528239706279417e-02,  6.478575123834989e-01, -1.036449626444575e-01,  2.783142932829620e-02
  5.190000000000000e+00,  9.659522851741931e-01,  5.408109995804522e-02, -4.368550665556683e-02,  6.658017849573983e-01, -1.060505843526112e-01,  2.023198786298977e-02
  5.199999999999999e+00,  9.882619205627798e-01,  5.656103776592292e-02, -4.229171315080515e-02,  6.837487923224704e-01, -1.084334254421923e-01,  1.273393471548953e-02
  5.210000000000000e+00,  1.010068394649403e+00,  5.902133988762603e-02, -4.109922461036113e-02,  7.016843664704437e-01, -1.107896756309881e-01,  5.349849109311379e-03
  5.220000000000000e+00,  1.031331033967910e+00,  6.145205413209909e-02, -4.010423662137012e-02,  7.195940322614153e-01, -1.131151123935036e-01, -1.909420612284023e-03
  5.230000000000000e+00,  1.052009335583576e+00,  6.384419006217001e-02, -3.930119534724552e-02,  7.374630000593200e-01, -1.154051605862942e-01, -9.034610657821483e-03
  5.239999999999999e+00,  1.072063191238527e+00,  6.618972470490170e-02, -3.868306984410844e-02,  7.552761480243110e-01, -1.176549375012511e-01, -1.601789467868103e-02
  5.250000000000000e+00,  1.091453140776335e+00,  6.848158046600972e-02, -3.824161297798716e-02,  7.730179993489049e-01, -1.198592950809480e-01, -2.285274603830074e-02
  5.260000000000000e+00,  1.110140629235156e+00,  7.071357478836848e-02, -3.796759977254503e-02,  7.906727072490596e-01, -1.220128779402773e-01, -2.953381615265453e-02
  5.270000000000000e+00,  1.128088255821202e+00,  7.288034249348785e-02, -3.785103642191692e-02,  8.082240553520665e-01, -1.241101899662629e-01, -3.605683984898624e-02
  5.279999999999999e+00,  1.145260014744424e+00,  7.497724547542006e-02, -3.788132887849213e-02,  8.256554775465336e-01, -1.261456546834796e-01, -4.241858234478015e-02
