Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  1.151000000000000e+01, -2.883337422617723e-01,  7.955476017712271e-02, -8.301335437836227e-03,  7.246265637118650e-01, -3.034147603476756e-03, -8.301335437769355e-03, -5.285023609225648e-02, -1.139672124217503e-01,  1.169581921662872e-01,  5.353241890405717e-01,  4.085750338795405e-01,  5.266575205479374e-01,  6.515720231653453e-02
  1.152000000000000e+01, -2.883337013619163e-01,  7.955505609453772e-02, -8.299969676716985e-03,  7.246288299454129e-01, -3.035570940677967e-03, -8.299969676730362e-03, -5.282911076879837e-02, -1.140430609063443e-01,  1.169684985260127e-01,  5.351122020607176e-01,  4.089108472296082e-01,  5.269032809010752e-01,  6.514824158502146e-02
  1.153000000000000e+01, -2.883361587834382e-01,  7.955650035262041e-02, -8.297656521884546e-03,  7.246319720165216e-01, -3.038700402872241e-03, -8.297656521897926e-03, -5.281608772373980e-02, -1.141175168316574e-01,  1.169851108689294e-01,  5.349048050501173e-01,  4.092394183036724e-01,  5.271640769972583e-01,  6.513768450432350e-02
  1.154000000000000e+01, -2.883419996659081e-01,  7.955950487192176e-02, -8.294038048908733e-03,  7.246363369664937e-01, -3.044163831810609e-03, -8.294038048855189e-03, -5.281369932088298e-02, -1.141893915922456e-01,  1.170104310792694e-01,  5.347031020736928e-01,  4.095632887997164e-01,  5.274378864823612e-01,  6.512556906671116e-02
  1.155000000000000e+01, -2.883517774924507e-01,  7.956432423525173e-02, -8.288903559052714e-03,  7.246421200962668e-01, -3.052339999632725e-03, -8.288903559025926e-03, -5.282372874226526e-02, -1.142578467591215e-01,  1.170458620547776e-01,  5.345090594668761e-01,  4.098802310712826e-01,  5.277259708291808e-01,  6.511166421771118e-02
  1.156000000000000e+01, -2.883657354795840e-01,  7.957106974983441e-02, -8.282162898692274e-03,  7.246494031168997e-01, -3.063392722461922e-03, -8.282162898598438e-03, -5.284699717949293e-02, -1.143222725699318e-01,  1.170920016199141e-01,  5.343242064752469e-01,  4.101881280357992e-01,  5.280284685367356e-01,  6.509587293249183e-02
  1.157000000000000e+01, -2.883842571997352e-01,  7.957991742481951e-02, -8.273671834819588e-03,  7.246583182874858e-01, -3.077582515669031e-03, -8.273671834806170e-03, -5.288476846784951e-02, -1.143819309340999e-01,  1.171498080895269e-01,  5.341504118249326e-01,  4.104844293917690e-01,  5.283460764914478e-01,  6.507802786128183e-02
  1.158000000000000e+01, -2.884077392641212e-01,  7.959104948274498e-02, -8.263280187967934e-03,  7.246690040097016e-01, -3.095179791807290e-03, -8.263280187994805e-03, -5.293833404219872e-02, -1.144360426053990e-01,  1.172202799720308e-01,  5.339896307926547e-01,  4.107664781709989e-01,  5.286795976183485e-01,  6.505794900025173e-02
  1.159000000000000e+01, -2.884365898616642e-01,  7.960465379074400e-02, -8.250831926691132e-03,  7.246816050550260e-01, -3.116464331651914e-03, -8.250831926650763e-03, -5.300900134215403e-02, -1.144837970817955e-01,  1.173044556813282e-01,  5.338438978145754e-01,  4.110314938593791e-01,  5.290299546387924e-01,  6.503544396867003e-02
  1.160000000000000e+01, -2.884712279730212e-01,  7.962092370272122e-02, -8.236164563643030e-03,  7.246962737573683e-01, -3.141725680001040e-03, -8.236164563643030e-03, -5.309807769299524e-02, -1.145243630218247e-01,  1.174034182819933e-01,  5.337153135318201e-01,  4.112765869362623e-01,  5.293982065966167e-01,  6.501030784633668e-02
