Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.151000000000000e+01, -2.972214232728362e-01,  8.391524892626800e-02, -3.702522742693469e-03,  7.297283765252485e-01, -1.035771561747123e-02, -3.702522742783427e-03, -6.330957652141911e-02, -3.923112277949109e-02,  1.484976969536906e-01,  5.536808685451623e-01,  2.256851013444097e-01,  4.148829755575134e-01,  5.540666817696777e-02
  1.152000000000000e+01, -2.972564285421441e-01,  8.393504826454201e-02, -3.672766007099066e-03,  7.297674824183774e-01, -1.039853530452373e-02, -3.672766007159523e-03, -6.317567582750372e-02, -3.915592819406761e-02,  1.487087438683714e-01,  5.534069497237882e-01,  2.260707981834635e-01,  4.148081838040190e-01,  5.545478528345919e-02
  1.153000000000000e+01, -2.972912016872906e-01,  8.395478102280096e-02, -3.642920587140771e-03,  7.298067986245493e-01, -1.043937978746357e-02, -3.642920587110294e-03, -6.303834654300067e-02, -3.908529779111502e-02,  1.489205317168022e-01,  5.531414610189211e-01,  2.264817145733627e-01,  4.147180477714831e-01,  5.550116827709418e-02
  1.154000000000000e+01, -2.973254483421804e-01,  8.397429804735945e-02, -3.613160343424248e-03,  7.298461221612468e-01, -1.047998533531902e-02, -3.613160343362793e-03, -6.289755784682050e-02, -3.902314696230391e-02,  1.491318593963716e-01,  5.528923313538524e-01,  2.269048864569521e-01,  4.146113125540243e-01,  5.554573930051541e-02
  1.155000000000000e+01, -2.973589438916170e-01,  8.399348426674935e-02, -3.583623519043822e-03,  7.298852890068181e-01, -1.052014495576414e-02, -3.583623519043822e-03, -6.275337027524097e-02, -3.897115321638586e-02,  1.493417687271500e-01,  5.526636713634090e-01,  2.273406644681136e-01,  4.144858724965164e-01,  5.558803692019011e-02
  1.156000000000000e+01, -2.973915160984286e-01,  8.401224723812950e-02, -3.554434669957593e-03,  7.299241428804339e-01, -1.055968067095647e-02, -3.554434669895124e-03, -6.260611072886890e-02, -3.893022141608941e-02,  1.495493858858007e-01,  5.524580206162478e-01,  2.277885181493732e-01,  4.143411394969956e-01,  5.562776265812013e-02
  1.157000000000000e+01, -2.974229723908426e-01,  8.403048622543530e-02, -3.525721523389631e-03,  7.299625280663337e-01, -1.059840552240909e-02, -3.525721523452610e-03, -6.245596989120972e-02, -3.890162373224933e-02,  1.497538205674035e-01,  5.522786644026227e-01,  2.282484324018816e-01,  4.141758994627309e-01,  5.566453987793349e-02
  1.158000000000000e+01, -2.974531233218079e-01,  8.404810219188974e-02, -3.497609466544273e-03,  7.300002918458753e-01, -1.063613590213897e-02, -3.497609466449046e-03, -6.230313103471530e-02, -3.888666362270736e-02,  1.499541990539982e-01,  5.521290235693443e-01,  2.287205136363048e-01,  4.139889446872302e-01,  5.569798791208313e-02
  1.159000000000000e+01, -2.974817841058480e-01,  8.406499859079708e-02, -3.470220582748255e-03,  7.300372856444501e-01, -1.067269298305051e-02, -3.470220582652276e-03, -6.214776937634192e-02, -3.888666543102042e-02,  1.501496708847990e-01,  5.520126519567820e-01,  2.292049954028218e-01,  4.137790963586983e-01,  5.572772767121816e-02
  1.160000000000000e+01, -2.975087748755397e-01,  8.408108151283122e-02, -3.443673422820075e-03,  7.300733653335878e-01, -1.070790302667124e-02, -3.443673422916794e-03, -6.199005094791521e-02, -3.890296937900144e-02,  1.503394104761529e-01,  5.519332336682939e-01,  2.297022082758843e-01,  4.135452228457612e-01,  5.575338138252998e-02
  1.161000000000000e+01, -2.975339214271411e-01,  8.409626009771420e-02, -3.418082412929182e-03,  7.301083919903154e-01, -1.074159820405485e-02, -3.418082412961663e-03, -6.183013041518604e-02, -3.893693811576089e-02,  1.505226212841408e-01,  5.518945774597585e-01,  2.302125240912679e-01,  4.132862412605909e-01,  5.577456705964500e-02
  1.162000000000000e+01, -2.975570581897399e-01,  8.411044803017576e-02, -3.393556134897628e-03,  7.301422338824504e-01, -1.077361921409881e-02, -3.393556134832196e-03, -6.166815195480613e-02, -3.898996628840622e-02,  1.506985476388719e-01,  5.519006094180828e-01,  2.307363127060529e-01,  4.130011007810841e-01,  5.579089398473687e-02
  1.163000000000000e+01, -2.975780319867308e-01,  8.412356536306720e-02, -3.370195466687363e-03,  7.301747684608153e-01, -1.080381827055388e-02, -3.370195466588536e-03, -6.150425517203262e-02, -3.906347906749134e-02,  1.508664873534344e-01,  5.519553691472345e-01,  2.312739331212236e-01,  4.126887723108328e-01,  5.580196383890342e-02
  1.164000000000000e+01, -2.975967046204101e-01,  8.413553975237686e-02, -3.348092381179997e-03,  7.302058835995994e-01, -1.083206107230605e-02, -3.348092381179997e-03, -6.133858034606443e-02, -3.915892652929508e-02,  1.510257998029943e-01,  5.520630071446611e-01,  2.318257360990522e-01,  4.123482589616911e-01,  5.580737288384789e-02
  1.165000000000000e+01, -2.976129547951574e-01,  8.414630740666373e-02, -3.327328916780595e-03,  7.302354787401849e-01, -1.085822840821282e-02, -3.327328916780595e-03, -6.117127030148906e-02, -3.927778247252259e-02,  1.511759129438787e-01,  5.522277798739901e-01,  2.323920595437194e-01,  4.119786142879178e-01,  5.580671223195206e-02
  1.166000000000000e+01, -2.976266806159179e-01,  8.415581430952956e-02, -3.307975890139778e-03,  7.302634662978448e-01, -1.088221819216595e-02, -3.307975889971968e-03, -6.100247357095356e-02, -3.942153959200434e-02,  1.513163320695921e-01,  5.524540436716345e-01,  2.329732415382469e-01,  4.115789591069043e-01,  5.579957097950303e-02
  1.167000000000000e+01, -2.976378026442286e-01,  8.416401765851411e-02, -3.290091570151261e-03,  7.302897729733752e-01, -1.090394769528924e-02, -3.290091570050028e-03, -6.083235202451753e-02, -3.959169829129381e-02,  1.514466486558721e-01,  5.527462470381798e-01,  2.335696606594951e-01,  4.111484971633408e-01,  5.578554327868448e-02
  1.168000000000000e+01, -2.976462667205738e-01,  8.417088715362486e-02, -3.273720631564282e-03,  7.303143406717503e-01, -1.092335542224010e-02, -3.273720631462542e-03, -6.066109060646552e-02, -3.978975828880470e-02,  1.515665471951679e-01,  5.531089194652343e-01,  2.341817642892668e-01,  4.106865248153930e-01,  5.576423351924172e-02
  1.169000000000000e+01, -2.976520460518999e-01,  8.417640592854525e-02, -3.258893476641257e-03,  7.303371270232161e-01, -1.094040239816008e-02, -3.258893476709393e-03, -6.048890599345746e-02, -4.001721726122191e-02,  1.516758095294133e-01,  5.535466573128623e-01,  2.348100511129224e-01,  4.101924316863466e-01,  5.573525591976822e-02
  1.170000000000000e+01, -2.976551426960994e-01,  8.418057119636191e-02, -3.245625825288637e-03,  7.303581056344052e-01, -1.095507300852061e-02, -3.245625825322844e-03, -6.031605385076388e-02, -4.027557137808680e-02,  1.517743173861199e-01,  5.540641077570821e-01,  2.354550273523356e-01,  4.096657017750513e-01,  5.569823130106268e-02
  1.171000000000000e+01, -2.976555889990760e-01,  8.418339488262538e-02, -3.233918283390574e-03,  7.303772663894508e-01, -1.096737584839280e-02, -3.233918283321912e-03, -6.014283532592901e-02, -4.056631295519659e-02,  1.518620550967019e-01,  5.546659504746672e-01,  2.361171793365342e-01,  4.091059240584347e-01,  5.565278554035862e-02
