Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.002000000000000e+01,  1.458553038811010e-01,  1.761010826753737e-01,  9.495465441625160e-02,  1.087204152127833e+00,  3.446811294680374e-01, -5.176355632275211e-02
  1.003000000000000e+01,  1.663724801326829e-01,  1.774743175308839e-01,  9.354472540325801e-02,  1.094122231655620e+00,  3.169032520277967e-01, -5.525971223873627e-02
  1.004000000000000e+01,  1.868792486258360e-01,  1.787457769497891e-01,  9.213512211862329e-02,  1.099897089025323e+00,  2.882152756126322e-01, -5.857045569579763e-02
  1.005000000000000e+01,  2.073457945894999e-01,  1.799354784251799e-01,  9.079270504277530e-02,  1.104349785355623e+00,  2.585383968829670e-01, -6.172826123330144e-02
  1.006000000000000e+01,  2.276513804380269e-01,  1.810285998154313e-01,  8.956128372875620e-02,  1.107313152049132e+00,  2.279407465204093e-01, -6.472814048811142e-02
  1.007000000000000e+01,  2.476446835560253e-01,  1.819907610421845e-01,  8.846496108452047e-02,  1.108656004273875e+00,  1.966109908013743e-01, -6.754295857063367e-02
  1.008000000000000e+01,  2.671956809333210e-01,  1.827949100295729e-01,  8.753075116856653e-02,  1.108248494623980e+00,  1.647315814165996e-01, -7.015303186842253e-02
  1.009000000000000e+01,  2.861823399014815e-01,  1.834142619814838e-01,  8.678021640522442e-02,  1.105975219929922e+00,  1.325357322463763e-01, -7.253577303105956e-02
  1.010000000000000e+01,  3.044917551931777e-01,  1.838235392556287e-01,  8.622833732095410e-02,  1.101736267725233e+00,  1.002739352941694e-01, -7.467643833323982e-02
  1.011000000000000e+01,  3.220228445100254e-01,  1.839972129550986e-01,  8.588346246807721e-02,  1.095450518114270e+00,  6.824504463444138e-02, -7.655212642940315e-02
  1.012000000000000e+01,  3.386854661037730e-01,  1.839104826178972e-01,  8.574662211872557e-02,  1.087056495130220e+00,  3.676760603982159e-02, -7.814062489203076e-02
  1.013000000000000e+01,  3.544003196013367e-01,  1.835389142569268e-01,  8.581155173283722e-02,  1.076513713696549e+00,  6.175359818865974e-03, -7.941778151385119e-02
  1.014000000000000e+01,  3.690979270339897e-01,  1.828575095570086e-01,  8.606482360685980e-02,  1.063802428842766e+00, -2.320040622170615e-02, -8.035376004417782e-02
  1.015000000000000e+01,  3.827183256463665e-01,  1.818433800053201e-01,  8.648613083760606e-02,  1.048927242027515e+00, -5.101696501375173e-02, -8.092296029414935e-02
