Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.002000000000000e+01,  1.651921881345161e-01,  1.591185167002477e+00,  9.231486273309981e-01,  1.484580280875103e+00, -4.391458813629812e-02, -1.630238185637554e+00,  2.315706140571405e-03,  1.110226604126832e-16, -8.486248523193086e-03,  7.419912357920977e-03,  2.866995578169522e-03, -2.719136905430720e-02,  1.310272964113726e-02,  6.319342248405454e-03, -4.801689563227612e-02,  1.885228106062041e-02,  9.902693829447570e-03, -6.908697934787990e-02,  2.431887478868154e-02,  1.343766778662198e-02, -8.912012264652565e-02,  2.976001262289222e-02,  1.667069314738287e-02, -1.090599790475759e-01,  3.258980137082114e-02,  2.017415507433117e-02, -1.194301595131852e-01, -9.095630073903198e-03, -3.764181653926532e-03,  4.529064319529128e-02, -9.095630073903196e-03, -3.764181653926087e-03,  4.529064319529250e-02, -9.095630073903361e-03, -3.764181653925864e-03,  4.529064319529415e-02, -9.095630073903415e-03, -3.764181653926419e-03,  4.529064319529592e-02, -9.095630073903306e-03, -3.764181653925864e-03,  4.529064319529754e-02, -9.095630073903474e-03, -3.764181653926087e-03,  4.529064319529827e-02, -2.370796495377240e-02,  6.607605621132620e-02
  1.003000000000000e+01,  1.647346137576269e-01,  1.584618768855035e+00,  9.235726334624478e-01,  1.484120190922017e+00, -4.270453269907093e-02, -1.630903830469769e+00,  2.334127330061561e-03, -1.665339946356722e-15, -8.515257824647713e-03,  7.478936950483327e-03,  2.965391530017573e-03, -2.728431974031445e-02,  1.320696042461506e-02,  6.536223537074191e-03, -4.818103607625553e-02,  1.900224889778248e-02,  1.024255657380575e-02, -6.932314554134510e-02,  2.451232878199517e-02,  1.389885165542391e-02, -8.942476992341580e-02,  2.999675027350215e-02,  1.724283519490919e-02, -1.094327885169537e-01,  3.284904968190383e-02,  2.086653674611637e-02, -1.198384182968805e-01, -9.016997270977248e-03, -3.903359757633192e-03,  4.640380215493067e-02, -9.016997270977581e-03, -3.903359757634413e-03,  4.640380215493067e-02, -9.016997270978301e-03, -3.903359757636078e-03,  4.640380215493111e-02, -9.016997270978301e-03, -3.903359757637077e-03,  4.640380215493117e-02, -9.016997270978856e-03, -3.903359757638298e-03,  4.640380215493139e-02, -9.016997270978856e-03, -3.903359757639298e-03,  4.640380215493150e-02, -2.481353402676827e-02,  6.934551497897953e-02
  1.004000000000000e+01,  1.642838803678863e-01,  1.577853569566471e+00,  9.239755432254563e-01,  1.483621769080614e+00, -4.141711671065118e-02, -1.631602758169809e+00,  2.353848033120645e-03, -8.326699922823746e-16, -8.542119107233192e-03,  7.542125403345486e-03,  3.065292821893070e-03, -2.737038781221642e-02,  1.331854411648602e-02,  6.756422849282670e-03, -4.833302259880166e-02,  1.916279614087819e-02,  1.058761881043496e-02, -6.954182460433141e-02,  2.471942989033891e-02,  1.436709108415069e-02, -8.970685932865002e-02,  3.025018846305868e-02,  1.782373032937611e-02, -1.097779929860557e-01,  3.312658653519716e-02,  2.156951102684733e-02, -1.202164472050980e-01, -8.936464088600117e-03, -4.041197110582216e-03,  4.751993592861769e-02, -8.936464088600616e-03, -4.041197110584103e-03,  4.751993592861786e-02, -8.936464088601223e-03, -4.041197110586322e-03,  4.751993592861838e-02, -8.936464088601557e-03, -4.041197110588099e-03,  4.751993592861838e-02, -8.936464088601947e-03, -4.041197110589432e-03,  4.751993592861906e-02, -8.936464088601612e-03, -4.041197110590209e-03,  4.751993592861905e-02, -2.591166123091698e-02,  7.262322754074746e-02
  1.005000000000000e+01,  1.638408068361877e-01,  1.570838299900008e+00,  9.243590099512125e-01,  1.483074968526240e+00, -4.007286336705396e-02, -1.632349449564405e+00,  2.375172525603720e-03,  1.165738014973481e-15, -8.567244022059167e-03,  7.610452667541921e-03,  3.166903292286509e-03, -2.745089226947795e-02,  1.343920237047180e-02,  6.980389479481089e-03, -4.847518440443296e-02,  1.933639991495191e-02,  1.093858460397673e-02, -6.974636780939471e-02,  2.494337353041589e-02,  1.484334146806963e-02, -8.997071390289821e-02,  3.052423755510447e-02,  1.841456380864743e-02, -1.101008827385016e-01,  3.342669411877377e-02,  2.228451226455376e-02, -1.205700395583767e-01, -8.853684345522498e-03, -4.176660586290508e-03,  4.863963912856722e-02, -8.853684345523444e-03, -4.176660586292618e-03,  4.863963912856761e-02, -8.853684345523777e-03, -4.176660586295283e-03,  4.863963912856845e-02, -8.853684345524165e-03, -4.176660586297281e-03,  4.863963912856911e-02, -8.853684345524332e-03, -4.176660586299280e-03,  4.863963912856922e-02, -8.853684345523829e-03, -4.176660586300388e-03,  4.863963912856958e-02, -2.699408493739633e-02,  7.591080067110478e-02
  1.006000000000000e+01,  1.634077467712429e-01,  1.563564174635813e+00,  9.247230947055392e-01,  1.482492287942155e+00, -3.869646326414156e-02, -1.633151756615305e+00,  2.397835237771266e-03,  5.551133523747059e-16, -8.590952884319185e-03,  7.683067812992213e-03,  3.270000012959181e-03, -2.752685945588779e-02,  1.356743253990975e-02,  7.207632056192259e-03, -4.860933390068952e-02,  1.952089820355551e-02,  1.129468395319061e-02, -6.993938285868202e-02,  2.518137076613310e-02,  1.532655793785481e-02, -9.021969750338256e-02,  3.081548461323505e-02,  1.901403937385140e-02, -1.104055742654570e-01,  3.374563497054306e-02,  2.300997178258816e-02, -1.209037032724562e-01, -8.768165157918674e-03, -4.308595291367451e-03,  4.975979579569650e-02, -8.768165157918733e-03, -4.308595291367564e-03,  4.975979579569680e-02, -8.768165157918732e-03, -4.308595291367785e-03,  4.975979579569679e-02, -8.768165157918787e-03, -4.308595291367674e-03,  4.975979579569706e-02, -8.768165157918732e-03, -4.308595291368007e-03,  4.975979579569678e-02, -8.768165157918954e-03, -4.308595291368229e-03,  4.975979579569695e-02, -2.805207981287306e-02,  7.919897359248702e-02
  1.007000000000000e+01,  1.629872167446241e-01,  1.556044425796868e+00,  9.250676256709058e-01,  1.481901076939490e+00, -3.731585462701958e-02, -1.634012718983094e+00,  2.421190789618017e-03,  1.332272073588780e-15, -8.613613087330278e-03,  7.757902933365120e-03,  3.374148170595819e-03, -2.759946656151911e-02,  1.369958293503531e-02,  7.437192177477063e-03, -4.873754987268815e-02,  1.971103693490430e-02,  1.165441499910875e-02, -7.012386071992148e-02,  2.542664400310949e-02,  1.581470251455643e-02, -9.045766838840945e-02,  3.111563561495221e-02,  1.961962872008187e-02, -1.106967890771553e-01,  3.407432641470130e-02,  2.374282993516695e-02, -1.212226088115695e-01, -8.679047884840963e-03, -4.435955374589072e-03,  5.087655758369589e-02, -8.679047884841353e-03, -4.435955374589295e-03,  5.087655758369596e-02, -8.679047884841241e-03, -4.435955374589516e-03,  5.087655758369627e-02, -8.679047884841241e-03, -4.435955374589738e-03,  5.087655758369633e-02, -8.679047884841242e-03, -4.435955374589961e-03,  5.087655758369607e-02, -8.679047884841187e-03, -4.435955374589739e-03,  5.087655758369640e-02, -2.907825581555550e-02,  8.247634652643933e-02
  1.008000000000000e+01,  1.625818675475050e-01,  1.548284589769987e+00,  9.253925076875817e-01,  1.481325228669080e+00, -3.595243783814972e-02, -1.634934256725690e+00,  2.444689875530579e-03,  1.165738088283531e-15, -8.635502176933931e-03,  7.833197961046487e-03,  3.478860363807906e-03, -2.766960288996494e-02,  1.383254547467785e-02,  7.667995528386888e-03, -4.886140273042058e-02,  1.990234418434869e-02,  1.201609424182611e-02, -7.030206090782905e-02,  2.567342459323734e-02,  1.630549073770660e-02, -9.068754126390641e-02,  3.141763122704602e-02,  2.022849775884676e-02, -1.109780940197530e-01,  3.440503786760613e-02,  2.447965703044132e-02, -1.215306621823836e-01, -8.585554303510094e-03, -4.557701185240647e-03,  5.198664829118153e-02, -8.585554303510205e-03, -4.557701185240758e-03,  5.198664829118181e-02, -8.585554303510649e-03, -4.557701185240980e-03,  5.198664829118209e-02, -8.585554303510316e-03, -4.557701185241092e-03,  5.198664829118187e-02, -8.585554303510263e-03, -4.557701185240981e-03,  5.198664829118232e-02, -8.585554303510427e-03, -4.557701185241536e-03,  5.198664829118214e-02, -3.006516219413747e-02,  8.573319774908597e-02
  1.009000000000000e+01,  1.621945022150330e-01,  1.540290967100943e+00,  9.256975462008173e-01,  1.480789293095247e+00, -3.462382787140705e-02, -1.635915418021860e+00,  2.467767759304128e-03,  0.000000000000000e+00, -8.656849637346599e-03,  7.907143386167577e-03,  3.583523816848394e-03, -2.773800374728346e-02,  1.396312476818487e-02,  7.898691447733513e-03, -4.898219094157639e-02,  2.009022240586095e-02,  1.237760513444441e-02, -7.047585166501100e-02,  2.591578184060898e-02,  1.679605051466367e-02, -9.091172610656192e-02,  3.171421381171661e-02,  2.083708338858211e-02, -1.112524382813690e-01,  3.472982158483855e-02,  2.521614115631340e-02, -1.218310930023058e-01, -8.486863632561726e-03, -4.672825167719398e-03,  5.308706873361227e-02, -8.486863632561781e-03, -4.672825167718954e-03,  5.308706873361255e-02, -8.486863632561617e-03, -4.672825167719399e-03,  5.308706873361223e-02, -8.486863632562005e-03, -4.672825167719399e-03,  5.308706873361239e-02, -8.486863632561672e-03, -4.672825167719399e-03,  5.308706873361234e-02, -8.486863632561728e-03, -4.672825167719287e-03,  5.308706873361273e-02, -3.100564619041503e-02,  8.896062028255125e-02
  1.010000000000000e+01,  1.618280201965115e-01,  1.532070522253146e+00,  9.259823994916937e-01,  1.480317368240015e+00, -3.334363825369824e-02, -1.636952415259991e+00,  2.489867763806049e-03,  1.665340192439650e-16, -8.677830200841060e-03,  7.977955521456370e-03,  3.687413246398999e-03, -2.780522900511027e-02,  1.408817102469549e-02,  8.127681288638907e-03, -4.910090317642124e-02,  2.027013966263734e-02,  1.273644252533228e-02, -7.064665549580973e-02,  2.614786968323060e-02,  1.728298242745533e-02, -9.113205790414527e-02,  3.199822930116952e-02,  2.144116831095962e-02, -1.115220674124156e-01,  3.504084324013156e-02,  2.594717871992150e-02, -1.221263603442913e-01, -8.382117917613082e-03, -4.780365047583036e-03,  5.417511554287276e-02, -8.382117917613360e-03, -4.780365047583592e-03,  5.417511554287298e-02, -8.382117917613027e-03, -4.780365047583147e-03,  5.417511554287270e-02, -8.382117917613416e-03, -4.780365047583592e-03,  5.417511554287276e-02, -8.382117917612975e-03, -4.780365047583482e-03,  5.417511554287306e-02, -8.382117917613030e-03, -4.780365047583260e-03,  5.417511554287333e-02, -3.189295742134715e-02,  9.215057901036895e-02
  1.011000000000000e+01,  1.614855077522092e-01,  1.523630824453440e+00,  9.262465491660944e-01,  1.479933477422888e+00, -3.212033503055522e-02, -1.638039326955344e+00,  2.510442105164263e-03, -2.220453632724644e-16, -8.698535605965766e-03,  8.043879175163682e-03,  3.789739503847435e-03, -2.787157260919227e-02,  1.420458477324309e-02,  8.353225634342617e-03, -4.921805851003995e-02,  2.043763641843161e-02,  1.308988067010662e-02, -7.081521924837281e-02,  2.636393545365778e-02,  1.776258772015567e-02, -9.134950006826953e-02,  3.226263791839191e-02,  2.203616387071216e-02, -1.117881603795178e-01,  3.533039366556967e-02,  2.666721672823203e-02, -1.224177552792979e-01, -8.270560386538315e-03, -4.879453272867183e-03,  5.524831974889208e-02, -8.270560386538759e-03, -4.879453272867405e-03,  5.524831974889202e-02, -8.270560386538370e-03, -4.879453272867405e-03,  5.524831974889174e-02, -8.270560386538537e-03, -4.879453272867405e-03,  5.524831974889197e-02, -8.270560386538426e-03, -4.879453272867294e-03,  5.524831974889213e-02, -8.270560386538426e-03, -4.879453272867183e-03,  5.524831974889213e-02, -3.272103269835707e-02,  9.529574187995345e-02
