Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  6.780000000000000e+00,  7.844223385809433e-01,  1.180177238330185e-01,  3.538436277503739e-02,  1.202223792472077e+00,  2.613558492980507e-02, -3.469556991332691e-01
  6.790000000000000e+00,  7.846493678538126e-01,  1.178369660394296e-01,  3.568033349176187e-02,  1.202157925394701e+00,  2.617634470532857e-02, -3.466193175592811e-01
  6.800000000000000e+00,  7.848813897988328e-01,  1.176571566519133e-01,  3.598690798906617e-02,  1.202092380650781e+00,  2.621484471489632e-02, -3.462812016327157e-01
  6.810000000000000e+00,  7.851185530004330e-01,  1.174793750651344e-01,  3.630671626194654e-02,  1.202027396995360e+00,  2.625007277083046e-02, -3.459416165058044e-01
  6.820000000000000e+00,  7.853606207114550e-01,  1.173045995886035e-01,  3.664027038653921e-02,  1.201963314748500e+00,  2.628144745964944e-02, -3.456016798551478e-01
  6.830000000000000e+00,  7.856069778956162e-01,  1.171334828157087e-01,  3.698671194950465e-02,  1.201900389997924e+00,  2.630879324934382e-02, -3.452625068452496e-01
  6.840000000000000e+00,  7.858572136046232e-01,  1.169666514420846e-01,  3.734550870115581e-02,  1.201838893945932e+00,  2.633188679855669e-02, -3.449250671418694e-01
  6.850000000000001e+00,  7.861109268208943e-01,  1.168046468655077e-01,  3.771598866112204e-02,  1.201779083199082e+00,  2.635057594186006e-02, -3.445902412032241e-01
  6.860000000000000e+00,  7.863677194182096e-01,  1.166479323650393e-01,  3.809735987102902e-02,  1.201721197047954e+00,  2.636477795193942e-02, -3.442588283066021e-01
  6.870000000000000e+00,  7.866271881077261e-01,  1.164969001254033e-01,  3.848872486596799e-02,  1.201665455725369e+00,  2.637448294327448e-02, -3.439315614504436e-01
  6.880000000000000e+00,  7.868889125215862e-01,  1.163518775712928e-01,  3.888909165660921e-02,  1.201612058850068e+00,  2.637975783994305e-02, -3.436091271920594e-01
  6.890000000000001e+00,  7.871524436204884e-01,  1.162131335452539e-01,  3.929739248503909e-02,  1.201561182512813e+00,  2.638075129689205e-02, -3.432921852565942e-01
  6.900000000000000e+00,  7.874172970883530e-01,  1.160808889206129e-01,  3.971252236804366e-02,  1.201512973881130e+00,  2.637770104916342e-02, -3.429813805611657e-01
  6.910000000000000e+00,  7.876829529129661e-01,  1.159553336972168e-01,  4.013339001174947e-02,  1.201467544670498e+00,  2.637093906345575e-02, -3.426773475336284e-01
  6.920000000000000e+00,  7.879488622517287e-01,  1.158366414524212e-01,  4.055895365528614e-02,  1.201424966538340e+00,  2.636089150482651e-02, -3.423807180327994e-01
  6.930000000000001e+00,  7.882144649807904e-01,  1.157249704294363e-01,  4.098822626526200e-02,  1.201385270807183e+00,  2.634807754559223e-02, -3.420921373818183e-01
  6.940000000000000e+00,  7.884792117522059e-01,  1.156204540707730e-01,  4.142026791970106e-02,  1.201348452231848e+00,  2.633310830391050e-02, -3.418122772393377e-01
  6.950000000000000e+00,  7.887425777182347e-01,  1.155231878927800e-01,  4.185418319171268e-02,  1.201314474462739e+00,  2.631668123260141e-02, -3.415418378855567e-01
  6.960000000000000e+00,  7.890040614287889e-01,  1.154332151508581e-01,  4.228911221051262e-02,  1.201283275328713e+00,  2.629956525449035e-02, -3.412815463600171e-01
  6.970000000000001e+00,  7.892631754940665e-01,  1.153505161441202e-01,  4.272420438088323e-02,  1.201254771002020e+00,  2.628258089210418e-02, -3.410321607870460e-01
  6.980000000000000e+00,  7.895194407433591e-01,  1.152750093652131e-01,  4.315859555107598e-02,  1.201228859165918e+00,  2.626658324745141e-02, -3.407944840068229e-01
  6.990000000000000e+00,  7.897723763532823e-01,  1.152065725411442e-01,  4.359142290085779e-02,  1.201205422244484e+00,  2.625243872276962e-02, -3.405693694482634e-01
  7.000000000000000e+00,  7.900214772113503e-01,  1.151450776809664e-01,  4.402187422380615e-02,  1.201184331146389e+00,  2.624098832847323e-02, -3.403576993862554e-01
  7.010000000000000e+00,  7.902661998022176e-01,  1.150904135477597e-01,  4.444922453895173e-02,  1.201165448526054e+00,  2.623301718329793e-02, -3.401603468896503e-01
  7.020000000000000e+00,  7.905059791272516e-01,  1.150424775693590e-01,  4.487283051680008e-02,  1.201148630945540e+00,  2.622924646811689e-02, -3.399781436094718e-01
  7.030000000000000e+00,  7.907402682284536e-01,  1.150011510276929e-01,  4.529210630900948e-02,  1.201133731283085e+00,  2.623033848616703e-02, -3.398118509979411e-01
  7.040000000000000e+00,  7.909695277076827e-01,  1.149699529519472e-01,  4.570587111518903e-02,  1.201121495779935e+00,  2.623726687356916e-02, -3.396636730410591e-01
  7.050000000000000e+00,  7.911914807998497e-01,  1.149412732179433e-01,  4.611491707472801e-02,  1.201109985795384e+00,  2.624983205455301e-02, -3.395309786846190e-01
