Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  7.340000000000000e+00, -3.116976051763128e-01,  9.777453124771940e-02,  3.373892831436955e-02,  7.874878099000018e-01, -5.222663894477075e-02,  3.373892831436955e-02,  3.703662635183353e-01, -3.169168944337808e-01,  4.233625015333407e-01,  1.320442380641538e+00,  8.287694153143451e-01, -9.813149234324425e-01,  2.404572790023470e-02
  7.350000000000000e+00, -3.116817234456474e-01,  9.776814629162400e-02,  3.373656529310446e-02,  7.874891141673206e-01, -5.222006559836800e-02,  3.373656529280164e-02,  3.704788030680140e-01, -3.167686505506186e-01,  4.233526792841638e-01,  1.320315169820280e+00,  8.289427359391882e-01, -9.818828494607709e-01,  2.401163673746554e-02
  7.359999999999999e+00, -3.116657191673609e-01,  9.776173165166258e-02,  3.373427038262201e-02,  7.874905727777546e-01, -5.221352655776945e-02,  3.373427038232575e-02,  3.705935173356860e-01, -3.166183664174604e-01,  4.233434290108319e-01,  1.320185804245332e+00,  8.291259681966457e-01, -9.824560903757358e-01,  2.397993690931103e-02
  7.370000000000000e+00, -3.116495497792281e-01,  9.775526031182236e-02,  3.373199361066702e-02,  7.874921162221192e-01, -5.220696117910850e-02,  3.373199361040037e-02,  3.707100472433997e-01, -3.164675926892095e-01,  4.233343967826719e-01,  1.320052730977971e+00,  8.293100016671870e-01, -9.830261291965441e-01,  2.394885165963336e-02
  7.380000000000000e+00, -3.116332696886263e-01,  9.774875642037073e-02,  3.372975309500198e-02,  7.874937567982085e-01, -5.220040186205677e-02,  3.372975309476824e-02,  3.708281589906381e-01, -3.163168424947495e-01,  4.233256914895037e-01,  1.319915991206689e+00,  8.294940589955989e-01, -9.835903902335148e-01,  2.391854545899583e-02
  7.390000000000000e+00, -3.116169447931473e-01,  9.774224786195296e-02,  3.372756477115282e-02,  7.874954993528919e-01, -5.219388192679708e-02,  3.372756477094869e-02,  3.709474784537878e-01, -3.161666421858120e-01,  4.233173999195993e-01,  1.319775976926526e+00,  8.296775674787397e-01, -9.841469035352329e-01,  2.388915574914568e-02
  7.399999999999999e+00, -3.116006346718386e-01,  9.773576043057086e-02,  3.372544561440845e-02,  7.874973525670252e-01, -5.218743403210180e-02,  3.372544561422736e-02,  3.710677062739451e-01, -3.160174850850433e-01,  4.233096198249325e-01,  1.319632974013455e+00,  8.298600898961852e-01, -9.846937888341577e-01,  2.386083080302596e-02
  7.410000000000000e+00, -3.115843975926068e-01,  9.772931941795804e-02,  3.372341251338453e-02,  7.874993254134439e-01, -5.218109040268826e-02,  3.372341251324294e-02,  3.711885540406001e-01, -3.158698425014868e-01,  4.233024489685051e-01,  1.319487293730256e+00,  8.300412885196945e-01, -9.852294006500808e-01,  2.383370613365991e-02
  7.420000000000000e+00, -3.115682904758540e-01,  9.772294957758376e-02,  3.372148217053603e-02,  7.875014270023701e-01, -5.217488272125603e-02,  3.372148217042736e-02,  3.713097431236454e-01, -3.157241620752645e-01,  4.232959843949043e-01,  1.319339266014062e+00,  8.302208777790518e-01, -9.857523260926544e-01,  2.380790286074782e-02
  7.430000000000000e+00, -3.115523693821585e-01,  9.771667532787620e-02,  3.371967120622074e-02,  7.875036665940914e-01, -5.216884236143038e-02,  3.371967120616805e-02,  3.714310016951530e-01, -3.155808673367569e-01,  4.232903229687000e-01,  1.319189233302620e+00,  8.303985763834720e-01, -9.862613635204178e-01,  2.378352718312800e-02
  7.440000000000000e+00, -3.115366900611704e-01,  9.771052099196242e-02,  3.371799632451591e-02,  7.875060536943932e-01, -5.216300069773561e-02,  3.371799632449944e-02,  3.715520621117219e-01, -3.154403542776265e-01,  4.232855623446152e-01,  1.319037544767245e+00,  8.305740735113676e-01, -9.867555014980367e-01,  2.376066901515464e-02
  7.450000000000000e+00, -3.115213073638250e-01,  9.770451052144091e-02,  3.371647404987995e-02,  7.875085978085166e-01, -5.215738868885600e-02,  3.371647404989971e-02,  3.716726624168110e-01, -3.153029840090930e-01,  4.232817992836024e-01,  1.318884550111916e+00,  8.307470107591670e-01, -9.872338979323416e-01,  2.373940010350714e-02
  7.460000000000000e+00, -3.115062739815723e-01,  9.769866691229545e-02,  3.371512019955730e-02,  7.875113079754076e-01, -5.215203602030583e-02,  3.371512019962317e-02,  3.717925501240935e-01, -3.151690781591493e-01,  4.232791263190981e-01,  1.318730594803674e+00,  8.309169725217512e-01, -9.876958594338059e-01,  2.371977262532624e-02
  7.470000000000000e+00, -3.114916403704850e-01,  9.769301215360415e-02,  3.371394978087281e-02,  7.875141926206715e-01, -5.214697098262810e-02,  3.371394978097492e-02,  3.719114813691866e-01, -3.150389201560126e-01,  4.232776310227800e-01,  1.318576018185224e+00,  8.310834789960244e-01, -9.881408277087874e-01,  2.370181822785311e-02
  7.480000000000000e+00, -3.114774558703193e-01,  9.768756771011744e-02,  3.371297730175851e-02,  7.875172597054834e-01, -5.214222107654365e-02,  3.371297730189685e-02,  3.720292151596813e-01, -3.149127576419822e-01,  4.232773977775786e-01,  1.318421152137072e+00,  8.312459806991542e-01, -9.885683708334212e-01,  2.368554745994308e-02
  7.490000000000000e+00, -3.114637696520506e-01,  9.768235496821198e-02,  3.371221719827015e-02,  7.875205171279474e-01, -5.213781368752279e-02,  3.371221719844144e-02,  3.721455109976439e-01, -3.147908028861398e-01,  4.232785105141603e-01,  1.318266318671445e+00,  8.314038603320907e-01, -9.889781706647446e-01,  2.367095074004398e-02
  7.500000000000000e+00, -3.114506308506450e-01,  9.767739538981224e-02,  3.371168429732700e-02,  7.875239734531803e-01, -5.213377657741347e-02,  3.371168429753451e-02,  3.722601346450869e-01, -3.146732326556805e-01,  4.232810561185111e-01,  1.318111828506036e+00,  8.315564553278290e-01, -9.893700087345849e-01,  2.365800107709615e-02
