Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  7.340000000000000e+00,  8.975431332165306e-01,  9.799493156411820e-02, -1.218624153946515e-01,  1.154854071826224e+00,  9.751544815557923e-02, -2.824245691192456e-01
  7.350000000000000e+00,  8.973433181157809e-01,  9.790231787925086e-02, -1.222141285022698e-01,  1.154950780318639e+00,  9.747110590206874e-02, -2.822865025944261e-01
  7.359999999999999e+00,  8.971392648860612e-01,  9.781028821151083e-02, -1.225646495643704e-01,  1.155048068149612e+00,  9.742582444287022e-02, -2.821487136088029e-01
  7.370000000000000e+00,  8.969303904313711e-01,  9.771823400479973e-02, -1.229125052383551e-01,  1.155145731160221e+00,  9.737952786633762e-02, -2.820124354799320e-01
  7.380000000000000e+00,  8.967167254782555e-01,  9.762641156625573e-02, -1.232560842490322e-01,  1.155243423674824e+00,  9.733229394116102e-02, -2.818784974753074e-01
  7.390000000000000e+00,  8.964987384541392e-01,  9.753504152726400e-02, -1.235941022301538e-01,  1.155340776282443e+00,  9.728433033535477e-02, -2.817475231405187e-01
  7.399999999999999e+00,  8.962767335091265e-01,  9.744432815819648e-02, -1.239251882610694e-01,  1.155437432099515e+00,  9.723584675262570e-02, -2.816201625741676e-01
  7.410000000000000e+00,  8.960510153811720e-01,  9.735446516702551e-02, -1.242480001811768e-01,  1.155533032415145e+00,  9.718708558939185e-02, -2.814970386619678e-01
  7.420000000000000e+00,  8.958218813016774e-01,  9.726562740165945e-02, -1.245612463655109e-01,  1.155627220705653e+00,  9.713830591534679e-02, -2.813787490479523e-01
  7.430000000000000e+00,  8.955896121618190e-01,  9.717796656299593e-02, -1.248637044301432e-01,  1.155719649828550e+00,  9.708976155588049e-02, -2.812658659303850e-01
  7.440000000000000e+00,  8.953544618070415e-01,  9.709160378642001e-02, -1.251542400172492e-01,  1.155809987893889e+00,  9.704168866351350e-02, -2.811589268052266e-01
  7.450000000000000e+00,  8.951166395559401e-01,  9.700661864162563e-02, -1.254318190871995e-01,  1.155897917865545e+00,  9.699430875527926e-02, -2.810584168581159e-01
  7.460000000000000e+00,  8.948763044315151e-01,  9.692305030655279e-02, -1.256955067963214e-01,  1.155983136776791e+00,  9.694783208825986e-02, -2.809647505539467e-01
  7.470000000000000e+00,  8.946335920368794e-01,  9.684092095580010e-02, -1.259444636867435e-01,  1.156065363985884e+00,  9.690245356413414e-02, -2.808782608101554e-01
  7.480000000000000e+00,  8.943886570826478e-01,  9.676026213884970e-02, -1.261779578468311e-01,  1.156144355016621e+00,  9.685834967525908e-02, -2.807991955081991e-01
  7.490000000000000e+00,  8.941416950095564e-01,  9.668112186858768e-02, -1.263953922835105e-01,  1.156219910038472e+00,  9.681567876907847e-02, -2.807277163957644e-01
  7.500000000000000e+00,  8.938929360599213e-01,  9.660355873875393e-02, -1.265963242252796e-01,  1.156291874391521e+00,  9.677458005880482e-02, -2.806639031959384e-01
  7.510000000000000e+00,  8.936426371669516e-01,  9.652763884120508e-02, -1.267804688129660e-01,  1.156360138174335e+00,  9.673517036904392e-02, -2.806077669269024e-01
  7.520000000000000e+00,  8.933910881501761e-01,  9.645343671530471e-02, -1.269477025384253e-01,  1.156424637753772e+00,  9.669753976614176e-02, -2.805592660004962e-01
  7.530000000000000e+00,  8.931386177017069e-01,  9.638103350819960e-02, -1.270980677269987e-01,  1.156485353166282e+00,  9.666174823542199e-02, -2.805183168963922e-01
  7.540000000000000e+00,  8.928855831588082e-01,  9.631051077297492e-02, -1.272317640610924e-01,  1.156542300417823e+00,  9.662782637415887e-02, -2.804847963455457e-01
  7.550000000000000e+00,  8.926323608671111e-01,  9.624194584750434e-02, -1.273491282080587e-01,  1.156595527404817e+00,  9.659578084377420e-02, -2.804585338417937e-01
  7.560000000000000e+00,  8.923793546716675e-01,  9.617541154673304e-02, -1.274506153525894e-01,  1.156645116033545e+00,  9.656560259624396e-02, -2.804392995531801e-01
  7.570000000000000e+00,  8.921270009685378e-01,  9.611097371889188e-02, -1.275367888758356e-01,  1.156691181599055e+00,  9.653727470191815e-02, -2.804268012518144e-01
  7.580000000000000e+00,  8.918757472177170e-01,  9.604868158098467e-02, -1.276083126656671e-01,  1.156733865055452e+00,  9.651077440534690e-02, -2.804206939662546e-01
  7.590000000000000e+00,  8.916260195465470e-01,  9.598855650514615e-02, -1.276659387002747e-01,  1.156773324242791e+00,  9.648606647151206e-02, -2.804205876495625e-01
  7.600000000000000e+00,  8.913782102967340e-01,  9.593059087328237e-02, -1.277104903115791e-01,  1.156809728840216e+00,  9.646309465564641e-02, -2.804260502929785e-01
  7.609999999999999e+00,  8.911326921417184e-01,  9.587476117899274e-02, -1.277428390402781e-01,  1.156843258358914e+00,  9.644177920285672e-02, -2.804366186547420e-01
  7.620000000000000e+00,  8.908898332104872e-01,  9.582104416041060e-02, -1.277638755839591e-01,  1.156874101020742e+00,  9.642201743338526e-02, -2.804518138106770e-01
  7.630000000000000e+00,  8.906499933165981e-01,  9.576942360733476e-02, -1.277744903578641e-01,  1.156902451530381e+00,  9.640368358910702e-02, -2.804711532064342e-01
  7.640000000000000e+00,  8.904135135772556e-01,  9.571988995699132e-02, -1.277755656366192e-01,  1.156928506741234e+00,  9.638663482370249e-02, -2.804941569986873e-01
  7.649999999999999e+00,  8.901807116012511e-01,  9.567243762821809e-02, -1.277679681836821e-01,  1.156952460861740e+00,  9.637072416787659e-02, -2.805203469753963e-01
  7.660000000000000e+00,  8.899518781291815e-01,  9.562706055807557e-02, -1.277525518403473e-01,  1.156974505262514e+00,  9.635580538257921e-02, -2.805492456320192e-01
  7.670000000000000e+00,  8.897272768726898e-01,  9.558375062772240e-02, -1.277301755694362e-01,  1.156994833253667e+00,  9.634172723292124e-02, -2.805803852011012e-01
  7.680000000000000e+00,  8.895071522077588e-01,  9.554250263513819e-02, -1.277017126816750e-01,  1.157013640715687e+00,  9.632833444911768e-02, -2.806133216010472e-01
  7.690000000000000e+00,  8.892917362712885e-01,  9.550331900959130e-02, -1.276680362128630e-01,  1.157031118430432e+00,  9.631547955744979e-02, -2.806476449344666e-01
  7.700000000000000e+00,  8.890812431696994e-01,  9.546620483199275e-02, -1.276300006989377e-01,  1.157047444662067e+00,  9.630303256116823e-02, -2.806829872394377e-01
  7.710000000000000e+00,  8.888758566384380e-01,  9.543115924465950e-02, -1.275884368703763e-01,  1.157062785679361e+00,  9.629088324400790e-02, -2.807190259963662e-01
  7.720000000000000e+00,  8.886757286670173e-01,  9.539817689450492e-02, -1.275441480341125e-01,  1.157077301995970e+00,  9.627893946293729e-02, -2.807554766465868e-01
  7.730000000000000e+00,  8.884809870901839e-01,  9.536725374461863e-02, -1.274979049370298e-01,  1.157091154167254e+00,  9.626712121885393e-02, -2.807920810060232e-01
  7.740000000000000e+00,  8.882917403078432e-01,  9.533838758102031e-02, -1.274504450032264e-01,  1.157104504928826e+00,  9.625535339610333e-02, -2.808286057971802e-01
  7.750000000000000e+00,  8.881080814657681e-01,  9.531157867901396e-02, -1.274024684497479e-01,  1.157117518057562e+00,  9.624356440735478e-02, -2.808648461725320e-01
  7.760000000000000e+00,  8.879300940396351e-01,  9.528682987594572e-02, -1.273546355485655e-01,  1.157130356114221e+00,  9.623168826426923e-02, -2.809006238254301e-01
  7.770000000000000e+00,  8.877578537078470e-01,  9.526414125249283e-02, -1.273075718688134e-01,  1.157143178483342e+00,  9.621966161247997e-02, -2.809357833025419e-01
  7.779999999999999e+00,  8.875914286906692e-01,  9.524350719779417e-02, -1.272618656037552e-01,  1.157156139301165e+00,  9.620741861549639e-02, -2.809701925746403e-01
  7.790000000000000e+00,  8.874308832740132e-01,  9.522491916258624e-02, -1.272180545590273e-01,  1.157169385269892e+00,  9.619489618099775e-02, -2.810037493425027e-01
  7.800000000000000e+00,  8.872762834406877e-01,  9.520836704621716e-02, -1.271766204875662e-01,  1.157183054967282e+00,  9.618204931469847e-02, -2.810363892594697e-01
  7.810000000000000e+00,  8.871276996518010e-01,  9.519383563349293e-02, -1.271379970258374e-01,  1.157197280834821e+00,  9.616885944358715e-02, -2.810680916534681e-01
  7.819999999999999e+00,  8.869852004914929e-01,  9.518129503562411e-02, -1.271025852849000e-01,  1.157212190488405e+00,  9.615532817421854e-02, -2.810988818334698e-01
  7.830000000000000e+00,  8.868488393782663e-01,  9.517068849204069e-02, -1.270707625728990e-01,  1.157227902384857e+00,  9.614146725444885e-02, -2.811288250647476e-01
  7.840000000000000e+00,  8.867186473297777e-01,  9.516192826651237e-02, -1.270428756302609e-01,  1.157244519526255e+00,  9.612729271312816e-02, -2.811580121813570e-01
  7.850000000000000e+00,  8.865946375875038e-01,  9.515490353352818e-02, -1.270192302889262e-01,  1.157262128689254e+00,  9.611282177657941e-02, -2.811865502824284e-01
  7.859999999999999e+00,  8.864768122344338e-01,  9.514949273563222e-02, -1.270000816021759e-01,  1.157280803034508e+00,  9.609807341131510e-02, -2.812145624365863e-01
  7.870000000000000e+00,  8.863651612924113e-01,  9.514557370702947e-02, -1.269856150751108e-01,  1.157300602468131e+00,  9.608307303820217e-02, -2.812421841742104e-01
  7.880000000000000e+00,  8.862596551668305e-01,  9.514302903278238e-02, -1.269759262560478e-01,  1.157321573307992e+00,  9.606785272792355e-02, -2.812695517992558e-01
  7.890000000000000e+00,  8.861602342842130e-01,  9.514174506154238e-02, -1.269710144843080e-01,  1.157343748780646e+00,  9.605244371095936e-02, -2.812967899936675e-01
  7.899999999999999e+00,  8.860668013730637e-01,  9.514160775893132e-02, -1.269707927934357e-01,  1.157367147366123e+00,  9.603687513394769e-02, -2.813240057150715e-01
  7.910000000000000e+00,  8.859792207077694e-01,  9.514250254754941e-02, -1.269751031265709e-01,  1.157391769507474e+00,  9.602118475607210e-02, -2.813512875626803e-01
  7.920000000000000e+00,  8.858973175525791e-01,  9.514431608915697e-02, -1.269837301247193e-01,  1.157417596634082e+00,  9.600542470791074e-02, -2.813787069554988e-01
  7.930000000000000e+00,  8.858208688223609e-01,  9.514693016816622e-02, -1.269964171390865e-01,  1.157444592359510e+00,  9.598965351949620e-02, -2.814063204133042e-01
  7.940000000000000e+00,  8.857495881739624e-01,  9.515020886013459e-02, -1.270128804218419e-01,  1.157472702171752e+00,  9.597392871470294e-02, -2.814341702724993e-01
  7.949999999999999e+00,  8.856831209177197e-01,  9.515399314352257e-02, -1.270328126651991e-01,  1.157501852247533e+00,  9.595830719037618e-02, -2.814622802569623e-01
  7.960000000000000e+00,  8.856210607135564e-01,  9.515810937166869e-02, -1.270558820580110e-01,  1.157531952314086e+00,  9.594284213257408e-02, -2.814906496136330e-01
  7.970000000000000e+00,  8.855629757145240e-01,  9.516237982150488e-02, -1.270817408272469e-01,  1.157562902522059e+00,  9.592757404077658e-02, -2.815192530092127e-01
  7.980000000000000e+00,  8.855084237893486e-01,  9.516662512871976e-02, -1.271100438466100e-01,  1.157594599398543e+00,  9.591252649745950e-02, -2.815480456478051e-01
  7.990000000000000e+00,  8.854569546394238e-01,  9.517066019653186e-02, -1.271404642149251e-01,  1.157626938093562e+00,  9.589770943073153e-02, -2.815769686332736e-01
  8.000000000000000e+00,  8.854081074153718e-01,  9.517428885214341e-02, -1.271726983819542e-01,  1.157659811347895e+00,  9.588312763266538e-02, -2.816059573230940e-01
  8.010000000000000e+00,  8.853614147668026e-01,  9.517730886256337e-02, -1.272064651096003e-01,  1.157693108543600e+00,  9.586879090846741e-02, -2.816349558443780e-01
  8.020000000000000e+00,  8.853164160922083e-01,  9.517953197290474e-02, -1.272415026714462e-01,  1.157726717729174e+00,  9.585471253263293e-02, -2.816639279263208e-01
  8.029999999999999e+00,  8.852726655757939e-01,  9.518080072178003e-02, -1.272775645341432e-01,  1.157760527734975e+00,  9.584089469774351e-02, -2.816928531662765e-01
  8.039999999999999e+00,  8.852297266070359e-01,  9.518098632991601e-02, -1.273144156497363e-01,  1.157794427587851e+00,  9.582732386426242e-02, -2.817217139497726e-01
  8.049999999999999e+00,  8.851871680888540e-01,  9.517998034026975e-02, -1.273518286054773e-01,  1.157828306149286e+00,  9.581398615706113e-02, -2.817504845744707e-01
  8.060000000000000e+00,  8.851445747491203e-01,  9.517769632193351e-02, -1.273895735407686e-01,  1.157862052746415e+00,  9.580088582317389e-02, -2.817791244700711e-01
  8.070000000000000e+00,  8.851015568202245e-01,  9.517407420337998e-02, -1.274274077574882e-01,  1.157895555899227e+00,  9.578805314030506e-02, -2.818075752404958e-01
  8.080000000000000e+00,  8.850577464068607e-01,  9.516907966351362e-02, -1.274650764476771e-01,  1.157928702158215e+00,  9.577554317041591e-02, -2.818357655730587e-01
  8.090000000000000e+00,  8.850127922558088e-01,  9.516270483838651e-02, -1.275023206135498e-01,  1.157961378842556e+00,  9.576343035498655e-02, -2.818636206139621e-01
  8.100000000000000e+00,  8.849663648481274e-01,  9.515496920496913e-02, -1.275388864433043e-01,  1.157993478563963e+00,  9.575180236569414e-02, -2.818910670517017e-01
  8.109999999999999e+00,  8.849181671775428e-01,  9.514591422853402e-02, -1.275745377365594e-01,  1.158024901248353e+00,  9.574075297195256e-02, -2.819180343632474e-01
  8.119999999999999e+00,  8.848679408607902e-01,  9.513559398692029e-02, -1.276090679490769e-01,  1.158055553593368e+00,  9.573037189603296e-02, -2.819444581800027e-01
  8.129999999999999e+00,  8.848154642996865e-01,  9.512406957613018e-02, -1.276423018696557e-01,  1.158085348958793e+00,  9.572073244604155e-02, -2.819702844514478e-01
