Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  7.340000000000000e+00, -2.708686292608545e-01,  1.037655302494202e+00,  6.976493995014998e-01,  1.585760090378060e+00, -2.504007494477427e-01, -1.658191898074189e+00, -2.104265295749242e-04, -5.551152855676646e-16, -1.277066773495861e-02, -6.742420291906768e-04,  2.477533379817794e-03, -4.091936955442253e-02, -1.190635494736565e-03,  5.460901815870245e-03, -7.225899855608818e-02, -1.713093042616888e-03,  8.557479020682920e-03, -1.039666533041619e-01, -2.209838431263125e-03,  1.161225037867729e-02, -1.341138515690539e-01, -2.704270661384761e-03,  1.440609084012705e-02, -1.641206655440017e-01, -2.961411502885643e-03,  1.743363086670905e-02, -1.797263985974143e-01,  1.425968951676993e-04, -2.490070467056554e-03,  9.613658273628986e-02,  1.425968951673661e-04, -2.490070467056665e-03,  9.613658273629125e-02,  1.425968951676993e-04, -2.490070467055999e-03,  9.613658273629294e-02,  1.425968951678104e-04, -2.490070467056443e-03,  9.613658273629549e-02,  1.425968951676437e-04, -2.490070467055999e-03,  9.613658273629741e-02,  1.425968951673661e-04, -2.490070467055888e-03,  9.613658273629844e-02, -2.123259703708542e-02,  2.145526015989826e-01
  7.350000000000000e+00, -2.708896233065223e-01,  1.037663441585110e+00,  6.976562082367744e-01,  1.586012906578401e+00, -2.506703825717880e-01, -1.658408767530545e+00, -2.141065452682012e-04, -8.437752376274665e-15, -1.277457562241530e-02, -6.860334189897361e-04,  2.486452009218779e-03, -4.093189108366586e-02, -1.211457761234207e-03,  5.480559980685349e-03, -7.228111016661411e-02, -1.743052236704615e-03,  8.588284250052522e-03, -1.039984676137003e-01, -2.248484889360378e-03,  1.165405217983439e-02, -1.341548910702322e-01, -2.751563930130008e-03,  1.445794991353362e-02, -1.641708872785132e-01, -3.013201744151763e-03,  1.749638848453744e-02, -1.797813957632706e-01,  1.120827278497997e-04, -2.507040527960901e-03,  9.615872858620750e-02,  1.120827278527430e-04, -2.507040527956793e-03,  9.615872858624816e-02,  1.120827278535760e-04, -2.507040527953017e-03,  9.615872858626411e-02,  1.120827278510770e-04, -2.507040527950351e-03,  9.615872858625536e-02,  1.120827278461901e-04, -2.507040527947018e-03,  9.615872858622312e-02,  1.120827278383600e-04, -2.507040527943908e-03,  9.615872858616517e-02, -2.133032364353424e-02,  2.146182955268208e-01
  7.359999999999999e+00, -2.709109146708971e-01,  1.037672221836375e+00,  6.976629779046323e-01,  1.586266110838618e+00, -2.509448001063734e-01, -1.658625352695688e+00, -2.177796850791386e-04, -7.716102535065975e-15, -1.277853984802780e-02, -6.978027773768319e-04,  2.495321840380420e-03, -4.094459312995959e-02, -1.232241122757602e-03,  5.500110585932891e-03, -7.230354054994509e-02, -1.772955454091385e-03,  8.618920928734512e-03, -1.040307405753239e-01, -2.287059139186060e-03,  1.169562526260392e-02, -1.341965222187558e-01, -2.798768834621603e-03,  1.450952524022267e-02, -1.642218330363425e-01, -3.064895218904500e-03,  1.755880272426700e-02, -1.798371857976825e-01,  8.160624154323797e-05, -2.524196964224579e-03,  9.618026628567067e-02,  8.160624154607015e-05, -2.524196964221025e-03,  9.618026628571222e-02,  8.160624154623677e-05, -2.524196964218360e-03,  9.618026628572775e-02,  8.160624154490398e-05, -2.524196964216028e-03,  9.618026628571913e-02,  8.160624154001709e-05, -2.524196964212973e-03,  9.618026628568463e-02,  8.160624153329761e-05, -2.524196964210417e-03,  9.618026628562634e-02, -2.142965843180621e-02,  2.146822153843878e-01
  7.370000000000000e+00, -2.709326288770803e-01,  1.037681830664569e+00,  6.976696457566370e-01,  1.586518548521192e+00, -2.512245690716506e-01, -1.658841515579939e+00, -2.214180837912405e-04, -6.661383512463517e-15, -1.278255831263711e-02, -7.094608194355776e-04,  2.504131369827781e-03, -4.095746896712423e-02, -1.252827912181429e-03,  5.519528276021667e-03, -7.232627782838207e-02, -1.802575842437385e-03,  8.649349323378828e-03, -1.040634550993532e-01, -2.325268548066537e-03,  1.173691570998634e-02, -1.342387229694876e-01, -2.845527268163455e-03,  1.456074993107996e-02, -1.642734758399486e-01, -3.116099769148744e-03,  1.762079263960823e-02, -1.798937391578275e-01,  5.117471993137877e-05, -2.541587043272518e-03,  9.620087655723691e-02,  5.117471993365563e-05, -2.541587043270298e-03,  9.620087655727866e-02,  5.117471993409989e-05, -2.541587043268410e-03,  9.620087655729437e-02,  5.117471993254498e-05, -2.541587043266744e-03,  9.620087655728499e-02,  5.117471992926853e-05, -2.541587043264300e-03,  9.620087655724902e-02,  5.117471992377078e-05, -2.541587043261689e-03,  9.620087655718772e-02, -2.153100908937758e-02,  2.147434264022356e-01
  7.380000000000000e+00, -2.709547379049426e-01,  1.037692333354593e+00,  6.976761853432250e-01,  1.586769210318129e+00, -2.515094772472928e-01, -1.659056576095861e+00, -2.250046862066047e-04, -6.383825894201015e-15, -1.278662584561865e-02, -7.209528974408672e-04,  2.512843163347938e-03, -4.097050202761471e-02, -1.273121627777156e-03,  5.538730539627674e-03, -7.234929274550651e-02, -1.831774554511278e-03,  8.679440135025123e-03, -1.040965690914874e-01, -2.362934007255210e-03,  1.177774806705026e-02, -1.342814390220446e-01, -2.891620047975338e-03,  1.461140631773062e-02, -1.643257492397069e-01, -3.166575370682535e-03,  1.768209481766701e-02, -1.799509830755882e-01,  2.092467306633652e-05, -2.559165838915810e-03,  9.622036114429822e-02,  2.092467306744718e-05, -2.559165838915589e-03,  9.622036114434022e-02,  2.092467306783591e-05, -2.559165838914033e-03,  9.622036114435627e-02,  2.092467306716951e-05, -2.559165838913033e-03,  9.622036114434547e-02,  2.092467306489267e-05, -2.559165838911145e-03,  9.622036114430825e-02,  2.092467306144963e-05, -2.559165838909144e-03,  9.622036114424465e-02, -2.163420043786720e-02,  2.148013443261689e-01
  7.390000000000000e+00, -2.709771752437464e-01,  1.037703713260832e+00,  6.976825806842846e-01,  1.587017202750160e+00, -2.517988215295950e-01, -1.659269960623359e+00, -2.285261788239336e-04, -5.995245214235131e-15, -1.279073251409863e-02, -7.322363526904538e-04,  2.521428151851624e-03, -4.098366048483101e-02, -1.293046939080446e-03,  5.557653303571560e-03, -7.237252909912784e-02, -1.860443204418152e-03,  8.709092958117615e-03, -1.041300016876982e-01, -2.399915702211556e-03,  1.181798608637333e-02, -1.343245660642655e-01, -2.936876077223329e-03,  1.466132537240901e-02, -1.643785255845112e-01, -3.216134657596247e-03,  1.774250470832001e-02, -1.800087777619049e-01, -9.017741606843044e-06, -2.576868597360814e-03,  9.623862068371759e-02, -9.017741606065593e-06, -2.576868597361259e-03,  9.623862068375975e-02, -9.017741606287726e-06, -2.576868597361482e-03,  9.623862068377527e-02, -9.017741606509853e-06, -2.576868597360538e-03,  9.623862068376370e-02, -9.017741607453902e-06, -2.576868597359092e-03,  9.623862068372471e-02, -9.017741609064344e-06, -2.576868597357036e-03,  9.623862068365981e-02, -2.173887562740194e-02,  2.148556746771448e-01
  7.399999999999999e+00, -2.709998857448309e-01,  1.037715981177343e+00,  6.976888110721239e-01,  1.587261594042549e+00, -2.520920871677064e-01, -1.659481087219165e+00, -2.319678443932037e-04, -5.884222181057985e-15, -1.279487043750418e-02, -7.432640286404350e-04,  2.529855277102602e-03, -4.099691908809207e-02, -1.312520572942788e-03,  5.576228110256576e-03, -7.239594229938683e-02, -1.888461978284205e-03,  8.738200516518368e-03, -1.041636887318445e-01, -2.436059076647408e-03,  1.185748419735445e-02, -1.343680213366611e-01, -2.981106218986453e-03,  1.471032650106762e-02, -1.644317035981520e-01, -3.264570508514998e-03,  1.780180376442673e-02, -1.800670123105232e-01, -3.852496314638075e-05, -2.594637865751673e-03,  9.625553126408573e-02, -3.852496314682502e-05, -2.594637865753451e-03,  9.625553126412779e-02, -3.852496314671396e-05, -2.594637865753784e-03,  9.625553126414263e-02, -3.852496314676950e-05, -2.594637865753618e-03,  9.625553126413053e-02, -3.852496314643630e-05, -2.594637865752784e-03,  9.625553126409070e-02, -3.852496314554775e-05, -2.594637865751062e-03,  9.625553126402375e-02, -2.184474156197640e-02,  2.149060509088357e-01
  7.410000000000000e+00, -2.710228094391847e-01,  1.037729144629151e+00,  6.976948561758283e-01,  1.587501459823695e+00, -2.523887596556729e-01, -1.659689391668959e+00, -2.353150400414093e-04, -5.939733737815602e-15, -1.279903204277363e-02, -7.539890070575396e-04,  2.538093892429390e-03, -4.101025357203140e-02, -1.331459677052317e-03,  5.594387409247750e-03, -7.241948949637750e-02, -1.915711667735459e-03,  8.766656955655741e-03, -1.041975685712434e-01, -2.471210355350089e-03,  1.189609875841553e-02, -1.344117253091253e-01, -3.024122292178558e-03,  1.475823150279092e-02, -1.644851859563522e-01, -3.311676848789036e-03,  1.785977633491320e-02, -1.801255801428959e-01, -6.747176256658819e-05, -2.612415205770429e-03,  9.627098129323518e-02, -6.747176256775440e-05, -2.612415205773095e-03,  9.627098129327714e-02, -6.747176256825418e-05, -2.612415205774428e-03,  9.627098129329190e-02, -6.747176256758778e-05, -2.612415205774760e-03,  9.627098129327832e-02, -6.747176256564411e-05, -2.612415205773926e-03,  9.627098129323775e-02, -6.747176256303404e-05, -2.612415205772093e-03,  9.627098129316962e-02, -2.195149365302111e-02,  2.149521424843772e-01
  7.420000000000000e+00, -2.710458822152662e-01,  1.037743207000968e+00,  6.977006969732934e-01,  1.587735898173537e+00, -2.526883352226938e-01, -1.659894346076193e+00, -2.385534518556125e-04, -6.938941313866721e-15, -1.280321028013286e-02, -7.643654237560984e-04,  2.546114474549702e-03, -4.102364134798724e-02, -1.349783260419566e-03,  5.612066126243755e-03, -7.244313080106787e-02, -1.942075742481979e-03,  8.794360301169127e-03, -1.042315838133291e-01, -2.505219217755524e-03,  1.193369139331183e-02, -1.344556039469784e-01, -3.065740343309871e-03,  1.480486870881095e-02, -1.645388820598112e-01, -3.357252233351973e-03,  1.791621467362577e-02, -1.801843820449132e-01, -9.573695681287686e-05, -2.630141712116078e-03,  9.628487344843860e-02, -9.573695681498710e-05, -2.630141712119521e-03,  9.628487344847958e-02, -9.573695681554248e-05, -2.630141712121077e-03,  9.628487344849362e-02, -9.573695681382094e-05, -2.630141712121910e-03,  9.628487344847972e-02, -9.573695681104429e-05, -2.630141712121298e-03,  9.628487344843804e-02, -9.573695680593526e-05, -2.630141712119798e-03,  9.628487344836960e-02, -2.205881758685064e-02,  2.149936606386877e-01
  7.430000000000000e+00, -2.710690365597856e-01,  1.037758166480057e+00,  6.977063167027454e-01,  1.587964044954803e+00, -2.529903317533551e-01, -1.660095473810114e+00, -2.416693741322234e-04, -8.493264206664407e-15, -1.280739883944358e-02, -7.743493633556117e-04,  2.553889203421852e-03, -4.103706219721258e-02, -1.367413773425984e-03,  5.629202941177251e-03, -7.246683050942905e-02, -1.967442623698371e-03,  8.821214461752986e-03, -1.042656830869445e-01, -2.537941730538752e-03,  1.197013170893471e-02, -1.344995909829747e-01, -3.105784235218541e-03,  1.485007635418720e-02, -1.645927108145604e-01, -3.401103776697265e-03,  1.797092301960048e-02, -1.802433292116268e-01, -1.232050056319122e-04, -2.647758790229777e-03,  9.629712613837139e-02, -1.232050056349665e-04, -2.647758790233887e-03,  9.629712613841218e-02, -1.232050056357440e-04, -2.647758790236330e-03,  9.629712613842542e-02, -1.232050056338558e-04, -2.647758790237552e-03,  9.629712613841079e-02, -1.232050056294132e-04, -2.647758790236495e-03,  9.629712613836876e-02, -1.232050056216385e-04, -2.647758790235328e-03,  9.629712613829980e-02, -2.216639344657537e-02,  2.150303627099882e-01
