Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.000000000000000e+01, -4.876745028978814e-01,  1.847989958243499e-01,  1.418130479590921e-01,  8.845236927029654e-01, -1.884855063452902e-01,  1.418130479589852e-01,  2.090547992721807e-01,  4.773427715029701e-01,  1.070550609015897e+00,  1.064219469984869e+00, -4.485309055083289e-01,  8.605566668189830e-01, -3.306380681410103e-02
  1.001000000000000e+01, -4.876837805212204e-01,  1.848023376848615e-01,  1.418134792719043e-01,  8.845195385332785e-01, -1.884873233584006e-01,  1.418134792718124e-01,  2.089631737399067e-01,  4.773580959961823e-01,  1.070543512147324e+00,  1.064101247932188e+00, -4.485143592270513e-01,  8.604191695795005e-01, -3.303752763207893e-02
  1.002000000000000e+01, -4.876933756112946e-01,  1.848057394188374e-01,  1.418136683419146e-01,  8.845148612714844e-01, -1.884889870162652e-01,  1.418136683418109e-01,  2.088647789030746e-01,  4.773757067290648e-01,  1.070534370450370e+00,  1.063980818583801e+00, -4.484932254745978e-01,  8.602777985548511e-01, -3.301085083388109e-02
  1.003000000000000e+01, -4.877031800070208e-01,  1.848091316795415e-01,  1.418134667833854e-01,  8.845094968820475e-01, -1.884903559370286e-01,  1.418134667832598e-01,  2.087586560810810e-01,  4.773961242728250e-01,  1.070522261593709e+00,  1.063857359741260e+00, -4.484660001226492e-01,  8.601317167808773e-01, -3.298360920903302e-02
  1.004000000000000e+01, -4.877131974662756e-01,  1.848125056291363e-01,  1.418128266835228e-01,  8.845033724248133e-01, -1.884913905415937e-01,  1.418128266833767e-01,  2.086440883570337e-01,  4.774196252608251e-01,  1.070506845609887e+00,  1.063730928369072e+00, -4.484319781425328e-01,  8.599809023938469e-01, -3.295584000249062e-02
  1.005000000000000e+01, -4.877233960898256e-01,  1.848158474353738e-01,  1.418117355016520e-01,  8.844964858110874e-01, -1.884920753174091e-01,  1.418117355014840e-01,  2.085212345521172e-01,  4.774462009068681e-01,  1.070488069438372e+00,  1.063601808326968e+00, -4.483910706531599e-01,  8.598257781749066e-01, -3.292762713450838e-02
  1.006000000000000e+01, -4.877337332062842e-01,  1.848191359706171e-01,  1.418101640831303e-01,  8.844888158956202e-01, -1.884923791331288e-01,  1.418101640829370e-01,  2.083901320676398e-01,  4.774759198195176e-01,  1.070465775297190e+00,  1.063470126129213e+00, -4.483430018987246e-01,  8.596666144269496e-01, -3.289903061787315e-02
  1.007000000000000e+01, -4.877441590598253e-01,  1.848223479711757e-01,  1.418080849042147e-01,  8.844803476124785e-01, -1.884922711149197e-01,  1.418080849039963e-01,  2.082509160066037e-01,  4.775088289173380e-01,  1.070439824576996e+00,  1.063335984768737e+00, -4.482875435495861e-01,  8.595037044613694e-01, -3.287011007137394e-02
  1.008000000000000e+01, -4.877546186095927e-01,  1.848254587914451e-01,  1.418054726558409e-01,  8.844710719101641e-01, -1.884917214181001e-01,  1.418054726555934e-01,  2.081038084719653e-01,  4.775449488488728e-01,  1.070410099969948e+00,  1.063199466620328e+00, -4.482245197301352e-01,  8.593373681845637e-01, -3.284092471889272e-02
  1.009000000000000e+01, -4.877650516847654e-01,  1.848284423205904e-01,  1.418023035944482e-01,  8.844609847088273e-01, -1.884907007069865e-01,  1.418023035941717e-01,  2.079491077517202e-01,  4.775842801517217e-01,  1.070376500747719e+00,  1.063060637871792e+00, -4.481538075219472e-01,  8.591679487376971e-01, -3.281153253005980e-02
  1.010000000000000e+01, -4.877753915901000e-01,  1.848312701772274e-01,  1.417985540477700e-01,  8.844500854056463e-01, -1.884891786831635e-01,  1.417985540474652e-01,  2.077871818779333e-01,  4.776268144886533e-01,  1.070338933805393e+00,  1.062919550457030e+00, -4.480753304550099e-01,  8.589958009031555e-01, -3.278198831744337e-02
  1.011000000000000e+01, -4.877855641266822e-01,  1.848339111138180e-01,  1.417941992237027e-01,  8.844383756148131e-01, -1.884871229329770e-01,  1.417941992233735e-01,  2.076184620971515e-01,  4.776725408391036e-01,  1.070297306377164e+00,  1.062776241475061e+00, -4.479890490745279e-01,  8.588212808043205e-01, -3.275234278963813e-02
  1.012000000000000e+01, -4.877954877201062e-01,  1.848363309728440e-01,  1.417892127919300e-01,  8.844258584805742e-01, -1.884844985966085e-01,  1.417892127915709e-01,  2.074434356014574e-01,  4.777214447793928e-01,  1.070251522961584e+00,  1.062630731611751e+00, -4.478949541005325e-01,  8.586447428424253e-01, -3.272264239220860e-02
  1.013000000000000e+01, -4.878057676874893e-01,  1.848387804248686e-01,  1.417837768403028e-01,  8.844124911347627e-01, -1.884815532825184e-01,  1.417837768402258e-01,  2.072583009852862e-01,  4.777743593165019e-01,  1.070202199906531e+00,  1.062484859489480e+00, -4.477945760839811e-01,  8.584674030527641e-01, -3.269313882812707e-02
  1.014000000000000e+01, -4.878149482449882e-01,  1.848406559145541e-01,  1.417774501261155e-01,  8.843983718124160e-01, -1.884776887387862e-01,  1.417774501260315e-01,  2.070721543288014e-01,  4.778295865793593e-01,  1.070147831967281e+00,  1.062335026481444e+00, -4.476850032033627e-01,  8.582879713224751e-01, -3.266345889337990e-02
  1.015000000000000e+01, -4.878235960020725e-01,  1.848421923641186e-01,  1.417704044197480e-01,  8.843834623454283e-01, -1.884731378522821e-01,  1.417704044196639e-01,  2.068814560571617e-01,  4.778879009944775e-01,  1.070089005374090e+00,  1.062182946777173e+00, -4.475677025230285e-01,  8.581075858275051e-01, -3.263382636424106e-02
  1.016000000000000e+01, -4.878316139134006e-01,  1.848433496798629e-01,  1.417626109595956e-01,  8.843677702545383e-01, -1.884678612945700e-01,  1.417626109595108e-01,  2.066868219100717e-01,  4.779492610735213e-01,  1.070025624438724e+00,  1.062028580390410e+00, -4.474426988411074e-01,  8.579265805072165e-01, -3.260426585436949e-02
  1.017000000000000e+01, -4.878388917494860e-01,  1.848440824613615e-01,  1.417540377419421e-01,  8.843513050604928e-01, -1.884618149484263e-01,  1.417540377418509e-01,  2.064889606317184e-01,  4.780136018712184e-01,  1.069957585110834e+00,  1.061871852497581e+00, -4.473100280293099e-01,  8.577453046509120e-01, -3.257479892524961e-02
  1.018000000000000e+01, -4.878453147665993e-01,  1.848443437586922e-01,  1.417446529173828e-01,  8.843340788364610e-01, -1.884549541141844e-01,  1.417446529172885e-01,  2.062886306557430e-01,  4.780808386294784e-01,  1.069884789325585e+00,  1.061712665296747e+00, -4.471697295608353e-01,  8.575641062656576e-01, -3.254544748166657e-02
  1.019000000000000e+01, -4.878507672045350e-01,  1.848440865765004e-01,  1.417344261062022e-01,  8.843161063484812e-01, -1.884472351600150e-01,  1.417344261061126e-01,  2.060866218470869e-01,  4.781508708289605e-01,  1.069807150403582e+00,  1.061550905963370e+00, -4.470218469493960e-01,  8.573833264434789e-01, -3.251623442286838e-02
  1.020000000000000e+01, -4.878551365610357e-01,  1.848432656313965e-01,  1.417233296251309e-01,  8.842974046634040e-01, -1.884386172196679e-01,  1.417233296250373e-01,  2.058837278102106e-01,  4.782235892722533e-01,  1.069724596982339e+00,  1.061386459821947e+00, -4.468664327625806e-01,  8.572032966900136e-01, -3.248718305143051e-02
  1.021000000000000e+01, -4.878583178156659e-01,  1.848418391161883e-01,  1.417113398298663e-01,  8.842779929548220e-01, -1.884290639794337e-01,  1.417113398297736e-01,  2.056807203679303e-01,  4.782988813838259e-01,  1.069637077815176e+00,  1.061219222667193e+00, -4.467035600094067e-01,  8.570243406864946e-01, -3.245831562109592e-02
  1.022000000000000e+01, -4.878602168205723e-01,  1.848397701722089e-01,  1.416984384573518e-01,  8.842578927394069e-01, -1.884185453343932e-01,  1.416984384572614e-01,  2.054783328136693e-01,  4.783766338658695e-01,  1.069544567477945e+00,  1.061049107107134e+00, -4.465333330501901e-01,  8.568467776011794e-01, -3.242965150704667e-02
  1.023000000000000e+01, -4.878607534133931e-01,  1.848370282568901e-01,  1.416846139329018e-01,  8.842371282052733e-01, -1.884070389719272e-01,  1.416846139328106e-01,  2.052772455964900e-01,  4.784567340513515e-01,  1.069447072133977e+00,  1.060876045689378e+00, -4.463558926250812e-01,  8.566709221403013e-01, -3.240120563137860e-02
  1.024000000000000e+01, -4.878598647015615e-01,  1.848335905706091e-01,  1.416698626733806e-01,  8.842157264466526e-01, -1.883945319791527e-01,  1.416698626732910e-01,  2.050780701487316e-01,  4.785390694275145e-01,  1.069344635086216e+00,  1.060699994688549e+00, -4.461714188681878e-01,  8.564970816829884e-01, -3.237298745316569e-02
  1.025000000000000e+01, -4.878575068678261e-01,  1.848294428603052e-01,  1.416541898940805e-01,  8.841937177278117e-01, -1.883810218028461e-01,  1.416541898939916e-01,  2.048813412778785e-01,  4.786235223228044e-01,  1.069237340465435e+00,  1.060520934588189e+00, -4.459801363853843e-01,  8.563255545224089e-01, -3.234500026199381e-02
  1.026000000000000e+01, -4.878536541303681e-01,  1.848245790159098e-01,  1.416376094231936e-01,  8.841711357467092e-01, -1.883665159313543e-01,  1.416376094231039e-01,  2.046875255018674e-01,  4.787099607858494e-01,  1.069125313066397e+00,  1.060338863409922e+00, -4.457823164822489e-01,  8.561566282448316e-01, -3.231724024966248e-02
  1.027000000000000e+01, -4.878482973817484e-01,  1.848190004749815e-01,  1.416201431420751e-01,  8.841480175104751e-01, -1.883510312127508e-01,  1.416201431419885e-01,  2.044970274799749e-01,  4.787982343625710e-01,  1.069008715912550e+00,  1.060153791855618e+00, -4.455782732187109e-01,  8.559905755137347e-01, -3.228969537501795e-02
