Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  9.490000000000000e+00, -3.380858614316316e-01,  1.070682247257175e-01,  3.187390157416840e-02,  7.755880513146485e-01, -5.734765019389743e-02,  3.187390157417188e-02,  9.564694220090808e-02, -1.141474474413920e-01,  3.961804259009457e-01,  1.497408918616423e+00,  6.937223834430121e-01, -5.434979406024847e-01, -9.041502870260129e-03
  9.500000000000000e+00, -3.381164023403522e-01,  1.070845717467053e-01,  3.189672371477063e-02,  7.756151751937794e-01, -5.737795802649948e-02,  3.189672371464879e-02,  9.570191664497463e-02, -1.141802011273252e-01,  3.963338880586162e-01,  1.497468450232556e+00,  6.938472341074676e-01, -5.440597374984266e-01, -9.056847011423449e-03
  9.510000000000000e+00, -3.381495283467943e-01,  1.071021133334558e-01,  3.192063353262579e-02,  7.756432097277403e-01, -5.741000242666128e-02,  3.192063353247274e-02,  9.574893020398090e-02, -1.142064539693659e-01,  3.964940848910635e-01,  1.497534444346959e+00,  6.939677344921208e-01, -5.446083236843282e-01, -9.073563827362248e-03
  9.520000000000000e+00, -3.381861432920691e-01,  1.071212574174005e-01,  3.194596778051643e-02,  7.756724020657366e-01, -5.744434806182164e-02,  3.194596778032178e-02,  9.578455038992018e-02, -1.142248558697614e-01,  3.966630492195352e-01,  1.497608930280935e+00,  6.940776580929122e-01, -5.451404248638891e-01, -9.092426583018183e-03
  9.529999999999999e+00, -3.382266840471877e-01,  1.071421942913844e-01,  3.197285864912067e-02,  7.757028211712984e-01, -5.748123762965496e-02,  3.197285864887062e-02,  9.580665915806108e-02, -1.142342204990241e-01,  3.968415360260721e-01,  1.497693081514295e+00,  6.941737066021400e-01, -5.456503065770473e-01, -9.113794713999899e-03
  9.540000000000001e+00, -3.382712655295529e-01,  1.071649663036558e-01,  3.200130669278356e-02,  7.757344285914761e-01, -5.752070108111318e-02,  3.200130669250250e-02,  9.581418523948537e-02, -1.142339376085954e-01,  3.970294889682867e-01,  1.497787383307294e+00,  6.942540778112333e-01, -5.461344828069252e-01, -9.137790451639562e-03
  9.550000000000001e+00, -3.383201376342638e-01,  1.071896780847161e-01,  3.203136886102920e-02,  7.757672327435360e-01, -5.756285865359922e-02,  3.203136886069293e-02,  9.580563565828371e-02, -1.142229779018020e-01,  3.972272003519248e-01,  1.497892751485894e+00,  6.943170028598499e-01, -5.465893561180208e-01, -9.164591418691193e-03
  9.560000000000000e+00, -3.383735635180228e-01,  1.072164402927862e-01,  3.206310728031792e-02,  7.758012459437132e-01, -5.760783902897537e-02,  3.206310727989886e-02,  9.577946990040243e-02, -1.142002812557560e-01,  3.974349937101085e-01,  1.498010194874567e+00,  6.943606258438398e-01, -5.470112777145268e-01, -9.194380607763045e-03
  9.570000000000000e+00, -3.384318185525926e-01,  1.072453692356150e-01,  3.209658929101269e-02,  7.758364848052495e-01, -5.765577908809139e-02,  3.209658929053180e-02,  9.573411016763789e-02, -1.141647601859031e-01,  3.976532245634273e-01,  1.498140811467369e+00,  6.943830253399982e-01, -5.473966250268618e-01, -9.227345385901956e-03
  9.580000000000000e+00, -3.384951895996197e-01,  1.072765865489809e-01,  3.213188720996858e-02,  7.758729700769652e-01, -5.770682347889866e-02,  3.213188720938109e-02,  9.566794451835658e-02, -1.141153060785884e-01,  3.978822789807022e-01,  1.498285782203938e+00,  6.943822128421229e-01, -5.477418180201368e-01, -9.263676252044700e-03
  9.590000000000000e+00, -3.385644652873322e-01,  1.073104125035671e-01,  3.216913604464237e-02,  7.759106558708877e-01, -5.776130846595517e-02,  3.216913604466654e-02,  9.557559930329607e-02, -1.140542903716249e-01,  3.981227511414834e-01,  1.498445702862006e+00,  6.943310774393873e-01, -5.480075483369078e-01, -9.304945290774110e-03
  9.600000000000000e+00, -3.386385722273110e-01,  1.073464320611757e-01,  3.220824657279977e-02,  7.759497565718505e-01, -5.781886697540317e-02,  3.220824657201372e-02,  9.546578098740555e-02, -1.139708582235631e-01,  3.983745227981547e-01,  1.498623713046634e+00,  6.942972198755838e-01, -5.482915808713589e-01, -9.347536097023469e-03
  9.609999999999999e+00, -3.387196302270515e-01,  1.073854964589984e-01,  3.224953796416682e-02,  7.759900787208737e-01, -5.788036109505978e-02,  3.224953796416682e-02,  9.532340239541348e-02, -1.138769987747463e-01,  3.986388722614583e-01,  1.498818702497689e+00,  6.941863250859303e-01, -5.484565153004102e-01, -9.396658191091881e-03
  9.620000000000001e+00, -3.388066401833068e-01,  1.074272178412046e-01,  3.229292045904625e-02,  7.760318104437454e-01, -5.794544230109500e-02,  3.229292045903593e-02,  9.515646465351901e-02, -1.137617883498578e-01,  3.989156384902267e-01,  1.499033961929209e+00,  6.940637696355244e-01, -5.485978894565688e-01, -9.448851434798029e-03
  9.630000000000001e+00, -3.389002935443205e-01,  1.074718841659630e-01,  3.233854481122252e-02,  7.760749635527212e-01, -5.801443648831550e-02,  3.233854481122595e-02,  9.496073344625455e-02, -1.136266685991921e-01,  3.992055790536475e-01,  1.499270488092262e+00,  6.939093862355065e-01, -5.486848888454012e-01, -9.505254979837011e-03
  9.640000000000001e+00, -3.390009496414117e-01,  1.075196483638710e-01,  3.238650455295303e-02,  7.761195678350180e-01, -5.808752708600151e-02,  3.238650455294617e-02,  9.473422736669845e-02, -1.134708458535535e-01,  3.995091962759793e-01,  1.499529686779274e+00,  6.937185576072541e-01, -5.487118521207541e-01, -9.566211696469542e-03
  9.650000000000000e+00, -3.391089368555941e-01,  1.075706521434083e-01,  3.243689407318151e-02,  7.761656646338908e-01, -5.816489014221404e-02,  3.243689407319521e-02,  9.447526576084364e-02, -1.132932453360977e-01,  3.998270137214425e-01,  1.499813045955607e+00,  6.934886135615761e-01, -5.486754537796577e-01, -9.631948420400115e-03
