Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  9.490000000000000e+00, -3.729208360155941e-01,  1.238712950199303e-01,  5.002198633397058e-02,  7.927887866923384e-01, -8.360786048636593e-02,  5.002198633405274e-02,  3.545982461322716e-02, -3.590735940714381e-02,  5.102817501851927e-01,  1.556850938693890e+00,  6.230469300678168e-01, -6.736309715577468e-01, -5.070083874165123e-02
  9.500000000000000e+00, -3.729866413296217e-01,  1.239029004985592e-01,  5.005632956076878e-02,  7.928197961053498e-01, -8.365640906736282e-02,  5.005632956081759e-02,  3.533702201973887e-02, -3.593402682097522e-02,  5.104927791087148e-01,  1.556555371081257e+00,  6.229419527071088e-01, -6.732552373958127e-01, -5.069120984997634e-02
  9.510000000000000e+00, -3.729638846623025e-01,  1.238938426716671e-01,  5.005293678341706e-02,  7.928227380450743e-01, -8.364766583677330e-02,  5.005293678342150e-02,  3.550435276350106e-02, -3.584786299893504e-02,  5.104817172239180e-01,  1.556527086227219e+00,  6.240899268597172e-01, -6.745130634510891e-01, -5.068902338145249e-02
  9.520000000000000e+00, -3.728384288453713e-01,  1.238336373599720e-01,  4.998769062230864e-02,  7.927639787226164e-01, -8.355532029755053e-02,  4.998769062232641e-02,  3.574177836453818e-02, -3.579800598239956e-02,  5.100810364534059e-01,  1.556264965845820e+00,  6.241696575413910e-01, -6.746008299956339e-01, -5.069949748998039e-02
  9.529999999999999e+00, -3.728322128717030e-01,  1.238349825141636e-01,  5.000407327332858e-02,  7.927926641095799e-01, -8.356934809560523e-02,  5.000407327315089e-02,  3.604224474474660e-02, -3.560992984214297e-02,  5.102043422368577e-01,  1.556115686902266e+00,  6.245769465308216e-01, -6.748974441588289e-01, -5.076362458123924e-02
  9.540000000000001e+00, -3.727004331362271e-01,  1.237717893873451e-01,  4.993576070502328e-02,  7.927312786573972e-01, -8.347254356781741e-02,  4.993576070484090e-02,  3.629477253848457e-02, -3.571092560990331e-02,  5.097850182455386e-01,  1.555701100301719e+00,  6.239660147993933e-01, -6.743879481820931e-01, -5.080685405239554e-02
  9.550000000000001e+00, -3.726969447477756e-01,  1.237660786135091e-01,  4.991565353061579e-02,  7.927001746087343e-01, -8.345262359386374e-02,  4.991565353070257e-02,  3.603211115367033e-02, -3.568692349779320e-02,  5.096403581181346e-01,  1.555513750523582e+00,  6.249678169567934e-01, -6.754762962401533e-01, -5.078223058690429e-02
  9.560000000000000e+00, -3.727602879175244e-01,  1.238029893675732e-01,  4.997810528319567e-02,  7.927773935478868e-01, -8.352724822631097e-02,  4.997810528343124e-02,  3.634666260076269e-02, -3.579869902431686e-02,  5.100580826844620e-01,  1.555373508404638e+00,  6.259610368704650e-01, -6.768564297277824e-01, -5.073512457303976e-02
  9.570000000000000e+00, -3.726731732337147e-01,  1.237632235838939e-01,  4.994205194421179e-02,  7.927514778078929e-01, -8.347188796510241e-02,  4.994205194438525e-02,  3.664759601957535e-02, -3.589313737257206e-02,  5.098473278268093e-01,  1.555031471248865e+00,  6.275039257313055e-01, -6.787500785257765e-01, -5.062275232455168e-02
  9.580000000000000e+00, -3.727524686545129e-01,  1.238062623665330e-01,  5.000587698844087e-02,  7.928250194354513e-01, -8.355168890476650e-02,  5.000587698821209e-02,  3.683007908679459e-02, -3.595362214408502e-02,  5.102654823138660e-01,  1.555167656388681e+00,  6.280211229547060e-01, -6.794356386596455e-01, -5.065104350337316e-02
