Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  9.490000000000000e+00,  8.797969397240287e-01,  7.554007073880609e-02, -1.215484930348876e-01,  1.181663872010256e+00,  5.103890990471521e-02, -1.044919132076337e-01
  9.500000000000000e+00,  8.797743125551943e-01,  7.559760067627175e-02, -1.215297463365219e-01,  1.181705886127119e+00,  5.110295361897714e-02, -1.046115868427717e-01
  9.510000000000000e+00,  8.797535704667011e-01,  7.565672987875760e-02, -1.215144709607212e-01,  1.181749189424908e+00,  5.116541345967782e-02, -1.047298662965117e-01
  9.520000000000000e+00,  8.797357285555916e-01,  7.571750817947120e-02, -1.215043007414369e-01,  1.181794082289076e+00,  5.122567633123506e-02, -1.048450851560281e-01
  9.529999999999999e+00,  8.797214064722813e-01,  7.577996853963587e-02, -1.215001547401648e-01,  1.181840656630954e+00,  5.128321781801323e-02, -1.049564351538317e-01
  9.540000000000001e+00,  8.797109642564340e-01,  7.584401199094448e-02, -1.215024184848287e-01,  1.181888865953528e+00,  5.133778755260760e-02, -1.050635115235921e-01
  9.550000000000001e+00,  8.797048802442627e-01,  7.590961699006749e-02, -1.215116441028787e-01,  1.181938731963813e+00,  5.138910416839127e-02, -1.051658846784404e-01
  9.560000000000000e+00,  8.797036401909923e-01,  7.597677886121867e-02, -1.215283709249842e-01,  1.181990285117704e+00,  5.143693483006853e-02, -1.052632131845306e-01
  9.570000000000000e+00,  8.797077359906570e-01,  7.604550480303862e-02, -1.215531221047470e-01,  1.182043564376393e+00,  5.148109189198285e-02, -1.053552396592674e-01
  9.580000000000000e+00,  8.797176640827671e-01,  7.611581051681804e-02, -1.215863921430190e-01,  1.182098617560619e+00,  5.152142726387513e-02, -1.054417843537504e-01
  9.590000000000000e+00,  8.797340310148565e-01,  7.618808088335349e-02, -1.216286138505702e-01,  1.182155660956747e+00,  5.155768214380800e-02, -1.055232564827930e-01
  9.600000000000000e+00,  8.797570247960315e-01,  7.626121490879267e-02, -1.216802000826437e-01,  1.182214284424964e+00,  5.159020204799337e-02, -1.055980742741220e-01
  9.609999999999999e+00,  8.797875923271156e-01,  7.633685732277851e-02, -1.217416333921608e-01,  1.182275214376034e+00,  5.161834175465873e-02, -1.056683626288104e-01
  9.620000000000001e+00,  8.798258497538588e-01,  7.641373165524024e-02, -1.218130153715114e-01,  1.182338010365937e+00,  5.164249397302605e-02, -1.057326484419285e-01
  9.630000000000001e+00,  8.798723837725302e-01,  7.649231517303789e-02, -1.218947192267109e-01,  1.182402908638877e+00,  5.166247629645070e-02, -1.057915998029533e-01
  9.640000000000001e+00,  8.799276638509611e-01,  7.657259180463805e-02, -1.219869575506094e-01,  1.182469968161196e+00,  5.167827647712132e-02, -1.058453786433474e-01
  9.650000000000000e+00,  8.799921311100786e-01,  7.665455212736627e-02, -1.220899393995403e-01,  1.182539240649172e+00,  5.168990824870470e-02, -1.058941811933835e-01
  9.660000000000000e+00,  8.800662014088707e-01,  7.673818962021062e-02, -1.222038643862306e-01,  1.182610769959360e+00,  5.169740985252945e-02, -1.059382327585005e-01
  9.670000000000000e+00,  8.801502691413406e-01,  7.682350528986515e-02, -1.223289152083505e-01,  1.182684592462864e+00,  5.170084739545466e-02, -1.059777822492640e-01
  9.680000000000000e+00,  8.802447088010851e-01,  7.691051049844289e-02, -1.224652503987552e-01,  1.182760736692852e+00,  5.170031776664768e-02, -1.060131027155296e-01
  9.690000000000000e+00,  8.803498715669743e-01,  7.699922478583709e-02, -1.226130038660493e-01,  1.182839221507827e+00,  5.169594226925342e-02, -1.060444936787413e-01
