Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  9.490000000000000e+00, -2.604575160179102e-01,  1.046494750008841e+00,  7.024853238826781e-01,  1.625864349305392e+00, -2.708353277457518e-01, -1.658946407135196e+00, -2.791154671254190e-04, -4.440920642080338e-16, -1.241692500008555e-02, -8.943329499034274e-04,  2.883458116885422e-03, -3.978591827405029e-02, -1.579291275486533e-03,  6.355628462872156e-03, -7.025745123696828e-02, -2.272293164667620e-03,  9.959555961291135e-03, -1.010868157703307e-01, -2.931189747120365e-03,  1.351482804730733e-02, -1.303989478832905e-01, -3.587018093245652e-03,  1.676641772173052e-02, -1.595745842987802e-01, -3.928096693164414e-03,  2.028999683270046e-02, -1.747480443649673e-01, -9.922965763962966e-03, -9.447583119502733e-03,  6.463567062244063e-02, -9.922965763964297e-03, -9.447583119500733e-03,  6.463567062244711e-02, -9.922965763965300e-03, -9.447583119499069e-03,  6.463567062245390e-02, -9.922965763966240e-03, -9.447583119497623e-03,  6.463567062246016e-02, -9.922965763966963e-03, -9.447583119495846e-03,  6.463567062246517e-02, -9.922965763966575e-03, -9.447583119494680e-03,  6.463567062246983e-02, -6.817701685621937e-02,  1.233541192834266e-01
  9.500000000000000e+00, -2.604576390394255e-01,  1.046499149487112e+00,  7.024823032597843e-01,  1.625867765414371e+00, -2.708947260344661e-01, -1.658908794476572e+00, -2.809617163146640e-04,  1.665345242881164e-16, -1.241810256380870e-02, -9.002486431470627e-04,  2.879456154560918e-03, -3.978969138646136e-02, -1.589737723566481e-03,  6.346807462312776e-03, -7.026411412858162e-02, -2.287323572887608e-03,  9.945733056251011e-03, -1.010964023762456e-01, -2.950578521048868e-03,  1.349607076681356e-02, -1.304113143162128e-01, -3.610744937593476e-03,  1.674314754773999e-02, -1.595897176140889e-01, -3.954079650705321e-03,  2.026183627005528e-02, -1.747646166610332e-01, -9.851521697746186e-03, -9.505805523711981e-03,  6.469188983598059e-02, -9.851521697745355e-03, -9.505805523708874e-03,  6.469188983597289e-02, -9.851521697744187e-03, -9.505805523704988e-03,  6.469188983596406e-02, -9.851521697742798e-03, -9.505805523700766e-03,  6.469188983595350e-02, -9.851521697741800e-03, -9.505805523696438e-03,  6.469188983594201e-02, -9.851521697740300e-03, -9.505805523691605e-03,  6.469188983592918e-02, -6.873646342048902e-02,  1.235192381594215e-01
  9.510000000000000e+00, -2.604577668017701e-01,  1.046503658424261e+00,  7.024791039305656e-01,  1.625874155248415e+00, -2.709532195273523e-01, -1.658870515512122e+00, -2.829465243813076e-04,  2.775575408376159e-16, -1.241930182085545e-02, -9.066083023653263e-04,  2.874963316908963e-03, -3.979353400794518e-02, -1.600968165563032e-03,  6.336904489665850e-03, -7.027089976538781e-02, -2.303481995960733e-03,  9.930214652235043e-03, -1.011061655886258e-01, -2.971422400166219e-03,  1.347501274347864e-02, -1.304239085661401e-01, -3.636252454328450e-03,  1.671702308545399e-02, -1.596051297184677e-01, -3.982012599337298e-03,  2.023022157060963e-02, -1.747814942553462e-01, -9.780436855690081e-03, -9.570605179463081e-03,  6.475161413552764e-02, -9.780436855688805e-03, -9.570605179459415e-03,  6.475161413551810e-02, -9.780436855687415e-03, -9.570605179455639e-03,  6.475161413550798e-02, -9.780436855685973e-03, -9.570605179451087e-03,  6.475161413549617e-02, -9.780436855684305e-03, -9.570605179446644e-03,  6.475161413548348e-02, -9.780436855682638e-03, -9.570605179441589e-03,  6.475161413546959e-02, -6.935024527697510e-02,  1.236952848308341e-01
  9.520000000000000e+00, -2.604579228274628e-01,  1.046508301847210e+00,  7.024756562346085e-01,  1.625884728752915e+00, -2.710100917000582e-01, -1.658831843358658e+00, -2.851187005375044e-04,  6.106265906468656e-16, -1.242052448045143e-02, -9.135683204898789e-04,  2.869823974318415e-03, -3.979745161513049e-02, -1.613258773778829e-03,  6.325576510994198e-03, -7.027781781849837e-02, -2.321165792151100e-03,  9.912463199618464e-03, -1.011161193223272e-01, -2.994233964663990e-03,  1.345092453807655e-02, -1.304367485828323e-01, -3.664167909024406e-03,  1.668713939677363e-02, -1.596208425777952e-01, -4.012582449398942e-03,  2.019405761723895e-02, -1.747987012024678e-01, -9.710029084820902e-03, -9.644349805749812e-03,  6.481602082432929e-02, -9.710029084819570e-03, -9.644349805746372e-03,  6.481602082431714e-02, -9.710029084817625e-03, -9.644349805742594e-03,  6.481602082430381e-02, -9.710029084815349e-03, -9.644349805738264e-03,  6.481602082429049e-02, -9.710029084813684e-03, -9.644349805733933e-03,  6.481602082427566e-02, -9.710029084811294e-03, -9.644349805729490e-03,  6.481602082425993e-02, -7.003769521762937e-02,  1.238859868501694e-01
  9.529999999999999e+00, -2.604581250931956e-01,  1.046513072807748e+00,  7.024719326402245e-01,  1.625900206610450e+00, -2.710647996128248e-01, -1.658792965644486e+00, -2.875029604036302e-04,  8.326726247298152e-16, -1.242176950609669e-02, -9.212078905297067e-04,  2.863957601517508e-03, -3.980144088689869e-02, -1.626749394151594e-03,  6.312646035004295e-03, -7.028486242318846e-02, -2.340576172577534e-03,  9.892200561552565e-03, -1.011262551391529e-01, -3.019272770827574e-03,  1.342342872698714e-02, -1.304498234812693e-01, -3.694808931439254e-03,  1.665302825213253e-02, -1.596368428716215e-01, -4.046137033093173e-03,  2.015277777867977e-02, -1.748162229153456e-01, -9.640671725358645e-03, -9.728250209586205e-03,  6.488562520679683e-02, -9.640671725356369e-03, -9.728250209582984e-03,  6.488562520678162e-02, -9.640671725353926e-03, -9.728250209579431e-03,  6.488562520676541e-02, -9.640671725351314e-03, -9.728250209575986e-03,  6.488562520674852e-02, -9.640671725348925e-03, -9.728250209571987e-03,  6.488562520673079e-02, -9.640671725346092e-03, -9.728250209568154e-03,  6.488562520671279e-02, -7.080848735792107e-02,  1.240930008009800e-01
  9.540000000000001e+00, -2.604583906819476e-01,  1.046517949219191e+00,  7.024679273987137e-01,  1.625920889728335e+00, -2.711169520898415e-01, -1.658754093154347e+00, -2.901065016683402e-04,  1.387787709786204e-15, -1.242303371833361e-02, -9.295500750907142e-04,  2.857342949458855e-03, -3.980549163573253e-02, -1.641480752644996e-03,  6.298066225209646e-03, -7.029201558945272e-02, -2.361771733986923e-03,  9.869353343153406e-03, -1.011365471549801e-01, -3.046614406694032e-03,  1.339242571548541e-02, -1.304630998717128e-01, -3.728268021779032e-03,  1.661456609488777e-02, -1.596530897395430e-01, -4.082777646188881e-03,  2.010623253200430e-02, -1.748340146482889e-01, -9.572651754914866e-03, -9.822691712050026e-03,  6.496050805990024e-02, -9.572651754912198e-03, -9.822691712047579e-03,  6.496050805988095e-02, -9.572651754909201e-03, -9.822691712044583e-03,  6.496050805986069e-02, -9.572651754906037e-03, -9.822691712041585e-03,  6.496050805984070e-02, -9.572651754903032e-03, -9.822691712039080e-03,  6.496050805981901e-02, -9.572651754899983e-03, -9.822691712035809e-03,  6.496050805979767e-02, -7.166553659533809e-02,  1.243166084035563e-01
  9.550000000000001e+00, -2.604587406099059e-01,  1.046522912059397e+00,  7.024636243402966e-01,  1.625947232818141e+00, -2.711660988411957e-01, -1.658715428229474e+00, -2.929440605593951e-04,  1.443299220192277e-15, -1.242431537671851e-02, -9.386420915281654e-04,  2.849935050724721e-03, -3.980959828495494e-02, -1.657536229791134e-03,  6.281737965828901e-03, -7.029926746950478e-02, -2.384872444757256e-03,  9.843766225529411e-03, -1.011469812007597e-01, -3.076413627858484e-03,  1.335770474034773e-02, -1.304765594765152e-01, -3.764734560865310e-03,  1.657149145340213e-02, -1.596695608144481e-01, -4.122711677149995e-03,  2.005410545549347e-02, -1.748520519073602e-01, -9.506272955669068e-03, -9.928434585156073e-03,  6.504093913372729e-02, -9.506272955665624e-03, -9.928434585154741e-03,  6.504093913370369e-02, -9.506272955661905e-03, -9.928434585152964e-03,  6.504093913367877e-02, -9.506272955658460e-03, -9.928434585151517e-03,  6.504093913365348e-02, -9.506272955654906e-03, -9.928434585150128e-03,  6.504093913362738e-02, -9.506272955650904e-03, -9.928434585148735e-03,  6.504093913360141e-02, -7.261485421303104e-02,  1.245576886326683e-01
  9.560000000000000e+00, -2.604591996046632e-01,  1.046527940409986e+00,  7.024590067867924e-01,  1.625979699160244e+00, -2.712117938774963e-01, -1.658677186354241e+00, -2.960313578674274e-04,  1.887391290623390e-15, -1.242561340078847e-02, -9.485343119030301e-04,  2.841687967870933e-03, -3.981375737257989e-02, -1.675004776978194e-03,  6.263560002980993e-03, -7.030661194986994e-02, -2.410006288645472e-03,  9.815280539290580e-03, -1.011575484803879e-01, -3.108835529512254e-03,  1.331905049182217e-02, -1.304901909489682e-01, -3.804410582509732e-03,  1.652353721563763e-02, -1.596862422108969e-01, -4.166160370567325e-03,  1.999607330166034e-02, -1.748703194867966e-01, -9.441825441590428e-03, -1.004628043691215e-02,  6.512720556703597e-02, -9.441825441586262e-03, -1.004628043691270e-02,  6.512720556700648e-02, -9.441825441581873e-03, -1.004628043691270e-02,  6.512720556697581e-02, -9.441825441577819e-03, -1.004628043691303e-02,  6.512720556694448e-02, -9.441825441573543e-03, -1.004628043691353e-02,  6.512720556691305e-02, -9.441825441569933e-03, -1.004628043691391e-02,  6.512720556688056e-02, -7.366281078863623e-02,  1.248171745166114e-01
  9.570000000000000e+00, -2.604597966094189e-01,  1.046533011031396e+00,  7.024540576241164e-01,  1.626018756092278e+00, -2.712535953428667e-01, -1.658639597032466e+00, -2.993850406386587e-04,  2.331483362371589e-15, -1.242692733378578e-02, -9.592800761525741e-04,  2.832555168528741e-03, -3.981796743507915e-02, -1.693980586528379e-03,  6.243429771470516e-03, -7.031404644611754e-02, -2.437308790095286e-03,  9.783735560157412e-03, -1.011682452753733e-01, -3.144054934106939e-03,  1.327624487173133e-02, -1.305039894923288e-01, -3.847510024173955e-03,  1.647043281025381e-02, -1.597031280589175e-01, -4.213358006562522e-03,  1.993180863671752e-02, -1.748888109584654e-01, -9.379581422088895e-03, -1.017707273042679e-02,  6.521961271493076e-02, -9.379581422083897e-03, -1.017707273042946e-02,  6.521961271489379e-02, -9.379581422078617e-03, -1.017707273043178e-02,  6.521961271485643e-02, -9.379581422073954e-03, -1.017707273043500e-02,  6.521961271481823e-02, -9.379581422069507e-03, -1.017707273043766e-02,  6.521961271477901e-02, -9.379581422065344e-03, -1.017707273044105e-02,  6.521961271473932e-02, -7.481614517309600e-02,  1.250960553808688e-01
  9.580000000000000e+00, -2.604605648513347e-01,  1.046538097619491e+00,  7.024487593297655e-01,  1.626064862877182e+00, -2.712910644146969e-01, -1.658602896879455e+00, -3.030224628182816e-04,  2.609040909342731e-15, -1.242825725233596e-02, -9.709349892436573e-04,  2.822489430482807e-03, -3.982222871797232e-02, -1.714561850549131e-03,  6.221243185560723e-03, -7.032157139181018e-02, -2.466921228462371e-03,  9.748968181093906e-03, -1.011790722095263e-01, -3.182254087756225e-03,  1.322906654856787e-02, -1.305179559112929e-01, -3.894255907962873e-03,  1.641190365465764e-02, -1.597202193432492e-01, -4.264548813732053e-03,  1.986097917263311e-02, -1.749075274007388e-01, -9.319791593370959e-03, -1.032169664946445e-02,  6.531848431169937e-02, -9.319791593364629e-03, -1.032169664947022e-02,  6.531848431165441e-02, -9.319791593358684e-03, -1.032169664947577e-02,  6.531848431160812e-02, -9.319791593353300e-03, -1.032169664948165e-02,  6.531848431156116e-02, -9.319791593348354e-03, -1.032169664948842e-02,  6.531848431151321e-02, -9.319791593344296e-03, -1.032169664949503e-02,  6.531848431146410e-02, -7.608196742278851e-02,  1.253953771038017e-01
