Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  4.770000000000000e+00,  6.035112720856453e-02,  8.147947891341789e-02, -7.518455713829476e-02,  5.946998260214515e-02, -5.927353779316760e-02,  2.021612155950499e-01
  4.779999999999999e+00,  6.758503528221137e-02,  7.967813340888363e-02, -7.545995068098817e-02,  6.573868178345096e-02, -5.893984598231091e-02,  2.034008108410559e-01
  4.789999999999999e+00,  7.642156847307949e-02,  7.869984129708740e-02, -7.723866178218741e-02,  7.171121432555486e-02, -5.801848990605090e-02,  2.036957963344593e-01
  4.800000000000000e+00,  8.645144345700494e-02,  7.833410280232411e-02, -7.986451009863410e-02,  7.780620003549639e-02, -5.738779886395827e-02,  2.041558286163083e-01
  4.810000000000000e+00,  9.740368685062724e-02,  7.808220941598276e-02, -8.218762568294828e-02,  8.491591746043545e-02, -5.673325630592242e-02,  2.042738287656965e-01
  4.819999999999999e+00,  1.085596938030070e-01,  7.793312139205844e-02, -8.574632073809642e-02,  9.150296441476989e-02, -5.548151719501825e-02,  2.058240069777288e-01
  4.829999999999999e+00,  1.190055615086522e-01,  7.773736282881027e-02, -8.902642238459425e-02,  9.754541666042131e-02, -5.333125793250106e-02,  2.080341489949920e-01
  4.840000000000000e+00,  1.313107175413963e-01,  7.699964191563136e-02, -9.113254490696013e-02,  1.047269923271743e-01, -5.161755295292581e-02,  2.072089815316318e-01
  4.850000000000000e+00,  1.434136879700637e-01,  7.617261052228441e-02, -9.343443524775855e-02,  1.113774201599695e-01, -4.916125783902608e-02,  2.071915879644976e-01
  4.859999999999999e+00,  1.568872890090257e-01,  7.499499558308487e-02, -9.539900693801384e-02,  1.192193717675215e-01, -4.672004584376489e-02,  2.067596126031018e-01
  4.869999999999999e+00,  1.717780495332004e-01,  7.410226887191529e-02, -9.893923268586960e-02,  1.267997908565971e-01, -4.414108877788434e-02,  2.076489969038802e-01
  4.880000000000000e+00,  1.858037475703991e-01,  7.350052192169820e-02, -1.021938053459730e-01,  1.333950409536879e-01, -4.113713947491184e-02,  2.089736445847710e-01
  4.890000000000000e+00,  1.996999485764356e-01,  7.240367089284350e-02, -1.066542667446651e-01,  1.397176055509970e-01, -3.827471321654623e-02,  2.107896853299682e-01
  4.899999999999999e+00,  2.130152745986001e-01,  7.115403435730561e-02, -1.105898868281990e-01,  1.457045898508650e-01, -3.557121225835309e-02,  2.121762173592789e-01
  4.909999999999999e+00,  2.270690560639543e-01,  7.017611480059793e-02, -1.131367821248992e-01,  1.520446748529358e-01, -3.248203463137254e-02,  2.117430665059540e-01
  4.920000000000000e+00,  2.415382659068914e-01,  6.866034516399799e-02, -1.159913971763871e-01,  1.577552326899079e-01, -2.904254266224657e-02,  2.133317181434565e-01
  4.930000000000000e+00,  2.564867549037660e-01,  6.776051121134197e-02, -1.196199671386950e-01,  1.634765779151977e-01, -2.640389755690007e-02,  2.135113439446824e-01
  4.940000000000000e+00,  2.717241365670657e-01,  6.674789856645713e-02, -1.226774959506046e-01,  1.694186854616456e-01, -2.430905591100446e-02,  2.114745836953422e-01
  4.949999999999999e+00,  2.871219174084795e-01,  6.500111400729414e-02, -1.261749785635663e-01,  1.753122709455164e-01, -2.139504562033201e-02,  2.101118307352052e-01
  4.960000000000000e+00,  3.026303422461820e-01,  6.314467416055125e-02, -1.302176469887773e-01,  1.826941083757804e-01, -1.933888419413764e-02,  2.066518343577240e-01
  4.970000000000000e+00,  3.208496521760120e-01,  6.048009679051924e-02, -1.334937764709045e-01,  1.901884959321961e-01, -1.795149971608642e-02,  2.066592847795302e-01
  4.980000000000000e+00,  3.383265873086429e-01,  5.838394418559978e-02, -1.387321116275221e-01,  1.972649558244969e-01, -1.623649065634868e-02,  2.054936958442796e-01
  4.989999999999999e+00,  3.574200528434662e-01,  5.533422918227915e-02, -1.430321518933862e-01,  2.059098791088659e-01, -1.482621539682579e-02,  2.024444027618667e-01
  5.000000000000000e+00,  3.766436128578253e-01,  5.250895284176171e-02, -1.472907638167423e-01,  2.145961854075149e-01, -1.372572146394481e-02,  1.994931740107337e-01
