Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  7.340000000000000e+00, -3.117891713152067e-01,  9.781476708720271e-02,  3.376763744423737e-02,  7.875055206762805e-01, -5.227940779893991e-02,  3.376763744424065e-02,  3.699457668456729e-01, -3.173111872856104e-01,  4.235323632613238e-01,  1.321149582543811e+00,  8.288867982675900e-01, -9.812142837165700e-01,  2.410327120351816e-02
  7.350000000000000e+00, -3.117519293375657e-01,  9.780195435716554e-02,  3.377161126622787e-02,  7.875244984165910e-01, -5.227337579422442e-02,  3.377161126601415e-02,  3.703537278420297e-01, -3.172379212618331e-01,  4.235807655036423e-01,  1.320726882359909e+00,  8.286927645287072e-01, -9.832026333651177e-01,  2.400214181261431e-02
  7.359999999999999e+00, -3.117671891734285e-01,  9.781418442364043e-02,  3.380073804374324e-02,  7.875681694971449e-01, -5.230616769140917e-02,  3.380073804403234e-02,  3.706521612443618e-01, -3.168107780753312e-01,  4.237918062357178e-01,  1.320801454313349e+00,  8.304945407671860e-01, -9.853646110802941e-01,  2.369421994946564e-02
  7.370000000000000e+00, -3.117240977772403e-01,  9.779310854286893e-02,  3.377779451398769e-02,  7.875440565348705e-01, -5.227203593316698e-02,  3.377779451301131e-02,  3.707072545170174e-01, -3.163553623658494e-01,  4.236410615503112e-01,  1.320695778558248e+00,  8.318856510518656e-01, -9.864374015144766e-01,  2.392085504174490e-02
  7.380000000000000e+00, -3.115447086898811e-01,  9.770868961728763e-02,  3.369691776216201e-02,  7.874681354933034e-01, -5.214435987321386e-02,  3.369691776217519e-02,  3.711580477669281e-01, -3.157696040469520e-01,  4.231233181618930e-01,  1.320987776383913e+00,  8.345499592424206e-01, -9.902619073194615e-01,  2.357794118991203e-02
  7.390000000000000e+00, -3.115613205267823e-01,  9.772006790017707e-02,  3.372009489077878e-02,  7.875014129204488e-01, -5.217165223036679e-02,  3.372009488914540e-02,  3.713538274625954e-01, -3.155411083990680e-01,  4.232890429532507e-01,  1.320504162990934e+00,  8.327722379381041e-01, -9.922871268380539e-01,  2.339597167559199e-02
  7.399999999999999e+00, -3.115836444872054e-01,  9.773065848400275e-02,  3.373053404747207e-02,  7.875114887835308e-01, -5.218791084959395e-02,  3.373053404716921e-02,  3.713034067788752e-01, -3.152151984107602e-01,  4.233562887354189e-01,  1.320169997278836e+00,  8.316030473518901e-01, -9.918719008847554e-01,  2.344583695683998e-02
  7.410000000000000e+00, -3.114874773204480e-01,  9.768479126082186e-02,  3.368448615852573e-02,  7.874662759405479e-01, -5.211680602970881e-02,  3.368448615843014e-02,  3.715042595145222e-01, -3.151844349484099e-01,  4.230585001434864e-01,  1.319798114758274e+00,  8.297842652959249e-01, -9.914205149414678e-01,  2.336315636284414e-02
  7.420000000000000e+00, -3.116115302371925e-01,  9.774464698347418e-02,  3.374692005982313e-02,  7.875296718663881e-01, -5.221151861280182e-02,  3.374692005978694e-02,  3.712910776151146e-01, -3.151473910158479e-01,  4.234654054693024e-01,  1.319555686118656e+00,  8.289607536759125e-01, -9.915404197135557e-01,  2.334475043463264e-02
  7.430000000000000e+00, -3.115667165580215e-01,  9.772389799176562e-02,  3.372821429654198e-02,  7.875132106853672e-01, -5.218109991082387e-02,  3.372821429648271e-02,  3.714263660622623e-01, -3.143764048111540e-01,  4.233473101580050e-01,  1.319194881659855e+00,  8.288715122033916e-01, -9.916528775572235e-01,  2.318880603877588e-02
  7.440000000000000e+00, -3.113766398473845e-01,  9.763717402162531e-02,  3.365453478083111e-02,  7.874528364670482e-01, -5.205764522463641e-02,  3.365453478078492e-02,  3.720857471711585e-01, -3.140564930400109e-01,  4.228888350441379e-01,  1.318706790561753e+00,  8.288311903996510e-01, -9.909420742349260e-01,  2.313542076858335e-02
  7.450000000000000e+00, -3.114604416144304e-01,  9.767854140151089e-02,  3.370081589424342e-02,  7.875025429516604e-01, -5.212568206110690e-02,  3.370081589389744e-02,  3.720039634259538e-01, -3.141760564687306e-01,  4.231945694157527e-01,  1.318722415254913e+00,  8.286065391742568e-01, -9.912232396114240e-01,  2.315027082805841e-02
  7.460000000000000e+00, -3.114490076113481e-01,  9.767125696914802e-02,  3.368727498481711e-02,  7.874836712582026e-01, -5.210927390208608e-02,  3.368727498477427e-02,  3.719057136423247e-01, -3.141680385462835e-01,  4.230986025663484e-01,  1.318511723487515e+00,  8.289382090751335e-01, -9.917662942403019e-01,  2.301028106193299e-02
  7.470000000000000e+00, -3.115181966546023e-01,  9.770172795031518e-02,  3.370926201158526e-02,  7.874975612965248e-01, -5.214944615543615e-02,  3.370926201158856e-02,  3.715925177082324e-01, -3.139235299464202e-01,  4.232292039343706e-01,  1.318214449661803e+00,  8.284264132826411e-01, -9.917578896270669e-01,  2.303703569146809e-02
  7.480000000000000e+00, -3.114840133493654e-01,  9.769379438230374e-02,  3.372977024977124e-02,  7.875431856505900e-01, -5.216053177875701e-02,  3.372977024974161e-02,  3.722222373977806e-01, -3.138097862458326e-01,  4.234002083069988e-01,  1.318003815647106e+00,  8.293771195960146e-01, -9.913893514056356e-01,  2.317078008858035e-02
  7.490000000000000e+00, -3.114095721699358e-01,  9.766448249765114e-02,  3.372141046067593e-02,  7.875538338601973e-01, -5.213239275716797e-02,  3.372141046059031e-02,  3.727908120948609e-01, -3.137407473127087e-01,  4.233745379950378e-01,  1.317846723645493e+00,  8.311463209890201e-01, -9.916249300117785e-01,  2.323273119173496e-02
  7.500000000000000e+00, -3.114940905098807e-01,  9.770788898674754e-02,  3.377551543430692e-02,  7.876163869382564e-01, -5.220832867514602e-02,  3.377551543405377e-02,  3.728207499596063e-01, -3.135630249039846e-01,  4.237386325608627e-01,  1.318010065673856e+00,  8.338991063523562e-01, -9.925673921438342e-01,  2.334820301830107e-02
  7.510000000000000e+00, -3.115397434209099e-01,  9.772916490181216e-02,  3.379518094641490e-02,  7.876341769669024e-01, -5.223991760427937e-02,  3.379518094622760e-02,  3.726921566174695e-01, -3.135807922791944e-01,  4.238635156525172e-01,  1.317885593804948e+00,  8.341679910663221e-01, -9.927398117145666e-01,  2.320377107244840e-02
  7.520000000000000e+00, -3.113518958379275e-01,  9.764064282960661e-02,  3.370996012650193e-02,  7.875537604248620e-01, -5.210568554363282e-02,  3.370996012647229e-02,  3.731560241048157e-01, -3.133595934439671e-01,  4.233173029053861e-01,  1.317430137367558e+00,  8.343867651990564e-01, -9.932877976234007e-01,  2.313423765178711e-02
  7.530000000000000e+00, -3.110294915365589e-01,  9.748033602236195e-02,  3.352684217173306e-02,  7.873539700766844e-01, -5.183888753413357e-02,  3.352684217149459e-02,  3.733934776879380e-01, -3.129934030930199e-01,  4.221027993072314e-01,  1.316630448495724e+00,  8.329002032091003e-01, -9.942364325838504e-01,  2.318457693191898e-02
  7.540000000000000e+00, -3.111830719858700e-01,  9.755528818224968e-02,  3.360784684105143e-02,  7.874387427321484e-01, -5.195985255669222e-02,  3.360784684040053e-02,  3.731862085231163e-01, -3.131879500494755e-01,  4.226346511670123e-01,  1.316823016795928e+00,  8.331124436111624e-01, -9.937192226356081e-01,  2.332219943601471e-02
