Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  7.340000000000000e+00,  8.968900588665627e-01,  1.247808606970984e-01, -3.355493505810871e-02,  1.224107652732714e+00,  1.877085414585494e-03, -2.667869840689712e-01
  7.350000000000000e+00,  8.944504036922487e-01,  1.259714249437287e-01, -3.056219826303300e-02,  1.224228743184197e+00,  1.082896862519752e-03, -2.678682608644748e-01
  7.359999999999999e+00,  8.941596558673609e-01,  1.257079881711307e-01, -3.016180121768272e-02,  1.224041545224815e+00,  1.138187956164664e-03, -2.677637030697321e-01
  7.370000000000000e+00,  8.956652646000374e-01,  1.250866119773730e-01, -3.150309382130301e-02,  1.224305482908159e+00,  2.689924035127714e-03, -2.690250361360617e-01
  7.380000000000000e+00,  8.956439512398994e-01,  1.261999706119799e-01, -3.027298556541717e-02,  1.224767817577738e+00,  3.022051231825333e-03, -2.695566937859918e-01
  7.390000000000000e+00,  8.951254622534609e-01,  1.254490859714792e-01, -3.005604222177202e-02,  1.224288498433935e+00,  2.906125621214084e-03, -2.693780011339864e-01
  7.399999999999999e+00,  8.931784828994213e-01,  1.274045004382891e-01, -2.669160124999075e-02,  1.224832488135752e+00,  2.255690869557492e-03, -2.713699778762122e-01
  7.410000000000000e+00,  8.933152080077648e-01,  1.272513445987549e-01, -2.715387719100220e-02,  1.225146238182438e+00,  3.021231434827409e-03, -2.732490353703508e-01
  7.420000000000000e+00,  8.921178218539599e-01,  1.276969828716417e-01, -2.476559989060904e-02,  1.224908341909256e+00,  1.775203119731049e-03, -2.728945695517844e-01
  7.430000000000000e+00,  8.906279858572101e-01,  1.284103041097402e-01, -2.433248470191548e-02,  1.224847489339711e+00,  1.651508999077256e-03, -2.735144940452892e-01
  7.440000000000000e+00,  8.895240982186253e-01,  1.291340363063911e-01, -2.412773023265795e-02,  1.224647767836970e+00,  2.994718857290131e-03, -2.743680246866820e-01
  7.450000000000000e+00,  8.905597695990094e-01,  1.278524340980920e-01, -2.389103313185461e-02,  1.224660305833680e+00,  3.396929397361564e-03, -2.741294043814850e-01
  7.460000000000000e+00,  8.927898516717552e-01,  1.257631848175567e-01, -2.492502005506592e-02,  1.224698265709585e+00,  2.600946834952939e-03, -2.734636858941978e-01
  7.470000000000000e+00,  8.919656461389081e-01,  1.262421206829678e-01, -2.223758863663308e-02,  1.224579950068282e+00,  2.180755287869872e-03, -2.725658642790572e-01
  7.480000000000000e+00,  8.905473732618956e-01,  1.268500438031106e-01, -2.171902836699895e-02,  1.224487695289425e+00,  2.496293824014828e-03, -2.734224590686979e-01
  7.490000000000000e+00,  8.896809180219768e-01,  1.268205989274875e-01, -2.198592065375820e-02,  1.224192878989613e+00,  2.188692802110757e-03, -2.729927861156726e-01
  7.500000000000000e+00,  8.897353482476560e-01,  1.268456248572050e-01, -2.192239362483742e-02,  1.224220071065332e+00,  2.270410808264564e-03, -2.733889891548222e-01
  7.510000000000000e+00,  8.901951324925651e-01,  1.264617165995465e-01, -2.098433399864865e-02,  1.224162333900909e+00,  2.065301818781013e-03, -2.727940302146554e-01
  7.520000000000000e+00,  8.893293183308540e-01,  1.274031016398640e-01, -2.096752131586893e-02,  1.224098731160113e+00,  2.984707691317008e-03, -2.745541217129807e-01
  7.530000000000000e+00,  8.880499912510391e-01,  1.276429645737855e-01, -2.222548531805476e-02,  1.224258504278611e+00,  2.879224649346478e-03, -2.749755897689076e-01
  7.540000000000000e+00,  8.891118312133575e-01,  1.276168034519665e-01, -2.201154037977256e-02,  1.224311118498144e+00,  2.966749195058114e-03, -2.743418089577327e-01
  7.550000000000000e+00,  8.902804700205057e-01,  1.271881894838911e-01, -2.322032340436404e-02,  1.224370122088632e+00,  4.027266160922196e-03, -2.742022238402245e-01
  7.560000000000000e+00,  8.880298200110354e-01,  1.282005141559295e-01, -2.164314007646916e-02,  1.224290971324840e+00,  2.891015565800265e-03, -2.739098006521063e-01
  7.570000000000000e+00,  8.865859197558273e-01,  1.289092899438502e-01, -2.242165397251391e-02,  1.224288246734101e+00,  2.784720222852275e-03, -2.742492995122558e-01
  7.580000000000000e+00,  8.859914890745531e-01,  1.292723746266031e-01, -2.245708339250204e-02,  1.224438391995685e+00,  3.033642421559296e-03, -2.744541334543261e-01
  7.590000000000000e+00,  8.865381838438542e-01,  1.286431232982475e-01, -2.241411738005860e-02,  1.224432967873576e+00,  3.717444997675854e-03, -2.739778029842565e-01
  7.600000000000000e+00,  8.888258122890116e-01,  1.277513370013938e-01, -2.427311004143390e-02,  1.224608499138750e+00,  4.341637263545859e-03, -2.745303641694042e-01
  7.609999999999999e+00,  8.875604291994220e-01,  1.280329028033815e-01, -2.521045331049409e-02,  1.224515019529536e+00,  4.118926801584964e-03, -2.747540539085371e-01
  7.620000000000000e+00,  8.859782399559781e-01,  1.286470361831675e-01, -2.334310306315822e-02,  1.224670499135480e+00,  4.170924473663184e-03, -2.743371235281689e-01
  7.630000000000000e+00,  8.870007079851370e-01,  1.280394535245006e-01, -2.523519787854607e-02,  1.224718451016530e+00,  4.276750786400133e-03, -2.736255088016308e-01
  7.640000000000000e+00,  8.863593301224996e-01,  1.287690066831999e-01, -2.545945206840427e-02,  1.224888675442588e+00,  4.251244700285298e-03, -2.743216769641100e-01
  7.649999999999999e+00,  8.845879764207095e-01,  1.290596105317205e-01, -2.318397900109318e-02,  1.224884327289705e+00,  2.630834121469597e-03, -2.739145680713091e-01
