Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  7.340000000000000e+00, -2.707671515394720e-01,  1.037563937013182e+00,  6.976655157653648e-01,  1.585133830362163e+00, -2.498033980087304e-01, -1.658373678894841e+00, -2.024034217183850e-04, -3.330691697962334e-16, -1.276643976938256e-02, -6.485346408083057e-04,  2.469256128320388e-03, -4.090582244087574e-02, -1.145239141854444e-03,  5.442657356239292e-03, -7.223507587915415e-02, -1.647776514908546e-03,  8.528889130990003e-03, -1.039322332221154e-01, -2.125582077676115e-03,  1.157345472909283e-02, -1.340694506998529e-01, -2.601162677644300e-03,  1.435796118102622e-02, -1.640663303644601e-01, -2.848499295743293e-03,  1.737538642553332e-02, -1.796668968515262e-01,  2.764624101707128e-04, -2.393606018291181e-03,  9.615358111451874e-02,  2.764624101704906e-04, -2.393606018291181e-03,  9.615358111451945e-02,  2.764624101702129e-04, -2.393606018291181e-03,  9.615358111452170e-02,  2.764624101707127e-04, -2.393606018291181e-03,  9.615358111452420e-02,  2.764624101703795e-04, -2.393606018290736e-03,  9.615358111452617e-02,  2.764624101704350e-04, -2.393606018290848e-03,  9.615358111452689e-02, -2.061918069124374e-02,  2.145987828278374e-01
  7.350000000000000e+00, -2.708684064699752e-01,  1.037455960640779e+00,  6.977917018655450e-01,  1.586992751644091e+00, -2.511969536981109e-01, -1.660868368171339e+00, -2.355171824664500e-04,  5.961938310588031e-14, -1.279284158726843e-02, -7.546367052408127e-04,  2.568883981747523e-03, -4.099041831048858e-02, -1.332603439065142e-03,  5.662253963850829e-03, -7.238446265823545e-02, -1.917357318981804e-03,  8.873006902306446e-03, -1.041471717595894e-01, -2.473333195976847e-03,  1.204041254574080e-02, -1.343467149398362e-01, -3.026720100138968e-03,  1.493726635482270e-02, -1.644056300793463e-01, -3.314521674460860e-03,  1.807643660411979e-02, -1.800384595404908e-01,  2.343245687193109e-04, -2.438464019884206e-03,  9.627693945812350e-02,  2.343245687158679e-04, -2.438464019894312e-03,  9.627693945812293e-02,  2.343245687061497e-04, -2.438464019904864e-03,  9.627693945812092e-02,  2.343245686904339e-04, -2.438464019914082e-03,  9.627693945811808e-02,  2.343245686688872e-04, -2.438464019923078e-03,  9.627693945811489e-02,  2.343245686413986e-04, -2.438464019929742e-03,  9.627693945811083e-02, -2.093605627807412e-02,  2.149607789546610e-01
  7.359999999999999e+00, -2.709022075556803e-01,  1.037473268045256e+00,  6.977926746080576e-01,  1.587465288968954e+00, -2.513697023323740e-01, -1.660800326663366e+00, -2.454989226313520e-04, -9.248220906920084e-14, -1.279535392479311e-02, -7.866198816520710e-04,  2.564387016589642e-03, -4.099846826249976e-02, -1.389082126944602e-03,  5.652341893743937e-03, -7.239867796684910e-02, -1.998619172523129e-03,  8.857474242377669e-03, -1.041676248255901e-01, -2.578158539514325e-03,  1.201933517781079e-02, -1.343730987791847e-01, -3.154999207178061e-03,  1.491111789405048e-02, -1.644379170748142e-01, -3.454998450024961e-03,  1.804479286318363e-02, -1.800738166080411e-01,  1.946225086934878e-04, -2.470726988237353e-03,  9.637663282126618e-02,  1.946225086925992e-04, -2.470726988229800e-03,  9.637663282128500e-02,  1.946225086861019e-04, -2.470726988223247e-03,  9.637663282125850e-02,  1.946225086744400e-04, -2.470726988217471e-03,  9.637663282118741e-02,  1.946225086565583e-04, -2.470726988211582e-03,  9.637663282107257e-02,  1.946225086332343e-04, -2.470726988205193e-03,  9.637663282091444e-02, -2.114990806524015e-02,  2.152535752339736e-01
  7.370000000000000e+00, -2.708144002333666e-01,  1.037580855453329e+00,  6.976530549796758e-01,  1.586343586241443e+00, -2.508115656746921e-01, -1.658912668873803e+00, -2.198706362454339e-04,  2.960984969090730e-13, -1.278188771948906e-02, -7.045025362707332e-04,  2.495819418161578e-03, -4.095532027374110e-02, -1.244072142300804e-03,  5.501207330881715e-03, -7.232248347780908e-02, -1.789977991587949e-03,  8.620639577113906e-03, -1.040579957663863e-01, -2.309017700154340e-03,  1.169795741816042e-02, -1.342316805943617e-01, -2.825640434098966e-03,  1.451241849862413e-02, -1.642648577943661e-01, -3.094321957306619e-03,  1.756230402037468e-02, -1.798843016486867e-01,  8.794034378053818e-05, -2.496334440709886e-03,  9.642546255409534e-02,  8.794034373566778e-05, -2.496334440706665e-03,  9.642546255410683e-02,  8.794034370701294e-05, -2.496334440696336e-03,  9.642546255411352e-02,  8.794034369479574e-05, -2.496334440680343e-03,  9.642546255411602e-02,  8.794034369979367e-05, -2.496334440661517e-03,  9.642546255411438e-02,  8.794034372172910e-05, -2.496334440640304e-03,  9.642546255410847e-02, -2.120630452029382e-02,  2.153997970347201e-01
  7.380000000000000e+00, -2.707922415463902e-01,  1.037600579174179e+00,  6.976486978837046e-01,  1.586165938099668e+00, -2.512305056885920e-01, -1.659026394333886e+00, -2.097547641200944e-04,  5.551152966683139e-15, -1.278945517715569e-02, -6.720895795368309e-04,  2.508397526400810e-03, -4.097956768232272e-02, -1.186834511032453e-03,  5.528931605285123e-03, -7.236530167081888e-02, -1.707624165896972e-03,  8.664084763705540e-03, -1.041196028231846e-01, -2.202783745009911e-03,  1.175691127433870e-02, -1.343111518421704e-01, -2.695637550129774e-03,  1.458555631287759e-02, -1.643621100462450e-01, -2.951957495451056e-03,  1.765081225477605e-02, -1.799908013202624e-01, -2.498030542020280e-05, -2.523752333797299e-03,  9.652096416286102e-02, -2.498030542086920e-05, -2.523752333794745e-03,  9.652096416286320e-02, -2.498030542075813e-05, -2.523752333792190e-03,  9.652096416286536e-02, -2.498030542070260e-05, -2.523752333789358e-03,  9.652096416286603e-02, -2.498030541992515e-05, -2.523752333787526e-03,  9.652096416286644e-02, -2.498030541864789e-05, -2.523752333786137e-03,  9.652096416286619e-02, -2.126885177459857e-02,  2.156828187446281e-01
  7.390000000000000e+00, -2.708104433317514e-01,  1.037645611889382e+00,  6.976475847481893e-01,  1.587074541734096e+00, -2.512853933544299e-01, -1.659396276832895e+00, -2.272768712942090e-04,  2.561857096129194e-13, -1.278989009003535e-02, -7.282333606127158e-04,  2.518341583033693e-03, -4.098096121531549e-02, -1.285978105792121e-03,  5.550849984416922e-03, -7.236776249281486e-02, -1.850272527481928e-03,  8.698431850381893e-03, -1.041231434677318e-01, -2.386795835581768e-03,  1.180351927262713e-02, -1.343157191673104e-01, -2.920820754401778e-03,  1.464337792641940e-02, -1.643676992714955e-01, -3.198552683669554e-03,  1.772078548139530e-02, -1.799969220081954e-01, -7.808635858582303e-05, -2.549702654860691e-03,  9.660089725814092e-02, -7.808635861519991e-05, -2.549702654874243e-03,  9.660089725824848e-02, -7.808635861681037e-05, -2.549702654877020e-03,  9.660089725825606e-02, -7.808635859059888e-05, -2.549702654870077e-03,  9.660089725816388e-02, -7.808635853589895e-05, -2.549702654856800e-03,  9.660089725797161e-02, -7.808635845237752e-05, -2.549702654839524e-03,  9.660089725768289e-02, -2.140866120997026e-02,  2.159183521900416e-01
  7.399999999999999e+00, -2.709110054310720e-01,  1.037542984745012e+00,  6.977731955437600e-01,  1.588479368259939e+00, -2.527102515085382e-01, -1.661475884489902e+00, -2.518170817133080e-04,  8.471059677488579e-14, -1.281639482010753e-02, -8.068643265498363e-04,  2.592928724467968e-03, -4.106588683400437e-02, -1.424831536684399e-03,  5.715252635892404e-03, -7.251773157197221e-02, -2.050055624245371e-03,  8.956058207603843e-03, -1.043389198218031e-01, -2.644510013260563e-03,  1.215311075379745e-02, -1.345940641651674e-01, -3.236196249354019e-03,  1.507707910169863e-02, -1.647083215538621e-01, -3.543916271264365e-03,  1.824563197066754e-02, -1.803699330232452e-01, -1.559275444376598e-04, -2.567274088964962e-03,  9.671066496382386e-02, -1.559275444454344e-04, -2.567274088952079e-03,  9.671066496382408e-02, -1.559275444540975e-04, -2.567274088940083e-03,  9.671066496382445e-02, -1.559275444642045e-04, -2.567274088928310e-03,  9.671066496382467e-02, -1.559275444756998e-04, -2.567274088917537e-03,  9.671066496382479e-02, -1.559275444886389e-04, -2.567274088906931e-03,  9.671066496382387e-02, -2.144056851877339e-02,  2.162420648452742e-01
  7.410000000000000e+00, -2.708688779138933e-01,  1.037612083082352e+00,  6.977481411245249e-01,  1.588037785003851e+00, -2.529935476710150e-01, -1.660572427791475e+00, -2.388939506103294e-04,  8.093581316041722e-14, -1.282259180212202e-02, -7.654564389988636e-04,  2.566444630005473e-03, -4.108574300770861e-02, -1.351709870469299e-03,  5.656877220778086e-03, -7.255279533865458e-02, -1.944847759903460e-03,  8.864581303801704e-03, -1.043893697664151e-01, -2.508795036842243e-03,  1.202897925336764e-02, -1.346591430743248e-01, -3.070116221114181e-03,  1.492308227824291e-02, -1.647879613059436e-01, -3.362044200148245e-03,  1.805927164533615e-02, -1.804571454762716e-01, -2.741261025326097e-04, -2.625293683273621e-03,  9.676790054572147e-02, -2.741261025396624e-04, -2.625293683288615e-03,  9.676790054572977e-02, -2.741261025439384e-04, -2.625293683301055e-03,  9.676790054573593e-02, -2.741261025456600e-04, -2.625293683311773e-03,  9.676790054573983e-02, -2.741261025443827e-04, -2.625293683319881e-03,  9.676790054574133e-02, -2.741261025397735e-04, -2.625293683327100e-03,  9.676790054574017e-02, -2.175263781319255e-02,  2.164132428544859e-01
  7.420000000000000e+00, -2.709930615834566e-01,  1.037514345907157e+00,  6.977750862180967e-01,  1.589897058763494e+00, -2.533838960622268e-01, -1.662293864765824e+00, -2.773994778660683e-04,  2.392547021114400e-14, -1.282438412239873e-02, -8.888346312934121e-04,  2.629735755587445e-03, -4.109148590361153e-02, -1.569581863980025e-03,  5.796381546187872e-03, -7.256293664608503e-02, -2.258323208828607e-03,  9.083190862912698e-03, -1.044039611365553e-01, -2.913168924863748e-03,  1.232562607307380e-02, -1.346779655023558e-01, -3.564965267970871e-03,  1.529110061179729e-02, -1.648109950893860e-01, -3.903946932085485e-03,  1.850463158740951e-02, -1.804823694718204e-01, -2.995564958330136e-04, -2.673477005708537e-03,  9.678546760014804e-02, -2.995564958323473e-04, -2.673477005704205e-03,  9.678546760014993e-02, -2.995564958322362e-04, -2.673477005700318e-03,  9.678546760015098e-02, -2.995564958328470e-04, -2.673477005696542e-03,  9.678546760015178e-02, -2.995564958336800e-04, -2.673477005694043e-03,  9.678546760015189e-02, -2.995564958354016e-04, -2.673477005691100e-03,  9.678546760015178e-02, -2.212121214977818e-02,  2.164653737994070e-01
  7.430000000000000e+00, -2.710614014604470e-01,  1.037546572772735e+00,  6.978848262648419e-01,  1.589977617260896e+00, -2.545652329504946e-01, -1.662844705586092e+00, -2.767845683838751e-04,  8.409997281833789e-14, -1.284799167680612e-02, -8.868643575822552e-04,  2.645701714529716e-03, -4.116712848249162e-02, -1.566102582441221e-03,  5.831573214900914e-03, -7.269651292197345e-02, -2.253317199027305e-03,  9.138337792197044e-03, -1.045961514331743e-01, -2.906711323072725e-03,  1.240045885362883e-02, -1.349258851967901e-01, -3.557062833760327e-03,  1.538393772762896e-02, -1.651143846705935e-01, -3.895293079614128e-03,  1.861697906768594e-02, -1.808146074421421e-01, -3.728076229666424e-04, -2.701917185173418e-03,  9.682785564185412e-02, -3.728076229661426e-04, -2.701917185165310e-03,  9.682785564185488e-02, -3.728076229658093e-04, -2.701917185157535e-03,  9.682785564185570e-02, -3.728076229660315e-04, -2.701917185150872e-03,  9.682785564185649e-02, -3.728076229666423e-04, -2.701917185144985e-03,  9.682785564185725e-02, -3.728076229678641e-04, -2.701917185139821e-03,  9.682785564185765e-02, -2.225107296710177e-02,  2.165918101264420e-01
  7.440000000000000e+00, -2.710832220629765e-01,  1.037629835167470e+00,  6.979889138638450e-01,  1.589526672123053e+00, -2.556289895129913e-01, -1.662991395447184e+00, -2.618561399479239e-04,  6.261701114668365e-14, -1.287336738566355e-02, -8.390311595385923e-04,  2.664471659816871e-03, -4.124843652613858e-02, -1.481634541389843e-03,  5.872945343013010e-03, -7.284009377068944e-02, -2.131784106748174e-03,  9.203169779738903e-03, -1.048027363653998e-01, -2.749937294256585e-03,  1.248843397694065e-02, -1.351923735375614e-01, -3.365211972319839e-03,  1.549307915817475e-02, -1.654404974719982e-01, -3.685199705400028e-03,  1.874905732774906e-02, -1.811717293142635e-01, -4.828878469369461e-04, -2.747084850126735e-03,  9.692574613166713e-02, -4.828878469333364e-04, -2.747084850126402e-03,  9.692574613166809e-02, -4.828878469333919e-04, -2.747084850127290e-03,  9.692574613166809e-02, -4.828878469359466e-04, -2.747084850128291e-03,  9.692574613166727e-02, -4.828878469416665e-04, -2.747084850129845e-03,  9.692574613166516e-02, -4.828878469504405e-04, -2.747084850131067e-03,  9.692574613166247e-02, -2.246668335858477e-02,  2.168819277189603e-01
  7.450000000000000e+00, -2.710640202176667e-01,  1.037635765893023e+00,  6.978529587566371e-01,  1.590177616913777e+00, -2.548085112052918e-01, -1.662010036907221e+00, -2.775579753045783e-04,  2.932119190354727e-13, -1.284989298505338e-02, -8.893424832850514e-04,  2.633678463685991e-03, -4.117322059415808e-02, -1.570478673329467e-03,  5.805071940002600e-03, -7.270727090509484e-02, -2.259613543319724e-03,  9.096809100993334e-03, -1.046116300797587e-01, -2.914833417835353e-03,  1.234410562609882e-02, -1.349458521847306e-01, -3.567002177317168e-03,  1.531402623832447e-02, -1.651388190994075e-01, -3.906177525364187e-03,  1.853237519289285e-02, -1.808413652662760e-01, -4.751066179906573e-04, -2.774884903742662e-03,  9.689093496305175e-02, -4.751066180160358e-04, -2.774884903763543e-03,  9.689093496305963e-02, -4.751066180332511e-04, -2.774884903778871e-03,  9.689093496306542e-02, -4.751066180421918e-04, -2.774884903788588e-03,  9.689093496306847e-02, -4.751066180419141e-04, -2.774884903794086e-03,  9.689093496306855e-02, -4.751066180326402e-04, -2.774884903796641e-03,  9.689093496306629e-02, -2.271306008046121e-02,  2.167797793196142e-01
  7.460000000000000e+00, -2.710139597541250e-01,  1.037711704213680e+00,  6.976117492341777e-01,  1.590380846550739e+00, -2.532000648071366e-01, -1.660046758731007e+00, -2.834805533915124e-04,  3.186361867741357e-14, -1.280712183748544e-02, -9.083194211340119e-04,  2.577201275381600e-03, -4.103617463647445e-02, -1.603989808588163e-03,  5.680586683152020e-03, -7.246526317714298e-02, -2.307829552939090e-03,  8.901735098901839e-03, -1.042634280003888e-01, -2.977030617761164e-03,  1.207939587380975e-02, -1.344966819891471e-01, -3.643115462137349e-03,  1.498562884682886e-02, -1.645891509584698e-01, -3.989528189645790e-03,  1.813496280977993e-02, -1.802394308597471e-01, -5.261026150969505e-04, -2.834241753239482e-03,  9.675930779715504e-02, -5.261026150989496e-04, -2.834241753240704e-03,  9.675930779715526e-02, -5.261026150993382e-04, -2.834241753241258e-03,  9.675930779715557e-02, -5.261026150993383e-04, -2.834241753241925e-03,  9.675930779715519e-02, -5.261026150979501e-04, -2.834241753241759e-03,  9.675930779715526e-02, -5.261026150950623e-04, -2.834241753241592e-03,  9.675930779715487e-02, -2.313694193785348e-02,  2.163962866870229e-01
  7.470000000000000e+00, -2.711852733037861e-01,  1.037632658400552e+00,  6.976111440646533e-01,  1.592490967303971e+00, -2.532712494618505e-01, -1.662089599659679e+00, -3.281130767613655e-04, -2.475814255705024e-14, -1.279930362727165e-02, -1.051329540674390e-03,  2.660103737529642e-03, -4.101112377401584e-02, -1.856529574844760e-03,  5.863317705072633e-03, -7.242102617495789e-02, -2.671185188195859e-03,  9.188082837741040e-03, -1.041997795530744e-01, -3.445748443928497e-03,  1.246796143518909e-02, -1.344145774092927e-01, -4.216704846655045e-03,  1.546768104112750e-02, -1.644886761895919e-01, -4.617658437620830e-03,  1.871832162022289e-02, -1.801294022519845e-01, -5.075575653192223e-04, -2.872710124341284e-03,  9.667563267841361e-02, -5.075575653190557e-04, -2.872710124341506e-03,  9.667563267841407e-02, -5.075575653192223e-04, -2.872710124342283e-03,  9.667563267841500e-02, -5.075575653190556e-04, -2.872710124342894e-03,  9.667563267841539e-02, -5.075575653188336e-04, -2.872710124343006e-03,  9.667563267841542e-02, -5.075575653186114e-04, -2.872710124343338e-03,  9.667563267841567e-02, -2.348944760163308e-02,  2.161507620741689e-01
