Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.502000000000000e+01,  5.166046587718383e-01, -3.082462237012615e-01, -2.823613161284780e-01,  4.162275048409881e-01,  7.094230295033808e-01, -2.823613161259849e-01,  1.369306662590276e+00, -1.207023341523391e-01, -2.504031779646046e+00, -1.993943657721277e+00, -2.488010406377339e+00,  1.034914519818570e+00,  6.504409326522725e-02
  1.503000000000000e+01,  5.166112604266005e-01, -3.082496994863655e-01, -2.823620459906941e-01,  4.162263755425685e-01,  7.094317623666639e-01, -2.823620459860875e-01,  1.369298631803207e+00, -1.206732745552951e-01, -2.504063041710562e+00, -1.993896739614576e+00, -2.487831913515539e+00,  1.034940309196436e+00,  6.505251429118937e-02
  1.504000000000000e+01,  5.166201430377796e-01, -3.082543673461822e-01, -2.823630233215833e-01,  4.162248740772343e-01,  7.094434471196767e-01, -2.823630233167060e-01,  1.369288416572746e+00, -1.206547328644222e-01, -2.504104812134923e+00, -1.993847614726264e+00, -2.487646486902086e+00,  1.034968239034368e+00,  6.505998422163332e-02
  1.505000000000000e+01,  5.166309249630722e-01, -3.082599544360711e-01, -2.823641690522791e-01,  4.162232114896967e-01,  7.094570469075938e-01, -2.823641690492341e-01,  1.369281277814389e+00, -1.206419226523496e-01, -2.504152905261722e+00, -1.993798206744696e+00, -2.487450999406104e+00,  1.034991665813489e+00,  6.506688869625803e-02
  1.506000000000000e+01,  5.166357322093730e-01, -3.082625455891761e-01, -2.823647309167464e-01,  4.162222674951467e-01,  7.094638510253182e-01, -2.823647309116735e-01,  1.369271419143886e+00, -1.206133825508719e-01, -2.504177658686359e+00, -1.993744816061993e+00, -2.487268376983783e+00,  1.035026291597215e+00,  6.507509929924371e-02
  1.507000000000000e+01,  5.166447583333582e-01, -3.082671981506404e-01, -2.823656771208910e-01,  4.162209258426214e-01,  7.094750535504915e-01, -2.823656771175934e-01,  1.369267089732215e+00, -1.205972754044065e-01, -2.504217103369270e+00, -1.993692587088105e+00, -2.487069452445458e+00,  1.035050886637022e+00,  6.508208525996115e-02
  1.508000000000000e+01,  5.166501026772077e-01, -3.082699866778482e-01, -2.823662545088002e-01,  4.162200631150570e-01,  7.094819363169020e-01, -2.823662545055644e-01,  1.369262274601097e+00, -1.205721141241613e-01, -2.504241575101064e+00, -1.993637829286376e+00, -2.486877595862004e+00,  1.035081371584568e+00,  6.508972769116821e-02
  1.509000000000000e+01,  5.166542965515155e-01, -3.082721638836645e-01, -2.823667019166699e-01,  4.162194084946525e-01,  7.094872557766920e-01, -2.823667019133476e-01,  1.369259232357324e+00, -1.205450328771821e-01, -2.504260413713778e+00, -1.993581939054610e+00, -2.486685815302291e+00,  1.035112191322012e+00,  6.509736540228435e-02
  1.510000000000000e+01,  5.166572113901134e-01, -3.082736626601423e-01, -2.823670054834607e-01,  4.162189827663598e-01,  7.094908461541163e-01, -2.823670054800650e-01,  1.369258080550841e+00, -1.205158815054698e-01, -2.504273029647624e+00, -1.993525011671028e+00, -2.486494913876863e+00,  1.035143287544234e+00,  6.510498699764780e-02
  1.511000000000000e+01,  5.166587498780650e-01, -3.082744314741725e-01, -2.823671543409167e-01,  4.162188031569569e-01,  7.094925765129321e-01, -2.823671543374628e-01,  1.369258957350205e+00, -1.204845811608033e-01, -2.504278952261471e+00, -1.993467165612775e+00, -2.486305630090345e+00,  1.035174510062827e+00,  6.511257876327695e-02
