Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.000000000000000e+01,  8.175787131195613e-01,  6.602813690819920e-02, -3.348046900981827e-01,  9.670803981207065e-01,  2.773243103592362e-01, -1.328076250409463e-01
  1.001000000000000e+01,  8.173834703800786e-01,  6.614664754315758e-02, -3.342066326720059e-01,  9.666755712519237e-01,  2.780047131885225e-01, -1.333822208255721e-01
  1.002000000000000e+01,  8.171641769532728e-01,  6.572503538767593e-02, -3.337784280941006e-01,  9.663080673148933e-01,  2.776630508027461e-01, -1.326313363925933e-01
  1.003000000000000e+01,  8.172527210160068e-01,  6.578766157403426e-02, -3.334113117080723e-01,  9.663780227825562e-01,  2.780999548087216e-01, -1.330864955653747e-01
  1.004000000000000e+01,  8.171944957276366e-01,  6.553303689929368e-02, -3.332316359812637e-01,  9.663040149771934e-01,  2.771220205065414e-01, -1.321124296306649e-01
  1.005000000000000e+01,  8.171752150042999e-01,  6.517838992335578e-02, -3.327001045316649e-01,  9.665937149324756e-01,  2.764270549493698e-01, -1.314402417416216e-01
  1.006000000000000e+01,  8.175425228106060e-01,  6.530014145774055e-02, -3.326610848207611e-01,  9.669663796486085e-01,  2.772814466872241e-01, -1.322339733947624e-01
  1.007000000000000e+01,  8.174359923955112e-01,  6.537817022591486e-02, -3.327326627988100e-01,  9.667904883723978e-01,  2.775283750205877e-01, -1.328291378504700e-01
  1.008000000000000e+01,  8.173529296040810e-01,  6.523063884298819e-02, -3.327827674393770e-01,  9.669654420206805e-01,  2.760567444628054e-01, -1.314051453166308e-01
  1.009000000000000e+01,  8.180224836091026e-01,  6.539916244352928e-02, -3.331807176347514e-01,  9.669512214374220e-01,  2.764307694695431e-01, -1.319632115258590e-01
