Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.000000000000000e+01, -1.045448943165905e-01,  3.332634635012233e-02,  2.768888978937543e-01, -2.335594019406929e-02,  2.924821177107453e-02,  1.045883182671567e-01
  1.001000000000000e+01, -1.042381540447918e-01,  3.309242937174139e-02,  2.746449264265400e-01, -2.277924285812965e-02,  2.975552214983019e-02,  1.027653860290127e-01
  1.002000000000000e+01, -1.036755000303600e-01,  3.298493362838473e-02,  2.721836581187178e-01, -2.180640656987386e-02,  2.954806917076067e-02,  1.018695425283772e-01
  1.003000000000000e+01, -1.030745296568432e-01,  3.290687622937494e-02,  2.705596340665484e-01, -2.117515122618733e-02,  2.951136162734152e-02,  1.001369980805363e-01
  1.004000000000000e+01, -1.029766499780852e-01,  3.255149232404819e-02,  2.693970047538249e-01, -2.076161454715212e-02,  2.962668223496045e-02,  9.771883200492269e-02
  1.005000000000000e+01, -1.031025684262743e-01,  3.254212185808592e-02,  2.690527107418436e-01, -2.055366463983173e-02,  3.026131637707084e-02,  9.433896298049202e-02
  1.006000000000000e+01, -1.030408472352807e-01,  3.214172072586052e-02,  2.678583436219830e-01, -2.013650574262980e-02,  3.066466866899214e-02,  9.192213044695043e-02
  1.007000000000000e+01, -1.024464394983442e-01,  3.156191678013509e-02,  2.654215668389736e-01, -1.961043218756331e-02,  3.078170723318670e-02,  9.029513969738290e-02
  1.008000000000000e+01, -1.018279767652893e-01,  3.150132502156633e-02,  2.633201701650224e-01, -1.898555901662889e-02,  3.108955913800161e-02,  8.845598925839676e-02
  1.009000000000000e+01, -1.020498750929702e-01,  3.145152400380580e-02,  2.620050197772473e-01, -1.875340373098833e-02,  3.177434560801178e-02,  8.577447515638026e-02
  1.010000000000000e+01, -1.023617129087012e-01,  3.101381421064886e-02,  2.602991450963328e-01, -1.840859371639244e-02,  3.248362373246132e-02,  8.381364393962598e-02
  1.011000000000000e+01, -1.022554748027632e-01,  3.064473885417085e-02,  2.587197357514728e-01, -1.755202202384488e-02,  3.216640059734934e-02,  8.292958306455871e-02
  1.012000000000000e+01, -1.018234172457773e-01,  3.019494897156205e-02,  2.569118842166742e-01, -1.702667198223749e-02,  3.231828463187969e-02,  8.233663562696596e-02
  1.013000000000000e+01, -1.023324403687127e-01,  3.020736829334658e-02,  2.551131942737228e-01, -1.663445418064984e-02,  3.272928109499395e-02,  8.081818870882049e-02
  1.014000000000000e+01, -1.026722360886446e-01,  2.975321035922041e-02,  2.529253719973579e-01, -1.621040508671126e-02,  3.292747577312775e-02,  8.016236858752003e-02
  1.015000000000000e+01, -1.030607364864398e-01,  2.931371723054044e-02,  2.513970196066616e-01, -1.568451335813398e-02,  3.302329862339259e-02,  7.894159831150083e-02
  1.016000000000000e+01, -1.031625035546542e-01,  2.899522380369679e-02,  2.497960242938219e-01, -1.513799172624885e-02,  3.292213549348259e-02,  7.744942336206952e-02
  1.017000000000000e+01, -1.025618189416610e-01,  2.907134688340252e-02,  2.480472738608081e-01, -1.462720535250906e-02,  3.284561914898533e-02,  7.683521329358083e-02
  1.018000000000000e+01, -1.020288006424149e-01,  2.891048862295187e-02,  2.463950707796843e-01, -1.377175616216821e-02,  3.294881426495419e-02,  7.526797700164295e-02
  1.019000000000000e+01, -1.019488809260010e-01,  2.908724567416043e-02,  2.451568069792256e-01, -1.331705939512346e-02,  3.301444468220857e-02,  7.367842102522908e-02
  1.020000000000000e+01, -1.018955813625618e-01,  2.894132080742762e-02,  2.429843093436956e-01, -1.262947628608070e-02,  3.278306474045561e-02,  7.326730743809366e-02
  1.021000000000000e+01, -1.017096467436339e-01,  2.901692058527283e-02,  2.407166528725987e-01, -1.218586971685208e-02,  3.299195117971900e-02,  7.286585959350397e-02
  1.022000000000000e+01, -1.012997698570122e-01,  2.930629684835195e-02,  2.408074892589923e-01, -1.158652847932216e-02,  3.343168229244390e-02,  6.887867727135227e-02
  1.023000000000000e+01, -1.013225728950450e-01,  2.891834252630932e-02,  2.403999400545583e-01, -1.131504330634934e-02,  3.366402830887438e-02,  6.730238548154203e-02
  1.024000000000000e+01, -1.016116296185133e-01,  2.906639517789422e-02,  2.398508710799374e-01, -1.125102844591572e-02,  3.366110624246494e-02,  6.627113676871513e-02
  1.025000000000000e+01, -1.018994204213397e-01,  2.939211170706657e-02,  2.389960935001488e-01, -1.132843035249631e-02,  3.385616377843495e-02,  6.537289438136208e-02
  1.026000000000000e+01, -1.014194701366961e-01,  2.950378848550583e-02,  2.393491982988487e-01, -1.147624266300115e-02,  3.429825919396500e-02,  6.295682306297591e-02
  1.027000000000000e+01, -1.013150332490946e-01,  2.910752755066359e-02,  2.375916296841810e-01, -1.153924029219536e-02,  3.426988306353996e-02,  6.472520822648931e-02
