Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.000000000000000e+01,  1.938481594164659e-01,  8.283258758941663e-01,  9.346149153867412e-01,  1.185550981157381e+00, -1.213110282118408e+00, -1.225509208189547e+00,  3.482575161621539e-05,  5.551118190663600e-17, -3.641585605508485e-03,  1.115875716105613e-04,  2.238076238403894e-05, -1.166825339507600e-02,  1.970510851877578e-04,  4.933097852096635e-05, -2.060482149182343e-02,  2.835182090300393e-04,  7.730386445199008e-05, -2.964633298608033e-02,  3.657299508502346e-04,  1.048990978632152e-04, -3.824287668498652e-02,  4.475588631644944e-04,  1.301372157494750e-04, -4.679938947712217e-02,  4.901158691399168e-04,  1.574864553175116e-04, -5.124940055172834e-02,  2.331518972065456e-15,  2.664593110931950e-15,  2.282706846745298e-02,  2.553568397976452e-15,  3.219716675709439e-15,  2.282706846745315e-02,  2.553568397976452e-15,  3.108691962753941e-15,  2.282706846745326e-02,  2.331518972065455e-15,  2.886642536842945e-15,  2.282706846745292e-02,  2.220494259109957e-15,  3.330741388664936e-15,  2.282706846745292e-02,  2.664593110931950e-15,  2.831130180365196e-15,  2.282706846745282e-02, -5.551115123125783e-17,  1.110223024625157e-16
  1.001000000000000e+01,  1.936091209982797e-01,  8.284139587875383e-01,  9.346738665723484e-01,  1.183286655255778e+00, -1.215366478838523e+00, -1.227920324313362e+00,  4.811576329289242e-05,  1.221246008983613e-15, -3.660375273600485e-03,  1.541710065963056e-04,  1.364635854054155e-05, -1.172845865516353e-02,  2.722486358991257e-04,  3.007887794257948e-05, -2.071113720120760e-02,  3.917128676940450e-04,  4.713495602639852e-05, -2.979930062636341e-02,  5.052978019973379e-04,  6.396076573827280e-05, -3.844020033398244e-02,  6.183538135061983e-04,  7.934935704781279e-05, -4.704086258539413e-02,  6.771511898999005e-04,  9.602517543450769e-05, -5.151383460068805e-02,  2.553568397976452e-15,  3.330741388664937e-15,  2.282706846745309e-02,  2.331518972065456e-15,  2.997667249798443e-15,  2.282706846745304e-02,  2.553568397976452e-15,  2.997667249798443e-15,  2.282706846745293e-02,  2.331518972065455e-15,  2.997667249798442e-15,  2.282706846745314e-02,  2.664593110931950e-15,  3.053179606276192e-15,  2.282706846745304e-02,  2.664593110931950e-15,  2.997667249798443e-15,  2.282706846745326e-02,  5.551115123125781e-17,  1.110223024625156e-16
  1.002000000000000e+01,  1.933806720382814e-01,  8.285154229761262e-01,  9.347177013910217e-01,  1.181361213191674e+00, -1.217468518192179e+00, -1.230074184174200e+00,  5.718575450483571e-05,  1.149081477517521e-14, -3.675700045952840e-03,  1.832327854450538e-04, -1.073766265795544e-05, -1.177756180611162e-02,  3.235684645591801e-04, -2.366762120635395e-05, -2.079784783620240e-02,  4.655521256128653e-04, -3.708822807799204e-05, -2.992406037550824e-02,  6.005482208417659e-04, -5.032764787141608e-05, -3.860113665303792e-02,  7.349156894765669e-04, -6.243618970684414e-05, -4.723780701347739e-02,  8.047965788552809e-04, -7.555758860385319e-05, -5.172950587305043e-02,  2.664593110931950e-15,  3.108691962753941e-15,  2.282706846745309e-02,  2.553568397976452e-15,  2.775617823887448e-15,  2.282706846745321e-02,  2.442543685020953e-15,  3.108691962753941e-15,  2.282706846745282e-02,  2.664593110931950e-15,  3.108691962753941e-15,  2.282706846745315e-02,  2.331518972065456e-15,  2.831130180365196e-15,  2.282706846745326e-02,  2.553568397976452e-15,  3.164204319231690e-15,  2.282706846745326e-02,  5.551115123125781e-17, -1.110223024625157e-16
  1.003000000000000e+01,  1.931422671438571e-01,  8.286049565921716e-01,  9.347408919491355e-01,  1.179656934452718e+00, -1.219493652932806e+00, -1.232224631745416e+00,  6.396666795837351e-05,  1.199041545150856e-14, -3.684816464823353e-03,  2.049599738156749e-04, -4.269133327288772e-05, -1.180677234708991e-02,  3.619362324464900e-04, -9.409890552571889e-05, -2.084943036207681e-02,  5.207558857246030e-04, -1.474572217485399e-04, -2.999827760369441e-02,  6.717594088029031e-04, -2.000951653153799e-04, -3.869687464217250e-02,  8.220597646482178e-04, -2.482369079791031e-04, -4.735496554937573e-02,  9.002269180989101e-04, -3.004056180227524e-04, -5.185780465644380e-02,  2.553568397976452e-15,  2.886642536842946e-15,  2.282706846745332e-02,  2.442543685020953e-15,  2.886642536842945e-15,  2.282706846745287e-02,  2.442543685020953e-15,  3.108691962753940e-15,  2.282706846745303e-02,  2.331518972065456e-15,  2.997667249798443e-15,  2.282706846745293e-02,  2.442543685020953e-15,  2.997667249798443e-15,  2.282706846745315e-02,  2.553568397976452e-15,  3.330741388664937e-15,  2.282706846745348e-02, -5.551115123125780e-17,  1.110223024625156e-16
  1.004000000000000e+01,  1.929019276360803e-01,  8.286203525262965e-01,  9.347706074138136e-01,  1.177592588949901e+00, -1.221452912438102e+00, -1.234277907261974e+00,  7.493333848806719e-05, -1.909584690771725e-14, -3.697810015516614e-03,  2.400990325321569e-04, -6.860009518741890e-05, -1.184840587122366e-02,  4.239878529698650e-04, -1.512061905515111e-04, -2.092295047723025e-02,  6.100361061064944e-04, -2.369469086028878e-04, -3.010405875868251e-02,  7.869282041895498e-04, -3.215300700956443e-04, -3.883332914629813e-02,  9.629965815857464e-04, -3.988883504307009e-04, -4.752195056824711e-02,  1.054564986721703e-03, -4.827175072191997e-04, -5.204066777094397e-02,  2.331518972065456e-15,  2.997667249798443e-15,  2.282706846745299e-02,  2.664593110931950e-15,  3.330741388664937e-15,  2.282706846745326e-02,  2.553568397976452e-15,  2.775617823887448e-15,  2.282706846745293e-02,  2.553568397976452e-15,  3.219716675709439e-15,  2.282706846745315e-02,  2.775617823887447e-15,  2.942154893320694e-15,  2.282706846745337e-02,  2.331518972065456e-15,  2.997667249798443e-15,  2.282706846745315e-02,  1.665334536937735e-16, -1.110223024625156e-16
  1.005000000000000e+01,  1.926637102370824e-01,  8.286799293297783e-01,  9.348248068636560e-01,  1.175600578826525e+00, -1.223720703591142e+00, -1.235956133378854e+00,  7.785037743301493e-05, -4.618530444326378e-14, -3.718375908296497e-03,  2.494457164126372e-04, -8.245019323047045e-05, -1.191430245419981e-02,  4.404930441274121e-04, -1.817341447167194e-04, -2.103931642187878e-02,  6.337838679149123e-04, -2.847855872724565e-04, -3.027148673392012e-02,  8.175621016999220e-04, -3.864457670028513e-04, -3.904930619184238e-02,  1.000484548635329e-03, -4.794223895805102e-04, -4.778625060914272e-02,  1.095617570132421e-03, -5.801763338979067e-04, -5.233009929588440e-02,  2.553568397976452e-15,  2.997667249798443e-15,  2.282706846745304e-02,  2.442543685020953e-15,  2.997667249798442e-15,  2.282706846745298e-02,  2.553568397976451e-15,  3.108691962753940e-15,  2.282706846745309e-02,  2.553568397976451e-15,  2.886642536842945e-15,  2.282706846745326e-02,  2.442543685020953e-15,  3.386253745142686e-15,  2.282706846745304e-02,  2.553568397976452e-15,  2.886642536842946e-15,  2.282706846745337e-02,  0.000000000000000e+00,  0.000000000000000e+00
  1.006000000000000e+01,  1.924264206067958e-01,  8.287628875787973e-01,  9.348700791767518e-01,  1.173251721760019e+00, -1.225793082598309e+00, -1.238026317831740e+00,  9.023405830566355e-05, -2.520207733376148e-14, -3.737202175254979e-03,  2.891251149223238e-04, -8.636762137699744e-05, -1.197462498324620e-02,  5.105623934579798e-04, -1.903688177065267e-04, -2.114583921506717e-02,  7.346000415973700e-04, -2.983165086408080e-04, -3.042475232758548e-02,  9.476119294272012e-04, -4.048068341545034e-04, -3.924701419177470e-02,  1.159631900148275e-03, -5.022010235979619e-04, -4.802819406358223e-02,  1.269897757442427e-03, -6.077420560702924e-04, -5.259504841479156e-02,  2.553568397976452e-15,  2.886642536842945e-15,  2.282706846745298e-02,  2.553568397976452e-15,  2.886642536842946e-15,  2.282706846745315e-02,  2.331518972065456e-15,  2.775617823887447e-15,  2.282706846745304e-02,  2.664593110931949e-15,  3.330741388664936e-15,  2.282706846745314e-02,  2.442543685020953e-15,  3.164204319231690e-15,  2.282706846745326e-02,  2.553568397976452e-15,  2.831130180365196e-15,  2.282706846745304e-02,  0.000000000000000e+00,  1.110223024625157e-16
  1.007000000000000e+01,  1.921674144151621e-01,  8.288297497518077e-01,  9.348709571618578e-01,  1.171016083213899e+00, -1.227667990413133e+00, -1.240755653885913e+00,  1.081237432859289e-04,  1.487699722031018e-14, -3.742700509044716e-03,  3.464466776669884e-04, -8.199734711446936e-05, -1.199224257044844e-02,  6.117858181183630e-04, -1.807359955133869e-04, -2.117694989009860e-02,  8.802408740343629e-04, -2.832214425700583e-04, -3.046951454171637e-02,  1.135484216999805e-03, -3.843232681117150e-04, -3.930475609990512e-02,  1.389538986661939e-03, -4.767892296878068e-04, -4.809885522410154e-02,  1.521666006914228e-03, -5.769897972263598e-04, -5.267242852933917e-02,  2.553568397976452e-15,  2.997667249798443e-15,  2.282706846745315e-02,  2.220494259109958e-15,  3.219716675709439e-15,  2.282706846745315e-02,  2.553568397976452e-15,  2.997667249798443e-15,  2.282706846745320e-02,  2.220494259109957e-15,  3.219716675709438e-15,  2.282706846745314e-02,  2.775617823887447e-15,  2.775617823887447e-15,  2.282706846745326e-02,  2.109469546154460e-15,  3.108691962753941e-15,  2.282706846745304e-02, -1.110223024625156e-16,  0.000000000000000e+00
  1.008000000000000e+01,  1.919521100718517e-01,  8.289632346423672e-01,  9.349065408190913e-01,  1.168852682901395e+00, -1.230008874986886e+00, -1.243233867089000e+00,  1.189756189129658e-04,  9.436901264222753e-16, -3.756745195368611e-03,  3.812179143108291e-04, -7.392566939053982e-05, -1.203724410981677e-02,  6.731879063561461e-04, -1.629446551575485e-04, -2.125641754068754e-02,  9.685865437835284e-04, -2.553416111593894e-04, -3.058385304393199e-02,  1.249447470283993e-03, -3.464911469503763e-04, -3.945224932405710e-02,  1.529000531907422e-03, -4.298549183401352e-04, -4.827934878104814e-02,  1.674388524701306e-03, -5.201919143617734e-04, -5.287008466779315e-02,  2.442543685020953e-15,  2.664593110931949e-15,  2.282706846745292e-02,  2.553568397976452e-15,  3.219716675709439e-15,  2.282706846745315e-02,  2.442543685020954e-15,  2.997667249798443e-15,  2.282706846745293e-02,  2.775617823887448e-15,  2.886642536842946e-15,  2.282706846745299e-02,  2.442543685020954e-15,  3.164204319231691e-15,  2.282706846745304e-02,  2.442543685020954e-15,  2.831130180365197e-15,  2.282706846745315e-02, -5.551115123125783e-17,  0.000000000000000e+00
  1.009000000000000e+01,  1.917561015092633e-01,  8.290768103127298e-01,  9.349560009408071e-01,  1.166693539017328e+00, -1.232161132437241e+00, -1.244862668590896e+00,  1.262393969660994e-04, -4.024560862501732e-14, -3.779638145105153e-03,  4.044922820261478e-04, -8.299782113340628e-05, -1.211059697532236e-02,  7.142878186595461e-04, -1.829412090722052e-04, -2.138595044074319e-02,  1.027721328569461e-03, -2.866771114707486e-04, -3.077022570875548e-02,  1.325729561621194e-03, -3.890125103830683e-04, -3.969266444871643e-02,  1.622350081196728e-03, -4.826066766168691e-04, -4.857355470984985e-02,  1.776614397726910e-03, -5.840298209751354e-04, -5.319226574003192e-02,  2.442543685020953e-15,  3.108691962753941e-15,  2.282706846745298e-02,  2.442543685020954e-15,  2.997667249798443e-15,  2.282706846745337e-02,  2.553568397976451e-15,  3.108691962753940e-15,  2.282706846745309e-02,  2.442543685020953e-15,  3.108691962753941e-15,  2.282706846745293e-02,  2.664593110931950e-15,  2.942154893320694e-15,  2.282706846745326e-02,  2.109469546154460e-15,  3.108691962753940e-15,  2.282706846745292e-02, -1.665334536937735e-16, -1.110223024625157e-16
