Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  7.000000000000000e+00,  2.912426805344162e-02, -3.684879086468780e-01,  1.313834117473514e-01,  8.034589731471217e-02,  7.904732452217942e-01,  5.229108047604920e-02,  2.835515054167798e-01,  3.664503951722064e-01, -1.495528822366113e-01,  1.296655196324987e+00,  4.431817617453976e-01, -1.259847491008788e+00, -2.835664079041318e+00
  7.010000000000000e+00,  3.077793996160281e-02, -3.705008219547710e-01,  1.329853649938311e-01,  8.316002999535903e-02,  7.926736908939348e-01,  5.334489520492176e-02,  2.922527620230195e-01,  3.611949785134377e-01, -1.503846839822639e-01,  1.329871451306812e+00,  4.500941464414200e-01, -1.171253704525716e+00, -2.801800992669983e+00
  7.020000000000000e+00,  3.245305252627673e-02, -3.724565211680007e-01,  1.345769022182905e-01,  8.599298680272241e-02,  7.949160200525485e-01,  5.437786595601725e-02,  3.013509593663471e-01,  3.573507174107192e-01, -1.504214000683428e-01,  1.362894501792147e+00,  4.598549437611062e-01, -1.082108140512254e+00, -2.770108930326219e+00
  7.030000000000000e+00,  3.415785687837715e-02, -3.743677771899875e-01,  1.361671823309410e-01,  8.885950060993288e-02,  7.972108837049301e-01,  5.539573375292856e-02,  3.108760361328616e-01,  3.547905816735554e-01, -1.496820868502382e-01,  1.395861064785055e+00,  4.722699790843158e-01, -9.919008570217379e-01, -2.740639850109668e+00
  7.040000000000000e+00,  3.589378320352645e-02, -3.762353603949791e-01,  1.377571340298874e-01,  9.176169014102925e-02,  7.995603943898952e-01,  5.639871780035804e-02,  3.208302241113288e-01,  3.534524795203192e-01, -1.481482799904778e-01,  1.428790638073794e+00,  4.870347417685674e-01, -9.008167769740067e-01, -2.713781035569731e+00
  7.050000000000000e+00,  3.766052383659969e-02, -3.780569107112783e-01,  1.393455253981310e-01,  9.469841314440894e-02,  8.019645001301103e-01,  5.738563568192636e-02,  3.312067838137212e-01,  3.532915728626329e-01, -1.457903246045695e-01,  1.461640293421610e+00,  5.039000946026934e-01, -8.095641587839337e-01, -2.689965669968573e+00
  7.060000000000000e+00,  3.945822134209440e-02, -3.798312950550498e-01,  1.409318581834404e-01,  9.766948326868956e-02,  8.044236569518225e-01,  5.835579394936202e-02,  3.419958009184757e-01,  3.542470271843767e-01, -1.425851580532950e-01,  1.494389281441158e+00,  5.224581676850912e-01, -7.190695783259544e-01, -2.669689049993201e+00
  7.070000000000000e+00,  4.128770393785886e-02, -3.815588416397386e-01,  1.425165912643741e-01,  1.006760740264716e-01,  8.069391517530988e-01,  5.930909980298962e-02,  3.531862262343037e-01,  3.562489296220493e-01, -1.385151939436942e-01,  1.527011652275288e+00,  5.422950925623125e-01, -6.305519793797201e-01, -2.653372174429109e+00
  7.080000000000000e+00,  4.315006269126481e-02, -3.832408249348693e-01,  1.441007370504879e-01,  1.037200050220032e-01,  8.095125385083105e-01,  6.024578828098766e-02,  3.647635342153711e-01,  3.592163361146063e-01, -1.335689895855700e-01,  1.559473939628377e+00,  5.629427726801532e-01, -5.454863855456357e-01, -2.641354906770586e+00
  7.090000000000000e+00,  4.504651417625812e-02, -3.848793852309607e-01,  1.456857742717995e-01,  1.068035391501565e-01,  8.121454412255007e-01,  6.116635815089663e-02,  3.767091174669417e-01,  3.630580303811229e-01, -1.277421967376708e-01,  1.591732089051009e+00,  5.838826742644906e-01, -4.654951395481673e-01, -2.633843055822946e+00
  7.100000000000000e+00,  4.697823585553557e-02, -3.864772428897288e-01,  1.472734519677601e-01,  1.099290796677985e-01,  8.148393442607862e-01,  6.207144456819182e-02,  3.890002003983936e-01,  3.676764127798789e-01, -1.210366900131398e-01,  1.623729028171025e+00,  6.045664524829484e-01, -3.921732373767906e-01, -2.630853544265810e+00
  7.110000000000000e+00,  4.894588052502097e-02, -3.880367579258276e-01,  1.488651434650050e-01,  1.130982269757623e-01,  8.175949908376227e-01,  6.296143333795884e-02,  4.016082441175582e-01,  3.729674526676043e-01, -1.134585153618701e-01,  1.655392560216689e+00,  6.243822188751604e-01, -3.269611895150680e-01, -2.632234110560280e+00
  7.120000000000000e+00,  5.095117181108984e-02, -3.895616660440949e-01,  1.504633567903107e-01,  1.163144890441001e-01,  8.204145468361874e-01,  6.383732475512513e-02,  4.145108798093463e-01,  3.788584186939904e-01, -1.050087203959000e-01,  1.686645922109897e+00,  6.430158512656003e-01, -2.705763677039495e-01, -2.637399941983552e+00
  7.130000000000000e+00,  5.299455408910270e-02, -3.910537364629689e-01,  1.520691460273683e-01,  1.195790556441128e-01,  8.232985248080610e-01,  6.469922917046557e-02,  4.276775169271148e-01,  3.852740446259751e-01, -9.568655166475745e-02,  1.717400640844443e+00,  6.600371268539101e-01, -2.234543276883597e-01, -2.645772240764888e+00
  7.140000000000000e+00,  5.507697744082250e-02, -3.925151513894256e-01,  1.536839994002834e-01,  1.228939565907341e-01,  8.262481423965184e-01,  6.554746554943014e-02,  4.410805964545185e-01,  3.921684559938267e-01, -8.548384085762833e-02,  1.747569051295968e+00,  6.752349775445127e-01, -1.854040230888640e-01, -2.656592290054502e+00
  7.150000000000000e+00,  5.719961843774003e-02, -3.939483971981986e-01,  1.553096709239160e-01,  1.262616502910189e-01,  8.292649145385823e-01,  6.638246095197325e-02,  4.546925489677549e-01,  3.995169255828526e-01, -7.438764826324215e-02,  1.777065796803269e+00,  6.885336565904779e-01, -1.558281078451665e-01, -2.669086336410831e+00
  7.160000000000000e+00,  5.936399727442176e-02, -3.953568037210899e-01,  1.569484935397950e-01,  1.296853550722868e-01,  8.323507505498976e-01,  6.720492527956452e-02,  4.684848640179610e-01,  4.073098637250913e-01, -6.238384678129164e-02,  1.805809418764409e+00,  6.999631767133587e-01, -1.339006840775710e-01, -2.682544569354898e+00
