Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.700000000000000e+01,  1.911927227045394e-01,  8.531342806501441e-01,  9.290796340039101e-01,  1.141401785679541e+00, -1.237631497889152e+00, -1.268390144454748e+00,  9.119983044600332e-04,  6.661342849258404e-16, -4.013379691266212e-03,  2.922196115951559e-03,  1.785798806081453e-04, -1.285954424288798e-02,  5.160269261780234e-03,  3.936202039624971e-04, -2.270850697351636e-02,  7.424624420710028e-03,  6.168205822223032e-04, -3.267312748235574e-02,  9.577541893185462e-03,  8.370076072849721e-04, -4.214735042634587e-02,  1.172043402970533e-02,  1.038386809725817e-03, -5.157745543774193e-02,  1.283489432103976e-02,  1.256611008397180e-03, -5.648179821788979e-02,  3.290397238129873e-03,  4.074233181671514e-03,  4.776172528496728e-02,  3.290397238131206e-03,  4.074233181677399e-03,  4.776172528497406e-02,  3.290397238132094e-03,  4.074233181682617e-03,  4.776172528497973e-02,  3.290397238132427e-03,  4.074233181687113e-03,  4.776172528498382e-02,  3.290397238131982e-03,  4.074233181691166e-03,  4.776172528498665e-02,  3.290397238130984e-03,  4.074233181694887e-03,  4.776172528498761e-02,  3.115142142382575e-02,  7.313560239880737e-02
  1.701000000000000e+01,  1.910991382492798e-01,  8.532093546800376e-01,  9.291714518852812e-01,  1.143080135220405e+00, -1.238023221325515e+00, -1.268684564295706e+00,  8.495160569918175e-04,  1.026957006247282e-14, -3.979353829866724e-03,  2.721992475223826e-03,  2.205459110211737e-04, -1.275051965409482e-02,  4.806732177892431e-03,  4.861204195086186e-04, -2.251598182732080e-02,  6.915953277100931e-03,  7.617725847688320e-04, -3.239612121976763e-02,  8.921371437707680e-03,  1.033703262908205e-03, -4.179002069025372e-02,  1.091745111178821e-02,  1.282406305560141e-03, -5.114017626462763e-02,  1.195555820875873e-02,  1.551912895771698e-03, -5.600293950303430e-02,  4.094256465937095e-03,  4.091844707899295e-03,  4.764178009143896e-02,  4.094256465950865e-03,  4.091844707941489e-03,  4.764178009151392e-02,  4.094256465960082e-03,  4.091844707978520e-03,  4.764178009157495e-02,  4.094256465964969e-03,  4.091844708011719e-03,  4.764178009162248e-02,  4.094256465965081e-03,  4.091844708040701e-03,  4.764178009165641e-02,  4.094256465960251e-03,  4.091844708065627e-03,  4.764178009167623e-02,  3.059490317913708e-02,  7.281851106680276e-02
  1.702000000000000e+01,  1.910049403905466e-01,  8.532858946398751e-01,  9.292656088288623e-01,  1.144756772672456e+00, -1.238410284218812e+00, -1.268987492496435e+00,  7.865771351447871e-04, -3.719249640306805e-14, -3.945123517917432e-03,  2.520325573538780e-03,  2.647783007699264e-04, -1.264083997078880e-02,  4.450611140184779e-03,  5.836160737105316e-04, -2.232229985779073e-02,  6.403564326329768e-03,  9.145526646624016e-04, -3.211745051316098e-02,  8.260405123011370e-03,  1.241021392122604e-03, -4.143054387139159e-02,  1.010859930262510e-02,  1.539603981022766e-03, -5.070026961731630e-02,  1.106979515014527e-02,  1.863162449082683e-03, -5.552120347514351e-02,  4.911754926992559e-03,  4.106962495759569e-03,  4.752307298031887e-02,  4.911754927068070e-03,  4.106962495966320e-03,  4.752307298068642e-02,  4.911754927118596e-03,  4.106962496149085e-03,  4.752307298098288e-02,  4.911754927143473e-03,  4.106962496307700e-03,  4.752307298120739e-02,  4.911754927141366e-03,  4.106962496443828e-03,  4.752307298135992e-02,  4.911754927112444e-03,  4.106962496557528e-03,  4.752307298143988e-02,  3.000750945778153e-02,  7.250423759121696e-02
  1.703000000000000e+01,  1.909095066060452e-01,  8.533644767835524e-01,  9.293626453438902e-01,  1.146446700240341e+00, -1.238792226940417e+00, -1.269304726366762e+00,  7.227240963554297e-04, -2.181589680811905e-14, -3.910369206636051e-03,  2.315729686327104e-03,  3.121516623515191e-04, -1.252948130658820e-02,  4.089317843528723e-03,  6.880349599840940e-04, -2.212565299750964e-02,  5.883733500156880e-03,  1.078181760852709e-03, -3.183451390530535e-02,  7.589839013145780e-03,  1.463061321070234e-03, -4.106556416867397e-02,  9.287999827272311e-03,  1.815065436018535e-03, -5.025362886413062e-02,  1.017116737607891e-02,  2.196514041425716e-03, -5.503209301669181e-02,  5.749907074567974e-03,  4.118869622573786e-03,  4.740565063111638e-02,  5.749907074586742e-03,  4.118869622617869e-03,  4.740565063120457e-02,  5.749907074598846e-03,  4.118869622655787e-03,  4.740565063127586e-02,  5.749907074605287e-03,  4.118869622688320e-03,  4.740565063132911e-02,  5.749907074605510e-03,  4.118869622715801e-03,  4.740565063136426e-02,  5.749907074599237e-03,  4.118869622737342e-03,  4.740565063138147e-02,  2.937711175073314e-02,  7.219298573558146e-02
  1.704000000000000e+01,  1.908129425171511e-01,  8.534451451894985e-01,  9.294628471653580e-01,  1.148142945354154e+00, -1.239168231085661e+00, -1.269635013825575e+00,  6.580522908926239e-04,  4.548586660099045e-13, -3.875212449688600e-03,  2.108510324207649e-03,  3.628689261421357e-04, -1.241683313957141e-02,  3.723391782101212e-03,  7.998243705537404e-04, -2.192672902082577e-02,  5.357237023983105e-03,  1.253360799974794e-03, -3.154830096962029e-02,  6.910674414123163e-03,  1.700774186176824e-03, -4.069635810121513e-02,  8.456878024546446e-03,  2.109970643721495e-03, -4.980181613183210e-02,  9.261016737211223e-03,  2.553395623043046e-03, -5.453731878816556e-02,  6.608570924150680e-03,  4.127100851888782e-03,  4.729013584583817e-02,  6.608570924216865e-03,  4.127100852124066e-03,  4.729013584610282e-02,  6.608570924283600e-03,  4.127100852350300e-03,  4.729013584629999e-02,  6.608570924351001e-03,  4.127100852566483e-03,  4.729013584642943e-02,  6.608570924418624e-03,  4.127100852772563e-03,  4.729013584648992e-02,  6.608570924487130e-03,  4.127100852968924e-03,  4.729013584648175e-02,  2.869995732071565e-02,  7.188633033590856e-02
  1.705000000000000e+01,  1.907161478533113e-01,  8.535278647194346e-01,  9.295655549063354e-01,  1.149835104358856e+00, -1.239535022512437e+00, -1.269977542045774e+00,  5.929305714743239e-04, -1.413869911176562e-13, -3.839831331558034e-03,  1.899849374434917e-03,  4.167684288599720e-04, -1.230346608046986e-02,  3.354920044244361e-03,  9.186279744778891e-04, -2.172653556124305e-02,  4.827077817068677e-03,  1.439531396900334e-03, -3.126026149478343e-02,  6.226785004734958e-03,  1.953402277191262e-03, -4.032479585400076e-02,  7.619974277032731e-03,  2.423379596813305e-03, -4.934712004743522e-02,  8.344534368569127e-03,  2.932669645585165e-03, -5.403938704258136e-02,  7.483453060271895e-03,  4.131687364074146e-03,  4.717729127154791e-02,  7.483453060306649e-03,  4.131687363982322e-03,  4.717729127154020e-02,  7.483453060266558e-03,  4.131687363864900e-03,  4.717729127129248e-02,  7.483453060150180e-03,  4.131687363724935e-03,  4.717729127080518e-02,  7.483453059958738e-03,  4.131687363564980e-03,  4.717729127007833e-02,  7.483453059692007e-03,  4.131687363388199e-03,  4.717729126911410e-02,  2.798004778302266e-02,  7.158613970595486e-02
  1.706000000000000e+01,  1.906197831294134e-01,  8.536123730335839e-01,  9.296705705094590e-01,  1.151508948234925e+00, -1.239890524486085e+00, -1.270329856765019e+00,  5.277253937917155e-04, -3.359536937591313e-13, -3.804481790637068e-03,  1.690921008527731e-03,  4.741208505619815e-04, -1.219020019953663e-02,  2.985976078880394e-03,  1.045042394185839e-03, -2.152652077072420e-02,  4.296239166151917e-03,  1.637628484526392e-03, -3.097247908986542e-02,  5.542019132716033e-03,  2.222214269264049e-03, -3.995356521897094e-02,  6.781997965688821e-03,  2.756866203978703e-03, -4.889282976985385e-02,  7.426877448366296e-03,  3.336240779741775e-03, -5.354189968977263e-02,  8.370655377673170e-03,  4.131748184724838e-03,  4.706823026669965e-02,  8.370655377748787e-03,  4.131748184596597e-03,  4.706823026675946e-02,  8.370655377696479e-03,  4.131748184424657e-03,  4.706823026647271e-02,  8.370655377513919e-03,  4.131748184214683e-03,  4.706823026583976e-02,  8.370655377201769e-03,  4.131748183969948e-03,  4.706823026486096e-02,  8.370655376760811e-03,  4.131748183694953e-03,  4.706823026353930e-02,  2.721333586480822e-02,  7.129525284533063e-02
  1.707000000000000e+01,  1.905244369436219e-01,  8.536986140580092e-01,  9.297776483713095e-01,  1.153153623326691e+00, -1.240233070262289e+00, -1.270689664992004e+00,  4.627246655577139e-04, -2.210455370341008e-13, -3.769353789962879e-03,  1.482647731535816e-03,  5.348530097994270e-04, -1.207764417100954e-02,  2.618188926170821e-03,  1.178906325532416e-03, -2.132775949966196e-02,  3.767064943477949e-03,  1.847399292047300e-03, -3.068650025576618e-02,  4.859400322787338e-03,  2.506867159771244e-03, -3.958466113585775e-02,  5.946649102832589e-03,  3.110004938081179e-03, -4.844138658973563e-02,  6.512097812241460e-03,  3.763594070913260e-03, -5.304753015573808e-02,  9.267000290531803e-03,  4.127102485732492e-03,  4.696343202246438e-02,  9.267000290595424e-03,  4.127102485601584e-03,  4.696343202250303e-02,  9.267000290548895e-03,  4.127102485438141e-03,  4.696343202226916e-02,  9.267000290392209e-03,  4.127102485245102e-03,  4.696343202176264e-02,  9.267000290124696e-03,  4.127102485026462e-03,  4.696343202098462e-02,  9.267000289747532e-03,  4.127102484784670e-03,  4.696343201993600e-02,  2.640100470284153e-02,  7.101474331080254e-02
  1.708000000000000e+01,  1.904306731861887e-01,  8.537865628165550e-01,  9.298865386599076e-01,  1.154758664514316e+00, -1.240561299324404e+00, -1.271054347911766e+00,  3.982046202398973e-04,  7.327476269257127e-14, -3.734629595769115e-03,  1.275914642855717e-03,  5.988004411647480e-04, -1.196638200618079e-02,  2.253121572308835e-03,  1.319857259181287e-03, -2.113128304608356e-02,  3.241803982536681e-03,  2.068275751121626e-03, -3.040380882981691e-02,  4.181829502530298e-03,  2.806590096607052e-03, -3.921999771008303e-02,  5.117477673550436e-03,  3.481839484616171e-03, -4.799513287694449e-02,  5.604083002626729e-03,  4.213572228917458e-03, -5.255884353910241e-02,  1.016931189441440e-02,  4.117717737833367e-03,  4.686315215934778e-02,  1.016931189445337e-02,  4.117717737749427e-03,  4.686315215943052e-02,  1.016931189445304e-02,  4.117717737658825e-03,  4.686315215942968e-02,  1.016931189441373e-02,  4.117717737562557e-03,  4.686315215934539e-02,  1.016931189433517e-02,  4.117717737462625e-03,  4.686315215917747e-02,  1.016931189421857e-02,  4.117717737360636e-03,  4.686315215892582e-02,  2.554547171021760e-02,  7.074506430493113e-02
  1.709000000000000e+01,  1.903390815084225e-01,  8.538762470457519e-01,  9.299968658723590e-01,  1.156314364962907e+00, -1.240874073920725e+00, -1.271421243796375e+00,  3.344370606408158e-04,  1.554313128554335e-15, -3.700478906799052e-03,  1.071592649744029e-03,  6.656857354522856e-04, -1.185695744797470e-02,  1.892311943556513e-03,  1.467283739197397e-03, -2.093805159860170e-02,  2.722669061438261e-03,  2.299299683262800e-03, -3.012578633686299e-02,  3.512161089855719e-03,  3.120082860048188e-03, -3.886135706766230e-02,  4.297976747525422e-03,  3.870756799483704e-03, -4.755624949450857e-02,  4.706658235438607e-03,  4.684223219598591e-03, -5.207822807759269e-02,  1.107421213469637e-02,  4.103817090850923e-03,  4.676749119888519e-02,  1.107421213469748e-02,  4.103817090850924e-03,  4.676749119888843e-02,  1.107421213469848e-02,  4.103817090850758e-03,  4.676749119889070e-02,  1.107421213469781e-02,  4.103817090850646e-03,  4.676749119889086e-02,  1.107421213469742e-02,  4.103817090850479e-03,  4.676749119888930e-02,  1.107421213469631e-02,  4.103817090849814e-03,  4.676749119888571e-02,  2.465146510457878e-02,  7.048626930120457e-02
