Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  3.500000000000000e+01, -1.200030633769513e-02, -3.132865113128947e-01,  9.131895597621548e-02,  1.094393077693322e-02,  7.371474478101547e-01,  2.152191669978130e-02,  9.275482354128596e-02,  8.642520849942961e-01, -8.828338714894329e-02,  3.143198600971129e-01,  1.304536018522111e+00, -2.421665645015750e+00,  2.704878421809250e+00
  3.501000000000000e+01, -1.196919752705203e-02, -3.133339742094748e-01,  9.135014006366736e-02,  1.099634928102846e-02,  7.371863474221464e-01,  2.154917647238439e-02,  9.287045553896926e-02,  8.631815776797622e-01, -8.836381919378793e-02,  3.151320450859531e-01,  1.303680636226029e+00, -2.421828296297669e+00,  2.705081100549050e+00
  3.502000000000000e+01, -1.193746296358588e-02, -3.133824255313819e-01,  9.138196762012314e-02,  1.104983278927266e-02,  7.372260259981241e-01,  2.157699152012200e-02,  9.298751845893879e-02,  8.620737028172614e-01, -8.844693239719364e-02,  3.159684513114132e-01,  1.302790091498123e+00, -2.421972304755613e+00,  2.705289014948480e+00
  3.503000000000000e+01, -1.190495894307185e-02, -3.134324520021105e-01,  9.141473230769306e-02,  1.110471118211446e-02,  7.372666116884328e-01,  2.160560163506100e-02,  9.310603044315700e-02,  8.609155207321466e-01, -8.853637899830678e-02,  3.168453116771409e-01,  1.301859789876506e+00, -2.422120677954758e+00,  2.705511148585777e+00
  3.504000000000000e+01, -1.187164573549684e-02, -3.134841541189800e-01,  9.144849040791600e-02,  1.116106115741545e-02,  7.373081486708923e-01,  2.163505373380566e-02,  9.322599793159340e-02,  8.597034155702782e-01, -8.863268760723993e-02,  3.177656189851839e-01,  1.300886884153866e+00, -2.422273428991530e+00,  2.705748670078076e+00
  3.505000000000000e+01, -1.183754387993638e-02, -3.135375048389475e-01,  9.148322331653332e-02,  1.121884938130479e-02,  7.373506107587656e-01,  2.166533087481146e-02,  9.334735848634146e-02,  8.584387151071754e-01, -8.873583036411500e-02,  3.187286017997293e-01,  1.299872503868926e+00, -2.422430368981798e+00,  2.706001618537364e+00
  3.506000000000000e+01, -1.180264873448979e-02, -3.135925319430001e-01,  9.151894435571586e-02,  1.127808887255395e-02,  7.373940009521507e-01,  2.169644326316744e-02,  9.347008811510107e-02,  8.571209154750209e-01, -8.884601537244251e-02,  3.197349547416929e-01,  1.298816347341952e+00, -2.422591508939941e+00,  2.706270536285070e+00
  3.507000000000000e+01, -1.176695461929296e-02, -3.136492639824774e-01,  9.155566756927747e-02,  1.133879421910768e-02,  7.374383236678826e-01,  2.172840175135913e-02,  9.359417276442586e-02,  8.557496200269992e-01, -8.896344159153916e-02,  3.207853033892606e-01,  1.297718200228581e+00, -2.422756827917068e+00,  2.706555971511575e+00
  3.508000000000000e+01, -1.173045458955065e-02, -3.137077309402370e-01,  9.159340807882183e-02,  1.140098203373577e-02,  7.374835849777198e-01,  2.176121813401326e-02,  9.371960941040772e-02,  8.543245386636454e-01, -8.908830166604369e-02,  3.218802072100614e-01,  1.296577940248601e+00, -2.422926293837835e+00,  2.706858477067262e+00
  3.509000000000000e+01, -1.169314025337179e-02, -3.137679645756802e-01,  9.163218229491084e-02,  1.146467128120251e-02,  7.375297928292183e-01,  2.179490532826868e-02,  9.384640699023356e-02,  8.528454872004170e-01, -8.922078268853507e-02,  3.230201571840548e-01,  1.295395536995577e+00, -2.423099863473332e+00,  2.707178610624090e+00
