Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  2.150000000000000e+01,  5.581972829563688e-02,  5.691385495716617e-02,  1.104365567001498e-01,  1.445572516639775e-01, -1.609189270292955e-02,  2.035074212770382e-01
  2.151000000000000e+01,  5.864552367355557e-02,  5.662723493039268e-02,  1.110242125158239e-01,  1.450089689994652e-01, -1.671256649730859e-02,  2.031480637352817e-01
  2.152000000000000e+01,  6.157929650143335e-02,  5.632745122228466e-02,  1.116431504699008e-01,  1.455068789301645e-01, -1.738577293046771e-02,  2.027428842845740e-01
  2.153000000000000e+01,  6.465368540937612e-02,  5.601004928183828e-02,  1.123052178435969e-01,  1.460680932097440e-01, -1.813395024504951e-02,  2.022711429793908e-01
  2.154000000000000e+01,  6.788210953399637e-02,  5.567333013442166e-02,  1.130145134413909e-01,  1.467008250720238e-01, -1.896449022441248e-02,  2.017258335303450e-01
  2.155000000000000e+01,  7.126768655089231e-02,  5.531733590388455e-02,  1.137705730324958e-01,  1.474080219436508e-01, -1.987542413049121e-02,  2.011081568029710e-01
  2.156000000000000e+01,  7.481820645029486e-02,  5.494141787758533e-02,  1.145747886127746e-01,  1.481951483038543e-01, -2.086818732863704e-02,  2.004161729865354e-01
  2.157000000000000e+01,  7.854194668012983e-02,  5.454492684848078e-02,  1.154286127555860e-01,  1.490680291322441e-01, -2.194399892817909e-02,  1.996479996191267e-01
  2.158000000000000e+01,  8.244770410625867e-02,  5.412721975269141e-02,  1.163335700775267e-01,  1.500328603736421e-01, -2.310382991502470e-02,  1.988018225277165e-01
  2.159000000000000e+01,  8.654482293386363e-02,  5.368766767110600e-02,  1.172912694353597e-01,  1.510962126981045e-01, -2.434836536924551e-02,  1.978759122662472e-01
  2.160000000000000e+01,  9.084322029188306e-02,  5.322566611820512e-02,  1.183034158656630e-01,  1.522650302296051e-01, -2.567796317427980e-02,  1.968686431714069e-01
  2.161000000000000e+01,  9.535340888801412e-02,  5.274064785607036e-02,  1.193718207216507e-01,  1.535466234298359e-01, -2.709260977643064e-02,  1.957785170991105e-01
  2.162000000000000e+01,  1.000865155194051e-01,  5.223209767552350e-02,  1.204984087321391e-01,  1.549486537328744e-01, -2.859187133646746e-02,  1.946041972344199e-01
  2.163000000000000e+01,  1.050502540773771e-01,  5.169982342384660e-02,  1.216833346614996e-01,  1.564766966385236e-01, -3.017391856744860e-02,  1.933485635809166e-01
