Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.170000000000000e+01, -2.287907122996857e-02, -2.798197317215168e-01,  7.389949484468049e-02, -1.099510248705916e-02,  7.260444797676373e-01,  6.546405512283127e-03,  3.291718538030165e-02,  1.122133840682013e+00,  6.822700886364871e-02,  1.194745740429246e-01,  1.490906474048660e+00, -2.486035727935093e+00,  2.540861013339125e+00
  1.171000000000000e+01, -2.266669890941604e-02, -2.799158555694563e-01,  7.401389255617119e-02, -1.069693763326229e-02,  7.263398000690416e-01,  6.669923963680448e-03,  3.396606775636184e-02,  1.123602077631324e+00,  7.003098614859665e-02,  1.182970789743187e-01,  1.492227466878707e+00, -2.485304169297412e+00,  2.542137621620922e+00
  1.172000000000000e+01, -2.244712848941411e-02, -2.800206734463391e-01,  7.413433983354155e-02, -1.038743816151135e-02,  7.266444078830319e-01,  6.799145646650280e-03,  3.505629914123674e-02,  1.124967888401217e+00,  7.184854208519328e-02,  1.171177870782616e-01,  1.493477003105211e+00, -2.484526116497304e+00,  2.543346521218646e+00
  1.173000000000000e+01, -2.222239315401956e-02, -2.801330305656638e-01,  7.425965420164593e-02, -1.006950519565484e-02,  7.269555149099597e-01,  6.932802777747343e-03,  3.618374379506087e-02,  1.126044646030059e+00,  7.365980461071855e-02,  1.160481137566327e-01,  1.494524515310174e+00, -2.483785427708597e+00,  2.544564472723637e+00
  1.174000000000000e+01, -2.199208138949807e-02, -2.802521996985557e-01,  7.438970281218645e-02, -9.742756697336347e-03,  7.272738317812838e-01,  7.070838608257786e-03,  3.734983494452078e-02,  1.126858995465110e+00,  7.547590250416909e-02,  1.150657063652671e-01,  1.495384216940298e+00, -2.483058843015059e+00,  2.545763007324513e+00
  1.175000000000000e+01, -2.175654816701842e-02, -2.803779867764579e-01,  7.452428597323824e-02, -9.407693775378163e-03,  7.275988744132558e-01,  7.213024194312479e-03,  3.855340677001499e-02,  1.127408777138005e+00,  7.729350340901894e-02,  1.141713007777456e-01,  1.496054981895430e+00, -2.482347047037107e+00,  2.546938402829340e+00
  1.176000000000000e+01, -2.151613683716083e-02, -2.805098905968720e-01,  7.466308703167428e-02, -9.064870099719475e-03,  7.279302201305378e-01,  7.359041469880549e-03,  3.979329317107909e-02,  1.127689398593021e+00,  7.911188431158085e-02,  1.133665029590576e-01,  1.496533029943075e+00, -2.481650069276057e+00,  2.548085978177312e+00
  1.177000000000000e+01, -2.127118541944323e-02, -2.806473064516587e-01,  7.480575011198329e-02, -8.714855509996650e-03,  7.282674687957393e-01,  7.508543562555705e-03,  4.106811713900456e-02,  1.127701750705231e+00,  8.093136949430869e-02,  1.126502701243810e-01,  1.496818564885738e+00, -2.480967387619497e+00,  2.549200405470295e+00
  1.178000000000000e+01, -2.102223352210295e-02, -2.807895806886451e-01,  7.495182673061507e-02, -8.358494247153372e-03,  7.286099328876762e-01,  7.661081636297206e-03,  4.237586573649398e-02,  1.127436394914853e+00,  8.274993186887722e-02,  1.120282892530478e-01,  1.496904587208155e+00, -2.480300282261545e+00,  2.550279129908553e+00
  1.179000000000000e+01, -2.076973214947318e-02, -2.809359348852223e-01,  7.510085059241131e-02, -7.996542993078825e-03,  7.289570717677841e-01,  7.816208433689022e-03,  4.371447171886943e-02,  1.126895992642472e+00,  8.456797566727513e-02,  1.114997926201413e-01,  1.496792790610059e+00, -2.479649028641697e+00,  2.551318051428085e+00
