Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.170000000000000e+01,  1.213068774899176e-04, -3.169662660471425e-01,  9.748720096280253e-02,  2.788542169495627e-02,  7.544875200309019e-01,  2.729841756808963e-02,  1.643040184433649e-01,  9.015494979272268e-01,  1.829062196383662e-02,  2.951390634091691e-01,  1.314694978217519e+00, -2.521210227462821e+00,  2.665000189783541e+00
  1.171000000000000e+01, -1.785688588207292e-04, -3.163744708094681e-01,  9.712606946908010e-02,  2.734276208781253e-02,  7.541278932832877e-01,  2.700631117367631e-02,  1.627156233066860e-01,  9.052359064209199e-01,  2.002982641028403e-02,  2.934588706528792e-01,  1.317035048523135e+00, -2.520104603153269e+00,  2.663085386064888e+00
  1.172000000000000e+01, -4.857139381823667e-04, -3.157763329915902e-01,  9.675981882028323e-02,  2.678924290544800e-02,  7.537585108738849e-01,  2.670927617251789e-02,  1.610805193122845e-01,  9.089975019993702e-01,  2.174149463438091e-02,  2.917600214136961e-01,  1.319442398568648e+00, -2.518998015854469e+00,  2.661174422039162e+00
  1.173000000000000e+01, -8.010763406958956e-04, -3.151696758057650e-01,  9.638719815008356e-02,  2.622309169265753e-02,  7.533782881227067e-01,  2.640626911420421e-02,  1.593936090990347e-01,  9.128629890747555e-01,  2.343453082229577e-02,  2.900218241188146e-01,  1.321940682662512e+00, -2.517884457494585e+00,  2.659258230398582e+00
  1.174000000000000e+01, -1.124458661310905e-03, -3.145553892468751e-01,  9.600866977807981e-02,  2.564480537756362e-02,  7.529873985629658e-01,  2.609761155079313e-02,  1.576556028664985e-01,  9.168373038465747e-01,  2.510386554979616e-02,  2.882426429887118e-01,  1.324533947248806e+00, -2.516764757701146e+00,  2.657338672556160e+00
  1.175000000000000e+01, -1.455241273050905e-03, -3.139350188776422e-01,  9.562512781186787e-02,  2.505559820900701e-02,  7.525865467779904e-01,  2.578398365345515e-02,  1.558695555883783e-01,  9.209111192125102e-01,  2.674267271750884e-02,  2.864278615025864e-01,  1.327216487179778e+00, -2.515641997428836e+00,  2.655421659542031e+00
  1.176000000000000e+01, -1.792894676046609e-03, -3.133098652570977e-01,  9.523732768673565e-02,  2.445650242771213e-02,  7.521763383434249e-01,  2.546595873732754e-02,  1.540381221608889e-01,  9.250796897188094e-01,  2.834547769222241e-02,  2.845799478190578e-01,  1.329985820871389e+00, -2.514518291010287e+00,  2.653511429236286e+00
  1.177000000000000e+01, -2.136805786171708e-03, -3.126813053267295e-01,  9.484608581654791e-02,  2.384867669749643e-02,  7.517574909384939e-01,  2.514416670933738e-02,  1.521644860456871e-01,  9.293380137856231e-01,  2.990711114988017e-02,  2.827009887371079e-01,  1.332838917505110e+00, -2.513394968216442e+00,  2.651611455039563e+00
  1.178000000000000e+01, -2.486329590916587e-03, -3.120507921268160e-01,  9.445225930204512e-02,  2.323333724218329e-02,  7.513307577487808e-01,  2.481927541197287e-02,  1.502520698633663e-01,  9.336789881614556e-01,  3.142199777982108e-02,  2.807948841001555e-01,  1.335772062511829e+00, -2.512275860906483e+00,  2.649727682794782e+00
  1.179000000000000e+01, -2.840717291766217e-03, -3.114198370481501e-01,  9.405676583569839e-02,  2.261184840065209e-02,  7.508970362040167e-01,  2.449201220881901e-02,  1.483049525430538e-01,  9.380960775547099e-01,  3.288532347352665e-02,  2.788641036648910e-01,  1.338781022859023e+00, -2.511162454779327e+00,  2.647863739510326e+00
  1.180000000000000e+01, -3.199179068639730e-03, -3.107900283562504e-01,  9.366056695826958e-02,  2.198564365411718e-02,  7.504572722431768e-01,  2.416314700896460e-02,  1.463275141211366e-01,  9.425808252153040e-01,  3.429199927705769e-02,  2.769126189951630e-01,  1.341860738802077e+00, -2.510058172478830e+00,  2.646025195667877e+00
  1.181000000000000e+01, -3.560826873226807e-03, -3.101629675987876e-01,  9.326466349059327e-02,  2.135628575663141e-02,  7.500125539095485e-01,  2.383349437942820e-02,  1.443247603277029e-01,  9.471263308974676e-01,  3.563809463360974e-02,  2.749422005066209e-01,  1.345006156313966e+00, -2.508963204514763e+00,  2.644214221631811e+00
  1.182000000000000e+01, -3.924754475914754e-03, -3.095403270776884e-01,  9.287008837116220e-02,  2.072537442684439e-02,  7.495639845239618e-01,  2.350390193724744e-02,  1.423018757751974e-01,  9.517229210845835e-01,  3.691915300153317e-02,  2.729569743895719e-01,  1.348211166193747e+00, -2.507880887610515e+00,  2.642436185904962e+00
  1.183000000000000e+01, -4.289992097039370e-03, -3.089238027710837e-01,  9.247790446053947e-02,  2.009459489804099e-02,  7.491127564200387e-01,  2.317525308036635e-02,  1.402644782917205e-01,  9.563610123780775e-01,  3.813131137659732e-02,  2.709604428710146e-01,  1.351469288153588e+00, -2.506813528377162e+00,  2.640695325529416e+00
  1.184000000000000e+01, -4.655515426211525e-03, -3.083151236744591e-01,  9.208920480058599e-02,  1.946570810625315e-02,  7.486601361166629e-01,  2.284846691243705e-02,  1.382185638530122e-01,  9.610307964852136e-01,  3.927110800678379e-02,  2.689558296814675e-01,  1.354773660334787e+00, -2.505762926010672e+00,  2.638995197971097e+00
  1.185000000000000e+01, -5.020294100098792e-03, -3.077160240607411e-01,  9.170508281573243e-02,  1.884047985102868e-02,  7.482073966172408e-01,  2.252447167846881e-02,  1.361702414035835e-01,  9.657210487476446e-01,  4.033508046711844e-02,  2.669478680298802e-01,  1.358116601675337e+00, -2.504732760533831e+00,  2.637341452687396e+00
  1.186000000000000e+01, -5.383257071695196e-03, -3.071281210498666e-01,  9.132659507117498e-02,  1.822069774716585e-02,  7.477558859113463e-01,  2.220417967244985e-02,  1.341259149922195e-01,  9.704219469111645e-01,  4.132136396657399e-02,  2.649386197987604e-01,  1.361491005101511e+00, -2.503723575476079e+00,  2.635735954842153e+00
  1.187000000000000e+01, -5.743312949713600e-03, -3.065532101792675e-01,  9.095487528756165e-02,  1.760821448320399e-02,  7.473069547471337e-01,  2.188857190467067e-02,  1.320921591755527e-01,  9.751218425560407e-01,  4.222683259761900e-02,  2.629331267593195e-01,  1.364888342058690e+00, -2.502738995363215e+00,  2.634184050454492e+00
  1.188000000000000e+01, -6.099301617251763e-03, -3.059928777404395e-01,  9.059099352986444e-02,  1.700491987052849e-02,  7.468620834337940e-01,  2.157859596790960e-02,  1.300759731276930e-01,  9.798118736472596e-01,  4.305113073332314e-02,  2.609313579399492e-01,  1.368301775801606e+00, -2.501777224976485e+00,  2.632684644737657e+00
  1.189000000000000e+01, -6.450173410371031e-03, -3.054489668962307e-01,  9.023607945273530e-02,  1.641261506938108e-02,  7.464225504560185e-01,  2.127524217579918e-02,  1.280838134247111e-01,  9.844793733515375e-01,  4.379038555095299e-02,  2.589411198813161e-01,  1.371721370036603e+00, -2.500844434995176e+00,  2.631245762992082e+00
  1.190000000000000e+01, -6.794895675743262e-03, -3.049225957787794e-01,  8.989095699152724e-02,  1.583290349080076e-02,  7.459897118946112e-01,  2.097927436447936e-02,  1.261220637257843e-01,  9.891149172792069e-01,  4.444674383763111e-02,  2.569620228294529e-01,  1.375140885943906e+00, -2.499939870258483e+00,  2.629867404673923e+00
  1.191000000000000e+01, -7.132419479264051e-03, -3.044152922979839e-01,  8.955662083291191e-02,  1.526750460376628e-02,  7.455648872073365e-01,  2.069159411238701e-02,  1.241972215974466e-01,  9.937082526954992e-01,  4.501924099387473e-02,  2.549976545935597e-01,  1.378552020069355e+00, -2.499065551415943e+00,  2.628552584883181e+00
