Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.950000000000000e+01,  1.265638785633968e+00,  1.241254698332930e-01,  3.792644775706688e-03,  1.481900054293464e+00,  9.283529001629316e-02, -1.165840723822832e-01
  1.951000000000000e+01,  1.265607723460210e+00,  1.240604545996986e-01,  3.758322882624351e-03,  1.481870101419244e+00,  9.283473615246662e-02, -1.166409847359808e-01
  1.952000000000000e+01,  1.265574769359884e+00,  1.239945501260900e-01,  3.721010589450970e-03,  1.481838357048605e+00,  9.283479794113175e-02, -1.166995363194950e-01
  1.953000000000000e+01,  1.265539384841205e+00,  1.239275045685084e-01,  3.679751712824141e-03,  1.481804244488663e+00,  9.283571920931878e-02, -1.167602055521232e-01
  1.954000000000000e+01,  1.265501319196154e+00,  1.238592407559551e-01,  3.634185341690003e-03,  1.481767530638885e+00,  9.283759354872179e-02, -1.168231235017658e-01
  1.955000000000000e+01,  1.265460539929228e+00,  1.237897709250440e-01,  3.584347097475561e-03,  1.481728210770819e+00,  9.284043282290962e-02, -1.168882154968739e-01
  1.956000000000000e+01,  1.265416926135014e+00,  1.237190531455592e-01,  3.530130666750578e-03,  1.481686188585007e+00,  9.284428055910478e-02, -1.169554765382327e-01
  1.957000000000000e+01,  1.265370353311119e+00,  1.236470298417001e-01,  3.471440177257488e-03,  1.481641365560821e+00,  9.284918015746590e-02, -1.170248958339040e-01
  1.958000000000000e+01,  1.265320693629895e+00,  1.235736257342941e-01,  3.408191862679578e-03,  1.481593640841436e+00,  9.285517490001130e-02, -1.170964564167893e-01
  1.959000000000000e+01,  1.265267816229693e+00,  1.234987478313234e-01,  3.340315496244191e-03,  1.481542911469513e+00,  9.286230825399636e-02, -1.171701354509405e-01
  1.960000000000000e+01,  1.265211587872242e+00,  1.234222875902184e-01,  3.267755467477725e-03,  1.481489073132937e+00,  9.287062450737686e-02, -1.172459059295815e-01
  1.961000000000000e+01,  1.265151873682274e+00,  1.233441225582963e-01,  3.190471723850524e-03,  1.481432021033925e+00,  9.288016912404720e-02, -1.173237359947272e-01
  1.962000000000000e+01,  1.265088537827272e+00,  1.232641162335693e-01,  3.108440594492717e-03,  1.481371650694791e+00,  9.289098864687551e-02, -1.174035858606584e-01
  1.963000000000000e+01,  1.265021444530762e+00,  1.231821182782140e-01,  3.021655228611494e-03,  1.481307858976615e+00,  9.290313036439067e-02, -1.174854069629904e-01
  1.964000000000000e+01,  1.264950459534532e+00,  1.230979658768931e-01,  2.930125638613370e-03,  1.481240545349662e+00,  9.291664188893246e-02, -1.175691434722021e-01
