Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  5.000000000000000e-01, -4.661430812806922e-02,  1.646427719181665e-02,  2.375364432529953e-01,  1.221188935803165e-01, -2.888475136618298e-02,  7.080550534084953e-02
  5.100000000000000e-01, -4.685129342668399e-02,  1.641708362258165e-02,  2.375850808011548e-01,  1.220794382704965e-01, -2.863061879515477e-02,  7.123771268242821e-02
  5.200000000000000e-01, -4.715857347778769e-02,  1.639279268961169e-02,  2.376351703866023e-01,  1.220379309260688e-01, -2.839955556307086e-02,  7.165321016752804e-02
  5.300000000000000e-01, -4.753123557537927e-02,  1.638894416324699e-02,  2.376859734070549e-01,  1.219941993564970e-01, -2.818776598147158e-02,  7.205343189574022e-02
  5.400000000000000e-01, -4.796654034297805e-02,  1.640445332843865e-02,  2.377370508786440e-01,  1.219481692549119e-01, -2.799361840231131e-02,  7.243873354443674e-02
  5.500000000000000e-01, -4.846234067750899e-02,  1.643856689526668e-02,  2.377881582668114e-01,  1.218998353180053e-01, -2.781633088546935e-02,  7.280924500533588e-02
  5.600000000000001e-01, -4.901596746304913e-02,  1.649032136715833e-02,  2.378389784002151e-01,  1.218491573482945e-01, -2.765467580730566e-02,  7.316527670851865e-02
  5.700000000000000e-01, -4.962455061116214e-02,  1.655869656850184e-02,  2.378891949487577e-01,  1.217960922507225e-01, -2.750735770113692e-02,  7.350719315714095e-02
  5.800000000000000e-01, -5.028606763672119e-02,  1.664288299475003e-02,  2.379385133079342e-01,  1.217404361391986e-01, -2.737311341698839e-02,  7.383525008238190e-02
  5.900000000000000e-01, -5.099511110347102e-02,  1.674120077627550e-02,  2.379865699316141e-01,  1.216824610971806e-01, -2.725030081392640e-02,  7.415025622379248e-02
  6.000000000000000e-01, -5.174790540444082e-02,  1.685239302026931e-02,  2.380330375985745e-01,  1.216221686116576e-01, -2.713740258149606e-02,  7.445278513993596e-02
