Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  5.000000000000000e-01, -5.906353853438410e-02,  4.520140976810993e-02,  1.243232797347199e-01,  7.574261653958263e-02, -1.454361928864577e-02,  1.134933463640915e-01
  5.100000000000000e-01, -5.923199698106773e-02,  4.523743975832817e-02,  1.241838667163131e-01,  7.578481662653164e-02, -1.436016565025391e-02,  1.135434154859204e-01
  5.200000000000000e-01, -5.947355606572294e-02,  4.525068950292410e-02,  1.240595271950936e-01,  7.581914277171641e-02, -1.417813713156230e-02,  1.135734370502141e-01
  5.300000000000000e-01, -5.978334277016713e-02,  4.524356144347985e-02,  1.239494926117422e-01,  7.584597731244562e-02, -1.399685101863586e-02,  1.135868940755705e-01
  5.400000000000000e-01, -6.015870440831247e-02,  4.521711833261977e-02,  1.238534824882019e-01,  7.586542242992450e-02, -1.381600824478554e-02,  1.135855437595149e-01
  5.500000000000000e-01, -6.059752489665948e-02,  4.517210838194452e-02,  1.237712609781672e-01,  7.587757967251794e-02, -1.363557293206305e-02,  1.135703036833732e-01
  5.600000000000001e-01, -6.109717273683559e-02,  4.510948063039422e-02,  1.237025038044527e-01,  7.588256782177250e-02, -1.345535889567709e-02,  1.135425202761150e-01
  5.700000000000000e-01, -6.165480710953281e-02,  4.503023930010341e-02,  1.236468443479158e-01,  7.588051736167707e-02, -1.327515736851292e-02,  1.135035992251814e-01
  5.800000000000000e-01, -6.226849859308645e-02,  4.493516597841274e-02,  1.236040309696993e-01,  7.587126398581732e-02, -1.309454018977427e-02,  1.134549858602101e-01
  5.900000000000000e-01, -6.293271053749343e-02,  4.482594264089612e-02,  1.235732915988848e-01,  7.585557504062029e-02, -1.291365459012924e-02,  1.133982515269684e-01
  6.000000000000000e-01, -6.364365571058533e-02,  4.470380924990014e-02,  1.235540888947651e-01,  7.583370005816592e-02, -1.273228820127956e-02,  1.133349784765201e-01
  6.100000000000000e-01, -6.439998763781467e-02,  4.456941841409479e-02,  1.235462089146350e-01,  7.580517402025709e-02, -1.254975007254365e-02,  1.132667662655721e-01
  6.200000000000000e-01, -6.519641608730802e-02,  4.442437944189415e-02,  1.235488763330461e-01,  7.577056873869692e-02, -1.236599882873982e-02,  1.131953112217602e-01
  6.300000000000000e-01, -6.602865349178046e-02,  4.427005747107282e-02,  1.235614490858660e-01,  7.573015180984147e-02, -1.218079347526106e-02,  1.131223082882443e-01
  6.400000000000000e-01, -6.689224901553756e-02,  4.410784665756573e-02,  1.235832601772168e-01,  7.568421282377864e-02, -1.199390661958392e-02,  1.130494505357919e-01
  6.500000000000000e-01, -6.778264425934073e-02,  4.393915406456483e-02,  1.236136297298554e-01,  7.563305921271289e-02, -1.180513110132487e-02,  1.129784058179802e-01
  6.600000000000000e-01, -6.869523287099343e-02,  4.376538040695022e-02,  1.236518743586033e-01,  7.557701145188958e-02, -1.161428470075707e-02,  1.129107954062993e-01
  6.700000000000000e-01, -6.962541770453443e-02,  4.358790106283927e-02,  1.236973130067101e-01,  7.551639862799807e-02, -1.142121407071953e-02,  1.128481764597135e-01
