Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  5.000000000000000e-01, -1.965621221635288e-02, -2.979169533969243e-01,  8.133256522079066e-02, -5.305110037796648e-03,  7.216961558689503e-01,  7.219749308311930e-03,  8.767114999441158e-03,  4.950384439830038e-01, -1.089992442001646e-01,  8.717382832004336e-01,  2.220213806602853e+00, -1.153510348346845e+00, -4.219937433770229e-02
  5.100000000000000e-01, -1.969834138424804e-02, -2.982767795970950e-01,  8.145988060830739e-02, -5.279758187776637e-03,  7.215813034179804e-01,  7.309821432183003e-03,  7.172207843340113e-03,  4.832474637327410e-01, -1.122267612763023e-01,  8.997807928027477e-01,  2.245391543954813e+00, -1.190240391367638e+00, -2.047246035332616e-02
  5.200000000000000e-01, -1.973339859899022e-02, -2.986303470102847e-01,  8.158777510163127e-02, -5.245320680414248e-03,  7.214807113765402e-01,  7.404075078676597e-03,  5.639495801970443e-03,  4.717167157835844e-01, -1.152964899908784e-01,  9.278761041288178e-01,  2.271384317144919e+00, -1.226623857955071e+00,  2.537926733328088e-03
  5.300000000000000e-01, -1.976148459520335e-02, -2.989787710835151e-01,  8.171665944208510e-02, -5.201674940632337e-03,  7.213940710123674e-01,  7.502814380649970e-03,  4.164556636202852e-03,  4.603655380783492e-01, -1.182197688633686e-01,  9.561195622884778e-01,  2.298253855865554e+00, -1.262837694306013e+00,  2.679663981630316e-02
  5.400000000000000e-01, -1.978271316005108e-02, -2.993207627223360e-01,  8.184596392760402e-02, -5.149308769441037e-03,  7.213212738692152e-01,  7.605474374577483e-03,  2.749315745269670e-03,  4.491697285094468e-01, -1.209902563107748e-01,  9.845006545006605e-01,  2.325979647957229e+00, -1.298885464779865e+00,  5.221938620816212e-02
  5.500000000000000e-01, -1.979703820977118e-02, -2.996541922216922e-01,  8.197484787507996e-02, -5.088678318945258e-03,  7.212625981123599e-01,  7.711334749924084e-03,  1.400674435217942e-03,  4.381380756203297e-01, -1.235933760809024e-01,  1.012948522469504e+00,  2.354415642181467e+00, -1.334661318861898e+00,  7.864299191581951e-02
  5.600000000000001e-01, -1.980446436458878e-02, -2.999773444938138e-01,  8.210261586462506e-02, -5.020214429655505e-03,  7.212181857982388e-01,  7.819776628750715e-03,  1.239045858148428e-04,  4.272680329552477e-01, -1.260183233383157e-01,  1.041418331203394e+00,  2.383454338898042e+00, -1.370119594824481e+00,  1.059192982747050e-01
  5.700000000000000e-01, -1.980499134168932e-02, -3.002885380303825e-01,  8.222858771365234e-02, -4.944333056096216e-03,  7.211881857347138e-01,  7.930197197786327e-03, -1.075443263518090e-03,  4.165590516631060e-01, -1.282545318181426e-01,  1.069866471263732e+00,  2.412979069439032e+00, -1.405223478623713e+00,  1.338915135523356e-01
  5.800000000000000e-01, -1.979886999124539e-02, -3.005857145538025e-01,  8.235181930146709e-02, -4.861919479068298e-03,  7.211722990672461e-01,  8.041632057767315e-03, -2.193898287145431e-03,  4.060062857945547e-01, -1.302920122355255e-01,  1.098259476965721e+00,  2.442945091699133e+00, -1.439965661343103e+00,  1.624489880947646e-01
  5.900000000000000e-01, -1.978559929038951e-02, -3.008680388948885e-01,  8.247219300492445e-02, -4.772433083586068e-03,  7.211715608545020e-01,  8.154232357829583e-03, -3.220640133940348e-03,  3.956275721154197e-01, -1.321199943626222e-01,  1.126538407254875e+00,  2.473048285563042e+00, -1.474270957440802e+00,  1.913160574089117e-01
  6.000000000000000e-01, -1.976527526466296e-02, -3.011337188474452e-01,  8.258893978907111e-02, -4.676462845583775e-03,  7.211859469147707e-01,  8.267268051792422e-03, -4.149891812893360e-03,  3.854302401662640e-01, -1.337286095997447e-01,  1.154666142839725e+00,  2.503150916825289e+00, -1.508114758530212e+00,  2.203260775614469e-01
  6.100000000000000e-01, -1.973841962640729e-02, -3.013803743661334e-01,  8.270086379354433e-02, -4.575380579142112e-03,  7.212146698490460e-01,  8.379415157112876e-03, -4.979875015178202e-03,  3.754105861335823e-01, -1.351092046007981e-01,  1.182622234838755e+00,  2.533255158116531e+00, -1.541511719278479e+00,  2.494111788752722e-01
  6.200000000000000e-01, -1.970493543613830e-02, -3.016066204682005e-01,  8.280744468435955e-02, -4.469387287820463e-03,  7.212580412891860e-01,  8.490263596010328e-03, -5.702444926634146e-03,  3.655873353249587e-01, -1.362524677960427e-01,  1.210364907502481e+00,  2.563124859803644e+00, -1.574404648429944e+00,  2.783542401281447e-01
  6.300000000000000e-01, -1.966501973789955e-02, -3.018106799850438e-01,  8.290787285221909e-02, -4.359221078338647e-03,  7.213158450151473e-01,  8.598998189685405e-03, -6.312027017721429e-03,  3.559742162692672e-01, -1.371500599115197e-01,  1.237863915519352e+00,  2.592602821538240e+00, -1.606751336409282e+00,  3.069973097722037e-01
