Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.000000000000000e-02,  1.891547613614842e-01,  8.754526114003540e-01,  1.016144192958118e+00,  1.146106899047567e+00, -1.285664752176876e+00, -1.169018565550002e+00, -5.757793113170059e-04,  1.110224478450331e-16, -5.576396026050365e-03, -1.844893854455898e-03,  3.314801604138421e-03, -1.786771173656657e-02, -3.257874786851608e-03,  7.306382326368757e-03, -3.155236677964660e-02, -4.687448556459083e-03,  1.144943007275297e-02, -4.539772268444649e-02, -6.046667464607976e-03,  1.553654392568338e-02, -5.856169500678678e-02, -7.399556995824092e-03,  1.927454677914883e-02, -7.166436760597893e-02, -8.103158280937238e-03,  2.332522662808628e-02, -7.847871354220633e-02,  1.977172661915683e-02, -9.700826169779218e-03,  4.614638518331116e-02,  1.977172661915700e-02, -9.700826169779218e-03,  4.614638518331155e-02,  1.977172661915727e-02, -9.700826169779384e-03,  4.614638518331172e-02,  1.977172661915772e-02, -9.700826169779551e-03,  4.614638518331233e-02,  1.977172661915777e-02, -9.700826169779440e-03,  4.614638518331277e-02,  1.977172661915816e-02, -9.700826169779773e-03,  4.614638518331288e-02, -9.770175314897872e-02,  6.550037633472633e-02
  2.000000000000000e-02,  1.891389697579383e-01,  8.754867655027756e-01,  1.016144561935727e+00,  1.145964435106319e+00, -1.285936583509030e+00, -1.168512842711118e+00, -5.862210009865283e-04,  2.386982646242038e-15, -5.591131902623242e-03, -1.878350786186858e-03,  3.307134959083417e-03, -1.791492796611023e-02, -3.316955960589263e-03,  7.289483746413513e-03, -3.163574532383389e-02, -4.772454881343262e-03,  1.142294923711065e-02, -4.551768820251152e-02, -6.156323063552709e-03,  1.550061020116318e-02, -5.871644691205764e-02, -7.533747086326633e-03,  1.922996760777429e-02, -7.185374391118739e-02, -8.250108097488371e-03,  2.327127883427920e-02, -7.868609706214098e-02,  1.994234103662702e-02, -9.692477833688391e-03,  4.616273287694701e-02,  1.994234103662740e-02, -9.692477833689057e-03,  4.616273287694750e-02,  1.994234103662735e-02, -9.692477833690000e-03,  4.616273287694772e-02,  1.994234103662790e-02, -9.692477833690831e-03,  4.616273287694772e-02,  1.994234103662802e-02, -9.692477833691334e-03,  4.616273287694717e-02,  1.994234103662852e-02, -9.692477833691725e-03,  4.616273287694629e-02, -9.777573100651729e-02,  6.552225394218723e-02
  3.000000000000000e-02,  1.891234568344643e-01,  8.755212544911236e-01,  1.016145232894224e+00,  1.145817761183581e+00, -1.286211063642250e+00, -1.168002992698489e+00, -5.967047148551787e-04,  2.220448989810555e-15, -5.606011812958866e-03, -1.911942370511006e-03,  3.299530271325972e-03, -1.796260570407959e-02, -3.376274915637936e-03,  7.272721730805047e-03, -3.171993883992698e-02, -4.857803327310370e-03,  1.139668240394752e-02, -4.563882630673428e-02, -6.266419988386871e-03,  1.546496687178947e-02, -5.887271141815370e-02, -7.668477245566453e-03,  1.918574869894479e-02, -7.204497124856782e-02, -8.397649336261380e-03,  2.321776701470064e-02, -7.889550762324750e-02,  2.011371200692050e-02, -9.684286281161183e-03,  4.617857094884319e-02,  2.011371200692128e-02, -9.684286281161960e-03,  4.617857094884353e-02,  2.011371200692144e-02, -9.684286281162958e-03,  4.617857094884358e-02,  2.011371200692161e-02, -9.684286281163457e-03,  4.617857094884336e-02,  2.011371200692167e-02, -9.684286281164347e-03,  4.617857094884297e-02,  2.011371200692267e-02, -9.684286281164845e-03,  4.617857094884252e-02, -9.785150679541670e-02,  6.554245473172321e-02
  4.000000000000000e-02,  1.891083277396601e-01,  8.755561882746939e-01,  1.016146201428012e+00,  1.145666980057678e+00, -1.286488041721894e+00, -1.167489715045231e+00, -6.072307394009504e-04,  2.609027582722249e-15, -5.621019946205294e-03, -1.945669525369729e-03,  3.292022321752370e-03, -1.801069428984432e-02, -3.435833272982725e-03,  7.256172942484034e-03, -3.180485786695850e-02, -4.943496226647914e-03,  1.137074970754551e-02, -4.576100828017376e-02, -6.376961247695100e-03,  1.542977695629086e-02, -5.903032248410144e-02, -7.803751155274465e-03,  1.914209229275237e-02, -7.223784642691644e-02, -8.545786029074716e-03,  2.316493591159476e-02, -7.910672271348951e-02,  2.028586256531843e-02, -9.676326960088088e-03,  4.619355819279311e-02,  2.028586256531914e-02, -9.676326960089418e-03,  4.619355819279344e-02,  2.028586256531925e-02, -9.676326960090529e-03,  4.619355819279349e-02,  2.028586256531948e-02, -9.676326960090976e-03,  4.619355819279339e-02,  2.028586256531992e-02, -9.676326960091918e-03,  4.619355819279311e-02,  2.028586256532065e-02, -9.676326960092029e-03,  4.619355819279244e-02, -9.792963830167305e-02,  6.555996139988195e-02
  5.000000000000000e-02,  1.890936723222894e-01,  8.755915659907857e-01,  1.016147485229067e+00,  1.145512061550170e+00, -1.286766997896303e+00, -1.166973988803068e+00, -6.177770975313079e-04,  2.609027602622102e-15, -5.636133526031522e-03, -1.979461832457006e-03,  3.284641027067895e-03, -1.805912074420185e-02, -3.495506681826590e-03,  7.239903322919736e-03, -3.189037353187740e-02, -5.029354662728597e-03,  1.134525448115388e-02, -4.588404869955886e-02, -6.487716044416151e-03,  1.539518067488537e-02, -5.918904091946470e-02, -7.939286379544153e-03,  1.909917234559249e-02, -7.243207673900715e-02, -8.694208884053724e-03,  2.311299603950069e-02, -7.931942179300351e-02,  2.045850426062031e-02, -9.668655849671748e-03,  4.620754317966851e-02,  2.045850426062081e-02, -9.668655849672638e-03,  4.620754317966918e-02,  2.045850426062092e-02, -9.668655849674248e-03,  4.620754317966951e-02,  2.045850426062153e-02, -9.668655849675025e-03,  4.620754317966935e-02,  2.045850426062203e-02, -9.668655849676024e-03,  4.620754317966901e-02,  2.045850426062242e-02, -9.668655849676189e-03,  4.620754317966834e-02, -9.801031136215549e-02,  6.557436470186960e-02
  6.000000000000000e-02,  1.890795414925641e-01,  8.756273515012012e-01,  1.016149080982943e+00,  1.145353344771004e+00, -1.287047225023985e+00, -1.166456995875739e+00, -6.283196751794892e-04,  2.886583752758321e-15, -5.651320452375999e-03, -2.013242026243304e-03,  3.277405139664913e-03, -1.810778221315477e-02, -3.555158699945388e-03,  7.223954205551801e-03, -3.197630420610600e-02, -5.115182321713483e-03,  1.132026149613497e-02, -4.600768623667151e-02, -6.598431139610880e-03,  1.536126592042828e-02, -5.934852961871319e-02, -8.074773019414290e-03,  1.905709789683417e-02, -7.262724965486257e-02, -8.842578534891466e-03,  2.306207935316719e-02, -7.953315310559723e-02,  2.063128434183931e-02, -9.661302466209542e-03,  4.622046555639948e-02,  2.063128434183975e-02, -9.661302466210872e-03,  4.622046555639969e-02,  2.063128434184053e-02, -9.661302466212536e-03,  4.622046555640030e-02,  2.063128434184047e-02, -9.661302466213590e-03,  4.622046555640013e-02,  2.063128434184136e-02, -9.661302466214423e-03,  4.622046555639996e-02,  2.063128434184170e-02, -9.661302466215093e-03,  4.622046555639898e-02, -9.809346097963334e-02,  6.558553764758393e-02
  6.999999999999999e-02,  1.890660058649874e-01,  8.756635280438976e-01,  1.016150989826961e+00,  1.145191091352665e+00, -1.287327994180250e+00, -1.165939963902703e+00, -6.388331724021745e-04,  3.219651133755065e-15, -5.666549182487563e-03, -2.046929041449978e-03,  3.270338183366513e-03, -1.815657762841449e-02, -3.614646175185645e-03,  7.208377440855802e-03, -3.206247141442743e-02, -5.200773235480236e-03,  1.129585200451771e-02, -4.613166410036678e-02, -6.708840840604892e-03,  1.532814294956459e-02, -5.950845732900354e-02, -8.209885935773490e-03,  1.901600573023303e-02, -7.282295980668312e-02, -8.990538925989775e-03,  2.301235138240795e-02, -7.974747273828310e-02,  2.080385470964564e-02, -9.654308189907970e-03,  4.623222689482453e-02,  2.080385470964609e-02, -9.654308189909968e-03,  4.623222689482525e-02,  2.080385470964636e-02, -9.654308189911464e-03,  4.623222689482567e-02,  2.080385470964707e-02, -9.654308189912850e-03,  4.623222689482589e-02,  2.080385470964741e-02, -9.654308189913684e-03,  4.623222689482512e-02,  2.080385470964841e-02, -9.654308189914794e-03,  4.623222689482478e-02, -9.817911475560342e-02,  6.559323885194575e-02
  8.000000000000000e-02,  1.890531398745118e-01,  8.757000823103136e-01,  1.016153210138669e+00,  1.145025612556547e+00, -1.287608501202572e+00, -1.165424222843887e+00, -6.492905051254207e-04,  3.497207293133930e-15, -5.681785662973222e-03, -2.080436096144936e-03,  3.263464318220870e-03, -1.820539787717836e-02, -3.673815860428321e-03,  7.193226281657038e-03, -3.214868247592102e-02, -5.285906911212022e-03,  1.127210945587800e-02, -4.625570506025272e-02, -6.818660718303757e-03,  1.529592500094005e-02, -5.966846643147949e-02, -8.344277060978343e-03,  1.897603632900345e-02, -7.301876956148569e-02, -9.137708893016879e-03,  2.296398213395945e-02, -7.996190144489437e-02,  2.097584798986572e-02, -9.647716091130975e-03,  4.624272665914166e-02,  2.097584798986627e-02, -9.647716091133305e-03,  4.624272665914248e-02,  2.097584798986661e-02, -9.647716091135025e-03,  4.624272665914354e-02,  2.097584798986761e-02, -9.647716091136637e-03,  4.624272665914332e-02,  2.097584798986811e-02, -9.647716091137969e-03,  4.624272665914304e-02,  2.097584798986895e-02, -9.647716091138748e-03,  4.624272665914233e-02, -9.826729757870131e-02,  6.559722366907705e-02
  9.000000000000000e-02,  1.890410218120815e-01,  8.757370043170180e-01,  1.016155737478011e+00,  1.144857269685063e+00, -1.287887865921816e+00, -1.164911206786520e+00, -6.596627697989304e-04,  3.608229774941392e-15, -5.696993298371020e-03, -2.113670578486480e-03,  3.256808304765796e-03, -1.825412570142397e-02, -3.732504213589781e-03,  7.178555304361737e-03, -3.223473032612344e-02, -5.370348043639796e-03,  1.124911937389959e-02, -4.637951119081547e-02, -6.927587235998260e-03,  1.526472812771253e-02, -5.982817261120073e-02, -8.477574944606823e-03,  1.893733366802019e-02, -7.321420861718841e-02, -9.283681665463258e-03,  2.291714584001589e-02, -8.017592420376016e-02,  2.114687744876875e-02, -9.641570867915302e-03,  4.625186214083115e-02,  2.114687744876919e-02, -9.641570867917634e-03,  4.625186214083232e-02,  2.114687744876996e-02, -9.641570867919575e-03,  4.625186214083303e-02,  2.114687744877030e-02, -9.641570867921744e-03,  4.625186214083370e-02,  2.114687744877141e-02, -9.641570867923133e-03,  4.625186214083316e-02,  2.114687744877196e-02, -9.641570867924406e-03,  4.625186214083264e-02, -9.835803108373457e-02,  6.559724405624283e-02
  1.000000000000000e-01,  1.890297338782075e-01,  8.757742872605442e-01,  1.016158564563617e+00,  1.144686474430622e+00, -1.288165131910881e+00, -1.164402454944308e+00, -6.699192181869035e-04,  4.052319624863138e-15, -5.712132930820240e-03, -2.146533965949249e-03,  3.250395471668437e-03, -1.830263563277314e-02, -3.790537254986058e-03,  7.164420337627549e-03, -3.232039340200861e-02, -5.453846309816015e-03,  1.122696924460438e-02, -4.650276370592808e-02, -7.035297484625010e-03,  1.523467104586906e-02, -5.998716464366469e-02, -8.609384429486779e-03,  1.890004502565420e-02, -7.340877374136333e-02, -9.428024511867526e-03,  2.287202073052147e-02, -8.038898993161715e-02,  2.131653688529720e-02, -9.635918828758585e-03,  4.625952833754062e-02,  2.131653688529798e-02, -9.635918828761584e-03,  4.625952833754213e-02,  2.131653688529881e-02, -9.635918828764139e-03,  4.625952833754302e-02,  2.131653688529975e-02, -9.635918828766082e-03,  4.625952833754340e-02,  2.131653688530053e-02, -9.635918828767968e-03,  4.625952833754329e-02,  2.131653688530153e-02, -9.635918828769078e-03,  4.625952833754262e-02, -9.845133346524049e-02,  6.559304826888222e-02
