Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  4.000000000000000e-01, -2.772694297604568e-02, -2.575532550675742e-01,  6.176794663782773e-02, -2.676577363803141e-02,  7.098415296896520e-01, -1.481672966080285e-02, -7.053389138648474e-03,  4.422712424420930e-01,  8.078849073678805e-02,  3.833484069261447e-01, -2.102042610020427e+00, -5.433082082066141e-01,  5.708958418083068e-01
  4.100000000000000e-01, -2.769373305607631e-02, -2.576565811905182e-01,  6.182241885601716e-02, -2.669376302839503e-02,  7.098963588110503e-01, -1.474738877476049e-02, -6.890903447417405e-03,  4.422501035272954e-01,  8.046858850323362e-02,  3.836853269127368e-01, -2.102284039774223e+00, -5.432461719895230e-01,  5.709772376128485e-01
  4.200000000000000e-01, -2.766039930001774e-02, -2.577606552868256e-01,  6.187724262500836e-02, -2.662139298742629e-02,  7.099513581515824e-01, -1.467766679071311e-02, -6.728180769060873e-03,  4.422198615002058e-01,  8.014481175755815e-02,  3.840169288651072e-01, -2.102495615460246e+00, -5.431715501764641e-01,  5.710494435392857e-01
  4.300000000000000e-01, -2.762680284700732e-02, -2.578658059663851e-01,  6.193260517276709e-02, -2.654838547815411e-02,  7.100067665743527e-01, -1.460731128150958e-02, -6.564588354350215e-03,  4.421867400816428e-01,  7.981658478303867e-02,  3.843467184308965e-01, -2.102706587810346e+00, -5.430937234156592e-01,  5.711165767815498e-01
  4.400000000000000e-01, -2.759296215501408e-02, -2.579719627755619e-01,  6.198847125200865e-02, -2.647478321498370e-02,  7.100625547961381e-01, -1.453636568190894e-02, -6.400204978581089e-03,  4.421511047777128e-01,  7.948418133944106e-02,  3.846742717150876e-01, -2.102919230932817e+00, -5.430134435373984e-01,  5.711782556433549e-01
  4.500000000000000e-01, -2.755893326355032e-02, -2.580789672623987e-01,  6.204475531690831e-02, -2.640070394629614e-02,  7.101186287963696e-01, -1.446494140054254e-02, -6.235335332845426e-03,  4.421129253297231e-01,  7.914802324179705e-02,  3.849986854578775e-01, -2.103133289316290e+00, -5.429308473074473e-01,  5.712341483884643e-01
  4.600000000000000e-01, -2.752489296283932e-02, -2.581864642694396e-01,  6.210124407114338e-02, -2.632648712307037e-02,  7.101746785357002e-01, -1.439333718811772e-02, -6.070848780511451e-03,  4.420623912923922e-01,  7.880837191579933e-02,  3.853144553781688e-01, -2.103304225809647e+00, -5.428341840818018e-01,  5.712802192641163e-01
  4.700000000000000e-01, -2.749063356943727e-02, -2.582947758073128e-01,  6.215815083584712e-02, -2.625175507738254e-02,  7.102310770584478e-01, -1.432123669780054e-02, -5.905812448159765e-03,  4.420180604397681e-01,  7.846562280128321e-02,  3.856300549940014e-01, -2.103516284464137e+00, -5.427465538690338e-01,  5.713237101943481e-01
  4.800000000000000e-01, -2.745631820800464e-02, -2.584035291309574e-01,  6.221526103767856e-02, -2.617683124087489e-02,  7.102875424881293e-01, -1.424893178409849e-02, -5.740962237798574e-03,  4.419715583440463e-01,  7.812035098857734e-02,  3.859403872334403e-01, -2.103731885891155e+00, -5.426579445721713e-01,  5.713606111915174e-01
  4.900000000000000e-01, -2.742200209502951e-02, -2.585125789624014e-01,  6.227249452765145e-02, -2.610182939129513e-02,  7.103439811845413e-01, -1.417652811345900e-02, -5.576598106982095e-03,  4.419222841250825e-01,  7.777289189581739e-02,  3.862445475923096e-01, -2.103948223807542e+00, -5.425680356125501e-01,  5.713907717532367e-01
