Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.600000000000000e+00,  4.379962091337576e-01,  1.193698233137999e-01, -1.504180714925006e-02,  9.257434147465132e-01, -1.882500474076145e-01,  3.407988351949065e-02
  1.610000000000000e+00,  4.474915553912884e-01,  1.190848110534737e-01, -6.262209742012370e-03,  8.619999463892453e-01, -1.788399266109073e-01,  5.174896387578546e-02
  1.620000000000000e+00,  4.543356361856397e-01,  1.194271636743081e-01,  2.628831696020965e-03,  7.944860125080695e-01, -1.680872702721569e-01,  6.779108745071093e-02
  1.630000000000000e+00,  4.586709152556704e-01,  1.204784740192089e-01,  1.151615700475987e-02,  7.238158682996233e-01, -1.561374427537541e-01,  8.152079037187311e-02
  1.640000000000000e+00,  4.606916016805343e-01,  1.223665331943808e-01,  2.029215057395309e-02,  6.508298010654398e-01, -1.431171016102234e-01,  9.243551105493371e-02
  1.650000000000000e+00,  4.606660385171077e-01,  1.252409271278812e-01,  2.890883269184597e-02,  5.766789563310682e-01, -1.291656707248938e-01,  1.001988962678559e-01
  1.660000000000000e+00,  4.589884589584403e-01,  1.292464581627619e-01,  3.747677473524254e-02,  5.029137947644877e-01, -1.145130222640744e-01,  1.044758700725497e-01
  1.670000000000000e+00,  4.561944045069471e-01,  1.344279755910640e-01,  4.639210893093787e-02,  4.315051443830475e-01, -9.955781823339765e-02,  1.047560102488171e-01
  1.680000000000000e+00,  4.529491659804963e-01,  1.406191271120090e-01,  5.638554118591109e-02,  3.647535816450442e-01, -8.491548558886225e-02,  1.002173566516509e-01
  1.690000000000000e+00,  4.498986505722392e-01,  1.472907045097347e-01,  6.825370305023122e-02,  3.049396735560395e-01, -7.132304353140857e-02,  9.017446820987791e-02
  1.700000000000000e+00,  4.475504870708714e-01,  1.536156632095751e-01,  8.237732815530237e-02,  2.539427039732546e-01, -5.949279958258654e-02,  7.468678915193107e-02
  1.710000000000000e+00,  4.461047237450131e-01,  1.585955046949221e-01,  9.814616849231664e-02,  2.128314967027629e-01, -4.991522674218089e-02,  5.560049052487041e-02
  1.720000000000000e+00,  4.454925687297985e-01,  1.613616697508740e-01,  1.140296395577125e-01,  1.818607570587830e-01, -4.284382854510691e-02,  3.636395142938528e-02
  1.730000000000000e+00,  4.455596408558141e-01,  1.613409018496286e-01,  1.282361677321207e-01,  1.608150650017620e-01, -3.834978835412439e-02,  2.088983926422124e-02
  1.740000000000000e+00,  4.461261521531878e-01,  1.582315217494406e-01,  1.393521238309821e-01,  1.492084499541586e-01, -3.625579229397293e-02,  1.246368304468015e-02
  1.750000000000000e+00,  4.470754788353558e-01,  1.519341709091153e-01,  1.467239275080351e-01,  1.464611951977046e-01, -3.604904504182114e-02,  1.297659899235643e-02
  1.760000000000000e+00,  4.483253690358666e-01,  1.424978936899723e-01,  1.504701425032589e-01,  1.518636761410421e-01, -3.684114919218547e-02,  2.278315331274849e-02
  1.770000000000000e+00,  4.498078292097166e-01,  1.301290341963461e-01,  1.513284171505269e-01,  1.645486547729007e-01, -3.751107571522933e-02,  4.080853397054807e-02
  1.780000000000000e+00,  4.513721524260050e-01,  1.152139371314804e-01,  1.503354352558670e-01,  1.833883392030231e-01, -3.697776540057824e-02,  6.497735042336188e-02
  1.790000000000000e+00,  4.527265933115622e-01,  9.832273428691862e-02,  1.484727493301662e-01,  2.069776076284009e-01, -3.451831706043943e-02,  9.273439817195354e-02
  1.800000000000000e+00,  4.534495955351764e-01,  8.016104945331559e-02,  1.464476726609271e-01,  2.337320634854583e-01, -2.997330331698709e-02,  1.215057338413985e-01
  1.810000000000000e+00,  4.529955985994875e-01,  6.145705994286277e-02,  1.446032748566229e-01,  2.619366107704044e-01, -2.372015111885625e-02,  1.491916275508122e-01
  1.820000000000000e+00,  4.508331774088476e-01,  4.285790860962613e-02,  1.430341143652911e-01,  2.899236303655414e-01, -1.655746457383661e-02,  1.743542841540786e-01
  1.830000000000000e+00,  4.466005721635526e-01,  2.486708979254293e-02,  1.417251458975310e-01,  3.162552473293406e-01, -9.563570261583006e-03,  1.962193815285876e-01
  1.840000000000000e+00,  4.401804265207165e-01,  7.808592377285262e-03,  1.406180732428390e-01,  3.398316175520325e-01, -3.909785535853854e-03,  2.145912310050130e-01
  1.850000000000000e+00,  4.317168030991132e-01, -8.140556363174456e-03,  1.396871180189832e-01,  3.599836283511545e-01, -6.701394399351859e-04,  2.295481725427125e-01
  1.860000000000000e+00,  4.215071597719076e-01, -2.293762188079174e-02,  1.389296339069931e-01,  3.764043318870936e-01, -6.030631771686281e-04,  2.413134844110577e-01
  1.870000000000000e+00,  4.099169928515946e-01, -3.655837934344608e-02,  1.383709250253285e-01,  3.890892399821079e-01, -4.054252591823241e-03,  2.500520568226134e-01
  1.880000000000000e+00,  3.972455690552194e-01, -4.898821869457803e-02,  1.380108308286755e-01,  3.981573549304389e-01, -1.089847496687435e-02,  2.559918571586248e-01
  1.890000000000000e+00,  3.836838827790400e-01, -6.017955113524898e-02,  1.378226961438408e-01,  4.037673913304488e-01, -2.063850414664412e-02,  2.594053326846528e-01
  1.900000000000000e+00,  3.693187247091624e-01, -7.004706747816547e-02,  1.377524213229460e-01,  4.060771183863926e-01, -3.256263331526507e-02,  2.605974586696468e-01
  1.910000000000000e+00,  3.541692553570235e-01, -7.848765382624134e-02,  1.377166778340499e-01,  4.052446481743248e-01, -4.589410498411419e-02,  2.599016453554795e-01
  1.920000000000000e+00,  3.382258628193036e-01, -8.541546721160143e-02,  1.376005548423004e-01,  4.014474341150560e-01, -5.989571183513546e-02,  2.576875254599204e-01
