Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.600000000000000e+00, -2.095854634198612e-01, -1.587159694442213e-01, -6.486103445827988e-02,  1.002341115631577e-01, -1.973117537074988e-01,  1.427652437112410e-01
  1.610000000000000e+00, -2.372615343551475e-01, -1.548346502643929e-01, -7.256159887770831e-02,  8.075967203438472e-02, -2.033993831202731e-01,  1.456022811277585e-01
  1.620000000000000e+00, -2.642493495766419e-01, -1.509150948424260e-01, -8.018454017597848e-02,  6.271949583834488e-02, -2.100582539231885e-01,  1.473576797409789e-01
  1.630000000000000e+00, -2.903123207698561e-01, -1.470366295651258e-01, -8.779251913986577e-02,  4.649865337288139e-02, -2.173345643676604e-01,  1.476816370551080e-01
  1.640000000000000e+00, -3.152431932219647e-01, -1.433083958085881e-01, -9.541731695199961e-02,  3.249563291512060e-02, -2.252393234906233e-01,  1.461696897628122e-01
  1.650000000000000e+00, -3.388963514445282e-01, -1.398463189732584e-01, -1.030445787660946e-01,  2.108045997817439e-02, -2.337241374182684e-01,  1.423962099491562e-01
  1.660000000000000e+00, -3.611855124156130e-01, -1.367498799711668e-01, -1.105956893375227e-01,  1.256515640275429e-02, -2.426577883162178e-01,  1.359393974054344e-01
  1.670000000000000e+00, -3.820859062597713e-01, -1.340337110892418e-01, -1.179086239450369e-01,  7.170138695715279e-03, -2.518123137484705e-01,  1.264304973290177e-01
  1.680000000000000e+00, -4.016009608038373e-01, -1.315693259194193e-01, -1.247119581449733e-01,  5.015129191057649e-03, -2.608601086489959e-01,  1.135821900475835e-01
  1.690000000000000e+00, -4.197477761915724e-01, -1.290131044465808e-01, -1.306106579415137e-01,  6.108825123944850e-03, -2.693844372562775e-01,  9.723478362957819e-02
  1.700000000000000e+00, -4.364918548740196e-01, -1.258855086729151e-01, -1.350849670531575e-01,  1.040826668984294e-02, -2.769034817086196e-01,  7.729577492130633e-02
  1.710000000000000e+00, -4.517542071026813e-01, -1.216508869085624e-01, -1.375823184903165e-01,  1.783834023002636e-02, -2.828951308245041e-01,  5.380422136784158e-02
  1.720000000000000e+00, -4.653951703443144e-01, -1.158822940337993e-01, -1.376307986416886e-01,  2.835393042963528e-02, -2.868167840161334e-01,  2.692087121983686e-02
  1.730000000000000e+00, -4.772350327110967e-01, -1.083368333107013e-01, -1.349644877280016e-01,  4.195371459664884e-02, -2.881218153406975e-01, -2.994777847835421e-03
  1.740000000000000e+00, -4.871160239367222e-01, -9.891107572890467e-02, -1.295894596276604e-01,  5.865883635959382e-02, -2.862696379122056e-01, -3.532456862733851e-02
  1.750000000000000e+00, -4.949225949541910e-01, -8.760504573894079e-02, -1.218033456650369e-01,  7.849480778450568e-02, -2.807464299681027e-01, -6.915072232506599e-02
