Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.600000000000000e+00,  3.969180974250989e-01,  9.123923348342916e-01, -2.873902630849253e-01, -1.144817392193232e-01, -2.182847591848378e-02,  7.021252232073558e-02,  3.118087131181479e-03,  2.079991966525600e-13, -8.063122862675952e-03,  9.990876144645965e-03, -1.469852365064486e-03, -2.583560319860450e-02,  1.764276216312338e-02, -3.239802747190035e-03, -4.562276580892440e-02,  2.538450537377741e-02, -5.076916776010752e-03, -6.564229190043273e-02,  3.274524741990793e-02, -6.889228546550932e-03, -8.467657958417252e-02,  4.007171322781058e-02, -8.546737197679054e-03, -1.036222316691584e-01,  4.388201010596951e-02, -1.034289336891136e-02, -1.134753533363264e-01, -7.435466175083786e-03, -5.179936623078430e-03, -7.688696586429584e-03, -7.435466175078970e-03, -5.179936623112985e-03, -7.688696586464336e-03, -7.435466175077631e-03, -5.179936623127068e-03, -7.688696586473828e-03, -7.435466175079921e-03, -5.179936623120765e-03, -7.688696586456453e-03, -7.435466175085934e-03, -5.179936623094378e-03, -7.688696586411709e-03, -7.435466175095753e-03, -5.179936623048114e-03, -7.688696586339212e-03, -4.222523203120056e-02, -8.878548202115902e-02
  1.610000000000000e+00,  4.113397267426142e-01,  9.105566565031095e-01, -2.865229631832431e-01, -1.128145536275912e-01, -2.693478510477799e-02,  7.028559039933047e-02,  3.021166720500124e-03,  2.520734518045616e-14, -8.091409830563452e-03,  9.680326830778897e-03, -1.300820340373159e-03, -2.592623940616547e-02,  1.709436704683227e-02, -2.867227629231055e-03, -4.578281914447098e-02,  2.459547139771660e-02, -4.493074790957029e-03, -6.587257753909925e-02,  3.172741735426140e-02, -6.096971937265998e-03, -8.497364112230073e-02,  3.882615249098962e-02, -7.563868217934871e-03, -1.039857581564504e-01,  4.251801280150280e-02, -9.153467647792932e-03, -1.138734464481849e-01, -7.481211823217323e-03, -4.909135910804631e-03, -7.835127102127287e-03, -7.481211823216618e-03, -4.909135910808369e-03, -7.835127102130730e-03, -7.481211823216490e-03, -4.909135910809980e-03, -7.835127102131452e-03, -7.481211823216879e-03, -4.909135910809423e-03, -7.835127102129283e-03, -7.481211823217819e-03, -4.909135910806827e-03, -7.835127102124233e-03, -7.481211823219317e-03, -4.909135910802135e-03, -7.835127102116575e-03, -3.994616513877259e-02, -8.924106708254712e-02
  1.620000000000000e+00,  4.258667787256401e-01,  9.083758267244534e-01, -2.856874269065707e-01, -1.114712143778973e-01, -3.229011649415455e-02,  7.022675274058571e-02,  2.931230505862188e-03,  2.554388241086596e-14, -8.114588503426728e-03,  9.392156056981295e-03, -1.129897949423574e-03, -2.600050777649337e-02,  1.658548991225030e-02, -2.490485825180220e-03, -4.591396872284315e-02,  2.386329611598394e-02, -3.902703421339984e-03, -6.606127628967942e-02,  3.078293329195744e-02, -5.295855142959212e-03, -8.521705682745621e-02,  3.767034829114358e-02, -6.570007343773335e-03, -1.042836360196734e-01,  4.125230670877250e-02, -7.950740009514356e-03, -1.141996486080473e-01, -7.542734700354122e-03, -4.648485657099645e-03, -8.002930199186780e-03, -7.542734700353416e-03, -4.648485657103282e-03, -8.002930199190721e-03, -7.542734700353241e-03, -4.648485657104897e-03, -8.002930199191608e-03, -7.542734700353616e-03, -4.648485657104348e-03, -8.002930199189221e-03, -7.542734700354553e-03, -4.648485657101849e-03, -8.002930199184166e-03, -7.542734700356027e-03, -4.648485657097328e-03, -8.002930199176228e-03, -3.775177356986550e-02, -8.975716053303494e-02
  1.630000000000000e+00,  4.405152994820520e-01,  9.058651643086973e-01, -2.848866685108931e-01, -1.105510122648119e-01, -3.799486699556504e-02,  6.996733702622736e-02,  2.851628055643787e-03,  2.441110426464674e-14, -8.130640900105266e-03,  9.137096404226502e-03, -9.534023218541603e-04, -2.605194235811091e-02,  1.613508328866704e-02, -2.101459666766810e-03, -4.600479640174629e-02,  2.321524853414884e-02, -3.293081915336799e-03, -6.619195966464374e-02,  2.994697142882203e-02, -4.468616472921648e-03, -8.538563444533045e-02,  3.664734719362778e-02, -5.543739821251605e-03, -1.044899314210628e-01,  4.013203155995002e-02, -6.708795240687859e-03, -1.144255600093717e-01, -7.650478739917418e-03, -4.397121612332558e-03, -8.192539132602010e-03, -7.650478739916727e-03, -4.397121612335937e-03, -8.192539132605951e-03, -7.650478739916530e-03, -4.397121612337392e-03, -8.192539132606839e-03, -7.650478739916866e-03, -4.397121612336953e-03, -8.192539132604785e-03, -7.650478739917740e-03, -4.397121612334678e-03, -8.192539132599905e-03, -7.650478739919126e-03, -4.397121612330514e-03, -8.192539132591686e-03, -3.562880609014825e-02, -9.033361374386610e-02
  1.640000000000000e+00,  4.553032680403885e-01,  9.030467658403428e-01, -2.841210920106442e-01, -1.101836629438189e-01, -4.415483235622907e-02,  6.947070463583778e-02,  2.786254042633766e-03,  1.313050941755480e-13, -8.138316955886156e-03,  8.927627059848125e-03, -7.674651200255888e-04, -2.607653773320993e-02,  1.576518401565546e-02, -1.691622684956270e-03, -4.604822906454516e-02,  2.268303538099754e-02, -2.650848912157040e-03, -6.625445082430750e-02,  2.926043249021604e-02, -3.597124948862705e-03, -8.546624615954206e-02,  3.580720110727860e-02, -4.462572463290692e-03, -1.045885793089797e-01,  3.921199854684074e-02, -5.400413054897218e-03, -1.145335880233050e-01, -7.833350961045614e-03, -4.153950510006978e-03, -8.402138308760505e-03, -7.833350961040850e-03, -4.153950510027789e-03, -8.402138308786153e-03, -7.833350961039712e-03, -4.153950510036678e-03, -8.402138308791647e-03, -7.833350961042209e-03, -4.153950510033983e-03, -8.402138308776825e-03, -7.833350961048357e-03, -4.153950510019761e-03, -8.402138308741243e-03, -7.833350961058165e-03, -4.153950509994301e-03, -8.402138308685176e-03, -3.356251140421043e-02, -9.096414577577366e-02
  1.650000000000000e+00,  4.702499917524547e-01,  8.999508536411749e-01, -2.833881381985905e-01, -1.105031057339595e-01, -5.086145863061707e-02,  6.874425901753417e-02,  2.738729228658959e-03,  9.981282594428489e-14, -8.137411056000493e-03,  8.775349554359871e-03, -5.685215433664576e-04, -2.607363507744306e-02,  1.549627908946089e-02, -1.253117457136007e-03, -4.604310330130811e-02,  2.229613346158971e-02, -1.963691476589492e-03, -6.624707584729574e-02,  2.876134066658101e-02, -2.664672275327787e-03, -8.545673266125650e-02,  3.519644180609539e-02, -3.305777054903761e-03, -1.045769372477534e-01,  3.854316400831859e-02, -4.000509058570083e-03, -1.145208389541229e-01, -8.112112216380913e-03, -3.918183651988327e-03, -8.627660822402058e-03, -8.112112216376996e-03, -3.918183652004563e-03, -8.627660822424487e-03, -8.112112216376029e-03, -3.918183652011587e-03, -8.627660822429427e-03, -8.112112216378012e-03, -3.918183652009554e-03, -8.627660822416993e-03, -8.112112216382975e-03, -3.918183651998655e-03, -8.627660822387070e-03, -8.112112216390913e-03, -3.918183651979073e-03, -8.627660822339499e-03, -3.154245203672572e-02, -9.163655011772549e-02
  1.660000000000000e+00,  4.853735717538100e-01,  8.966161671913615e-01, -2.826831297646871e-01, -1.116197752435471e-01, -5.817098136865493e-02,  6.782795051176525e-02,  2.711774741787887e-03,  6.413292311783329e-14, -8.128527400277369e-03,  8.688982840233814e-03, -3.538732560318796e-04, -2.604517034880063e-02,  1.534376519836008e-02, -7.799963957785406e-04, -4.599283779600229e-02,  2.207669561772769e-02, -1.222289471301150e-03, -6.617475355564160e-02,  2.847827245683310e-02, -1.658611296850640e-03, -8.536343908310366e-02,  3.485003953343298e-02, -2.057663607979368e-03, -1.044627700386272e-01,  3.816382340112801e-02, -2.490095903782478e-03, -1.143958159337467e-01, -8.497897460286367e-03, -3.690077588427609e-03, -8.864065877285412e-03, -8.497897460283526e-03, -3.690077588438849e-03, -8.864065877302343e-03, -8.497897460282828e-03, -3.690077588443807e-03, -8.864065877306173e-03, -8.497897460284270e-03, -3.690077588442492e-03, -8.864065877296790e-03, -8.497897460287862e-03, -3.690077588435116e-03, -8.864065877274195e-03, -8.497897460293604e-03, -3.690077588421861e-03, -8.864065877238392e-03, -2.956905445034375e-02, -9.233627559162452e-02
  1.670000000000000e+00,  5.006869021759921e-01,  8.930922996080800e-01, -2.820010328279779e-01, -1.135470155817574e-01, -6.607588861857316e-02,  6.679048016367367e-02,  2.705265226416084e-03,  3.294076447347975e-14, -8.113104464191894e-03,  8.668125257010046e-03, -1.223733933630971e-04, -2.599575266489815e-02,  1.530693305521878e-02, -2.697316175796952e-04, -4.590557173129908e-02,  2.202370132310564e-02, -4.226815893440382e-04, -6.604919465114498e-02,  2.840991141278370e-02, -5.735666350103379e-04, -8.520147187773240e-02,  3.476638329721329e-02, -7.115634590541929e-04, -1.042645640723411e-01,  3.807221254885715e-02, -8.611034611463489e-04, -1.141787631673458e-01, -8.981133466699438e-03, -3.471522927822216e-03, -9.105454037842929e-03, -8.981133466697716e-03, -3.471522927829100e-03, -9.105454037853641e-03, -8.981133466697313e-03, -3.471522927832216e-03, -9.105454037855917e-03, -8.981133466698252e-03, -3.471522927831619e-03, -9.105454037849478e-03, -8.981133466700545e-03, -3.471522927827439e-03, -9.105454037834490e-03, -8.981133466704178e-03, -3.471522927819779e-03, -9.105454037810677e-03, -2.766049597071697e-02, -9.304701376438461e-02
  1.680000000000000e+00,  5.161932308113154e-01,  8.894414471379783e-01, -2.813410180323007e-01, -1.161355309771891e-01, -7.448015779660748e-02,  6.570704184263376e-02,  2.714818125932540e-03,  2.011539408293426e-13, -8.092988938479937e-03,  8.698734355447843e-03,  1.248430835368063e-04, -2.593129913381082e-02,  1.536098527609441e-02,  2.751752313175282e-04, -4.579175405380555e-02,  2.210147196238908e-02,  4.312119770024412e-04, -6.588543313705539e-02,  2.851023319524024e-02,  5.851421230794575e-04, -8.499022445662494e-02,  3.488915121044404e-02,  7.259239427573482e-04, -1.040060518682020e-01,  3.820665408785496e-02,  8.784818998740615e-04, -1.138956698263057e-01, -9.528619679973994e-03, -3.266537373588419e-03, -9.346660108996803e-03, -9.528619679962590e-03, -3.266537373602473e-03, -9.346660109041047e-03, -9.528619679957034e-03, -3.266537373605342e-03, -9.346660109063086e-03, -9.528619679957379e-03, -3.266537373597113e-03, -9.346660109062030e-03, -9.528619679963659e-03, -3.266537373578148e-03, -9.346660109038382e-03, -9.528619679975873e-03, -3.266537373548789e-03, -9.346660108991474e-03, -2.585721555004781e-02, -9.375509760819975e-02
  1.690000000000000e+00,  5.318838231652758e-01,  8.857407024194515e-01, -2.807131278070431e-01, -1.189959593663693e-01, -8.318074436325670e-02,  6.465601083021205e-02,  2.730081745461248e-03, -1.446763754478122e-15, -8.070378662405104e-03,  8.747641562274134e-03,  3.836665841687768e-04, -2.585885200247340e-02,  1.544734989567451e-02,  8.456659204867079e-04, -4.566382057826379e-02,  2.222573386240811e-02,  1.325196573218438e-03, -6.570136173308234e-02,  2.867052730374988e-02,  1.798253243973396e-03, -8.475277788904850e-02,  3.508530973899004e-02,  2.230902602117084e-03, -1.037154786855971e-01,  3.842146473244348e-02,  2.699742275439910e-03, -1.135774669276613e-01, -1.007834104585281e-02, -3.081253545573478e-03, -9.584033252565788e-03, -1.007834104585271e-02, -3.081253545573470e-03, -9.584033252566175e-03, -1.007834104585266e-02, -3.081253545573392e-03, -9.584033252566399e-03, -1.007834104585264e-02, -3.081253545573222e-03, -9.584033252566453e-03, -1.007834104585268e-02, -3.081253545573026e-03, -9.584033252566340e-03, -1.007834104585276e-02, -3.081253545572766e-03, -9.584033252566064e-03, -2.422247711964546e-02, -9.445165738679222e-02
