Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.600000000000000e+00,  4.921867516362898e-01,  7.978729623299130e-02,  1.553898840753680e-01,  1.979711071115494e-01, -1.527995695910958e-02,  3.335132459608693e-02
  1.610000000000000e+00,  4.934160178899104e-01,  7.039761320269688e-02,  1.469001309636379e-01,  2.152796825247590e-01, -2.728591781789686e-03,  5.591733403946265e-02
  1.620000000000000e+00,  4.946868141913500e-01,  5.966838182823553e-02,  1.371203617348316e-01,  2.347902289730781e-01,  1.105110369612834e-02,  7.799538594940965e-02
  1.630000000000000e+00,  4.955307347832771e-01,  4.785562716719949e-02,  1.263048057220842e-01,  2.555148142602665e-01,  2.505187535532778e-02,  9.850454139500105e-02
  1.640000000000000e+00,  4.954703068874048e-01,  3.524933202232727e-02,  1.147417887046545e-01,  2.765633824347020e-01,  3.815845804784442e-02,  1.168177450195880e-01
  1.650000000000000e+00,  4.940680496369375e-01,  2.215860578998674e-02,  1.027773460389582e-01,  2.971205174608747e-01,  4.934798627316012e-02,  1.328014994614830e-01
  1.660000000000000e+00,  4.909806236781532e-01,  8.896408202604844e-03,  9.080387976341420e-02,  3.164570954942361e-01,  5.782735181205772e-02,  1.466720827092712e-01
  1.670000000000000e+00,  4.859987329374443e-01, -4.237791152023052e-03,  7.924423249637837e-02,  3.339731700706122e-01,  6.310514660504483e-02,  1.587332822540043e-01
  1.680000000000000e+00,  4.790553381726629e-01, -1.697882444028820e-02,  6.852638167685089e-02,  3.492278668895957e-01,  6.499548152295283e-02,  1.691644656580451e-01
  1.690000000000000e+00,  4.701986010016679e-01, -2.911375695843099e-02,  5.904965650437224e-02,  3.619347458938934e-01,  6.357144612742638e-02,  1.779633207126031e-01
  1.700000000000000e+00,  4.595417007173510e-01, -4.048848123318916e-02,  5.114707594920035e-02,  3.719357619672889e-01,  5.910158398515533e-02,  1.850112379613917e-01
  1.710000000000000e+00,  4.472098949314534e-01, -5.100347388148507e-02,  4.504571162645506e-02,  3.791728809953137e-01,  5.198897426902017e-02,  1.901605420072163e-01
  1.720000000000000e+00,  4.333050045657375e-01, -6.060277740417330e-02,  4.083636140975030e-02,  3.836650425009120e-01,  4.271546045528497e-02,  1.932786141056566e-01
  1.730000000000000e+00,  4.178979720048900e-01, -6.925871273993400e-02,  3.846542255360006e-02,  3.854904955111903e-01,  3.179480677726056e-02,  1.942629400913390e-01
  1.740000000000000e+00,  4.010456765117612e-01, -7.695778785685703e-02,  3.774901500122524e-02,  3.847732349085006e-01,  1.974137255764392e-02,  1.930663128677740e-01
  1.750000000000000e+00,  3.828322823616214e-01, -8.369088526583557e-02,  3.840168466986615e-02,  3.816805573870350e-01,  7.047958652999630e-03,  1.897252882901063e-01
  1.760000000000000e+00,  3.633346017852210e-01, -8.947306116088161e-02,  4.006541787165488e-02,  3.763870791208394e-01, -5.820656190887796e-03,  1.844159473407215e-01
  1.770000000000000e+00,  3.427270588856434e-01, -9.431921164358492e-02,  4.235626020917344e-02,  3.691224664952990e-01, -1.847287726817299e-02,  1.773911215771647e-01
  1.780000000000000e+00,  3.212102635082469e-01, -9.826615609323919e-02,  4.489164681220475e-02,  3.601319991754097e-01, -3.059755461355691e-02,  1.689938263748057e-01
  1.790000000000000e+00,  2.990191438942697e-01, -1.013621235028277e-01,  4.732695340368619e-02,  3.496776466286719e-01, -4.197982138573419e-02,  1.596040750269808e-01
  1.800000000000000e+00,  2.763690543130874e-01, -1.036680681746329e-01,  4.936151394753089e-02,  3.380234059780161e-01, -5.250212527219070e-02,  1.495936885153084e-01
  1.810000000000000e+00,  2.534652956446371e-01, -1.052441283953367e-01,  5.078001169335086e-02,  3.254159199985149e-01, -6.212806031061693e-02,  1.393110494237348e-01
  1.820000000000000e+00,  2.304698475616421e-01, -1.061523194747256e-01,  5.143686432886876e-02,  3.120752731733294e-01, -7.088526604052772e-02,  1.290724183407603e-01
  1.830000000000000e+00,  2.075007598022208e-01, -1.064539953991230e-01,  5.124721691909250e-02,  2.981944292767204e-01, -7.884576356654768e-02,  1.191581593009156e-01
  1.840000000000000e+00,  1.846387876778076e-01, -1.062083023370171e-01,  5.017079786059777e-02,  2.839425941622987e-01, -8.610916830115338e-02,  1.098050114274412e-01
  1.850000000000000e+00,  1.619355633806175e-01, -1.054690902740678e-01,  4.819818289661351e-02,  2.694659045829946e-01, -9.278939095548791e-02,  1.012025523367219e-01
  1.860000000000000e+00,  1.394214177275080e-01, -1.042788749622472e-01,  4.534689998144142e-02,  2.548935803915194e-01, -9.900892764019303e-02,  9.348938521633417e-02
  1.870000000000000e+00,  1.171048156175952e-01, -1.026631200526824e-01,  4.166450092717650e-02,  2.403459802307526e-01, -1.048971732090290e-01,  8.674764521788488e-02
  1.880000000000000e+00,  9.502122836379558e-02, -1.006354707846875e-01,  3.724703456630825e-02,  2.259444278877544e-01, -1.105872728175302e-01,  8.101097057127300e-02
  1.890000000000000e+00,  7.319496637742016e-02, -9.820056871807514e-02,  3.221979135894584e-02,  2.118071369971411e-01, -1.162055113269878e-01,  7.626060510912172e-02
  1.900000000000000e+00,  5.169571252968280e-02, -9.536870179465429e-02,  2.674109221275010e-02,  1.980627719077004e-01, -1.218631797763283e-01,  7.243567699657061e-02
  1.910000000000000e+00,  3.059201310572994e-02, -9.215831626729654e-02,  2.096890196472977e-02,  1.848467009277711e-01, -1.276464853368396e-01,  6.943476009836874e-02
  1.920000000000000e+00,  1.000180130335272e-02, -8.861539762017467e-02,  1.506253996382685e-02,  1.723034659692289e-01, -1.336169507995608e-01,  6.714425709935772e-02
  1.930000000000000e+00, -9.957847814885719e-03, -8.481278335855813e-02,  9.154144174955046e-03,  1.605707146956121e-01, -1.398122536303710e-01,  6.545002631890637e-02
  1.940000000000000e+00, -2.917277412864914e-02, -8.085063973195794e-02,  3.340249670917016e-03,  1.497705751374662e-01, -1.462518570431142e-01,  6.424768772857432e-02
  1.950000000000000e+00, -4.754252960175612e-02, -7.684787367058132e-02, -2.322013683148731e-03,  1.400029570247237e-01, -1.529447089947057e-01,  6.343717636590128e-02
  1.960000000000000e+00, -6.499152004616290e-02, -7.292899551031273e-02, -7.808054965717688e-03,  1.313403711783994e-01, -1.598965274338549e-01,  6.290840105759898e-02
  1.970000000000000e+00, -8.148034630797245e-02, -6.921156400351824e-02, -1.311452018343106e-02,  1.238207130970492e-01, -1.671083300736163e-01,  6.253403687294007e-02
  1.980000000000000e+00, -9.701300796587893e-02, -6.579808091399775e-02, -1.824794741787210e-02,  1.174403163952970e-01, -1.745667225192718e-01,  6.217159373406950e-02
  1.990000000000000e+00, -1.116372065708393e-01, -6.277262123727434e-02, -2.321087658880423e-02,  1.121536622675012e-01, -1.822345373929490e-01,  6.166064216469450e-02
  2.000000000000000e+00, -1.254413627198215e-01, -6.019998809530347e-02, -2.799100025126994e-02,  1.078808422449144e-01, -1.900442355541548e-01,  6.081516087942886e-02
  2.010000000000000e+00, -1.385508657138550e-01, -5.812587476677122e-02, -3.256352165994722e-02,  1.045207589546003e-01, -1.978953796809682e-01,  5.942047245857733e-02
  2.020000000000000e+00, -1.511212479730764e-01, -5.657838395103276e-02, -3.690364534401432e-02,  1.019703689516451e-01, -2.056619674768301e-01,  5.723436280793636e-02
  2.030000000000000e+00, -1.633268434732638e-01, -5.557113383875145e-02, -4.099842520335160e-02,  1.001484063709625e-01, -2.132100250669966e-01,  5.399004271331074e-02
  2.040000000000000e+00, -1.753461763068448e-01, -5.510636164104832e-02, -4.485435167012795e-02,  9.901633197356641e-02, -2.204174244972466e-01,  4.940543029493438e-02
  2.050000000000000e+00, -1.873458074402723e-01, -5.517458046610013e-02, -4.850334511460089e-02,  9.858762967865721e-02, -2.271847732602253e-01,  4.320825548497830e-02
  2.060000000000000e+00, -1.994609238166865e-01, -5.574701915888958e-02, -5.200716598879723e-02,  9.892223191314839e-02, -2.334316646409853e-01,  3.518036297405724e-02
  2.070000000000000e+00, -2.117674891723049e-01, -5.675783196109618e-02, -5.545364962045251e-02,  1.001117452799976e-01, -2.390844479902378e-01,  2.520654250129646e-02
