Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.600000000000000e+00, -2.539472636790403e-02,  8.828443879117140e-01, -3.257427113478983e-01,  2.536397813826798e-02,  1.253755184766737e-01, -2.058813612198378e-02,  1.152263379119271e-04, -6.743749139704590e-17, -6.431559311804958e-03,  3.692045867315967e-04, -7.033342587220348e-03, -2.060779888355816e-02,  6.519737227135670e-04, -1.550267440150927e-02, -3.639105211018764e-02,  9.380634571092509e-04, -2.429338878971083e-02, -5.235965033720654e-02,  1.210073607747156e-03, -3.296542270110538e-02, -6.754237200449160e-02,  1.480817108280493e-03, -4.089671325786304e-02, -8.265439338374590e-02,  1.621623486418655e-03, -4.949144153757604e-02, -9.051374732045336e-02,  2.144708301908494e-02, -9.192525234016131e-03,  2.230373132812327e-02,  2.144708301908523e-02, -9.192525234016150e-03,  2.230373132812266e-02,  2.144708301908564e-02, -9.192525234016194e-03,  2.230373132812158e-02,  2.144708301908611e-02, -9.192525234016246e-03,  2.230373132812041e-02,  2.144708301908655e-02, -9.192525234016270e-03,  2.230373132811931e-02,  2.144708301908681e-02, -9.192525234016263e-03,  2.230373132811861e-02, -8.877846778183206e-02, -4.113312527567170e-03
  1.610000000000000e+00, -1.176220477626923e-02,  8.825789817439882e-01, -3.249627085623247e-01,  1.789039713925407e-02,  1.276727197293991e-01, -2.293709489922271e-02,  3.392344703079766e-04, -3.611409799691900e-13, -6.352109565420904e-03,  1.086964345145290e-03, -7.103025965742194e-03, -2.035322852367133e-02,  1.919456621166320e-03, -1.565626833099833e-02, -3.594150952431876e-02,  2.761724972893222e-03, -2.453407739286251e-02, -5.171284593814376e-02,  3.562542037161249e-03, -3.329203014289137e-02, -6.670801380851490e-02,  4.359629995610519e-03, -4.130190056880038e-02, -8.163335475586478e-02,  4.774173903694972e-03, -4.998178177894776e-02, -8.939562123637410e-02,  2.084538586854266e-02, -9.083843102606305e-03,  2.264679864951842e-02,  2.084538586910975e-02, -9.083843102035092e-03,  2.264679865049377e-02,  2.084538586965473e-02, -9.083843101481170e-03,  2.264679865130090e-02,  2.084538587017503e-02, -9.083843100947392e-03,  2.264679865193973e-02,  2.084538587066827e-02, -9.083843100436542e-03,  2.264679865241054e-02,  2.084538587113193e-02, -9.083843099951371e-03,  2.264679865271364e-02, -8.763533382918179e-02, -3.005985746790871e-03
  1.620000000000000e+00,  2.018103526742615e-03,  8.826529289691760e-01, -3.240439027680353e-01,  9.865597086301961e-03,  1.289779602072425e-01, -2.519085350383830e-02,  5.721818432618023e-04, -3.156047268729114e-13, -6.273025968625652e-03,  1.833366950791324e-03, -7.154967424913584e-03, -2.009983136365382e-02,  3.237519568765343e-03, -1.577075607561274e-02, -3.549403867526075e-02,  4.658161351698221e-03, -2.471348484343111e-02, -5.106902236498641e-02,  6.008887850821825e-03, -3.353548084017158e-02, -6.587750078944707e-02,  7.353324520097586e-03, -4.160392409919355e-02, -8.061702163484409e-02,  8.052529700977489e-03, -5.034727765088309e-02, -8.828264810341374e-02,  2.015517708357180e-02, -8.940236135443577e-03,  2.297327646907842e-02,  2.015517708403168e-02, -8.940236134987284e-03,  2.297327646990251e-02,  2.015517708447226e-02, -8.940236134543082e-03,  2.297327647057926e-02,  2.015517708489151e-02, -8.940236134113363e-03,  2.297327647110855e-02,  2.015517708528740e-02, -8.940236133700439e-03,  2.297327647149065e-02,  2.015517708565787e-02, -8.940236133306681e-03,  2.297327647172570e-02, -8.614317395610005e-02, -1.928891988957924e-03
  1.630000000000000e+00,  1.592320767320633e-02,  8.830764772506037e-01, -3.229961794563116e-01,  1.558081213805350e-03,  1.293233854501299e-01, -2.718743534187431e-02,  8.070912928498586e-04, -2.641921476785348e-13, -6.198626260165199e-03,  2.586056379713778e-03, -7.186764332889103e-03, -1.986144217087511e-02,  4.566684338011314e-03, -1.584084182868622e-02, -3.507307020642625e-02,  6.570571093689216e-03, -2.482331237409719e-02, -5.046333056557655e-02,  8.475838821745990e-03, -3.368451360797124e-02, -6.509617661012601e-02,  1.037223442745129e-02, -4.178881329100481e-02, -7.966088293079113e-02,  1.135849853495683e-02, -5.057102258978180e-02, -8.723559309049070e-02,  1.940732562753908e-02, -8.771035927413309e-03,  2.328344316232462e-02,  1.940732562791076e-02, -8.771035927055445e-03,  2.328344316302172e-02,  1.940732562826524e-02, -8.771035926705277e-03,  2.328344316358971e-02,  1.940732562860079e-02, -8.771035926364773e-03,  2.328344316402829e-02,  1.940732562891579e-02, -8.771035926035859e-03,  2.328344316433786e-02,  1.940732562920857e-02, -8.771035925720589e-03,  2.328344316451829e-02, -8.439548619772726e-02, -8.887134417151209e-04
  1.640000000000000e+00,  2.992306582729730e-02,  8.838503828821600e-01, -3.218333027612784e-01, -6.760749698163510e-03,  1.287916120640413e-01, -2.878732888112836e-02,  1.036974900993289e-03, -2.127008394538056e-13, -6.132801404451495e-03,  3.322642165890256e-03, -7.196112163931200e-03, -1.965052825032765e-02,  5.867411887397357e-03, -1.586144602644530e-02, -3.470061997440545e-02,  8.442065203714358e-03, -2.485560007971749e-02, -4.992744707810363e-02,  1.089000985955992e-02, -3.372832708629524e-02, -6.440490305077975e-02,  1.332655534825598e-02, -4.184316803932150e-02, -7.881494289371956e-02,  1.459373681289023e-02, -5.063680036561992e-02, -8.630921519906051e-02,  1.863530728299821e-02, -8.588361955053955e-03,  2.358097416133786e-02,  1.863530728330158e-02, -8.588361954776309e-03,  2.358097416193558e-02,  1.863530728358898e-02, -8.588361954502704e-03,  2.358097416241893e-02,  1.863530728385908e-02, -8.588361954234808e-03,  2.358097416278757e-02,  1.863530728411045e-02, -8.588361953974248e-03,  2.358097416304162e-02,  1.863530728434177e-02, -8.588361953722650e-03,  2.358097416318099e-02, -8.251201771577088e-02,  1.173274140038478e-04
  1.650000000000000e+00,  4.398082144358165e-02,  8.849639453136441e-01, -3.205722633299022e-01, -1.484395235357740e-02,  1.275140396124573e-01, -2.989685544131119e-02,  1.255559324416808e-03, -1.618048572206301e-13, -6.078435865802602e-03,  4.023023461383238e-03, -7.181363351510121e-03, -1.947633191121211e-02,  7.104206383154856e-03, -1.582893715412147e-02, -3.439300885638640e-02,  1.022157207666629e-02, -2.480465721313827e-02, -4.948485447237806e-02,  1.318552013185610e-02, -3.365919909659966e-02, -6.383397191921589e-02,  1.613566618385442e-02, -4.175740825396039e-02, -7.811627086136802e-02,  1.766995742196278e-02, -5.053301756570183e-02, -8.554410857704335e-02,  1.787015678437279e-02, -8.405764452988117e-03,  2.387204915892379e-02,  1.787015678462532e-02, -8.405764452773546e-03,  2.387204915944762e-02,  1.787015678486249e-02, -8.405764452560102e-03,  2.387204915986808e-02,  1.787015678508331e-02, -8.405764452349208e-03,  2.387204916018506e-02,  1.787015678528642e-02, -8.405764452142146e-03,  2.387204916039857e-02,  1.787015678547096e-02, -8.405764451940448e-03,  2.387204916050866e-02, -8.062436745855696e-02,  1.100082403939067e-03
  1.660000000000000e+00,  5.805360295216033e-02,  8.863938910908498e-01, -3.192320589139989e-01, -2.249218934026635e-02,  1.256594980928463e-01, -3.048589968700583e-02,  1.457887760531017e-03, -1.116300687609672e-13, -6.036973406432967e-03,  4.671317836286309e-03, -7.141794243822526e-03, -1.934347921063641e-02,  8.249021242710854e-03, -1.574172016097478e-02, -3.415840594821971e-02,  1.186873813193085e-02, -2.466798425802796e-02, -4.914730648940475e-02,  1.531031473502155e-02, -3.347373786783599e-02, -6.339854518733092e-02,  1.873586519632813e-02, -4.152732612329199e-02, -7.758342116568887e-02,  2.051740142045602e-02, -5.025458207752347e-02, -8.496059183122144e-02,  1.713628048051292e-02, -8.236653439287757e-03,  2.416409372579867e-02,  1.713628048072849e-02, -8.236653439121638e-03,  2.416409372626881e-02,  1.713628048092898e-02, -8.236653438954343e-03,  2.416409372664396e-02,  1.713628048111352e-02, -8.236653438787066e-03,  2.416409372692407e-02,  1.713628048128102e-02, -8.236653438621008e-03,  2.416409372710892e-02,  1.713628048143064e-02, -8.236653438457293e-03,  2.416409372719866e-02, -7.886004857917712e-02,  2.075705790782755e-03
  1.670000000000000e+00,  7.209441866339929e-02,  8.881048314577566e-01, -3.178326165297801e-01, -2.956923062373320e-02,  1.234166717025942e-01, -3.059118242580152e-02,  1.640734545210301e-03, -6.356730979905681e-14, -6.008309478372212e-03,  5.257189719769658e-03, -7.077686963363881e-03, -1.925163515921840e-02,  9.283605011958762e-03, -1.560041689260753e-02, -3.399621969634534e-02,  1.335730307478294e-02, -2.444655567443449e-02, -4.891395199857654e-02,  1.723051867978113e-02, -3.317326571395681e-02, -6.309752492226987e-02,  2.108569816063929e-02, -4.115456210234660e-02, -7.721505022087194e-02,  2.309067282761589e-02, -4.980347910909107e-02, -8.455719361836730e-02,  1.644848295425859e-02, -8.092688221823165e-03,  2.446448733178563e-02,  1.644848295444729e-02, -8.092688221693848e-03,  2.446448733221702e-02,  1.644848295462108e-02, -8.092688221561646e-03,  2.446448733255974e-02,  1.644848295477909e-02, -8.092688221427531e-03,  2.446448733281345e-02,  1.644848295492054e-02, -8.092688221292551e-03,  2.446448733297828e-02,  1.644848295504450e-02, -8.092688221157676e-03,  2.446448733305407e-02, -7.732683057778085e-02,  3.062395919639649e-03
  1.680000000000000e+00,  8.605524432812592e-02,  8.900517430208981e-01, -3.163941482135197e-01, -3.600864628427049e-02,  1.209715418785637e-01, -3.030429670235070e-02,  1.802810331410141e-03, -2.066731235934619e-14, -5.991016267573039e-03,  5.776507826909564e-03, -6.990237718151108e-03, -1.919622480029863e-02,  1.020066230700204e-02, -1.540766399342060e-02, -3.389837124247932e-02,  1.467677026589262e-02, -2.414450320283780e-02, -4.877316709316647e-02,  1.893259161755373e-02, -3.276338928671989e-02, -6.291591663443123e-02,  2.316859519236813e-02, -4.064607177092611e-02, -7.699280865001382e-02,  2.537162617929178e-02, -4.918812600356689e-02, -8.431381977540019e-02,  1.581027630659968e-02, -7.982330506240936e-03,  2.477935463600405e-02,  1.581027630676834e-02, -7.982330506139919e-03,  2.477935463640620e-02,  1.581027630692214e-02, -7.982330506034670e-03,  2.477935463672453e-02,  1.581027630706039e-02, -7.982330505926099e-03,  2.477935463695898e-02,  1.581027630718236e-02, -7.982330505815097e-03,  2.477935463710915e-02,  1.581027630728732e-02, -7.982330505702543e-03,  2.477935463717522e-02, -7.609918797381317e-02,  4.077036258949346e-03
  1.690000000000000e+00,  9.989128996493302e-02,  8.921843883411774e-01, -3.149368957761977e-01, -4.180943868722559e-02,  1.184834872843871e-01, -2.974632032715459e-02,  1.944680194387777e-03,  1.469855309043571e-14, -5.982847153027001e-03,  6.231082754035143e-03, -6.881187983301216e-03, -1.917004958187679e-02,  1.100339043709008e-02, -1.516729996855459e-02, -3.385214875442680e-02,  1.583174001180195e-02, -2.376784195361193e-02, -4.870666191754622e-02,  2.042246780524750e-02, -3.225227091610913e-02, -6.283012696089281e-02,  2.499181828707181e-02, -4.001198126850483e-02, -7.688782427937728e-02,  2.736821399202550e-02, -4.842077697892472e-02, -8.419885276177468e-02,  1.521414566024458e-02, -7.909973172892016e-03,  2.511257263662714e-02,  1.521414566039709e-02, -7.909973172813473e-03,  2.511257263700454e-02,  1.521414566053498e-02, -7.909973172729772e-03,  2.511257263730249e-02,  1.521414566065762e-02, -7.909973172641730e-03,  2.511257263752079e-02,  1.521414566076438e-02, -7.909973172550083e-03,  2.511257263765951e-02,  1.521414566085460e-02, -7.909973172455660e-03,  2.511257263771842e-02, -7.521074630211591e-02,  5.132096468057534e-03
