Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.500000000000000e-01,  6.820067797981190e-02,  2.941991251806408e-02,  3.152427262609876e-01,  1.885791666168279e-01, -2.991454116690256e-02,  1.126405272209220e-01
  2.600000000000000e-01,  7.771847122304264e-02,  2.990044016221138e-02,  3.143596343852875e-01,  1.958293483902383e-01, -3.283868131286808e-02,  1.124748883220427e-01
  2.700000000000000e-01,  8.771691464202562e-02,  3.037706027199127e-02,  3.134483432451358e-01,  2.033614763172776e-01, -3.583581575237089e-02,  1.123388599635241e-01
  2.800000000000000e-01,  9.828309965313213e-02,  3.084800515330444e-02,  3.125066927373081e-01,  2.112459667868365e-01, -3.894279349965209e-02,  1.122227045671469e-01
  2.900000000000000e-01,  1.094642857889285e-01,  3.131016649556218e-02,  3.115331644901758e-01,  2.195065215370043e-01, -4.216393826061786e-02,  1.121319009230360e-01
  3.000000000000000e-01,  1.212788922969174e-01,  3.176000120970612e-02,  3.105265834403568e-01,  2.281365412844771e-01, -4.548353061479206e-02,  1.120808749363149e-01
  3.100000000000000e-01,  1.337520056586037e-01,  3.219381077940997e-02,  3.094860292553540e-01,  2.371373756218808e-01, -4.889056748444272e-02,  1.120812350233921e-01
  3.200000000000000e-01,  1.469036266365063e-01,  3.260793783871185e-02,  3.084109120633120e-01,  2.465077704408269e-01, -5.237331622068409e-02,  1.121446155221510e-01
  3.300000000000000e-01,  1.607470344841565e-01,  3.299882466794135e-02,  3.073012530518145e-01,  2.562428533166607e-01, -5.591814233346136e-02,  1.122821232538488e-01
  3.400000000000000e-01,  1.752859803160504e-01,  3.336336978002752e-02,  3.061578718179375e-01,  2.663336006618722e-01, -5.950967892557597e-02,  1.125034755084654e-01
  3.500000000000000e-01,  1.905171028631442e-01,  3.369881276556796e-02,  3.049823589902474e-01,  2.767680502945694e-01, -6.313246988130240e-02,  1.128170791959105e-01
  3.600000000000000e-01,  2.064233287574570e-01,  3.400346206588933e-02,  3.037774527262879e-01,  2.875293489576662e-01, -6.676938373333560e-02,  1.132282745027885e-01
  3.700000000000000e-01,  2.229765216295985e-01,  3.427670862388355e-02,  3.025469069329787e-01,  2.985973151642795e-01, -7.040352081873393e-02,  1.137393398072651e-01
  3.800000000000000e-01,  2.401368168426018e-01,  3.451929814176991e-02,  3.012954975733811e-01,  3.099486832224984e-01, -7.401849929444608e-02,  1.143488752311167e-01
  3.900000000000000e-01,  2.578535558912171e-01,  3.473349302838402e-02,  3.000288879710461e-01,  3.215579001658276e-01, -7.759910460883751e-02,  1.150515592465955e-01
  4.000000000000000e-01,  2.760670517615932e-01,  3.492313727174534e-02,  2.987534015310473e-01,  3.333981079802907e-01, -8.113189794790385e-02,  1.158381915666271e-01
  4.100000000000000e-01,  2.947110480777043e-01,  3.509361167268787e-02,  2.974757209634513e-01,  3.454422164055170e-01, -8.460571552837759e-02,  1.166960355865371e-01
  4.200000000000000e-01,  3.137156154143244e-01,  3.525168077769480e-02,  2.962025452424306e-01,  3.576639535091773e-01, -8.801200424392983e-02,  1.176094269837007e-01
  4.300000000000000e-01,  3.330101606007870e-01,  3.540524857942229e-02,  2.949402405467109e-01,  3.700387852275898e-01, -9.134496450650625e-02,  1.185605744968674e-01
  4.400000000000000e-01,  3.525262277620375e-01,  3.556305083414690e-02,  2.936945219500648e-01,  3.825446201096575e-01, -9.460150001592078e-02,  1.195304570440678e-01
  4.500000000000000e-01,  3.721998355062319e-01,  3.573431704043184e-02,  2.924701971073054e-01,  3.951622546166706e-01, -9.778100064922100e-02,  1.204997198598815e-01
  4.600000000000000e-01,  3.919731964340186e-01,  3.592843421652403e-02,  2.912709902961535e-01,  4.078755563431778e-01, -1.008850030460803e-01,  1.214494872190406e-01
  4.700000000000000e-01,  4.117957740161297e-01,  3.615463834282906e-02,  2.900994500860593e-01,  4.206714170583090e-01, -1.039167802008402e-01,  1.223620344016960e-01
  4.800000000000000e-01,  4.316247234012755e-01,  3.642175034745621e-02,  2.889569331356936e-01,  4.335395283027404e-01, -1.068809083836243e-01,  1.232212914854516e-01
  4.900000000000000e-01,  4.514248226518584e-01,  3.673796432557430e-02,  2.878436506342847e-01,  4.464720394430215e-01, -1.097828507989345e-01,  1.240131792115043e-01
  5.000000000000000e-01,  4.711680270948573e-01,  3.711068797259065e-02,  2.867587612782902e-01,  4.594631544047940e-01, -1.126285853129804e-01,  1.247257955270323e-01
  5.100000000000000e-01,  4.908327796396684e-01,  3.754642987925627e-02,  2.857004955566306e-01,  4.725087128088089e-01, -1.154242909201767e-01,  1.253494795667626e-01
  5.200000000000000e-01,  5.104031933682556e-01,  3.805072651627994e-02,  2.846662986266075e-01,  4.856057889657731e-01, -1.181760970656429e-01,  1.258767808571232e-01
  5.300000000000000e-01,  5.298681962569940e-01,  3.862810267574401e-02,  2.836529812393425e-01,  4.987523306970746e-01, -1.208898935094639e-01,  1.263023593809456e-01
  5.400000000000000e-01,  5.492206999282798e-01,  3.928205977332366e-02,  2.826568703420556e-01,  5.119468497308505e-01, -1.235711954270725e-01,  1.266228391012223e-01
