Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  5.000000000000000e-01,  2.405595527026094e-01,  7.579994522662981e-02,  2.178628192057874e-01,  3.025051414242202e-01, -7.686289955225432e-02,  6.765680841123749e-02
  5.100000000000000e-01,  2.639233561728955e-01,  7.685245117572781e-02,  2.157565695716531e-01,  3.169985026827690e-01, -8.160754090280188e-02,  6.427573238911367e-02
  5.200000000000000e-01,  2.881562580878805e-01,  7.796796876714063e-02,  2.135013450321837e-01,  3.318060253135362e-01, -8.619997617190973e-02,  6.097095050734589e-02
  5.300000000000000e-01,  3.132562776936855e-01,  7.915692378367223e-02,  2.111117057010436e-01,  3.469783847456452e-01, -9.066975435151342e-02,  5.768760438668769e-02
  5.400000000000000e-01,  3.390940972630470e-01,  8.041659261067347e-02,  2.086074138622656e-01,  3.624695934014170e-01, -9.499932310518039e-02,  5.441514431034250e-02
  5.500000000000000e-01,  3.654601291567225e-01,  8.173432106393963e-02,  2.060134953410955e-01,  3.781784683235953e-01, -9.914996812093672e-02,  5.116681862167780e-02
  5.600000000000001e-01,  3.921722634206126e-01,  8.309756584835215e-02,  2.033561231241835e-01,  3.940316166242610e-01, -1.031032230914753e-01,  4.794324242494746e-02
  5.700000000000001e-01,  4.190653994451627e-01,  8.449246955405543e-02,  2.006603366164220e-01,  4.099657996142308e-01, -1.068491666145854e-01,  4.474470059161008e-02
  5.800000000000000e-01,  4.459912812113888e-01,  8.590496016906934e-02,  1.979496934000301e-01,  4.259276803515505e-01, -1.103850860203371e-01,  4.157167722865944e-02
  5.900000000000000e-01,  4.728362928404279e-01,  8.732034394632460e-02,  1.952444988528878e-01,  4.418789305946202e-01, -1.137155705844436e-01,  3.842415073612450e-02
  6.000000000000000e-01,  4.994978293143552e-01,  8.872456953150865e-02,  1.925641640065424e-01,  4.577883817637551e-01, -1.168492724888168e-01,  3.530269742392624e-02
  6.100000000000000e-01,  5.259030847978603e-01,  9.010471260352482e-02,  1.899245730501323e-01,  4.736362021382032e-01, -1.197984734071643e-01,  3.220833172891631e-02
