Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  5.000000000000000e-01,  2.228293963499641e-01,  5.213779967774612e-02,  5.777391750699942e-02,  2.619938124294011e-01, -1.084373590030083e-01,  2.271313582330799e-01
  5.100000000000000e-01,  2.226014918099329e-01,  5.231856817541414e-02,  5.747416302054210e-02,  2.618034782906680e-01, -1.081902700158269e-01,  2.272930291972729e-01
  5.200000000000000e-01,  2.223895432679094e-01,  5.248263735081204e-02,  5.719311052387785e-02,  2.616263242657365e-01, -1.079553446625258e-01,  2.274333761383509e-01
  5.300000000000000e-01,  2.221897172478836e-01,  5.263199269536178e-02,  5.692848930762165e-02,  2.614606388875334e-01, -1.077308831055343e-01,  2.275550509147065e-01
  5.400000000000000e-01,  2.220007538837356e-01,  5.276729363103150e-02,  5.667978255416113e-02,  2.613061775859710e-01, -1.075168525014998e-01,  2.276587856554708e-01
  5.500000000000000e-01,  2.218221894300524e-01,  5.288859340779295e-02,  5.644719395124743e-02,  2.611631138457653e-01, -1.073136266171108e-01,  2.277445098653613e-01
  5.600000000000001e-01,  2.216528448462851e-01,  5.299615082333142e-02,  5.623062391692066e-02,  2.610312365418900e-01, -1.071211040741686e-01,  2.278125737690535e-01
  5.700000000000001e-01,  2.214919199249274e-01,  5.309032640774847e-02,  5.602990440979146e-02,  2.609104984125310e-01, -1.069394304151117e-01,  2.278633679707174e-01
  5.800000000000000e-01,  2.213384020226236e-01,  5.317151533020459e-02,  5.584480258233447e-02,  2.608007108918290e-01, -1.067685787575542e-01,  2.278974085420886e-01
  5.900000000000000e-01,  2.211912349494157e-01,  5.324013881707046e-02,  5.567504971933988e-02,  2.607016414735663e-01, -1.066084648591959e-01,  2.279152777511156e-01
  6.000000000000000e-01,  2.210493165193825e-01,  5.329665944849293e-02,  5.552032544552559e-02,  2.606130032445030e-01, -1.064589425013720e-01,  2.279176441013048e-01
  6.100000000000000e-01,  2.209114941995910e-01,  5.334157992938438e-02,  5.538025859368269e-02,  2.605344503053376e-01, -1.063197973087617e-01,  2.279052629710640e-01
  6.200000000000000e-01,  2.207765668200515e-01,  5.337544199577349e-02,  5.525442789396116e-02,  2.604655768823007e-01, -1.061907457321875e-01,  2.278789762699430e-01
  6.300000000000000e-01,  2.206432868690812e-01,  5.339882425568176e-02,  5.514236388749172e-02,  2.604059172248216e-01, -1.060714345686875e-01,  2.278397107659131e-01
  6.400000000000000e-01,  2.205103642191748e-01,  5.341233936577683e-02,  5.504355195776062e-02,  2.603549465249417e-01, -1.059614415303207e-01,  2.277884752611081e-01
  6.500000000000000e-01,  2.203764702103182e-01,  5.341663045062295e-02,  5.495743633469483e-02,  2.603120825354890e-01, -1.058602770436926e-01,  2.277263573515680e-01
  6.600000000000000e-01,  2.202402410433246e-01,  5.341236676470862e-02,  5.488342514962780e-02,  2.602766873603555e-01, -1.057673872763350e-01,  2.276545197365008e-01
  6.700000000000000e-01,  2.201002807580677e-01,  5.340023904884794e-02,  5.482089610333844e-02,  2.602480695967081e-01, -1.056821581211390e-01,  2.275741949198633e-01
  6.799999999999999e-01,  2.199551664338435e-01,  5.338095543522359e-02,  5.476920169800340e-02,  2.602254881687818e-01, -1.056039199590415e-01,  2.274866776092689e-01
  6.899999999999999e-01,  2.198034568383067e-01,  5.335523812818854e-02,  5.472767394190062e-02,  2.602081581758693e-01, -1.055319528613887e-01,  2.273933151541645e-01
  7.000000000000000e-01,  2.196437016647159e-01,  5.332382041778594e-02,  5.469562931602587e-02,  2.601952572957956e-01, -1.054654919749154e-01,  2.272954963978606e-01
  7.100000000000000e-01,  2.194744489809393e-01,  5.328744393799756e-02,  5.467237369091107e-02,  2.601859319018025e-01, -1.054037333319141e-01,  2.271946396762981e-01
  7.200000000000000e-01,  2.192942516647322e-01,  5.324685605772839e-02,  5.465720622676946e-02,  2.601793030564398e-01, -1.053458400427195e-01,  2.270921821354640e-01
  7.300000000000000e-01,  2.191018700111645e-01,  5.320284028632316e-02,  5.464942083196941e-02,  2.601746004286327e-01, -1.052911255530968e-01,  2.269895277041214e-01
  7.400000000000000e-01,  2.188955048535424e-01,  5.315608424924334e-02,  5.464831440035259e-02,  2.601706640226467e-01, -1.052383634135256e-01,  2.268882141907504e-01
