Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  8.500000000000000e-01, -2.575817514775706e-02, -2.829751186866641e-01,  7.428717965473260e-02, -1.352926797078076e-02,  7.227381080236812e-01,  7.565978563801756e-03,  2.471872265484652e-02,  1.046707102643840e+00,  1.885311713070016e-02, -5.950021173052633e-02,  1.244835975943678e+00,  2.140896259020440e-01,  3.083103750455900e-01
  8.600000000000000e-01, -2.566290287561099e-02, -2.831282769635443e-01,  7.438167634324179e-02, -1.337136370819802e-02,  7.228537124310062e-01,  7.655766745565444e-03,  2.526160122680685e-02,  1.045758525151388e+00,  1.869518822169908e-02, -5.920238663681181e-02,  1.245008900294667e+00,  2.146668444089060e-01,  3.075981425845724e-01
  8.700000000000000e-01, -2.557203508132571e-02, -2.832733043864554e-01,  7.447141379228620e-02, -1.322096753177598e-02,  7.229641377098939e-01,  7.741049609250451e-03,  2.577906956146442e-02,  1.044827748859723e+00,  1.855243700271827e-02, -5.892427414319094e-02,  1.245157862461398e+00,  2.152437774680840e-01,  3.069033632553509e-01
  8.800000000000000e-01, -2.548501085885361e-02, -2.834124119202428e-01,  7.455745894353233e-02, -1.307686540040582e-02,  7.230698720670889e-01,  7.822764059379050e-03,  2.627491005940711e-02,  1.043878436272408e+00,  1.841264823843797e-02, -5.863858792039926e-02,  1.245277664609701e+00,  2.158131128595011e-01,  3.062093535201081e-01
  8.900000000000000e-01, -2.540159067464582e-02, -2.835466108175182e-01,  7.464029277038908e-02, -1.293852511852296e-02,  7.231711135824699e-01,  7.901332535973301e-03,  2.675061042867019e-02,  1.042913411353729e+00,  1.827032578586384e-02, -5.834015301856148e-02,  1.245376801725323e+00,  2.163721575338243e-01,  3.055136489544987e-01
  9.000000000000000e-01, -2.532149670888505e-02, -2.836764444233194e-01,  7.472022699320324e-02, -1.280546683361337e-02,  7.232681841436776e-01,  7.977049583625039e-03,  2.720753163012885e-02,  1.041966423521236e+00,  1.812477700527406e-02, -5.804151184669584e-02,  1.245477676067869e+00,  2.169237232298155e-01,  3.048242600058295e-01
  9.099999999999999e-01, -2.524458342878625e-02, -2.838026043673919e-01,  7.479758394315217e-02, -1.267735040036479e-02,  7.233611926355329e-01,  8.050196341912766e-03,  2.764651347541626e-02,  1.041052462234596e+00,  1.797225643464704e-02, -5.774370538414337e-02,  1.245592792916842e+00,  2.174657246333279e-01,  3.041430192495240e-01
  9.199999999999999e-01, -2.517095612216994e-02, -2.839256348693635e-01,  7.487253753866728e-02, -1.255419514292156e-02,  7.234499062642606e-01,  8.120896812852963e-03,  2.806713709322932e-02,  1.040172850736704e+00,  1.780707966160570e-02, -5.743926076380029e-02,  1.245724853709837e+00,  2.179912381994942e-01,  3.034679753077220e-01
  9.299999999999999e-01, -2.509979476642296e-02, -2.840467743948378e-01,  7.494586964100020e-02, -1.243465961974282e-02,  7.235353314182932e-01,  8.189899982250247e-03,  2.847367391477140e-02,  1.039377820312370e+00,  1.762949462454153e-02, -5.714966263970474e-02,  1.245911931803763e+00,  2.185090633331871e-01,  3.028102714506397e-01
  9.399999999999999e-01, -2.503120748693887e-02, -2.841666439398214e-01,  7.501778394424014e-02, -1.231874923021854e-02,  7.236172203280867e-01,  8.257351643612179e-03,  2.886572814584926e-02,  1.038667102550195e+00,  1.743314467736290e-02, -5.686579271102586e-02,  1.246155919657076e+00,  2.190111717028961e-01,  3.021672687545637e-01
