Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  4.500000000000000e-01,  1.696774417088935e-01,  1.475537029944940e-02,  5.167615551478108e-02,  1.431115472363558e-01, -3.205052513807088e-02,  3.572814889821800e-01
  4.600000000000000e-01,  1.693390115825640e-01,  1.477941768598545e-02,  5.164855476831053e-02,  1.431408632974377e-01, -3.181330717897023e-02,  3.572704622330506e-01
  4.700000000000000e-01,  1.689885118604491e-01,  1.480351533588853e-02,  5.161963100977466e-02,  1.431669714833934e-01, -3.156968299869196e-02,  3.572623798354628e-01
  4.800000000000000e-01,  1.686233596332505e-01,  1.482768398332546e-02,  5.159135282848906e-02,  1.431899386931146e-01, -3.132021744402456e-02,  3.572520122688335e-01
  4.900000000000000e-01,  1.682425804144848e-01,  1.485188954821770e-02,  5.156380260058024e-02,  1.432094007976830e-01, -3.106468714975911e-02,  3.572391589829374e-01
  5.000000000000000e-01,  1.678465497686162e-01,  1.487609728846739e-02,  5.153704129774014e-02,  1.432253149827497e-01, -3.080335589820415e-02,  3.572237660809568e-01
  5.100000000000000e-01,  1.674351643113736e-01,  1.490027083300549e-02,  5.151114540449943e-02,  1.432375404757628e-01, -3.053632556830420e-02,  3.572056886315967e-01
  5.200000000000000e-01,  1.670083600982577e-01,  1.492437142520298e-02,  5.148618658180449e-02,  1.432459525158588e-01, -3.026371258123978e-02,  3.571847844597677e-01
  5.300000000000000e-01,  1.665661153239572e-01,  1.494835807991968e-02,  5.146223323411515e-02,  1.432504439657536e-01, -2.998564874448125e-02,  3.571609105762477e-01
  5.400000000000000e-01,  1.661084513900512e-01,  1.497218763816077e-02,  5.143935022473361e-02,  1.432509257466227e-01, -2.970228056704123e-02,  3.571339246559235e-01
  5.500000000000000e-01,  1.656354351651505e-01,  1.499581500065950e-02,  5.141759747157437e-02,  1.432473276473082e-01, -2.941376883355185e-02,  3.571036879413547e-01
  5.600000000000001e-01,  1.651471820404233e-01,  1.501919355293491e-02,  5.139702927782689e-02,  1.432395991828569e-01, -2.912028804446079e-02,  3.570700666856700e-01
  5.700000000000001e-01,  1.646438584771384e-01,  1.504227544318204e-02,  5.137769521202707e-02,  1.432277096620108e-01, -2.882202507493580e-02,  3.570329321718313e-01
  5.800000000000000e-01,  1.641256837704587e-01,  1.506501182631315e-02,  5.135964111236958e-02,  1.432116474478849e-01, -2.851917730127457e-02,  3.569921613374740e-01
  5.900000000000000e-01,  1.635929313690045e-01,  1.508735342670420e-02,  5.134290965962308e-02,  1.431914190337504e-01, -2.821195058463607e-02,  3.569476382472325e-01
  6.000000000000000e-01,  1.630459287772288e-01,  1.510925131818963e-02,  5.132754140060612e-02,  1.431670477885573e-01, -2.790055706220990e-02,  3.568992553889094e-01
  6.100000000000000e-01,  1.624850543789829e-01,  1.513065779686928e-02,  5.131357559589130e-02,  1.431385716718117e-01, -2.758521291354589e-02,  3.568469144194359e-01
