Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  9.500000000000000e-01, -3.878638557459395e-02, -1.914929111635690e-01,  3.517171637030241e-02, -4.832631417554482e-02,  7.182129950432771e-01, -2.641219149762158e-02,  4.732190296304585e-01, -6.699242660338147e-01,  4.139873142761583e-01,  2.094395102393196e+00, -8.573139741601620e-04, -5.551115123125783e-17,  2.775557561562891e-17
  9.600000000000000e-01, -3.878638557469197e-02, -1.914929111635724e-01,  3.517171637029613e-02, -4.832631417560720e-02,  7.182129950432806e-01, -2.641219149753039e-02,  4.732190296305159e-01, -6.699242660337804e-01,  4.139873142763137e-01,  2.094395102393195e+00, -8.572990947318108e-04, -5.551115123125784e-17,  0.000000000000000e+00
  9.700000000000000e-01, -3.878638557469330e-02, -1.914929111635731e-01,  3.517171637029608e-02, -4.832631417560462e-02,  7.182129950432818e-01, -2.641219149753038e-02,  4.732190296305147e-01, -6.699242660337811e-01,  4.139873142763122e-01,  2.094395102393195e+00, -8.572990947320327e-04, -6.938893903907230e-17,  0.000000000000000e+00
  9.800000000000000e-01, -3.878638557469204e-02, -1.914929111635724e-01,  3.517171637029606e-02, -4.832631417560632e-02,  7.182129950432807e-01, -2.641219149753090e-02,  4.732190296305140e-01, -6.699242660337805e-01,  4.139873142763129e-01,  2.094395102393195e+00, -8.572990947314775e-04, -6.938893903907227e-17,  2.775557561562891e-17
  9.900000000000000e-01, -3.878638557469218e-02, -1.914929111635734e-01,  3.517171637029602e-02, -4.832631417560362e-02,  7.182129950432820e-01, -2.641219149753178e-02,  4.732190296305129e-01, -6.699242660337812e-01,  4.139873142763114e-01,  2.094395102393196e+00, -8.572990947316998e-04, -2.081668171172169e-16,  2.775557561562891e-17
  1.000000000000000e+00, -3.878638557469612e-02, -1.914929111635726e-01,  3.517171637029551e-02, -4.832631417560312e-02,  7.182129950432811e-01, -2.641219149752889e-02,  4.732190296305137e-01, -6.699242660337804e-01,  4.139873142763150e-01,  2.094395102393195e+00, -8.572990947320327e-04,  0.000000000000000e+00,  0.000000000000000e+00
  1.010000000000000e+00, -3.878638557468963e-02, -1.914929111635720e-01,  3.517171637029619e-02, -4.832631417560710e-02,  7.182129950432806e-01, -2.641219149753234e-02,  4.732190296305123e-01, -6.699242660337804e-01,  4.139873142763130e-01,  2.094395102393195e+00, -8.572990947318108e-04,  2.775557561562892e-17,  0.000000000000000e+00
  1.020000000000000e+00, -3.878638557468862e-02, -1.914929111635721e-01,  3.517171637029634e-02, -4.832631417560975e-02,  7.182129950432813e-01, -2.641219149753194e-02,  4.732190296305121e-01, -6.699242660337802e-01,  4.139873142763160e-01,  2.094395102393195e+00, -8.572990947316995e-04, -1.526556658859590e-16,  0.000000000000000e+00
  1.030000000000000e+00, -3.878638557469315e-02, -1.914929111635731e-01,  3.517171637029597e-02, -4.832631417560432e-02,  7.182129950432818e-01, -2.641219149753057e-02,  4.732190296305110e-01, -6.699242660337795e-01,  4.139873142763155e-01,  2.094395102393196e+00, -8.572990947316995e-04,  1.387778780781446e-16,  0.000000000000000e+00
  1.040000000000000e+00, -3.878638557469202e-02, -1.914929111635724e-01,  3.517171637029613e-02, -4.832631417560605e-02,  7.182129950432806e-01, -2.641219149753081e-02,  4.732190296305111e-01, -6.699242660337801e-01,  4.139873142763164e-01,  2.094395102393195e+00, -8.572990947321437e-04, -6.938893903907228e-17, -2.775557561562891e-17
