Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.300000000000000e+00,  1.932431643393130e-01,  8.696468886288086e-01,  9.857382703413599e-01,  1.379521878957801e+00, -1.081414257359569e+00, -1.309386764088667e+00, -8.527509338237029e-06,  0.000000000000000e+00, -3.176549639051352e-04, -2.732357565644538e-05, -2.366107809375068e-03, -1.017819986284745e-03, -4.825035760442781e-05, -5.215301048218052e-03, -1.797355475417663e-03, -6.942288574646475e-05, -8.172611559680968e-03, -2.586045161309495e-03, -8.955343178465526e-05, -1.108999641708831e-02, -3.335920373428823e-03, -1.095902373564843e-04, -1.375818558774862e-02, -4.082303695579905e-03, -1.200108384653788e-04, -1.664956382645853e-02, -4.470477491396495e-03, -4.976884520378580e-03, -2.887137905403891e-02,  5.430052008166069e-02, -4.976884520379026e-03, -2.887137905403936e-02,  5.430052008166248e-02, -4.976884520379470e-03, -2.887137905403975e-02,  5.430052008166548e-02, -4.976884520379471e-03, -2.887137905404020e-02,  5.430052008166804e-02, -4.976884520379803e-03, -2.887137905404064e-02,  5.430052008167053e-02, -4.976884520380024e-03, -2.887137905404085e-02,  5.430052008167196e-02, -2.365384319701690e-01,  9.393679059232049e-02
  1.310000000000000e+00,  1.932439140080096e-01,  8.696688799030103e-01,  9.857651545457092e-01,  1.379318097392794e+00, -1.081611504554823e+00, -1.309192087762325e+00, -1.406967571770558e-05, -8.926193158378635e-14, -3.292501865743579e-04, -4.508160981774332e-05, -2.378539018167787e-03, -1.054973030752454e-03, -7.960904599828004e-05, -5.242701530864043e-03, -1.862963567546482e-03, -1.145419426392137e-04, -8.215549349636362e-03, -2.680442452820600e-03, -1.477556559455694e-04, -1.114826175040298e-02, -3.457690036348751e-03, -1.808147054252256e-04, -1.383046922419982e-02, -4.231318266979304e-03, -1.980078214822617e-04, -1.673703837092829e-02, -4.633661403652389e-03, -4.895187986411390e-03, -2.966784991064744e-02,  5.402158063841839e-02, -4.895187986603662e-03, -2.966784991280132e-02,  5.402158064005248e-02, -4.895187986730523e-03, -2.966784991470487e-02,  5.402158064142829e-02, -4.895187986786532e-03, -2.966784991635598e-02,  5.402158064253714e-02, -4.895187986764914e-03, -2.966784991775568e-02,  5.402158064337260e-02, -4.895187986660563e-03, -2.966784991890211e-02,  5.402158064392937e-02, -2.432885119612223e-01,  9.315213325165950e-02
  1.320000000000000e+00,  1.932449255417201e-01,  8.696916371507931e-01,  9.857924653016797e-01,  1.379109476434679e+00, -1.081812963313278e+00, -1.308994751085081e+00, -1.956509069505730e-05, -8.937295391693042e-14, -3.410646338115929e-04, -6.268984469142473e-05, -2.391020439399219e-03, -1.092828508824144e-03, -1.107032058789600e-04, -5.270212690319011e-03, -1.929812078774562e-03, -1.592803946722412e-04, -8.258660575184373e-03, -2.776624466540905e-03, -2.054669116708181e-04, -1.120676243080204e-02, -3.581761937303104e-03, -2.514383553158927e-04, -1.390304483087247e-02, -4.383150182330887e-03, -2.753468586248912e-04, -1.682486624531496e-02, -4.799930552319340e-03, -4.811985495871752e-03, -3.046139599422663e-02,  5.373560277650303e-02, -4.811985496059860e-03, -3.046139599637104e-02,  5.373560277813368e-02, -4.811985496181947e-03, -3.046139599825851e-02,  5.373560277949840e-02, -4.811985496231959e-03, -3.046139599988724e-02,  5.373560278058869e-02, -4.811985496203789e-03, -3.046139600125697e-02,  5.373560278139806e-02, -4.811985496090995e-03, -3.046139600236791e-02,  5.373560278192026e-02, -2.500152809260986e-01,  9.234559732541418e-02
  1.330000000000000e+00,  1.932462969777140e-01,  8.697154800839935e-01,  9.858201994945661e-01,  1.378895606223289e+00, -1.082018877854043e+00, -1.308795044724350e+00, -2.498411091757082e-05, -8.759659710034168e-14, -3.531293548422956e-04, -8.005329792743018e-05, -2.403550528848211e-03, -1.131485906285180e-03, -1.413651089624305e-04, -5.297831122744989e-03, -1.998076689343584e-03, -2.033969132022291e-04, -8.301939902308668e-03, -2.874843971956462e-03, -2.623758919171465e-04, -1.126549122015585e-02, -3.708462141182533e-03, -3.210802275334494e-04, -1.397590342819990e-02, -4.538198460647430e-03, -3.516107638869030e-04, -1.691303658280965e-02, -4.969721898084399e-03, -4.726424749386162e-03, -3.124905528836745e-02,  5.344201099897118e-02, -4.726424749567494e-03, -3.124905529046778e-02,  5.344201100057006e-02, -4.726424749682804e-03, -3.124905529230871e-02,  5.344201100189978e-02, -4.726424749726042e-03, -3.124905529388843e-02,  5.344201100295148e-02, -4.726424749691207e-03, -3.124905529520641e-02,  5.344201100371868e-02, -4.726424749573748e-03, -3.124905529626260e-02,  5.344201100419544e-02, -2.566948076139484e-01,  9.151502465627806e-02
  1.340000000000000e+00,  1.932480664642003e-01,  8.697405056453220e-01,  9.858483475550746e-01,  1.378676236107476e+00, -1.082229444784966e+00, -1.308593001582935e+00, -3.030741471056194e-05, -8.548717337514208e-14, -3.654575027762177e-04, -9.711005960878462e-05, -2.416111989171631e-03, -1.170987367898465e-03, -1.714854292997171e-04, -5.325518701874510e-03, -2.067831822154947e-03, -2.467341994340064e-04, -8.345327585430360e-03, -2.975208049153138e-03, -3.182796859678414e-04, -1.132436704545158e-02, -3.837928778071089e-03, -3.894920118418118e-04, -1.404894443746829e-02, -4.696632137425128e-03, -4.265276159394188e-04, -1.700142766738157e-02, -5.143220549514312e-03, -4.638267197695595e-03, -3.202836387132393e-02,  5.314107294116230e-02, -4.638267197870097e-03, -3.202836387337741e-02,  5.314107294272751e-02, -4.638267197978410e-03, -3.202836387516889e-02,  5.314107294401992e-02, -4.638267198015426e-03, -3.202836387669674e-02,  5.314107294503206e-02, -4.638267197975594e-03, -3.202836387796093e-02,  5.314107294575691e-02, -4.638267197853359e-03, -3.202836387896115e-02,  5.314107294618903e-02, -2.633066825779561e-01,  9.066094099097557e-02
  1.350000000000000e+00,  1.932502419971524e-01,  8.697667001282298e-01,  9.858768737764907e-01,  1.378451588346869e+00, -1.082444400098708e+00, -1.308388882477487e+00, -3.552260714202116e-05, -8.248957122518335e-14, -3.780367490570034e-04, -1.138204142858089e-04, -2.428680872185156e-03, -1.211293390897093e-03, -2.009940338768856e-04, -5.353222641865508e-03, -2.139007719769493e-03, -2.891913455922085e-04, -8.388740906759820e-03, -3.077616330735102e-03, -3.730481258326212e-04, -1.138327766104978e-02, -3.970032377051730e-03, -4.565144162881682e-04, -1.412202860738597e-02, -4.858292773749212e-03, -4.999229762491055e-04, -1.708987098311389e-02, -5.320253002221389e-03, -4.547659967562335e-03, -3.279768674423304e-02,  5.283336493026264e-02, -4.547659967729563e-03, -3.279768674623366e-02,  5.283336493178944e-02, -4.547659967830879e-03, -3.279768674797112e-02,  5.283336493304146e-02, -4.547659967862118e-03, -3.279768674944367e-02,  5.283336493401111e-02, -4.547659967817731e-03, -3.279768675065050e-02,  5.283336493469173e-02, -4.547659967692274e-03, -3.279768675159209e-02,  5.283336493507926e-02, -2.698370388599128e-01,  8.978496411791728e-02
  1.360000000000000e+00,  1.932528437790564e-01,  8.697940933891796e-01,  9.859057498582132e-01,  1.378221714350226e+00, -1.082663641155597e+00, -1.308182870159088e+00, -4.061411678094691e-05, -7.938094677146312e-14, -3.908641523130640e-04, -1.301344684726251e-04, -2.441234292706306e-03, -1.252394550629301e-03, -2.298028164173477e-04, -5.380892499914053e-03, -2.211587739312597e-03, -3.306415838712315e-04, -8.432100820151561e-03, -3.182044870842770e-03, -4.265176848582880e-04, -1.144211580362843e-02, -4.104742048685483e-03, -5.219473265466704e-04, -1.419502286769268e-02, -5.023142568936280e-03, -5.715777022275353e-04, -1.717820549410766e-02, -5.500777861171109e-03, -4.454612175084493e-03, -3.355504106893197e-02,  5.251939272848299e-02, -4.454612175243889e-03, -3.355504107087547e-02,  5.251939272996704e-02, -4.454612175338652e-03, -3.355504107255479e-02,  5.251939273117581e-02, -4.454612175364228e-03, -3.355504107396867e-02,  5.251939273210143e-02, -4.454612175315950e-03, -3.355504107511591e-02,  5.251939273273811e-02, -4.454612175189492e-03, -3.355504107599708e-02,  5.251939273308009e-02, -2.762692428681253e-01,  8.888843570412748e-02
  1.370000000000000e+00,  1.932558925136625e-01,  8.698227151830178e-01,  9.859349451644693e-01,  1.377986677023341e+00, -1.082887048223671e+00, -1.307975156604474e+00, -4.556592671958885e-05, -7.605027771043163e-14, -4.039361988488239e-04, -1.460009012959330e-04, -2.453747964831021e-03, -1.294279588619939e-03, -2.578211500395003e-04, -5.408474745789250e-03, -2.285551999588075e-03, -3.709545198030538e-04, -8.475323441321913e-03, -3.288465064297447e-03, -4.785201581108774e-04, -1.150076764465164e-02, -4.242020893154600e-03, -5.855849032833100e-04, -1.426778600336562e-02, -5.191136367152616e-03, -6.412663819068172e-04, -1.726626030802047e-02, -5.684745676800073e-03, -4.359144834180241e-03, -3.429842051552098e-02,  5.219969949885309e-02, -4.359144834331141e-03, -3.429842051740296e-02,  5.219969950029139e-02, -4.359144834420015e-03, -3.429842051902110e-02,  5.219969950145387e-02, -4.359144834440592e-03, -3.429842052037379e-02,  5.219969950233445e-02, -4.359144834389539e-03, -3.429842052145968e-02,  5.219969950292638e-02, -4.359144834261746e-03, -3.429842052227917e-02,  5.219969950322514e-02, -2.825864547879952e-01,  8.797280989298911e-02
  1.380000000000000e+00,  1.932594018723337e-01,  8.698525566050688e-01,  9.859644922001217e-01,  1.377745833030893e+00, -1.083115195196220e+00, -1.307765218418759e+00, -5.036467419789914e-05, -2.664535278712914e-15, -4.172738204590328e-04, -1.613768956142692e-04, -2.466174791851166e-03, -1.337015574973573e-03, -2.849734243559725e-04, -5.435865570478796e-03, -2.361018939274448e-03, -4.100213648115847e-04, -8.518246096903806e-03, -3.397047321565410e-03, -5.289152118440032e-04, -1.155901244108870e-02, -4.382088734978243e-03, -6.472554144641245e-04, -1.434004416183103e-02, -5.362543176884974e-03, -7.088009557868523e-04, -1.735370402033189e-02, -5.872451036619436e-03, -4.261297170563523e-03, -3.502582492590704e-02,  5.187492372159392e-02, -4.261297170569799e-03, -3.502582492597119e-02,  5.187492372165940e-02, -4.261297170574133e-03, -3.502582492602574e-02,  5.187492372171463e-02, -4.261297170576688e-03, -3.502582492607055e-02,  5.187492372175955e-02, -4.261297170577911e-03, -3.502582492610527e-02,  5.187492372179290e-02, -4.261297170576578e-03, -3.502582492612969e-02,  5.187492372181576e-02, -2.887718686926550e-01,  8.703982526858887e-02
  1.390000000000000e+00,  1.932634093857733e-01,  8.698837226761964e-01,  9.859942252614905e-01,  1.377500697048959e+00, -1.083346496784347e+00, -1.307554703341328e+00, -5.498731667666242e-05, -2.553512976707577e-15, -4.308224465911945e-04, -1.761886204111375e-04, -2.478531934131915e-03, -1.380427654214510e-03, -3.111292623475932e-04, -5.463102798146517e-03, -2.437679782424142e-03, -4.476545315427794e-04, -8.560928059006415e-03, -3.507347373614790e-03, -5.774608635194779e-04, -1.161693062346340e-02, -4.524372480183317e-03, -7.066627356995650e-04, -1.441189712481154e-02, -5.536661679082905e-03, -7.738571378413907e-04, -1.744065738243303e-02, -6.063125935636226e-03, -4.161102417238648e-03, -3.573518334101771e-02,  5.154555296054886e-02, -4.161102417244203e-03, -3.573518334107814e-02,  5.154555296061069e-02, -4.161102417248534e-03, -3.573518334112911e-02,  5.154555296066256e-02, -4.161102417251200e-03, -3.573518334117116e-02,  5.154555296070432e-02, -4.161102417251867e-03, -3.573518334120331e-02,  5.154555296073619e-02, -4.161102417250979e-03, -3.573518334122624e-02,  5.154555296075708e-02, -2.948081014212403e-01,  8.609077823364833e-02
