Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  3.000000000000000e+00,  1.803847163961286e-01,  7.927338467636751e-01,  5.862683738539950e-01,  1.182954261187832e+00, -1.142632885860338e+00, -1.245665048419770e+00,  1.390210406480785e-03,  5.551139476657471e-17, -1.016653361074372e-02,  4.454468204934918e-03, -1.018840177676957e-03, -3.257528537578023e-02,  7.866089216267700e-03, -2.245695747907616e-03, -5.752428555386563e-02,  1.131777338115842e-02, -3.519106348645049e-03, -8.276626540992285e-02,  1.459958680108930e-02, -4.775325061374517e-03, -1.067659896836073e-01,  1.786611803649894e-02, -5.924240726982632e-03, -1.306539561673485e-01,  1.956495265829456e-02, -7.169261053945378e-03, -1.430774419944447e-01,  9.645339574464156e-03, -6.219290143880818e-03,  1.186669665869913e-01,  9.645339574464267e-03, -6.219290143880262e-03,  1.186669665869931e-01,  9.645339574464210e-03, -6.219290143879484e-03,  1.186669665869940e-01,  9.645339574462878e-03, -6.219290143878817e-03,  1.186669665869946e-01,  9.645339574462265e-03, -6.219290143878151e-03,  1.186669665869941e-01,  9.645339574460433e-03, -6.219290143877318e-03,  1.186669665869925e-01, -7.041649206583774e-02,  2.793382333744124e-01
  3.010000000000000e+00,  1.803374350623242e-01,  7.917720547297791e-01,  5.863252483757647e-01,  1.188105574822098e+00, -1.138583063603837e+00, -1.251388486536328e+00,  1.404865832146301e-03, -6.106253194558895e-16, -1.011999897192349e-02,  4.501426656218995e-03, -9.696639708625803e-04, -3.242618055818285e-02,  7.949012553072812e-03, -2.137303086368354e-03, -5.726098323720974e-02,  1.143708394428185e-02, -3.349250167670514e-03, -8.238742455664325e-02,  1.475349383420831e-02, -4.544835159258400e-03, -1.062772963925327e-01,  1.805446043672076e-02, -5.638296283889039e-03, -1.300559219804253e-01,  1.977120396237522e-02, -6.823223400527474e-03, -1.424225425623802e-01,  9.476569212554062e-03, -6.276284406566670e-03,  1.193795629454857e-01,  9.476569212554064e-03, -6.276284406570558e-03,  1.193795629454879e-01,  9.476569212553229e-03, -6.276284406574779e-03,  1.193795629454895e-01,  9.476569212552008e-03, -6.276284406578223e-03,  1.193795629454908e-01,  9.476569212549564e-03, -6.276284406580944e-03,  1.193795629454913e-01,  9.476569212547510e-03, -6.276284406583390e-03,  1.193795629454918e-01, -7.071781835911656e-02,  2.814348464041894e-01
  3.020000000000000e+00,  1.802872235606773e-01,  7.907809909211853e-01,  5.864085228989120e-01,  1.193391203221984e+00, -1.134425148739786e+00, -1.257242863443505e+00,  1.419269684476193e-03, -9.436936381334542e-16, -1.007088967337073e-02,  4.547579024186518e-03, -9.199017591192803e-04, -3.226882609733911e-02,  8.030512437520150e-03, -2.027618771038749e-03, -5.698311297961069e-02,  1.155434643615062e-02, -3.177369907049675e-03, -8.198762326804752e-02,  1.490475891709209e-02, -4.311598639874149e-03, -1.057615647711736e-01,  1.823956977319917e-02, -5.348944403253614e-03, -1.294247998707463e-01,  1.997391478055273e-02, -6.473062212903667e-03, -1.417314089780038e-01,  9.306229723167279e-03, -6.334232286591149e-03,  1.200985214531539e-01,  9.306229723167223e-03, -6.334232286595925e-03,  1.200985214531549e-01,  9.306229723166278e-03, -6.334232286600256e-03,  1.200985214531560e-01,  9.306229723164111e-03, -6.334232286603477e-03,  1.200985214531558e-01,  9.306229723161223e-03, -6.334232286606644e-03,  1.200985214531552e-01,  9.306229723156782e-03, -6.334232286608479e-03,  1.200985214531537e-01, -7.102292853673248e-02,  2.835503019313788e-01
  3.030000000000000e+00,  1.802333126458012e-01,  7.897512260638930e-01,  5.865254470141995e-01,  1.198843635142273e+00, -1.130135904092885e+00, -1.263261101341151e+00,  1.433404953283853e-03, -1.221250539125267e-15, -1.001860158095954e-02,  4.592870805329512e-03, -8.693719053073277e-04, -3.210128624577764e-02,  8.110492622548430e-03, -1.916242442998868e-03, -5.668725646901641e-02,  1.166942237595344e-02, -3.002838186329980e-03, -8.156194325753804e-02,  1.505320341366353e-02, -4.074764166178694e-03, -1.052124503779430e-01,  1.842122744158079e-02, -5.055128921252238e-03, -1.287528258828071e-01,  2.017284572205201e-02, -6.117499367090789e-03, -1.409955390349771e-01,  9.133769159888273e-03, -6.393433895400430e-03,  1.208256865827618e-01,  9.133769159888830e-03, -6.393433895405207e-03,  1.208256865827632e-01,  9.133769159887551e-03, -6.393433895409095e-03,  1.208256865827631e-01,  9.133769159884278e-03, -6.393433895413319e-03,  1.208256865827614e-01,  9.133769159879778e-03, -6.393433895415929e-03,  1.208256865827590e-01,  9.133769159873887e-03, -6.393433895417760e-03,  1.208256865827548e-01, -7.133361121000473e-02,  2.856900266028081e-01
  3.040000000000000e+00,  1.801754063990273e-01,  7.886799215708945e-01,  5.866796654149046e-01,  1.204470780198543e+00, -1.125709044572648e+00, -1.269450083585273e+00,  1.447225912208480e-03, -2.275966812047275e-15, -9.962897678973254e-03,  4.637155484687377e-03, -8.180842149315803e-04, -3.192280156523408e-02,  8.188694379237712e-03, -1.803195715237500e-03, -5.637207262297690e-02,  1.178193950306581e-02, -2.825688874038161e-03, -8.110845496814763e-02,  1.519834711892836e-02, -3.834377696778156e-03, -1.046274641424650e-01,  1.859884579515919e-02, -4.756906853866747e-03, -1.280369540382702e-01,  2.036735326263414e-02, -5.756603861376045e-03, -1.402115971221815e-01,  8.959329984214438e-03, -6.453902854577666e-03,  1.215606294981714e-01,  8.959329984215716e-03, -6.453902854582776e-03,  1.215606294981729e-01,  8.959329984214051e-03, -6.453902854587443e-03,  1.215606294981718e-01,  8.959329984209881e-03, -6.453902854590995e-03,  1.215606294981686e-01,  8.959329984203216e-03, -6.453902854593828e-03,  1.215606294981631e-01,  8.959329984194492e-03, -6.453902854595215e-03,  1.215606294981557e-01, -7.165008430001032e-02,  2.878527525607125e-01
  3.050000000000000e+00,  1.801135022445140e-01,  7.875681110466661e-01,  5.868722868397306e-01,  1.210266712343889e+00, -1.121147610585007e+00, -1.275802414762281e+00,  1.460687916445498e-03, -3.053126066836192e-15, -9.903772991432370e-03,  4.680290012791331e-03, -7.661338820025986e-04, -3.173335611183362e-02,  8.264865098335581e-03, -1.688688411424076e-03, -5.603753328640405e-02,  1.189153436187376e-02, -2.646250773310177e-03, -8.062711789017646e-02,  1.533972118609172e-02, -3.590885407974608e-03, -1.040065538084480e-01,  1.877185108672469e-02, -4.454831724843516e-03, -1.272771203889510e-01,  2.055680909921983e-02, -5.391045546364797e-03, -1.393795132107946e-01,  8.783219726209100e-03, -6.515548340499197e-03,  1.223018896457209e-01,  8.783219726210826e-03, -6.515548340504532e-03,  1.223018896457230e-01,  8.783219726209044e-03, -6.515548340508751e-03,  1.223018896457212e-01,  8.783219726203601e-03, -6.515548340512750e-03,  1.223018896457158e-01,  8.783219726195104e-03, -6.515548340515030e-03,  1.223018896457070e-01,  8.783219726182828e-03, -6.515548340515917e-03,  1.223018896456945e-01, -7.197182135699248e-02,  2.900341896496044e-01
  3.060000000000000e+00,  1.800475037629830e-01,  7.864153349632511e-01,  5.871055308210387e-01,  1.216230545842988e+00, -1.116451361927628e+00, -1.282315559703727e+00,  1.473732195293651e-03,  4.440910420910664e-16, -9.841137447610010e-03,  4.722086078426516e-03, -7.136078929662834e-04, -3.153266128381015e-02,  8.338672243444475e-03, -1.572912264377521e-03, -5.568312882108176e-02,  1.199772849714036e-02, -2.464824338110128e-03, -8.011719875329648e-02,  1.547670842230364e-02, -3.344695007071380e-03, -1.033487734792532e-01,  1.893948803186105e-02, -4.149409333513526e-03, -1.264721674020177e-01,  2.074038612969428e-02, -5.021436518632028e-03, -1.384980197017235e-01,  8.605975670858423e-03, -6.578235266173324e-03,  1.230483166376606e-01,  8.605975670859368e-03, -6.578235266172879e-03,  1.230483166376675e-01,  8.605975670859479e-03, -6.578235266172879e-03,  1.230483166376687e-01,  8.605975670858867e-03, -6.578235266171991e-03,  1.230483166376658e-01,  8.605975670857868e-03, -6.578235266171324e-03,  1.230483166376580e-01,  8.605975670855364e-03, -6.578235266170599e-03,  1.230483166376452e-01, -7.229841143871230e-02,  2.922309257128110e-01
  3.070000000000000e+00,  1.799772645587618e-01,  7.852211724634036e-01,  5.873814980490002e-01,  1.222360651109161e+00, -1.111619949447446e+00, -1.288987200310011e+00,  1.486334112390511e-03, -2.220455093703651e-16, -9.774904818334405e-03,  4.762464742525192e-03, -6.605441680453002e-04, -3.132044078836507e-02,  8.409976417056981e-03, -1.455950856656258e-03, -5.530837132503811e-02,  1.210032134294927e-02, -2.281540546063204e-03, -7.957799556140563e-02,  1.560905010357909e-02, -3.095984226890953e-03, -1.026532176010497e-01,  1.910144001934120e-02, -3.840860174189947e-03, -1.256209869138136e-01,  2.091773763725352e-02, -4.648043610896206e-03, -1.375659030594132e-01,  8.427494596451526e-03, -6.642016723349758e-03,  1.237987565809092e-01,  8.427494596452192e-03, -6.642016723349091e-03,  1.237987565809108e-01,  8.427494596452137e-03, -6.642016723348758e-03,  1.237987565809112e-01,  8.427494596451470e-03, -6.642016723347981e-03,  1.237987565809098e-01,  8.427494596450473e-03, -6.642016723347760e-03,  1.237987565809070e-01,  8.427494596448084e-03, -6.642016723347038e-03,  1.237987565809028e-01, -7.262988749475201e-02,  2.944396021211085e-01
  3.080000000000000e+00,  1.799027194885408e-01,  7.839852244373351e-01,  5.877024787391700e-01,  1.228655139869087e+00, -1.106653647183390e+00, -1.295813711223673e+00,  1.498449032179823e-03, -3.330682456610147e-16, -9.705006209166039e-03,  4.801282985256157e-03, -6.070232731676878e-04, -3.109647387611942e-02,  8.478525062259273e-03, -1.337981769173858e-03, -5.491287097973017e-02,  1.219894951899040e-02, -2.096677674460986e-03, -7.900894744139315e-02,  1.573627748025970e-02, -2.845130681638221e-03, -1.019191626644180e-01,  1.925713342082081e-02, -3.529652712876465e-03, -1.247226935359377e-01,  2.108823544897306e-02, -4.271433740549270e-03, -1.365821937065751e-01,  8.247983329768276e-03, -6.706838133252911e-03,  1.245521171411813e-01,  8.247983329768884e-03, -6.706838133252243e-03,  1.245521171411836e-01,  8.247983329768942e-03, -6.706838133251912e-03,  1.245521171411842e-01,  8.247983329768331e-03, -6.706838133250689e-03,  1.245521171411822e-01,  8.247983329766442e-03, -6.706838133250634e-03,  1.245521171411786e-01,  8.247983329763774e-03, -6.706838133249521e-03,  1.245521171411727e-01, -7.296595468166692e-02,  2.966570106382378e-01
  3.090000000000000e+00,  1.798237672583999e-01,  7.827071191536318e-01,  5.880707785527751e-01,  1.235111637471479e+00, -1.101552885821606e+00, -1.302791374644448e+00,  1.510028890712085e-03,  0.000000000000000e+00, -9.631369229030823e-03,  4.838386801635608e-03, -5.531271596112438e-04, -3.086052859388918e-02,  8.544046223591133e-03, -1.219185636380543e-03, -5.449621818195551e-02,  1.229322173422162e-02, -1.910518785618780e-03, -7.840946505387027e-02,  1.585788579868532e-02, -2.592518478647774e-03, -1.011458484392951e-01,  1.940595054837448e-02, -3.216263470918228e-03, -1.237763569434309e-01,  2.125120314287231e-02, -3.892183573204791e-03, -1.355458728564947e-01,  8.067843865977748e-03, -6.772605599576789e-03,  1.253071094998809e-01,  8.067843865978860e-03, -6.772605599575566e-03,  1.253071094998841e-01,  8.067843865978580e-03, -6.772605599575011e-03,  1.253071094998848e-01,  8.067843865977470e-03, -6.772605599574122e-03,  1.253071094998823e-01,  8.067843865975468e-03, -6.772605599573399e-03,  1.253071094998773e-01,  8.067843865972023e-03, -6.772605599572231e-03,  1.253071094998694e-01, -7.330633386635595e-02,  2.988793453636837e-01
