Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  3.000000000000000e+00, -2.819526733937585e-02, -2.256806070819736e-01,  5.133577370865890e-02, -2.852206154064888e-02,  7.279746336149450e-01, -1.109420445060931e-02,  1.853755044943538e-01,  3.057259280685279e-01,  4.156505400182700e-01,  1.204870750215070e+00,  8.405921783733836e-01, -2.261951997249077e+00,  2.644376988872793e+00
  3.010000000000000e+00, -2.814037042853098e-02, -2.260170859956376e-01,  5.148170766023154e-02, -2.838638028349333e-02,  7.280005507186971e-01, -1.096702349957999e-02,  1.852107634452801e-01,  3.032344938794393e-01,  4.133455713729995e-01,  1.210897636322269e+00,  8.403392552991323e-01, -2.259873891809510e+00,  2.647019402851989e+00
  3.020000000000000e+00, -2.808705845036564e-02, -2.263561950574217e-01,  5.162816183399652e-02, -2.825215534841442e-02,  7.280237617775299e-01, -1.083976133332379e-02,  1.850233865076454e-01,  3.007121176645632e-01,  4.110063014860675e-01,  1.216857407186291e+00,  8.400571392614558e-01, -2.257675613201163e+00,  2.649593745830960e+00
  3.030000000000000e+00, -2.803558025946691e-02, -2.266986740402570e-01,  5.177533559979708e-02, -2.811956104134099e-02,  7.280437854683153e-01, -1.071230521114214e-02,  1.848111129992852e-01,  2.981440562922734e-01,  4.086237521468302e-01,  1.222737355386902e+00,  8.397327665282732e-01, -2.255325726706850e+00,  2.652101313879877e+00
  3.040000000000000e+00, -2.798610892954498e-02, -2.270444358190866e-01,  5.192313868757046e-02, -2.798883530365501e-02,  7.280603841672194e-01, -1.058475896808126e-02,  1.845729722231013e-01,  2.955271374496615e-01,  4.061969585965603e-01,  1.228520657398878e+00,  8.393605739146013e-01, -2.252812516338953e+00,  2.654536965103414e+00
  3.050000000000000e+00, -2.793873676544233e-02, -2.273930116409023e-01,  5.207136199143047e-02, -2.786018712434391e-02,  7.280734993669663e-01, -1.045730566690402e-02,  1.843088686572742e-01,  2.928644995931505e-01,  4.037291237009812e-01,  1.234192097707219e+00,  8.389401285076780e-01, -2.250136997035527e+00,  2.656893297494364e+00
  3.060000000000000e+00, -2.789357664582782e-02, -2.277440631310882e-01,  5.221983900561619e-02, -2.773382678925803e-02,  7.280830214953959e-01, -1.033009814822627e-02,  1.840185367569255e-01,  2.901568539227520e-01,  4.012220580087275e-01,  1.239735510563531e+00,  8.384690521066671e-01, -2.247295817611475e+00,  2.659164213627473e+00
  3.070000000000000e+00, -2.785073482954011e-02, -2.280972301513722e-01,  5.236839689669140e-02, -2.760996064242818e-02,  7.280888540479422e-01, -1.020329290074584e-02,  1.837018413139508e-01,  2.874049942583038e-01,  3.986777976717002e-01,  1.245134404722723e+00,  8.379450250602619e-01, -2.244286154382135e+00,  2.661343916292062e+00
  3.080000000000000e+00, -2.781031121280325e-02, -2.284521282058450e-01,  5.251685543026616e-02, -2.748879193640606e-02,  7.280909136183983e-01, -1.007705098447364e-02,  1.833587827702268e-01,  2.846098140245436e-01,  3.960986219363634e-01,  1.250372008787129e+00,  8.373658019902989e-01, -2.241105780481778e+00,  2.663426954729933e+00
  3.090000000000000e+00, -2.777239960264333e-02, -2.288083459419759e-01,  5.266502592801744e-02, -2.737052168665945e-02,  7.280891298889286e-01, -9.951538932272394e-03,  1.829895018244404e-01,  2.817723256533601e-01,  3.934870698902229e-01,  1.255431320458747e+00,  8.367292305728856e-01, -2.237753136848469e+00,  2.665408268116653e+00
