Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  3.000000000000000e+00,  1.104974816673367e-03, -2.645431974746604e-01,  7.656217388974805e-02,  1.743806576365122e-02,  7.650708441895150e-01,  1.263069956205600e-02,  3.720502379808374e-01,  2.806265588965384e-02,  3.232059846395599e-01,  1.576039140315047e+00,  2.838612396419490e+00, -1.445997887861791e+00,  9.487065350683092e-02
  3.010000000000000e+00,  1.376903589865582e-03, -2.652398379113814e-01,  7.694031309069131e-02,  1.794799426235903e-02,  7.653672604825951e-01,  1.294120069117960e-02,  3.720977772308768e-01,  2.639889968380375e-02,  3.200679425777841e-01,  1.582609011000399e+00,  2.841087560765360e+00, -1.450119738760749e+00,  9.525776645461384e-02
  3.020000000000000e+00,  1.647828429219136e-03, -2.659403522817987e-01,  7.731999559577420e-02,  1.845786515546384e-02,  7.656616909297816e-01,  1.325231937967456e-02,  3.721224652592446e-01,  2.470662986839236e-02,  3.168913871266952e-01,  1.589117952222724e+00,  2.843460530848951e+00, -1.454227529847246e+00,  9.551294445106216e-02
  3.030000000000000e+00,  1.917589208234444e-03, -2.666462981392890e-01,  7.770179805017166e-02,  1.896782215098308e-02,  7.659536504175442e-01,  1.356448103272498e-02,  3.721205007886396e-01,  2.295852694110801e-02,  3.136593897326677e-01,  1.595559895229497e+00,  2.845838809681496e+00, -1.458375310345596e+00,  9.568812578093953e-02
  3.040000000000000e+00,  2.185814534502394e-03, -2.673573663294006e-01,  7.808546649821148e-02,  1.947731663509495e-02,  7.662426326866478e-01,  1.387746324198168e-02,  3.720900104868954e-01,  2.114993701232365e-02,  3.103706082859671e-01,  1.601918569770046e+00,  2.848222825199774e+00, -1.462567879296218e+00,  9.577887692138222e-02
  3.050000000000000e+00,  2.451903984759380e-03, -2.680722376834217e-01,  7.847025440905821e-02,  1.998527281843441e-02,  7.665279476390020e-01,  1.419065386129408e-02,  3.720300473352809e-01,  1.928244591224645e-02,  3.070301627509732e-01,  1.608177279289550e+00,  2.850605094307459e+00, -1.466796166708383e+00,  9.578074804261441e-02
  3.060000000000000e+00,  2.715346880015825e-03, -2.687899533326719e-01,  7.885559089474001e-02,  2.049081018242097e-02,  7.668089817383601e-01,  1.450358482119053e-02,  3.719394105310961e-01,  1.735527124370046e-02,  3.036409083105586e-01,  1.614319068857738e+00,  2.852981498266961e+00, -1.471056748321485e+00,  9.568990448149306e-02
  3.070000000000000e+00,  2.975630654878327e-03, -2.695095190724017e-01,  7.924088791312543e-02,  2.099303539737719e-02,  7.670851234559158e-01,  1.481577808194367e-02,  3.718169860449769e-01,  1.536777133312597e-02,  3.002059629369514e-01,  1.620326558176435e+00,  2.855347740072950e+00, -1.475346214832344e+00,  9.550278151467798e-02
  3.080000000000000e+00,  3.232241774685668e-03, -2.702299053333816e-01,  7.962554052934066e-02,  2.149104343684051e-02,  7.673557646467901e-01,  1.512674590547892e-02,  3.716617559328050e-01,  1.331945182176366e-02,  2.967287154286202e-01,  1.626181985136303e+00,  2.857699485549266e+00, -1.479661218140900e+00,  9.521621387745469e-02
  3.090000000000000e+00,  3.484666981179562e-03, -2.709500471126383e-01,  8.000892729009541e-02,  2.198391912409138e-02,  7.676203024284589e-01,  1.543599121644558e-02,  3.714728085273896e-01,  1.120999125665079e-02,  2.932128395354561e-01,  1.631867249047394e+00,  2.860032364098924e+00, -1.483998479042614e+00,  9.482748107300205e-02
  3.100000000000000e+00,  3.732633572800472e-03, -2.716690249179770e-01,  8.039057011276783e-02,  2.247109232850219e-02,  7.678784703623457e-01,  1.574314631532934e-02,  3.712498673589412e-01,  9.046605107417938e-03,  2.896641565338947e-01,  1.637362766154727e+00,  2.862286194338450e+00, -1.488339782525418e+00,  9.429987679247720e-02
  3.110000000000000e+00,  3.975167937574860e-03, -2.723853503117072e-01,  8.076950560972566e-02,  2.295094491474469e-02,  7.681290417742060e-01,  1.604742717444139e-02,  3.709912608345870e-01,  6.815228917417850e-03,  2.860833772341394e-01,  1.642652249265756e+00,  2.864564364532340e+00, -1.492710972338816e+00,  9.369831350523722e-02
  3.120000000000000e+00,  4.211987691484761e-03, -2.730980224971244e-01,  8.114521447982369e-02,  2.342287033242357e-02,  7.683717470693753e-01,  1.634844048859411e-02,  3.706969282221716e-01,  4.523009136585780e-03,  2.824768138366626e-01,  1.647715732458748e+00,  2.866810652494898e+00, -1.497095033167593e+00,  9.298969904168919e-02
  3.130000000000000e+00,  4.442591715548306e-03, -2.738058358636017e-01,  8.151701344168441e-02,  2.388592709646588e-02,  7.686060208594622e-01,  1.664565525752121e-02,  3.703664715548728e-01,  2.170590543830799e-03,  2.788493984667348e-01,  1.652534262676682e+00,  2.869020444738859e+00, -1.501488872933148e+00,  9.217344653239261e-02
