Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.450000000000000e+01, -3.752432708589237e-02, -2.532280107899468e-01,  5.801591688703922e-02, -3.681200991617215e-02,  7.055495590050268e-01, -1.177340846154607e-02, -2.929023629271298e-02,  4.506792047148939e-01,  9.323782089416280e-02, -2.555733402687110e-13, -1.084221420846478e-03, -2.324529457808922e-16,  1.465494392505206e-14
  1.451000000000000e+01, -3.752491443640248e-02, -2.532267440970246e-01,  5.801522664019872e-02, -3.681304132860700e-02,  7.055488499879955e-01, -1.177414599367257e-02, -2.929260856946030e-02,  4.506795433509701e-01,  9.324166729761872e-02, -2.555733402687110e-13, -1.084221420845868e-03, -1.908195823574487e-16,  1.415534356397075e-14
  1.452000000000000e+01, -3.752550754752527e-02, -2.532254638838490e-01,  5.801452920871497e-02, -3.681408308034224e-02,  7.055481341708132e-01, -1.177489110536356e-02, -2.929500345525781e-02,  4.506799228492185e-01,  9.324555954187580e-02, -2.550182287563985e-13, -1.084221420845535e-03, -3.781697177629438e-16,  1.362798762727379e-14
  1.453000000000000e+01, -3.752609597936300e-02, -2.532241968199025e-01,  5.801383844185595e-02, -3.681511598814006e-02,  7.055474235750222e-01, -1.177562937621876e-02, -2.929738539225762e-02,  4.506802807197292e-01,  9.324939756138176e-02, -2.545741395465483e-13, -1.084221420844924e-03, -1.040834085586084e-17,  1.312838726619248e-14
  1.454000000000000e+01, -3.752667785748388e-02, -2.532229472540726e-01,  5.801315665910442e-02, -3.681613669776275e-02,  7.055467204204412e-01, -1.177635835561757e-02, -2.929974818659781e-02,  4.506806303143595e-01,  9.325316653571723e-02, -2.542410726391608e-13, -1.084221420844313e-03,  2.116362640691705e-16,  1.257327575387990e-14
  1.455000000000000e+01, -3.752726154669268e-02, -2.532216929155131e-01,  5.801247242087528e-02, -3.681716076432431e-02,  7.055460152010660e-01, -1.177708988141802e-02, -2.930211641629634e-02,  4.506809821076276e-01,  9.325695410556435e-02, -2.540190280342357e-13, -1.084221420843869e-03, -2.255140518769849e-16,  1.199040866595169e-14
  1.456000000000000e+01, -3.752782639451809e-02, -2.532204869812182e-01,  5.801181328302038e-02, -3.681815015335173e-02,  7.055453316396821e-01, -1.177779529623432e-02, -2.930442474548988e-02,  4.506812976256674e-01,  9.326055810693122e-02, -2.537969834293108e-13, -1.084221420843259e-03, -7.632783294297951e-17,  1.146305272925474e-14
  1.457000000000000e+01, -3.752838006237664e-02, -2.532193089734229e-01,  5.801116873762803e-02, -3.681911912827115e-02,  7.055446610407778e-01, -1.177848546761199e-02, -2.930669693486897e-02,  4.506816163464172e-01,  9.326405909728235e-02, -2.535749388243858e-13, -1.084221420842592e-03, -5.898059818321145e-17,  1.079691891447965e-14
  1.458000000000000e+01, -3.752892080607578e-02, -2.532181628515378e-01,  5.801054090969404e-02, -3.682006458586614e-02,  7.055440054820989e-01, -1.177915814277155e-02, -2.930892536247733e-02,  4.506819158924772e-01,  9.326744435284356e-02, -2.532418719169982e-13, -1.084221420841926e-03, -1.283695372222837e-16,  1.018629625093581e-14
  1.459000000000000e+01, -3.752944680605332e-02, -2.532170527367051e-01,  5.800993201247012e-02, -3.682098329068328e-02,  7.055433671325214e-01, -1.177981097451196e-02, -2.931110369511481e-02,  4.506822072324849e-01,  9.327070029073434e-02, -2.526867604046856e-13, -1.084221420841537e-03, -2.949029909160572e-16,  9.603429163007604e-15
  1.460000000000000e+01, -3.752995617845072e-02, -2.532159828892064e-01,  5.800934433492819e-02, -3.682187189439530e-02,  7.055427482383866e-01, -1.178044153477602e-02, -2.931322546339773e-02,  4.506825038494846e-01,  9.327381287428796e-02, -2.525757381022230e-13, -1.084221420840926e-03,  1.561251128379126e-16,  8.965050923848139e-15
  1.461000000000000e+01, -3.753044698221252e-02, -2.532149576923767e-01,  5.800878023314210e-02, -3.682272694820257e-02,  7.055421511151880e-01, -1.178104732372570e-02, -2.931528053066268e-02,  4.506827473002029e-01,  9.327676849660319e-02, -2.520206265899105e-13, -1.084221420840427e-03,  1.040834085586084e-17,  8.326672684688672e-15
  1.462000000000000e+01, -3.753091722556304e-02, -2.532139816376003e-01,  5.800824212226463e-02, -3.682354491458862e-02,  7.055415781397796e-01, -1.178162577827426e-02, -2.931726370523911e-02,  4.506829869493325e-01,  9.327955202644678e-02, -2.517985819849855e-13, -1.084221420839816e-03,  2.012279232133096e-16,  7.660538869913579e-15
  1.463000000000000e+01, -3.753136487210369e-02, -2.532130593106034e-01,  5.800773246916268e-02, -3.682432217805880e-02,  7.055410317431573e-01, -1.178217427987523e-02, -2.931916594962701e-02,  4.506831955125759e-01,  9.328214890944975e-02, -2.512434704726729e-13, -1.084221420838983e-03, -3.538835890992685e-16,  7.049916206369742e-15
