Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.000000000000000e+01, -8.736950968289546e-02,  8.388643495300219e-02,  1.470116797198013e-01, -5.317264808424334e-02,  6.379557280214029e-02,  1.586135804803747e-01
  1.001000000000000e+01, -8.813748614898836e-02,  8.428833640719602e-02,  1.481803402413484e-01, -5.312582060094399e-02,  6.304810380802221e-02,  1.625572607490998e-01
  1.002000000000000e+01, -8.844346356965341e-02,  8.450152895400320e-02,  1.494458685657950e-01, -5.241441394260364e-02,  6.233741435709018e-02,  1.652624308287822e-01
  1.003000000000000e+01, -8.857640213366592e-02,  8.465225983165459e-02,  1.507461854486430e-01, -5.167883053176096e-02,  6.134171211343101e-02,  1.672892312683097e-01
  1.004000000000000e+01, -8.920198348844902e-02,  8.505346824961313e-02,  1.521661292870286e-01, -5.113158032995596e-02,  6.080957953608048e-02,  1.692009778937482e-01
  1.005000000000000e+01, -8.994555088497225e-02,  8.507301002764556e-02,  1.536577636061859e-01, -5.038743381400473e-02,  6.016380539537815e-02,  1.714186897020190e-01
  1.006000000000000e+01, -9.044858297277950e-02,  8.554719408080680e-02,  1.555342143508161e-01, -4.929896512238426e-02,  5.940396152447770e-02,  1.728404084736644e-01
  1.007000000000000e+01, -9.041607837480412e-02,  8.627728214998553e-02,  1.574645984089845e-01, -4.807878999993130e-02,  5.859572491315874e-02,  1.745257400324179e-01
  1.008000000000000e+01, -9.045609422148584e-02,  8.652230635478886e-02,  1.587677411024855e-01, -4.678350788722666e-02,  5.678118477621519e-02,  1.774338421079081e-01
  1.009000000000000e+01, -9.084869534243289e-02,  8.671418327543901e-02,  1.599303245071283e-01, -4.527114731183639e-02,  5.561615514915966e-02,  1.798715555402821e-01
  1.010000000000000e+01, -9.131003274382989e-02,  8.738210981113781e-02,  1.601056809842414e-01, -4.400040833570308e-02,  5.469582108607729e-02,  1.828401700983659e-01
  1.011000000000000e+01, -9.134985401779659e-02,  8.781723413328679e-02,  1.611526112463439e-01, -4.214240185897401e-02,  5.403395212577661e-02,  1.840319613949812e-01
  1.012000000000000e+01, -9.130723749526957e-02,  8.838938573888977e-02,  1.617837723499197e-01, -4.081025294144626e-02,  5.315822745743257e-02,  1.867635381353832e-01
  1.013000000000000e+01, -9.222072828976546e-02,  8.852609233074604e-02,  1.620470033545502e-01, -3.978557289431128e-02,  5.174609020527860e-02,  1.902527605349902e-01
  1.014000000000000e+01, -9.291920916416559e-02,  8.906171153068931e-02,  1.629430122938902e-01, -3.846858256753002e-02,  5.019735552270304e-02,  1.925779320996776e-01
  1.015000000000000e+01, -9.350166169084131e-02,  8.962515158304729e-02,  1.634395040626176e-01, -3.727008054162350e-02,  4.917014174009342e-02,  1.942987023171788e-01
  1.016000000000000e+01, -9.399722297030551e-02,  9.006272046434671e-02,  1.647313900859255e-01, -3.636321963322389e-02,  4.864433909278783e-02,  1.947680681118194e-01
  1.017000000000000e+01, -9.394422783989048e-02,  9.008464826834928e-02,  1.648310971007874e-01, -3.565110447563222e-02,  4.771631435296643e-02,  1.977523323357034e-01
  1.018000000000000e+01, -9.424422237739224e-02,  9.039158249799550e-02,  1.657411568163492e-01, -3.496671073610666e-02,  4.734373671102465e-02,  2.009773946129235e-01
