Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.000000000000000e+01, -2.752799486892772e-02, -1.908427860355587e-01,  3.604277807086177e-02, -4.036557879311267e-02,  7.174514114079279e-01, -3.801387283569121e-02,  4.466804924340638e-01, -5.891655775591536e-01,  4.146158048845436e-01,  2.094395102393196e+00, -4.121507197415263e-04, -8.326672684688674e-17, -7.102651800039439e-14
  1.001000000000000e+01, -2.753180312767395e-02, -1.908331329947175e-01,  3.603780958867750e-02, -4.037250714768370e-02,  7.174461668584494e-01, -3.801982531607036e-02,  4.466857757023677e-01, -5.891548861929459e-01,  4.146499243360947e-01,  2.094395102393196e+00, -4.121655868338637e-04, -1.387778780781446e-16, -7.335798635210722e-14
  1.002000000000000e+01, -2.753394500468796e-02, -1.908277301996817e-01,  3.603502520374613e-02, -4.037639882450907e-02,  7.174432137759674e-01, -3.802316435975105e-02,  4.466885753231966e-01, -5.891489127706578e-01,  4.146689829899179e-01,  2.094395102393195e+00, -4.121717450696128e-04, -2.498001805406603e-16, -7.605027718682322e-14
  1.003000000000000e+01, -2.753671729399485e-02, -1.908207478522629e-01,  3.603142536498151e-02, -4.038143387133810e-02,  7.174393901623897e-01, -3.802748263548364e-02,  4.466921296481806e-01, -5.891411971828513e-01,  4.146935982135952e-01,  2.094395102393195e+00, -4.121655869984265e-04, -8.326672684688674e-17, -7.889522368742517e-14
  1.004000000000000e+01, -2.754046748675944e-02, -1.908111208225704e-01,  3.602648674799372e-02, -4.038827936436615e-02,  7.174342413258710e-01, -3.803338505319306e-02,  4.466981229705441e-01, -5.891304854045744e-01,  4.147278002957019e-01,  2.094395102393196e+00, -4.121547035788067e-04, -1.110223024625156e-16, -8.153200337090993e-14
  1.005000000000000e+01, -2.754385676443918e-02, -1.908024275536133e-01,  3.602202622582196e-02, -4.039446460459737e-02,  7.174295870986076e-01, -3.803871703621973e-02,  4.467034922627219e-01, -5.891208153041898e-01,  4.147586746727238e-01,  2.094395102393195e+00, -4.121695707012398e-04,  5.551115123125783e-17, -8.423817199343375e-14
  1.006000000000000e+01, -2.754654808020628e-02, -1.907956202931244e-01,  3.601852067766832e-02, -4.039935790026522e-02,  7.174258789612042e-01, -3.804291893881145e-02,  4.467071312439274e-01, -5.891132811326824e-01,  4.147827145103798e-01,  2.094395102393195e+00, -4.121485453471701e-04, -8.326672684688674e-17, -8.672229601103252e-14
  1.007000000000000e+01, -2.755041586748014e-02, -1.907858241706633e-01,  3.601347777856035e-02, -4.040639265314315e-02,  7.174205515953206e-01, -3.804896209725023e-02,  4.467124469301655e-01, -5.891024334534545e-01,  4.148173285256717e-01,  2.094395102393196e+00, -4.121547034384519e-04, -1.110223024625157e-16, -8.895661984809067e-14
  1.008000000000000e+01, -2.755527933414030e-02, -1.907735304473639e-01,  3.600714596661747e-02, -4.041523364225975e-02,  7.174138497338912e-01, -3.805655290552004e-02,  4.467189733978167e-01, -5.890888295450538e-01,  4.148607328013145e-01,  2.094395102393196e+00, -4.121547034332298e-04,  5.551115123125783e-17, -9.124645483638003e-14
  1.009000000000000e+01, -2.755960256338033e-02, -1.907626080732179e-01,  3.600151975934326e-02, -4.042309136166206e-02,  7.174078916237939e-01, -3.806329866291840e-02,  4.467247375802436e-01, -5.890767451992013e-01,  4.148992870979880e-01,  2.094395102393196e+00, -4.121547034284556e-04, -1.942890293094024e-16, -9.359180097590070e-14
