Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.000000000000000e+01, -2.750707848805978e-02, -1.908835477221090e-01,  3.606541276229493e-02, -4.032984796160374e-02,  7.174818018290925e-01, -3.798528565662178e-02,  4.665515729887229e-01, -6.737236729101453e-01,  3.964489203928799e-01,  2.094395102393195e+00, -4.121591919822883e-04, -1.665334536937735e-16, -4.338196468722798e-14
  1.001000000000000e+01, -2.750755979426440e-02, -1.908823008223555e-01,  3.606477456703689e-02, -4.033072875558894e-02,  7.174811424518854e-01, -3.798604693104909e-02,  4.665526093516750e-01, -6.737222481156853e-01,  3.964533418867308e-01,  2.094395102393196e+00, -4.121591919847312e-04,  0.000000000000000e+00, -4.091171845743702e-14
  1.002000000000000e+01, -2.750712505140616e-02, -1.908832609398916e-01,  3.606528791505540e-02, -4.032996467471069e-02,  7.174817595224888e-01, -3.798541495623031e-02,  4.665527962159486e-01, -6.737232719992973e-01,  3.964501296181311e-01,  2.094395102393195e+00, -4.121591919880625e-04, -1.110223024625156e-16, -3.816391647148975e-14
  1.003000000000000e+01, -2.750654466246987e-02, -1.908844910228726e-01,  3.606595361198000e-02, -4.032895441283775e-02,  7.174825900063294e-01, -3.798458857343373e-02,  4.665533950364346e-01, -6.737245570616796e-01,  3.964460843026815e-01,  2.094395102393195e+00, -4.121591919920601e-04, -1.665334536937735e-16, -3.533284775869561e-14
  1.004000000000000e+01, -2.750837335692063e-02, -1.908799756601232e-01,  3.606361320591271e-02, -4.033225881465187e-02,  7.174800560167007e-01, -3.798740658120972e-02,  4.665558311542122e-01, -6.737194953668898e-01,  3.964618386132215e-01,  2.094395102393196e+00, -4.121591919956135e-04, -2.775557561562891e-17, -3.264055692397960e-14
  1.005000000000000e+01, -2.751050147677055e-02, -1.908747536835450e-01,  3.606090203098731e-02, -4.033609804317546e-02,  7.174771028976977e-01, -3.799067505765806e-02,  4.665584450505791e-01, -6.737136566450083e-01,  3.964800186038164e-01,  2.094395102393195e+00, -4.121591919986116e-04, -8.326672684688674e-17, -2.992051051364796e-14
  1.006000000000000e+01, -2.751223563536446e-02, -1.908705282217042e-01,  3.605870408930588e-02, -4.033922087590651e-02,  7.174746926181684e-01, -3.799332849407366e-02,  4.665603735853094e-01, -6.737089459708572e-01,  3.964946928636798e-01,  2.094395102393195e+00, -4.121591920018316e-04, -2.775557561562891e-17, -2.753353101070388e-14
  1.007000000000000e+01, -2.751464012487768e-02, -1.908645287172201e-01,  3.605560312037759e-02, -4.034357747393189e-02,  7.174713688624924e-01, -3.799705475061009e-02,  4.665639986481550e-01, -6.737021915436608e-01,  3.965157011998418e-01,  2.094395102393195e+00, -4.121591920052739e-04, -1.387778780781445e-16, -2.536859611268482e-14
  1.008000000000000e+01, -2.751721143945114e-02, -1.908580083152972e-01,  3.605224728376091e-02, -4.034825613811163e-02,  7.174678280493401e-01, -3.800107460998554e-02,  4.665685825730277e-01, -6.736948026896881e-01,  3.965386593037954e-01,  2.094395102393196e+00, -4.121591920082722e-04,  8.326672684688674e-17, -2.320366121466577e-14
  1.009000000000000e+01, -2.751904834299007e-02, -1.908533262556322e-01,  3.604984083367832e-02, -4.035160302160685e-02,  7.174653016649742e-01, -3.800395438010052e-02,  4.665720194735122e-01, -6.736894861576262e-01,  3.965551730410725e-01,  2.094395102393196e+00, -4.121591920112702e-04, -1.387778780781446e-16, -2.089994843856857e-14
