Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.700000000000000e+01, -1.243456623225368e-01,  1.435126169989656e-01,  1.022541040980922e-01, -6.132235755337348e-02,  1.811885626374843e-02,  1.534169024874030e-01
  1.701000000000000e+01, -1.222506698269153e-01,  1.423283358346739e-01,  1.022741327816520e-01, -5.985284984305113e-02,  1.852626714043079e-02,  1.529469591006629e-01
  1.702000000000000e+01, -1.201449905596256e-01,  1.411503922289679e-01,  1.022938316765442e-01, -5.837487274499258e-02,  1.894602887593826e-02,  1.524943379545917e-01
  1.703000000000000e+01, -1.180087674686716e-01,  1.399716471452375e-01,  1.023104110795422e-01, -5.687896103401541e-02,  1.938238886982712e-02,  1.520622138299232e-01
  1.704000000000000e+01, -1.158475778565146e-01,  1.387962428052405e-01,  1.023299813807900e-01, -5.536525792906371e-02,  1.983435123438487e-02,  1.516407705705217e-01
  1.705000000000000e+01, -1.136719823745337e-01,  1.376324342616981e-01,  1.023423462952922e-01, -5.384075822398011e-02,  2.029733758882958e-02,  1.512503045006095e-01
  1.706000000000000e+01, -1.114958921995063e-01,  1.364890821825366e-01,  1.023505733269470e-01, -5.231053245163186e-02,  2.076684973082327e-02,  1.508880242170798e-01
  1.707000000000000e+01, -1.093300404626407e-01,  1.353730314506254e-01,  1.023538400020598e-01, -5.077863697253925e-02,  2.123892252529785e-02,  1.505565043839565e-01
  1.708000000000000e+01, -1.071849469198683e-01,  1.342906360834537e-01,  1.023512840829166e-01, -4.924881339846332e-02,  2.170952115000562e-02,  1.502578488214473e-01
  1.709000000000000e+01, -1.050711748470583e-01,  1.332479385429159e-01,  1.023364936777040e-01, -4.772605609495464e-02,  2.217496264215503e-02,  1.500041406336048e-01
  1.710000000000000e+01, -1.029990517282891e-01,  1.322504999964822e-01,  1.023205240162730e-01, -4.621046874406298e-02,  2.262997142098767e-02,  1.497737786183965e-01
  1.711000000000000e+01, -1.009773971692146e-01,  1.313029409316981e-01,  1.022972409383270e-01, -4.470601663004656e-02,  2.307084070793273e-02,  1.495772559440094e-01
