Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.700000000000000e+01, -1.312057212397368e-01,  3.848092793716740e-02,  1.383270818956181e-01, -5.016317094425579e-02,  1.768676056781120e-02,  2.816566571445123e-02
  1.701000000000000e+01, -1.295485096783875e-01,  3.958808704531602e-02,  1.383129292782684e-01, -4.949342811462155e-02,  1.775471997025153e-02,  2.855119184591351e-02
  1.702000000000000e+01, -1.278765156694048e-01,  4.068866570830121e-02,  1.382921537382401e-01, -4.881066697112249e-02,  1.783378974427124e-02,  2.894267965452269e-02
  1.703000000000000e+01, -1.261719686806951e-01,  4.178944460128720e-02,  1.382649624969827e-01, -4.810868433733155e-02,  1.792512717381419e-02,  2.934191583597759e-02
  1.704000000000000e+01, -1.244398574246966e-01,  4.288571986473455e-02,  1.382339384828268e-01, -4.738725214299064e-02,  1.803133529098300e-02,  2.974413745035685e-02
  1.705000000000000e+01, -1.226882818448496e-01,  4.397071483962933e-02,  1.381930081123777e-01, -4.664889895245854e-02,  1.814936038849287e-02,  3.015524400281853e-02
  1.706000000000000e+01, -1.209290908753030e-01,  4.503538333353663e-02,  1.381449879971774e-01, -4.589562876176428e-02,  1.828067028886413e-02,  3.056845460379134e-02
  1.707000000000000e+01, -1.191715465156689e-01,  4.607313798061186e-02,  1.380899907119746e-01, -4.512911638638388e-02,  1.842509586334374e-02,  3.098157361912712e-02
  1.708000000000000e+01, -1.174249251161851e-01,  4.707786631539679e-02,  1.380282563462353e-01, -4.435104452083543e-02,  1.858224133647097e-02,  3.139244392058534e-02
  1.709000000000000e+01, -1.156985747529655e-01,  4.804442148760102e-02,  1.379553884106118e-01, -4.356425832913631e-02,  1.875022761872311e-02,  3.180693002736009e-02
  1.710000000000000e+01, -1.140024276966452e-01,  4.896611309057475e-02,  1.378811594771992e-01, -4.276843151954177e-02,  1.893074924370152e-02,  3.220725155015213e-02
  1.711000000000000e+01, -1.123444928279562e-01,  4.983910511185452e-02,  1.378025262785345e-01, -4.196584141053264e-02,  1.912148898461729e-02,  3.259726522254660e-02
  1.712000000000000e+01, -1.107316017634445e-01,  5.066126460553644e-02,  1.377179469446650e-01, -4.115842091089011e-02,  1.932110934681251e-02,  3.297980909887942e-02
  1.713000000000000e+01, -1.091705949087980e-01,  5.142983833559689e-02,  1.376288242250054e-01, -4.034731876251067e-02,  1.952839477404825e-02,  3.335202792776087e-02
  1.714000000000000e+01, -1.076654803752919e-01,  5.214456529126088e-02,  1.375359685134834e-01, -3.953333602818019e-02,  1.974225172049354e-02,  3.371315767080127e-02
  1.715000000000000e+01, -1.062196836064160e-01,  5.280554374643498e-02,  1.374397500012508e-01, -3.871740747013597e-02,  1.996155159177363e-02,  3.406334991991232e-02
  1.716000000000000e+01, -1.048339592227102e-01,  5.341493389281671e-02,  1.373405221226693e-01, -3.789996091988099e-02,  2.018551588902470e-02,  3.440361170545746e-02
  1.717000000000000e+01, -1.035079365573527e-01,  5.397537556943632e-02,  1.372387164671350e-01, -3.708128850277112e-02,  2.041355247932768e-02,  3.473498331267835e-02
  1.718000000000000e+01, -1.022399801944304e-01,  5.449023037060985e-02,  1.371347199253854e-01, -3.626151575318361e-02,  2.064529568269469e-02,  3.505885887700600e-02
  1.719000000000000e+01, -1.010270479726822e-01,  5.496374978566210e-02,  1.370288094396915e-01, -3.544053391788261e-02,  2.088077272006640e-02,  3.537729184820029e-02
  1.720000000000000e+01, -9.986629589991959e-02,  5.539969145208801e-02,  1.369213419714872e-01, -3.461835962714140e-02,  2.112001387063428e-02,  3.569196459769072e-02
  1.721000000000000e+01, -9.875439157146176e-02,  5.580220662207958e-02,  1.368126350297146e-01, -3.379489443754094e-02,  2.136336068037589e-02,  3.600494780229457e-02
