Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.350000000000000e+01, -8.095655220763470e-04, -3.214365376654253e-01,  9.898117994322705e-02,  2.774709291945145e-02,  7.524716369994159e-01,  2.834398451093700e-02,  1.518609715548175e-01,  6.942732390154592e-01, -4.344219939478445e-02,  4.670271475057182e-01,  1.031777318010785e+00, -1.333627701831554e-01,  6.679796840462356e-02
  1.351000000000000e+01, -7.124462844073227e-04, -3.214244402049245e-01,  9.901393058284461e-02,  2.787315084306011e-02,  7.526170405497699e-01,  2.837568929797873e-02,  1.525203354210319e-01,  6.937114583118426e-01, -4.239279537200816e-02,  4.673061682772295e-01,  1.032128281725931e+00, -1.335437606872995e-01,  6.617332629278393e-02
  1.352000000000000e+01, -6.139533874297906e-04, -3.214063215033749e-01,  9.904471544923547e-02,  2.799955251016749e-02,  7.527653464457048e-01,  2.840599998490708e-02,  1.531962036777156e-01,  6.931536447497263e-01, -4.128238031649772e-02,  4.675699562749218e-01,  1.032483734994692e+00, -1.337181915056154e-01,  6.555842869381098e-02
  1.353000000000000e+01, -5.138121169126853e-04, -3.213797034115485e-01,  9.907261121499088e-02,  2.812605174050317e-02,  7.529173144791362e-01,  2.843424805159692e-02,  1.538932001746294e-01,  6.926027866722472e-01, -4.008852839320266e-02,  4.678134749489793e-01,  1.032844620156526e+00, -1.338829625694591e-01,  6.495679167514276e-02
  1.354000000000000e+01, -4.120094599079329e-04, -3.213437266626636e-01,  9.909726463319038e-02,  2.825245337876662e-02,  7.530730877007069e-01,  2.846017077891100e-02,  1.546124677119478e-01,  6.920605060140835e-01, -3.880427610066658e-02,  4.680339116014399e-01,  1.033211041894255e+00, -1.340365742310370e-01,  6.437148219979126e-02
  1.355000000000000e+01, -3.086669050096703e-04, -3.212982951689430e-01,  9.911858699496365e-02,  2.837857163809732e-02,  7.532325018407395e-01,  2.848369286697489e-02,  1.553534093858631e-01,  6.915273330590150e-01, -3.743009298517677e-02,  4.682308198587251e-01,  1.033582326086507e+00, -1.341784885815997e-01,  6.380345652628609e-02
  1.356000000000000e+01, -2.038597559487880e-04, -3.212429728773027e-01,  9.913636629996313e-02,  2.850419836055982e-02,  7.533955093693009e-01,  2.850465066568915e-02,  1.561161140582374e-01,  6.910042257943462e-01, -3.596327774703502e-02,  4.684029253849789e-01,  1.033958049909425e+00, -1.343077202023689e-01,  6.325433982334797e-02
  1.357000000000000e+01, -9.766868576779575e-05, -3.211773162040095e-01,  9.915038525626983e-02,  2.862911644593942e-02,  7.535620560058134e-01,  2.852287634407812e-02,  1.569006466236248e-01,  6.904921408346407e-01, -3.440112152297151e-02,  4.685489650143381e-01,  1.034337782801921e+00, -1.344232413651001e-01,  6.272576064579664e-02
  1.358000000000000e+01,  9.820178608572062e-06, -3.211008739708580e-01,  9.916042123033984e-02,  2.875309974199643e-02,  7.537320806079910e-01,  2.853819785205541e-02,  1.577070472837716e-01,  6.899920307324824e-01, -3.274090807220507e-02,  4.686676910176131e-01,  1.034721089540175e+00, -1.345239920483539e-01,  6.221934204824901e-02
  1.359000000000000e+01,  1.185151999827620e-04, -3.210131873701957e-01,  9.916624622150216e-02,  2.887591298173016e-02,  7.539055150989022e-01,  2.855043890162935e-02,  1.585353309435521e-01,  6.895048397093737e-01, -3.097991401463187e-02,  4.687578758810669e-01,  1.035107526875749e+00, -1.346088894822813e-01,  6.173669102682344e-02
