Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  2.150000000000000e+01,  2.096463597332809e-01,  9.098034712900326e-01,  9.349293441606265e-01,  1.192498719238659e+00, -1.230471597058336e+00, -1.299340344000723e+00, -1.932440880751972e-04, -3.885783171254078e-16, -3.991110267923851e-03, -6.191865937082831e-04,  2.339974342638118e-03, -1.278818926112415e-02, -1.093413795665712e-03,  5.157698475789368e-03, -2.258250211126882e-02, -1.573209915492299e-03,  8.082345735149850e-03, -3.249183097826037e-02, -2.029393410173632e-03,  1.096750831602962e-02, -4.191348339622673e-02, -2.483452627984641e-03,  1.360622755608869e-02, -5.129126268299284e-02, -2.719596556810487e-03,  1.646567075924309e-02, -5.616839226780165e-02,  4.332237090944610e-03, -4.187299396544606e-03,  6.076619529668036e-02,  4.332237090944276e-03, -4.187299396544828e-03,  6.076619529668092e-02,  4.332237090944388e-03, -4.187299396544717e-03,  6.076619529668142e-02,  4.332237090943721e-03, -4.187299396544772e-03,  6.076619529668181e-02,  4.332237090943721e-03, -4.187299396544883e-03,  6.076619529668164e-02,  4.332237090943665e-03, -4.187299396544771e-03,  6.076619529668179e-02, -3.953684663848969e-02,  1.107877191682785e-01
  2.151000000000000e+01,  2.095194216398466e-01,  9.100106932613976e-01,  9.346886836938860e-01,  1.194460059645058e+00, -1.228864560509748e+00, -1.300628652039716e+00, -1.743591725779362e-04, -4.868331263534790e-14, -4.029980011136973e-03, -5.586761448681084e-04,  2.328482623540170e-03, -1.291273446268008e-02, -9.865591573006811e-04,  5.132368786995543e-03, -2.280243491173404e-02, -1.419466861156698e-03,  8.042652972417318e-03, -3.280827152785324e-02, -1.831069500399968e-03,  1.091364639042176e-02, -4.232168217486985e-02, -2.240755459232926e-03,  1.353940676192863e-02, -5.179079240673835e-02, -2.453822055179108e-03,  1.638480711128170e-02, -5.671542074799619e-02,  4.301842496078102e-03, -4.258054854776642e-03,  6.084032947325660e-02,  4.301842496079936e-03, -4.258054854773978e-03,  6.084032947325800e-02,  4.301842496081157e-03, -4.258054854770869e-03,  6.084032947325900e-02,  4.301842496082212e-03, -4.258054854768370e-03,  6.084032947325922e-02,  4.301842496082045e-03, -4.258054854765428e-03,  6.084032947325917e-02,  4.301842496081990e-03, -4.258054854762374e-03,  6.084032947325906e-02, -4.010134362403223e-02,  1.110027683604224e-01
  2.152000000000000e+01,  2.093902569730177e-01,  9.102317283948681e-01,  9.344342514015416e-01,  1.196473500229149e+00, -1.227199891668503e+00, -1.301957317150318e+00, -1.544568111852535e-04, -4.418690693359929e-14, -4.070774856112383e-03, -4.949056281183117e-04,  2.316846136575889e-03, -1.304344801439785e-02, -8.739476061513862e-04,  5.106720005295894e-03, -2.303326032394543e-02, -1.257440728353379e-03,  8.002460176661607e-03, -3.314038442845738e-02, -1.622060668871585e-03,  1.085910593444578e-02, -4.275009781431011e-02, -1.984982709932904e-03,  1.347174418682975e-02, -5.231506233897840e-02, -2.173728655982186e-03,  1.630292477616405e-02, -5.728954190758399e-02,  4.266472065774924e-03, -4.331080931598895e-03,  6.091919898123548e-02,  4.266472065776757e-03, -4.331080931596230e-03,  6.091919898123621e-02,  4.266472065778200e-03, -4.331080931593953e-03,  6.091919898123698e-02,  4.266472065778033e-03, -4.331080931591564e-03,  6.091919898123713e-02,  4.266472065778701e-03, -4.331080931589179e-03,  6.091919898123693e-02,  4.266472065778533e-03, -4.331080931586180e-03,  6.091919898123698e-02, -4.067988516927384e-02,  1.112319274466737e-01
  2.153000000000000e+01,  2.092581889559260e-01,  9.104706623759946e-01,  9.341610899704148e-01,  1.198553530326255e+00, -1.225461163538888e+00, -1.303338440620183e+00, -1.332235517733310e-04, -3.952396757985585e-14, -4.114099824082959e-03, -4.268706900392505e-04,  2.304999806985448e-03, -1.318226850617847e-02, -7.538055671660454e-04,  5.080608695024109e-03, -2.327840167935734e-02, -1.084579687320914e-03,  7.961542577807916e-03, -3.349309518860946e-02, -1.399075132045392e-03,  1.080358194172775e-02, -4.320508407221647e-02, -1.712106088447164e-03,  1.340286144172194e-02, -5.287184783568441e-02, -1.874905029608342e-03,  1.621956584383672e-02, -5.789927043739849e-02,  4.224143249298110e-03, -4.407029298366059e-03,  6.100441052677722e-02,  4.224143249299110e-03, -4.407029298364504e-03,  6.100441052677783e-02,  4.224143249300163e-03, -4.407029298362171e-03,  6.100441052677809e-02,  4.224143249300996e-03, -4.407029298360506e-03,  6.100441052677832e-02,  4.224143249300995e-03, -4.407029298357618e-03,  6.100441052677798e-02,  4.224143249300886e-03, -4.407029298355677e-03,  6.100441052677794e-02, -4.127593019868953e-02,  1.114800102841038e-01
  2.154000000000000e+01,  2.091231924703759e-01,  9.107296146259699e-01,  9.338674633467750e-01,  1.200704933526107e+00, -1.223641769237159e+00, -1.304776230648365e+00, -1.105280353943396e-04, -3.480551693917760e-14, -4.160196387548028e-03, -3.541504344436008e-04,  2.292957154239189e-03, -1.332996965656104e-02, -6.253897850762140e-04,  5.054064655374461e-03, -2.353922527777553e-02, -8.998143382019836e-04,  7.919946872534571e-03, -3.386836964815352e-02, -1.160733396313040e-03,  1.074713777830045e-02, -4.368917682278098e-02, -1.420437451406989e-03,  1.333283713813920e-02, -5.346425215095971e-02, -1.555502512290382e-03,  1.613482544659424e-02, -5.854800467050148e-02,  4.174073967683762e-03, -4.486158880358206e-03,  6.109680647972611e-02,  4.174073967684928e-03, -4.486158880356985e-03,  6.109680647972605e-02,  4.174073967685817e-03, -4.486158880354875e-03,  6.109680647972650e-02,  4.174073967686260e-03, -4.486158880353541e-03,  6.109680647972637e-02,  4.174073967686650e-03, -4.486158880351377e-03,  6.109680647972633e-02,  4.174073967686816e-03, -4.486158880349711e-03,  6.109680647972633e-02, -4.189084763304429e-02,  1.117495422091557e-01
  2.155000000000000e+01,  2.089855815207454e-01,  9.110094623482363e-01,  9.335536008896494e-01,  1.202927653066560e+00, -1.221740611103055e+00, -1.306270967033201e+00, -8.635539341753692e-05, -2.958746545614948e-14, -4.209059070747449e-03, -2.766972197349280e-04,  2.280773250786034e-03, -1.348653392029069e-02, -4.886161301882131e-04,  5.027209275319244e-03, -2.381570013625856e-02, -7.030236347196864e-04,  7.877863282827824e-03, -3.426616322865753e-02, -9.068793156223295e-04,  1.069003156987298e-02, -4.420231856116830e-02, -1.109785716433335e-03,  1.326199150534709e-02, -5.409220491376051e-02, -1.215311852208148e-03,  1.604909111210501e-02, -5.923566754448142e-02,  4.116295709692889e-03, -4.568481920051395e-03,  6.119671856644197e-02,  4.116295709694000e-03, -4.568481920049728e-03,  6.119671856644247e-02,  4.116295709694499e-03, -4.568481920048618e-03,  6.119671856644224e-02,  4.116295709695331e-03, -4.568481920047174e-03,  6.119671856644267e-02,  4.116295709695276e-03, -4.568481920045565e-03,  6.119671856644202e-02,  4.116295709695388e-03, -4.568481920044066e-03,  6.119671856644204e-02, -4.252475480136117e-02,  1.120415157697569e-01
  2.156000000000000e+01,  2.088455633157554e-01,  9.113116793061425e-01,  9.332189855437766e-01,  1.205223698262019e+00, -1.219754142696977e+00, -1.307824604699186e+00, -6.064188572478445e-05, -2.464696979408833e-14, -4.260780678905137e-03, -1.943068118410656e-04,  2.268493642949212e-03, -1.365225866092872e-02, -3.431239481297732e-04,  5.000142946647505e-03, -2.410835136536779e-02, -4.936886653355865e-04,  7.835449127140031e-03, -3.468723146214874e-02, -6.368435097179529e-04,  1.063247679301442e-02, -4.474548390094023e-02, -7.793317352282837e-04,  1.319058938114602e-02, -5.475689879899945e-02, -8.534360107536266e-04,  1.596268333567358e-02, -5.996356514206819e-02,  4.050520101828261e-03, -4.654118183495348e-03,  6.130474111705846e-02,  4.050520101829150e-03, -4.654118183494905e-03,  6.130474111705881e-02,  4.050520101829816e-03, -4.654118183493461e-03,  6.130474111705875e-02,  4.050520101829983e-03, -4.654118183492074e-03,  6.130474111705870e-02,  4.050520101830650e-03, -4.654118183491131e-03,  6.130474111705859e-02,  4.050520101830538e-03, -4.654118183489519e-03,  6.130474111705803e-02, -4.317834373830204e-02,  1.123577097979998e-01
  2.157000000000000e+01,  2.087033666447646e-01,  9.116378247401655e-01,  9.328631197194828e-01,  1.207595202215163e+00, -1.217678592464064e+00, -1.309439194475012e+00, -3.332126462353067e-05, -2.003954114538350e-14, -4.315455029443718e-03, -1.067669420052728e-04,  2.256169287766972e-03, -1.382744448529282e-02, -1.885383961796595e-04,  4.972977987272848e-03, -2.441770980289023e-02, -2.712701042345894e-04,  7.792880412700129e-03, -3.513233812101834e-02, -3.499302645419871e-04,  1.057471228441993e-02, -4.531965808547836e-02, -4.282241337335343e-04,  1.311892706496327e-02, -5.545953948974191e-02, -4.689426593075918e-04,  1.587596068610889e-02, -6.073301779104796e-02,  3.976457838065801e-03, -4.743195537229340e-03,  6.142151924433802e-02,  3.976457838066078e-03, -4.743195537228673e-03,  6.142151924433807e-02,  3.976457838066968e-03, -4.743195537227787e-03,  6.142151924433799e-02,  3.976457838067024e-03, -4.743195537227121e-03,  6.142151924433799e-02,  3.976457838067468e-03, -4.743195537226233e-03,  6.142151924433770e-02,  3.976457838067579e-03, -4.743195537225011e-03,  6.142151924433737e-02, -4.385236827855157e-02,  1.127000540459331e-01
  2.158000000000000e+01,  2.085592421066827e-01,  9.119895445784425e-01,  9.324855277697986e-01,  1.210044441949056e+00, -1.215509944678241e+00, -1.311116892996758e+00, -4.324769384390345e-06, -1.543211233955261e-14, -4.373176461407323e-03, -1.385728927039746e-05,  2.243856712922887e-03, -1.401239367156438e-02, -2.447041234050557e-05,  4.945838993751054e-03, -2.474430923805447e-02, -3.520816683013425e-05,  7.750352387921489e-03, -3.560225122421098e-02, -4.541747483432881e-05,  1.051700299051379e-02, -4.592583183608987e-02, -5.557924188492792e-05,  1.304733324780459e-02, -5.620133937261642e-02, -6.086410231757093e-05,  1.578932093111453e-02, -6.154535316019241e-02,  3.893820421761786e-03, -4.835850027963243e-03,  6.154775157216331e-02,  3.893820421762064e-03, -4.835850027963021e-03,  6.154775157216253e-02,  3.893820421762730e-03, -4.835850027962133e-03,  6.154775157216325e-02,  3.893820421762785e-03, -4.835850027961633e-03,  6.154775157216253e-02,  3.893820421763284e-03, -4.835850027960966e-03,  6.154775157216229e-02,  3.893820421763340e-03, -4.835850027959911e-03,  6.154775157216224e-02, -4.454764558459939e-02,  1.130706372385258e-01
  2.159000000000000e+01,  2.084134621000650e-01,  9.123685717757835e-01,  9.320857587291105e-01,  1.212573859334223e+00, -1.213243920272310e+00, -1.312859971617871e+00,  2.641884921301955e-05, -1.171286250526397e-14, -4.434039284579579e-03,  8.465044085990098e-05,  2.231618086692201e-03, -1.420740840416724e-02,  1.494831457611265e-04,  4.918862995459248e-03, -2.508868329452246e-02,  2.150771903925341e-04,  7.708079784007334e-03, -3.609773855244960e-02,  2.774430980672124e-04,  1.045964029529852e-02, -4.656499556678493e-02,  3.395185909081628e-04,  1.297616941898369e-02, -5.698351045819727e-02,  3.718023772261723e-04,  1.570320152949486e-02, -6.240189850646321e-02,  3.802322249858749e-03, -4.932225722025130e-03,  6.168419261994249e-02,  3.802322249859083e-03, -4.932225722025463e-03,  6.168419261994226e-02,  3.802322249859138e-03, -4.932225722024908e-03,  6.168419261994204e-02,  3.802322249859636e-03, -4.932225722024240e-03,  6.168419261994174e-02,  3.802322249859636e-03, -4.932225722023851e-03,  6.168419261994174e-02,  3.802322249860081e-03, -4.932225722023464e-03,  6.168419261994153e-02, -4.526505588794473e-02,  1.134717141127689e-01
