Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.170000000000000e+01, -5.412338559304927e-02, -2.988167526708985e-02,  1.495935049049138e-01,  4.445443031809507e-01, -2.557705803248174e-01,  2.136457267356157e-01
  1.171000000000000e+01, -4.637294675954711e-02, -2.575174160120874e-02,  1.528219612466632e-01,  4.595786823414024e-01, -2.577673898448198e-01,  2.103950500057134e-01
  1.172000000000000e+01, -3.842016376796069e-02, -2.134932672134138e-02,  1.560080329499740e-01,  4.747131385712955e-01, -2.596130201133549e-01,  2.070987260635860e-01
  1.173000000000000e+01, -3.021953296036454e-02, -1.666670363487843e-02,  1.591546281298963e-01,  4.899568016403111e-01, -2.613156317165992e-01,  2.037623754101710e-01
  1.174000000000000e+01, -2.177192942105452e-02, -1.170812487677142e-02,  1.622489529726666e-01,  5.052807058063451e-01, -2.628708004240827e-01,  2.004034003893791e-01
  1.175000000000000e+01, -1.310486027292441e-02, -6.484644384135541e-03,  1.652731338387869e-01,  5.206405120991721e-01, -2.642696760249572e-01,  1.970415040461817e-01
  1.176000000000000e+01, -4.236847098919072e-03, -1.008103992371501e-03,  1.682127383254919e-01,  5.359973174799835e-01, -2.655080586258986e-01,  1.936939139030550e-01
  1.177000000000000e+01,  4.811929462334755e-03,  4.706400954838097e-03,  1.710522292065830e-01,  5.513109301939693e-01, -2.665831185526500e-01,  1.903801163177745e-01
  1.178000000000000e+01,  1.402269812033693e-02,  1.064333121256777e-02,  1.737836481041630e-01,  5.665435046628857e-01, -2.674963705062290e-01,  1.871082967590819e-01
  1.179000000000000e+01,  2.337396620458565e-02,  1.678250833613393e-02,  1.763938783900631e-01,  5.816545886034480e-01, -2.682492824190963e-01,  1.838956573593585e-01
  1.180000000000000e+01,  3.284536223359782e-02,  2.310244598957922e-02,  1.788754169646889e-01,  5.966054815164267e-01, -2.688468012830619e-01,  1.807519303591750e-01
  1.181000000000000e+01,  4.241377211793661e-02,  2.957778449044079e-02,  1.812154081707859e-01,  6.113555326741580e-01, -2.692940725944693e-01,  1.776945292805443e-01
  1.182000000000000e+01,  5.205841731680428e-02,  3.618247409259090e-02,  1.834090073096254e-01,  6.258668743797289e-01, -2.696001380843166e-01,  1.747305924963330e-01
  1.183000000000000e+01,  6.175775925839607e-02,  4.288776338916556e-02,  1.854505229876937e-01,  6.401014613156489e-01, -2.697752133813324e-01,  1.718691465458361e-01
