Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.170000000000000e+01,  1.442241504318585e-01,  1.325033680321617e+00,  9.181931096018605e-01,  1.116851037420901e+00, -1.230392931632120e+00, -1.296326393594379e+00,  8.271518681179299e-04, -2.331472295879919e-15, -6.317974279400878e-03,  2.650333848757296e-03,  3.719456963993584e-03, -2.024385331600180e-02,  4.680191113304311e-03,  8.198311051705289e-03, -3.574836522309625e-02,  6.733885282073779e-03,  1.284712254413974e-02, -5.143494883139028e-02,  8.686509207535843e-03,  1.743317199697637e-02, -6.634953491147595e-02,  1.063004048959537e-02,  2.162749262460706e-02, -8.119466931121340e-02,  1.164081858800940e-02,  2.617266038192199e-02, -8.891522254211484e-02,  7.339961534621068e-03,  1.734420432191132e-03,  2.403572007629144e-02,  7.339961534621510e-03,  1.734420432183027e-03,  2.403572007629710e-02,  7.339961534622398e-03,  1.734420432176365e-03,  2.403572007630187e-02,  7.339961534623231e-03,  1.734420432169370e-03,  2.403572007630582e-02,  7.339961534624900e-03,  1.734420432163154e-03,  2.403572007630899e-02,  7.339961534626785e-03,  1.734420432158046e-03,  2.403572007631154e-02,  1.019053211561050e-02,  3.659435991821074e-03
  1.171000000000000e+01,  1.452515155690806e-01,  1.318355744126523e+00,  9.181087353430498e-01,  1.119782008541484e+00, -1.230940400675835e+00, -1.294386657093954e+00,  7.765446157902953e-04, -2.720050986244414e-15, -6.306500060356260e-03,  2.488179691816320e-03,  3.614801494994535e-03, -2.020708798632453e-02,  4.393845132906772e-03,  7.967632730536614e-03, -3.568344179116262e-02,  6.321889075872410e-03,  1.248563922865659e-02, -5.134153663257602e-02,  8.155046509742631e-03,  1.694264964139045e-02, -6.622903598832780e-02,  9.979667611230383e-03,  2.101895341960841e-02, -8.104720979653132e-02,  1.092860373812168e-02,  2.543623243726965e-02, -8.875374155234994e-02,  7.370780453238707e-03,  1.786664760596662e-03,  2.408037814205556e-02,  7.370780453239375e-03,  1.786664760589001e-03,  2.408037814206133e-02,  7.370780453240432e-03,  1.786664760581563e-03,  2.408037814206634e-02,  7.370780453241598e-03,  1.786664760574347e-03,  2.408037814207050e-02,  7.370780453243264e-03,  1.786664760568129e-03,  2.408037814207395e-02,  7.370780453244985e-03,  1.786664760562689e-03,  2.408037814207695e-02,  1.060534488201855e-02,  3.795294973955486e-03
  1.172000000000000e+01,  1.463013930198374e-01,  1.311545125278910e+00,  9.180221689013537e-01,  1.122876114039018e+00, -1.231616232853959e+00, -1.292391940841547e+00,  7.221435782797930e-04, -5.551124406428396e-17, -6.293997833996948e-03,  2.313869608405040e-03,  3.509869473673117e-03, -2.016702874814855e-02,  4.086033155284330e-03,  7.736344841360072e-03, -3.561270168776248e-02,  5.879007472197608e-03,  1.212320069265810e-02, -5.123975537416430e-02,  7.583742579391875e-03,  1.645083107932173e-02, -6.609774123036069e-02,  9.280539369218773e-03,  2.040880614832734e-02, -8.088653897241931e-02,  1.016299752589172e-02,  2.469785848004355e-02, -8.857779303011636e-02,  7.401823817997043e-03,  1.838790437920191e-03,  2.412397749041290e-02,  7.401823817997488e-03,  1.838790437919969e-03,  2.412397749041335e-02,  7.401823817997434e-03,  1.838790437918748e-03,  2.412397749041430e-02,  7.401823817997489e-03,  1.838790437918303e-03,  2.412397749041463e-02,  7.401823817997432e-03,  1.838790437917193e-03,  2.412397749041479e-02,  7.401823817998047e-03,  1.838790437916750e-03,  2.412397749041514e-02,  1.101908605128706e-02,  3.928090210902864e-03
  1.173000000000000e+01,  1.473781520991785e-01,  1.304566005530329e+00,  9.179357503441270e-01,  1.126148339133473e+00, -1.232418638205360e+00, -1.290328081014436e+00,  6.637352993773213e-04, -1.720848548045533e-15, -6.280529609184109e-03,  2.126719648903418e-03,  3.403852698108515e-03, -2.012387428826744e-02,  3.755547402433657e-03,  7.502665970711656e-03, -3.553649577138930e-02,  5.403502713272582e-03,  1.175701538104308e-02, -5.113010987331853e-02,  6.970355761291670e-03,  1.595392825161039e-02, -6.595630183649466e-02,  8.529912557411050e-03,  1.979235136641432e-02, -8.071345373786823e-02,  9.340995902088875e-03,  2.395185144502539e-02, -8.838824964901107e-02,  7.433103312891896e-03,  1.891137526162777e-03,  2.416740310632420e-02,  7.433103312891896e-03,  1.891137526161555e-03,  2.416740310632526e-02,  7.433103312892007e-03,  1.891137526160778e-03,  2.416740310632581e-02,  7.433103312892118e-03,  1.891137526160223e-03,  2.416740310632676e-02,  7.433103312892339e-03,  1.891137526159001e-03,  2.416740310632653e-02,  7.433103312892674e-03,  1.891137526158558e-03,  2.416740310632715e-02,  1.143451245041104e-02,  4.060443108828668e-03
  1.174000000000000e+01,  1.484822486723117e-01,  1.297410412148812e+00,  9.178507363095524e-01,  1.129597042673313e+00, -1.233346893133074e+00, -1.288189405912790e+00,  6.013513786357804e-04, -1.887382258125620e-15, -6.266168888712866e-03,  1.926831063588520e-03,  3.296714158565584e-03, -2.007786012203512e-02,  3.402566670937873e-03,  7.266514542882541e-03, -3.545523993564321e-02,  4.895632052624849e-03,  1.138695546099965e-02, -5.101319852009147e-02,  6.315217904741354e-03,  1.545176769284387e-02, -6.580548971188463e-02,  7.728193273517633e-03,  1.916937387367897e-02, -8.052889870515850e-02,  8.463043579006237e-03,  2.319795090620923e-02, -8.818614584165554e-02,  7.464190342886287e-03,  1.943502744757282e-03,  2.421057198298357e-02,  7.464190342886009e-03,  1.943502744755950e-03,  2.421057198298468e-02,  7.464190342886395e-03,  1.943502744755172e-03,  2.421057198298556e-02,  7.464190342886284e-03,  1.943502744753728e-03,  2.421057198298628e-02,  7.464190342886508e-03,  1.943502744752729e-03,  2.421057198298700e-02,  7.464190342886786e-03,  1.943502744751952e-03,  2.421057198298695e-02,  1.185018489160411e-02,  4.192086482154310e-03
  1.175000000000000e+01,  1.496119807879216e-01,  1.290085323864666e+00,  9.177675752980322e-01,  1.133210816403959e+00, -1.234400571133547e+00, -1.285974060054141e+00,  5.351306721691256e-04, -2.275960933221305e-15, -6.251030462737390e-03,  1.714648770829702e-03,  3.188625429505070e-03, -2.002935405643048e-02,  3.027876636536026e-03,  7.028268736949390e-03, -3.536958368622679e-02,  4.356525924922279e-03,  1.101361355616795e-02, -5.088995582694155e-02,  5.619787236418095e-03,  1.494515357608377e-02, -6.564651034945575e-02,  6.877166009819099e-03,  1.854087132258556e-02, -8.033434908582834e-02,  7.531094730848585e-03,  2.243736417965462e-02, -8.797309709295099e-02,  7.494957519499722e-03,  1.995754808133802e-03,  2.425329367553192e-02,  7.494957519499999e-03,  1.995754808132581e-03,  2.425329367553298e-02,  7.494957519499834e-03,  1.995754808131138e-03,  2.425329367553404e-02,  7.494957519500056e-03,  1.995754808130583e-03,  2.425329367553487e-02,  7.494957519500275e-03,  1.995754808129249e-03,  2.425329367553503e-02,  7.494957519500555e-03,  1.995754808128029e-03,  2.425329367553553e-02,  1.226509915890276e-02,  4.322448583254443e-03
  1.176000000000000e+01,  1.507663118749581e-01,  1.282591953337502e+00,  9.176870712363181e-01,  1.136979687247872e+00, -1.235577804310781e+00, -1.283678957475011e+00,  4.652135888608820e-04, -2.553517116166637e-15, -6.235236957150657e-03,  1.490622664331095e-03,  3.079659086299295e-03, -1.997874900545862e-02,  2.632271760843366e-03,  6.788088521285121e-03, -3.528022086502649e-02,  3.787327406005744e-03,  1.063724034419007e-02, -5.076138009747273e-02,  4.885538289729412e-03,  1.443442606360642e-02, -6.548065153079298e-02,  5.978635213814893e-03,  1.790726571649176e-02, -8.013138079145105e-02,  6.547125384517973e-03,  2.167060195565544e-02, -8.775082916308895e-02,  7.525194569725678e-03,  2.047773790267531e-03,  2.429549474414641e-02,  7.525194569726011e-03,  2.047773790265754e-03,  2.429549474414774e-02,  7.525194569725847e-03,  2.047773790264645e-03,  2.429549474414869e-02,  7.525194569726289e-03,  2.047773790263645e-03,  2.429549474414940e-02,  7.525194569726289e-03,  2.047773790262202e-03,  2.429549474415024e-02,  7.525194569726897e-03,  2.047773790261202e-03,  2.429549474415045e-02,  1.267838493302265e-02,  4.451299288440479e-03
  1.177000000000000e+01,  1.519440440055911e-01,  1.274931648405718e+00,  9.176100805589699e-01,  1.140891547106514e+00, -1.236875598520033e+00, -1.281301299892589e+00,  3.917818870507092e-04, -1.315616412660527e-14, -6.218931002266745e-03,  1.255335128412074e-03,  2.969893959510577e-03, -1.992650198067249e-02,  2.216780468984707e-03,  6.546147651772112e-03, -3.518795850298303e-02,  3.189516199724765e-03,  1.025810810837343e-02, -5.062863249234046e-02,  4.114379838081196e-03,  1.391995463596216e-02, -6.530941111816989e-02,  5.034936730453109e-03,  1.726901543085301e-02, -7.992182681802620e-02,  5.513693493334385e-03,  2.089821894048160e-02, -8.752134934207055e-02,  7.554673478877013e-03,  2.099438484160779e-03,  2.433712922581163e-02,  7.554673478877290e-03,  2.099438484160335e-03,  2.433712922581313e-02,  7.554673478877510e-03,  2.099438484160112e-03,  2.433712922581434e-02,  7.554673478877788e-03,  2.099438484159779e-03,  2.433712922581540e-02,  7.554673478877956e-03,  2.099438484159668e-03,  2.433712922581590e-02,  7.554673478877845e-03,  2.099438484158891e-03,  2.433712922581618e-02,  1.308916977029988e-02,  4.578487764283930e-03
  1.178000000000000e+01,  1.531439002878127e-01,  1.267105914606766e+00,  9.175373750507535e-01,  1.144933697230229e+00, -1.238290429296912e+00, -1.278839154524833e+00,  3.150346047471526e-04, -1.421087755157134e-14, -6.202250316298402e-03,  1.009423914364906e-03,  2.859415230801320e-03, -1.987305425438819e-02,  1.782528957921831e-03,  6.302633883146229e-03, -3.509357583730569e-02,  2.564712684597879e-03,  9.876511068814859e-03, -5.049283418242066e-02,  3.308402120954463e-03,  1.340213854124669e-02, -6.513423538825019e-02,  4.048628472204299e-03,  1.662661577052353e-02, -7.970745703410717e-02,  4.433600193845284e-03,  2.012081453068513e-02, -8.728659578983534e-02,  7.583169956504479e-03,  2.150643515203235e-03,  2.437816835457653e-02,  7.583169956504923e-03,  2.150643515203012e-03,  2.437816835457842e-02,  7.583169956505091e-03,  2.150643515202791e-03,  2.437816835457932e-02,  7.583169956505091e-03,  2.150643515202791e-03,  2.437816835458032e-02,  7.583169956505756e-03,  2.150643515202568e-03,  2.437816835458053e-02,  7.583169956505754e-03,  2.150643515202568e-03,  2.437816835458119e-02,  1.349671045631027e-02,  4.703914346536241e-03
  1.179000000000000e+01,  1.543643920043753e-01,  1.259116385907114e+00,  9.174698050499940e-01,  1.149090669140886e+00, -1.239817265151159e+00, -1.276290961827724e+00,  2.352245005568198e-04, -1.620928203628728e-14, -6.185359806565566e-03,  7.536989033225833e-04,  2.748316084244347e-03, -1.981893421743625e-02,  1.330947386531055e-03,  6.057752608847887e-03, -3.499800594669930e-02,  1.914974581256240e-03,  9.492771086296476e-03, -5.035532768660045e-02,  2.470259535993915e-03,  1.288141453520254e-02, -6.495685614996564e-02,  3.022958735225130e-03,  1.598060857217236e-02, -7.949039072589122e-02,  3.310402652778968e-03,  1.933904443370206e-02, -8.704888930904037e-02,  7.610438284785766e-03,  2.201278876624707e-03,  2.441862176376242e-02,  7.610438284786430e-03,  2.201278876625150e-03,  2.441862176376363e-02,  7.610438284786763e-03,  2.201278876625372e-03,  2.441862176376491e-02,  7.610438284786985e-03,  2.201278876625150e-03,  2.441862176376524e-02,  7.610438284786874e-03,  2.201278876625039e-03,  2.441862176376563e-02,  7.610438284787374e-03,  2.201278876624817e-03,  2.441862176376602e-02,  1.390023467071020e-02,  4.827590234637919e-03
