Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  5.000000000000000e-01, -1.051921109013147e-01,  1.583136955924047e-02,  2.323073720381662e-01,  1.207455435289262e-01, -3.872729833923559e-02,  4.921941473578462e-02
  5.100000000000000e-01, -1.038366378306981e-01,  1.527615822980510e-02,  2.322141509791849e-01,  1.208329951532382e-01, -3.806120990976478e-02,  4.982441739855581e-02
  5.200000000000000e-01, -1.025466303842024e-01,  1.474435883593217e-02,  2.321288672040229e-01,  1.209137961975393e-01, -3.741247212368295e-02,  5.041957610277868e-02
  5.300000000000000e-01, -1.013190009930280e-01,  1.423223773191085e-02,  2.320499003013436e-01,  1.209871424747685e-01, -3.677672535178347e-02,  5.100857622244406e-02
  5.400000000000000e-01, -1.001581054276971e-01,  1.374068629643910e-02,  2.319769710941874e-01,  1.210528391776094e-01, -3.615532572560565e-02,  5.159071561391021e-02
  5.500000000000000e-01, -9.907326799537004e-02,  1.327242264213568e-02,  2.319102226391085e-01,  1.211104639823869e-01, -3.555172887948326e-02,  5.216352236621519e-02
  5.600000000000001e-01, -9.807036919409243e-02,  1.282888784603298e-02,  2.318494691901060e-01,  1.211598127373024e-01, -3.496806334801056e-02,  5.272556192323687e-02
  5.700000000000000e-01, -9.715412623807983e-02,  1.241112139316636e-02,  2.317944297971855e-01,  1.212007714036204e-01, -3.440606594263045e-02,  5.327565418754052e-02
  5.800000000000000e-01, -9.632805379661673e-02,  1.201976630145607e-02,  2.317447426358200e-01,  1.212333083064920e-01, -3.386705835796141e-02,  5.381288349287421e-02
  5.900000000000000e-01, -9.559447426548125e-02,  1.165509075526150e-02,  2.316999797949563e-01,  1.212574649875841e-01, -3.335194585221191e-02,  5.433659899387720e-02
  6.000000000000000e-01, -9.495458020372964e-02,  1.131702434619020e-02,  2.316596624695072e-01,  1.212733450573773e-01, -3.286123528038083e-02,  5.484640328411478e-02
  6.100000000000000e-01, -9.440853967885761e-02,  1.100520537494365e-02,  2.316232773548443e-01,  1.212811024739586e-01, -3.239506874630217e-02,  5.534212734151825e-02
  6.200000000000000e-01, -9.395563130942020e-02,  1.071903411129038e-02,  2.315902927848544e-01,  1.212809301995117e-01, -3.195326828249170e-02,  5.582379676934367e-02
  6.300000000000000e-01, -9.359439415958661e-02,  1.045772670809697e-02,  2.315601725553610e-01,  1.212730494685091e-01, -3.153538669243471e-02,  5.629159634843321e-02
