Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  5.000000000000000e-01,  1.829434112038621e-01,  8.823094672973407e-01,  1.016839118024185e+00,  1.177668270565092e+00, -1.279731578789280e+00, -1.223492121873586e+00, -1.135385700896444e-03,  1.110224058740026e-16, -4.589731317059273e-03, -3.637966944715777e-03,  3.578985140934611e-03, -1.470627188930015e-02, -6.424239939856607e-03,  7.888687439818650e-03, -2.596962003045985e-02, -9.243232537346378e-03,  1.236192840361567e-02, -3.736523528002957e-02, -1.192349159210878e-02,  1.677477764644366e-02, -4.820002817180089e-02, -1.459126967729781e-02,  2.081069239097013e-02, -5.898436746276189e-02, -1.597870896618662e-02,  2.518420390729444e-02, -6.459301089530729e-02,  1.988151619985972e-02, -4.498316856188053e-03,  2.503077959188844e-02,  1.988151619985984e-02, -4.498316856188165e-03,  2.503077959188888e-02,  1.988151619986006e-02, -4.498316856188165e-03,  2.503077959188877e-02,  1.988151619986050e-02, -4.498316856188165e-03,  2.503077959188872e-02,  1.988151619986073e-02, -4.498316856188388e-03,  2.503077959188911e-02,  1.988151619986095e-02, -4.498316856188332e-03,  2.503077959188905e-02, -4.941984076495252e-02,  5.117244616518399e-03
  5.100000000000000e-01,  1.828620911809244e-01,  8.824280072316579e-01,  1.016883421378594e+00,  1.177412623878781e+00, -1.280082427134422e+00, -1.223337452773361e+00, -1.142816499712973e-03, -1.054712859882600e-15, -4.597992543165974e-03, -3.661776475217009e-03,  3.601237524859704e-03, -1.473274224864795e-02, -6.466284889447281e-03,  7.937735450544771e-03, -2.601636370414733e-02, -9.303727047163547e-03,  1.243878884479471e-02, -3.743249034048725e-02, -1.200152768784380e-02,  1.687907503181039e-02, -4.828678517425417e-02, -1.468676567430925e-02,  2.094008312566778e-02, -5.909053559391909e-02, -1.608328538601938e-02,  2.534078700338404e-02, -6.470927422994149e-02,  2.006571716637074e-02, -4.665867520775724e-03,  2.431141790086939e-02,  2.006571716637135e-02, -4.665867520775392e-03,  2.431141790086918e-02,  2.006571716637124e-02, -4.665867520775836e-03,  2.431141790086968e-02,  2.006571716637152e-02, -4.665867520775614e-03,  2.431141790086957e-02,  2.006571716637130e-02, -4.665867520776058e-03,  2.431141790086962e-02,  2.006571716637141e-02, -4.665867520775670e-03,  2.431141790086946e-02, -5.075278347041243e-02,  2.964514713500023e-03
  5.200000000000000e-01,  1.827829526604420e-01,  8.825482434292332e-01,  1.016928339433384e+00,  1.177092163709327e+00, -1.280441448781238e+00, -1.223143318981433e+00, -1.149016030673005e-03, -1.665336101931599e-15, -4.608002369037576e-03, -3.681640816196545e-03,  3.623332883809264e-03, -1.476481541604282e-02, -6.501363078622912e-03,  7.986437351716575e-03, -2.607300130589254e-02, -9.354197742931029e-03,  1.251510691671815e-02, -3.751398084024933e-02, -1.206663336534456e-02,  1.698263643785757e-02, -4.839190546467413e-02, -1.476643818387555e-02,  2.106856080866629e-02, -5.921917563985177e-02, -1.617053371129271e-02,  2.549626516362020e-02, -6.485014626512452e-02,  2.023321752878507e-02, -4.835983532580351e-03,  2.358497573607383e-02,  2.023321752878546e-02, -4.835983532579796e-03,  2.358497573607416e-02,  2.023321752878562e-02, -4.835983532580238e-03,  2.358497573607449e-02,  2.023321752878602e-02, -4.835983532579906e-03,  2.358497573607439e-02,  2.023321752878591e-02, -4.835983532580240e-03,  2.358497573607472e-02,  2.023321752878579e-02, -4.835983532579849e-03,  2.358497573607466e-02, -5.209315174456060e-02,  7.914861817221215e-04
  5.300000000000000e-01,  1.827055372108070e-01,  8.826705897130015e-01,  1.016973997238584e+00,  1.176712479357344e+00, -1.280808310381145e+00, -1.222910528475627e+00, -1.154127217317937e-03, -3.330672220471798e-15, -4.619696035399750e-03, -3.698017918751742e-03,  3.645410399860441e-03, -1.480228389187089e-02, -6.530283197451896e-03,  8.035099924128642e-03, -2.613916641474501e-02, -9.395808172468548e-03,  1.259136335870445e-02, -3.760917957079369e-02, -1.212030956625562e-02,  1.708611421387138e-02, -4.851470895994949e-02, -1.483212397034990e-02,  2.119693474072807e-02, -5.936945535473510e-02, -1.624246535867441e-02,  2.565161776894043e-02, -6.501471561931642e-02,  2.038642244711968e-02, -5.009064415266393e-03,  2.284849863435990e-02,  2.038642244712012e-02, -5.009064415266504e-03,  2.284849863436056e-02,  2.038642244712051e-02, -5.009064415266837e-03,  2.284849863436090e-02,  2.038642244712068e-02, -5.009064415266725e-03,  2.284849863436111e-02,  2.038642244712052e-02, -5.009064415266838e-03,  2.284849863436134e-02,  2.038642244712074e-02, -5.009064415266560e-03,  2.284849863436112e-02, -5.344535887209812e-02, -1.410682867076407e-03
  5.400000000000000e-01,  1.826297391601270e-01,  8.827950802861952e-01,  1.017020422611546e+00,  1.176276586357940e+00, -1.281182338873387e+00, -1.222639813268632e+00, -1.158208358996401e-03, -4.385385114546867e-15, -4.633024631382062e-03, -3.711094583810868e-03,  3.667455172883832e-03, -1.484499095746502e-02, -6.553375115336962e-03,  8.083690325380711e-03, -2.621458228318882e-02, -9.429032953725967e-03,  1.266750670523369e-02, -3.771768834623800e-02, -1.216316853343855e-02,  1.718943852263672e-02, -4.865468201228360e-02, -1.488457226063700e-02,  2.132511828220720e-02, -5.954074616652307e-02, -1.629990079676828e-02,  2.580673997177488e-02, -6.520229395147466e-02,  2.052620908718463e-02, -5.184949094270610e-03,  2.210153091838236e-02,  2.052620908718525e-02, -5.184949094271055e-03,  2.210153091838358e-02,  2.052620908718574e-02, -5.184949094271054e-03,  2.210153091838402e-02,  2.052620908718597e-02, -5.184949094271276e-03,  2.210153091838463e-02,  2.052620908718602e-02, -5.184949094270831e-03,  2.210153091838408e-02,  2.052620908718586e-02, -5.184949094270776e-03,  2.210153091838430e-02, -5.480882207040903e-02, -3.643293783244214e-03
  5.500000000000000e-01,  1.825555772735661e-01,  8.829215682540161e-01,  1.017067593363312e+00,  1.175786729220378e+00, -1.281562905329321e+00, -1.222332144404386e+00, -1.161290637286097e-03, -6.050721270679503e-15, -4.647932402132253e-03, -3.720970722398377e-03,  3.689375175739953e-03, -1.489275796489337e-02, -6.570815263895764e-03,  8.132005712120844e-03, -2.629893343909387e-02, -9.454125937507126e-03,  1.274321909164079e-02, -3.783905326350816e-02, -1.219553772678484e-02,  1.729217803103817e-02, -4.881123910038075e-02, -1.492418378094621e-02,  2.145257632372746e-02, -5.973233154859634e-02, -1.634327885561456e-02,  2.596098420579708e-02, -6.541209660265034e-02,  2.065282199062606e-02, -5.363202224680663e-03,  2.134483173223020e-02,  2.065282199062684e-02, -5.363202224680888e-03,  2.134483173223176e-02,  2.065282199062789e-02, -5.363202224680887e-03,  2.134483173223226e-02,  2.065282199062790e-02, -5.363202224681443e-03,  2.134483173223320e-02,  2.065282199062801e-02, -5.363202224680887e-03,  2.134483173223320e-02,  2.065282199062756e-02, -5.363202224680941e-03,  2.134483173223214e-02, -5.618060410114089e-02, -5.903986617754161e-03
  5.600000000000001e-01,  1.824830107692515e-01,  8.830499696408822e-01,  1.017115508434693e+00,  1.175245717489919e+00, -1.281949321805155e+00, -1.221988579814854e+00, -1.163421185444079e-03, -7.993613474416706e-15, -4.664359921111706e-03, -3.727797357407062e-03,  3.711114903106652e-03, -1.494539450152062e-02, -6.582870332548809e-03,  8.179923741248360e-03, -2.639188363518829e-02, -9.471470838050569e-03,  1.281830880077890e-02, -3.797279052814023e-02, -1.221791212610534e-02,  1.739407258447903e-02, -4.898375614395324e-02, -1.495156425853788e-02,  2.157898611899785e-02, -5.994344778810126e-02, -1.637326285923153e-02,  2.611395989734142e-02, -6.564328724086659e-02,  2.076684437425183e-02, -5.543492244064441e-03,  2.057871832081972e-02,  2.076684437425289e-02, -5.543492244065218e-03,  2.057871832082183e-02,  2.076684437425400e-02, -5.543492244065107e-03,  2.057871832082288e-02,  2.076684437425411e-02, -5.543492244065330e-03,  2.057871832082322e-02,  2.076684437425400e-02, -5.543492244065218e-03,  2.057871832082327e-02,  2.076684437425361e-02, -5.543492244065106e-03,  2.057871832082266e-02, -5.755870587960162e-02, -8.191745373364742e-03
  5.700000000000000e-01,  1.824119920467726e-01,  8.831801929924824e-01,  1.017164166394213e+00,  1.174656545416168e+00, -1.282340870442995e+00, -1.221610300739682e+00, -1.164650651725006e-03, -9.769972093495903e-15, -4.682243375363506e-03, -3.731736774368572e-03,  3.732623206125347e-03, -1.500269609988925e-02, -6.589826899272400e-03,  8.227331672046515e-03, -2.649307180496844e-02, -9.481479985356547e-03,  1.289259916286726e-02, -3.811838063561882e-02, -1.223082362468284e-02,  1.749488244719960e-02, -4.917156299782192e-02, -1.496736459321652e-02,  2.170405025321769e-02, -6.017327480067389e-02, -1.639056559949699e-02,  2.626530712782113e-02, -6.589496780243993e-02,  2.086891689527287e-02, -5.725484090533305e-03,  1.980354090973122e-02,  2.086891689527404e-02, -5.725484090533416e-03,  1.980354090973365e-02,  2.086891689527525e-02, -5.725484090533858e-03,  1.980354090973498e-02,  2.086891689527542e-02, -5.725484090534303e-03,  1.980354090973565e-02,  2.086891689527559e-02, -5.725484090534082e-03,  1.980354090973560e-02,  2.086891689527492e-02, -5.725484090534082e-03,  1.980354090973471e-02, -5.894112330620838e-02, -1.050546471570885e-02
  5.800000000000000e-01,  1.823424912385121e-01,  8.833121218759923e-01,  1.017213604829622e+00,  1.174021543763767e+00, -1.282736939075387e+00, -1.221198054841735e+00, -1.165022778676385e-03, -1.831869781415102e-15, -4.701536297822963e-03, -3.732929131771747e-03,  3.753849828341795e-03, -1.506451387169772e-02, -6.591932468166683e-03,  8.274118730787232e-03, -2.660223502845969e-02, -9.484509489713787e-03,  1.296591659047576e-02, -3.827544529520307e-02, -1.223473159405798e-02,  1.759437206609006e-02, -4.937417167832254e-02, -1.497214693692657e-02,  2.182747650055013e-02, -6.042121542052443e-02, -1.639580268167659e-02,  2.641467225809788e-02, -6.616648433891355e-02,  2.095964842797046e-02, -5.908840690271979e-03,  1.901974594771096e-02,  2.095964842797084e-02, -5.908840690272089e-03,  1.901974594771152e-02,  2.095964842797090e-02, -5.908840690272199e-03,  1.901974594771151e-02,  2.095964842797101e-02, -5.908840690272421e-03,  1.901974594771185e-02,  2.095964842797084e-02, -5.908840690272088e-03,  1.901974594771157e-02,  2.095964842797106e-02, -5.908840690272255e-03,  1.901974594771174e-02, -6.032582608394631e-02, -1.284375839475160e-02
  5.900000000000000e-01,  1.822743937428915e-01,  8.834456844889960e-01,  1.017263741297837e+00,  1.173345805402148e+00, -1.283136482947155e+00, -1.220754405288070e+00, -1.164616670530046e-03, -2.331470649645154e-15, -4.722121746296579e-03, -3.731627892896610e-03,  3.774760271939329e-03, -1.513047311447328e-02, -6.589634626850020e-03,  8.320208878489275e-03, -2.671871162329425e-02, -9.481203342711126e-03,  1.303814192711790e-02, -3.844303247458867e-02, -1.223046676399669e-02,  1.769237974928162e-02, -4.959035409245881e-02, -1.496692788803740e-02,  2.194906426700752e-02, -6.068576677947796e-02, -1.639008736936128e-02,  2.656181253798777e-02, -6.645619107895792e-02,  2.103997861301781e-02, -6.093223379330416e-03,  1.822761215343430e-02,  2.103997861301859e-02, -6.093223379330305e-03,  1.822761215343486e-02,  2.103997861301853e-02, -6.093223379330527e-03,  1.822761215343508e-02,  2.103997861301854e-02, -6.093223379330529e-03,  1.822761215343542e-02,  2.103997861301876e-02, -6.093223379330529e-03,  1.822761215343542e-02,  2.103997861301814e-02, -6.093223379330527e-03,  1.822761215343513e-02, -6.171087500747055e-02, -1.520576382134489e-02
