Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  8.000000000000000e-01, -1.605460233752080e-02, -3.137848771630261e-01,  8.939923279366180e-02,  4.059531288273361e-03,  7.271323475911803e-01,  1.606353187312735e-02, -7.823386258810164e-03,  1.572963774908704e-01, -1.768951276396124e-01,  1.101313960315071e+00, -2.225127612661668e+00,  1.791196716227147e+00,  2.353087336881363e+00
  8.100000000000001e-01, -1.539209928310815e-02, -3.160041318863147e-01,  9.060787239371740e-02,  5.621829178335144e-03,  7.281940440681361e-01,  1.742770630695272e-02, -7.066137115834564e-03,  1.421532448949303e-01, -1.846143325938640e-01,  1.134025654262372e+00, -2.211116603916298e+00,  1.753882606434911e+00,  2.342612411198125e+00
  8.200000000000001e-01, -1.469847703650425e-02, -3.182493632725598e-01,  9.184390877702826e-02,  7.241455642049468e-03,  7.293118007765392e-01,  1.882386665505112e-02, -6.089093422478127e-03,  1.273982346072761e-01, -1.921859107129613e-01,  1.167237873683779e+00, -2.196797098273915e+00,  1.717757716313439e+00,  2.332478114877139e+00
  8.300000000000001e-01, -1.397183452433577e-02, -3.205229086034903e-01,  9.310936554102689e-02,  8.922126528717314e-03,  7.304889150432439e-01,  2.025397056270658e-02, -4.880457919332377e-03,  1.129303271640102e-01, -1.996105822844054e-01,  1.201028762302692e+00, -2.182080122754757e+00,  1.682505881116984e+00,  2.322661709315685e+00
  8.400000000000001e-01, -1.321211527542045e-02, -3.228183321917182e-01,  9.440182444802084e-02,  1.066253051418065e-02,  7.317259777595991e-01,  2.171524934941013e-02, -3.419649188057239e-03,  9.873420578173846e-02, -2.068503020093549e-01,  1.235389283343600e+00, -2.167154455591891e+00,  1.648108727984091e+00,  2.313280007839464e+00
  8.500000000000001e-01, -1.242142025664303e-02, -3.251228886460239e-01,  9.571525244481179e-02,  1.245642370095631e-02,  7.330200602187739e-01,  2.320087751569127e-02, -1.690998567024313e-03,  8.482214173241256e-02, -2.138482483290806e-01,  1.270222736630375e+00, -2.152061214773485e+00,  1.614671630148342e+00,  2.304355529988859e+00
  8.600000000000001e-01, -1.160130600025250e-02, -3.274257047439626e-01,  9.704458778728800e-02,  1.429880117691697e-02,  7.343691226528889e-01,  2.470520952809518e-02,  3.230104552476687e-04,  7.119545482961941e-02, -2.205545268552337e-01,  1.305468212843286e+00, -2.136899754366713e+00,  1.582247317964097e+00,  2.295931621817801e+00
  8.700000000000001e-01, -1.075352543332800e-02, -3.297155871174703e-01,  9.838449793334694e-02,  1.618421257837889e-02,  7.357708063677892e-01,  2.622237586548285e-02,  2.639919472224758e-03,  5.785667544814532e-02, -2.269193875672600e-01,  1.341067706621932e+00, -2.121774520406110e+00,  1.550888697048720e+00,  2.288041219179173e+00
  8.800000000000000e-01, -9.880035870812036e-03, -3.319810813145875e-01,  9.972939565249858e-02,  1.810676097791802e-02,  7.372224176701844e-01,  2.774630932559131e-02,  5.277103508136686e-03,  4.480984494950723e-02, -2.328936181859302e-01,  1.376966269089142e+00, -2.106790939113206e+00,  1.520649221808050e+00,  2.280704242759175e+00
  8.900000000000000e-01, -8.983006325944671e-03, -3.342106072615618e-01,  1.010734880947140e-01,  2.006012405771335e-02,  7.387209053178782e-01,  2.927079827042849e-02,  8.251062353141887e-03,  3.205841105558868e-02, -2.384294363302104e-01,  1.413113653342447e+00, -2.092025325407998e+00,  1.491572520717388e+00,  2.273894849308131e+00
  9.000000000000000e-01, -8.064792148871121e-03, -3.363922286080241e-01,  1.024106886821188e-01,  2.203752968400661e-02,  7.402629367310968e-01,  3.078943957459790e-02,  1.157948538994590e-02,  1.961446191279657e-02, -2.434784939632926e-01,  1.449458549206860e+00, -2.077626444066541e+00,  1.463730100465559e+00,  2.267658796611974e+00
  9.100000000000000e-01, -7.128004717293255e-03, -3.385140628208135e-01,  1.037347537297271e-01,  2.403175655395819e-02,  7.418447279294306e-01,  3.229573416346516e-02,  1.527761928613958e-02,  7.485261324039381e-03, -2.479953009720079e-01,  1.485953539279876e+00, -2.063650689788664e+00,  1.437165456466323e+00,  2.261938800349365e+00
  9.200000000000000e-01, -6.175435168997405e-03, -3.405641373044764e-01,  1.050392560518243e-01,  2.603521280064305e-02,  7.434622076120323e-01,  3.378311064758001e-02,  1.936058353454022e-02, -4.317879925575918e-03, -2.519352530873295e-01,  1.522552062775382e+00, -2.050168293632159e+00,  1.411927613021346e+00,  2.256687812017416e+00
  9.300000000000000e-01, -5.210059944771770e-03, -3.425304904001059e-01,  1.063176244072418e-01,  2.803995592759407e-02,  7.451109993154226e-01,  3.524496372711535e-02,  2.384266145867888e-02, -1.578188232625492e-02, -2.552552277279516e-01,  1.559207937358419e+00, -2.037233337854262e+00,  1.388061239194845e+00,  2.251841749018691e+00
  9.400000000000001e-01, -4.235018639669720e-03, -3.444012380290402e-01,  1.075631827282000e-01,  3.003774747000347e-02,  7.467864590893827e-01,  3.667470152155529e-02,  2.873724267408289e-02, -2.689200993988210e-02, -2.579136460595859e-01,  1.595874628918570e+00, -2.024882279696526e+00,  1.365605253712795e+00,  2.247320632045038e+00
  9.500000000000001e-01, -3.253585183545109e-03, -3.461646479412857e-01,  1.087691971334350e-01,  3.202012152505548e-02,  7.484837240482187e-01,  3.806579824945000e-02,  3.405678828498422e-02, -3.763200540124124e-02, -2.598705234845960e-01,  1.632504603156536e+00, -2.013133350875472e+00,  1.344591690396987e+00,  2.243030213256186e+00
  9.600000000000001e-01, -2.269194192784266e-03, -3.478091148875236e-01,  1.099288564596827e-01,  3.397834316071323e-02,  7.501976643697933e-01,  3.941176631700801e-02,  3.981238626269631e-02, -4.798423019573883e-02, -2.610874257715702e-01,  1.669038439382228e+00, -2.001978837292380e+00,  1.325058695437103e+00,  2.238885588260341e+00
  9.700000000000000e-01, -1.285144065795435e-03, -3.493237126258783e-01,  1.110356511322566e-01,  3.590402186229754e-02,  7.519233926836183e-01,  4.070657877803965e-02,  4.601545694704797e-02, -5.793006946673976e-02, -2.615280301327738e-01,  1.705444230188506e+00, -1.991418331311976e+00,  1.306998870815941e+00,  2.234731266703028e+00
  9.800000000000001e-01, -3.049442213813862e-04, -3.506975640830086e-01,  1.120829495730571e-01,  3.778841608650891e-02,  7.536556617809393e-01,  4.194417210693375e-02,  5.267522058852559e-02, -6.744952637428070e-02, -2.611573161876448e-01,  1.741659906038340e+00, -1.981411215509554e+00,  1.290431427879553e+00,  2.230460137513778e+00
  9.900000000000001e-01,  6.679979686941073e-04, -3.519204380171958e-01,  1.130644062361304e-01,  3.962308603449664e-02,  7.553893976099985e-01,  4.311889056398627e-02,  5.980038998626425e-02, -7.652180868853790e-02, -2.599422957728328e-01,  1.777629912596354e+00, -1.971912183857718e+00,  1.275357948586082e+00,  2.225942266565731e+00
