Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.000000000000000e+00,  1.173861036466159e-02,  4.036851777064232e-02,  1.406819427122064e-01,  7.453092016784392e-02,  3.072118628476963e-02,  1.383875884237047e-01
  1.010000000000000e+00,  1.269387515386927e-02,  4.044934353818985e-02,  1.404143433424429e-01,  7.440867817426897e-02,  3.135508523958114e-02,  1.389993028996124e-01
  1.020000000000000e+00,  1.354339854493791e-02,  4.053854405932467e-02,  1.401540248245275e-01,  7.428502335763608e-02,  3.194427834439861e-02,  1.395893731036505e-01
  1.030000000000000e+00,  1.428995916801711e-02,  4.063427313805024e-02,  1.398999230582622e-01,  7.415962852293580e-02,  3.249233688308927e-02,  1.401614253733021e-01
  1.040000000000000e+00,  1.493388129917026e-02,  4.073573128517372e-02,  1.396513519547574e-01,  7.403255728498152e-02,  3.300156918070887e-02,  1.407179006355317e-01
  1.050000000000000e+00,  1.547355887448169e-02,  4.084213841793960e-02,  1.394080701470711e-01,  7.390409889335446e-02,  3.347401980533493e-02,  1.412601541568269e-01
  1.060000000000000e+00,  1.590937201157074e-02,  4.095335077883000e-02,  1.391692846497777e-01,  7.377429364853237e-02,  3.391268145727723e-02,  1.417910953021085e-01
  1.070000000000000e+00,  1.623954145213474e-02,  4.106847063965668e-02,  1.389347720921723e-01,  7.364323783190833e-02,  3.432024385861839e-02,  1.423124492581967e-01
  1.080000000000000e+00,  1.646375806444373e-02,  4.118723752619147e-02,  1.387039311682286e-01,  7.351093046070957e-02,  3.469982822479076e-02,  1.428268947097655e-01
  1.090000000000000e+00,  1.657941845365805e-02,  4.130855237422737e-02,  1.384768123933823e-01,  7.337748482929494e-02,  3.505381016980112e-02,  1.433355909637354e-01
  1.100000000000000e+00,  1.658477838078667e-02,  4.143170923569639e-02,  1.382532870742350e-01,  7.324298882348476e-02,  3.538451402660747e-02,  1.438400701115997e-01
  1.110000000000000e+00,  1.647670870550624e-02,  4.155550899436888e-02,  1.380336796632704e-01,  7.310764474940673e-02,  3.569337042808906e-02,  1.443406694931944e-01
  1.120000000000000e+00,  1.625190732928842e-02,  4.167873030875779e-02,  1.378184553188802e-01,  7.297171585214637e-02,  3.598114000529012e-02,  1.448372246902657e-01
  1.130000000000000e+00,  1.590614499630048e-02,  4.179983846629609e-02,  1.376084636809914e-01,  7.283559358089930e-02,  3.624742221584268e-02,  1.453283893756460e-01
  1.140000000000000e+00,  1.543537571600728e-02,  4.191735608851954e-02,  1.374046568108343e-01,  7.269972181838043e-02,  3.649105208026401e-02,  1.458123284912168e-01
