Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.000000000000000e+00,  2.514657948490809e-02, -3.854460070510468e-01,  1.396201930129839e-01,  8.739603060101309e-02,  7.982694636603935e-01,  7.157564177649470e-02,  3.301647732203840e-01,  6.101870968372710e-01, -1.457401751415864e-01,  1.582066786098474e+00, -1.879727803397592e+00,  6.298797808076964e-01,  2.119816661421875e+00
  1.010000000000000e+00,  2.645224013334817e-02, -3.879823235530525e-01,  1.414113604827260e-01,  9.020736544706801e-02,  8.004223832884022e-01,  7.321507617344056e-02,  3.393305804977244e-01,  6.133892748885316e-01, -1.465953578419236e-01,  1.613168117990262e+00, -1.862099054500201e+00,  5.961156813424291e-01,  2.171395595287000e+00
  1.020000000000000e+00,  2.776977570185251e-02, -3.904029636810791e-01,  1.431620636710007e-01,  9.300914429780383e-02,  8.026076844124908e-01,  7.481294507684262e-02,  3.488190296016807e-01,  6.179736855990263e-01, -1.461783780206749e-01,  1.644988372681106e+00, -1.851737868754204e+00,  5.747923803617377e-01,  2.219749938554413e+00
  1.030000000000000e+00,  2.910385000449357e-02, -3.927113813404048e-01,  1.448758231799261e-01,  9.580942994169407e-02,  8.048341434387333e-01,  7.637356776451415e-02,  3.586458117594603e-01,  6.238155993120710e-01, -1.444481899636701e-01,  1.677439773156266e+00, -1.847769903875010e+00,  5.630256658434473e-01,  2.264935664137667e+00
  1.040000000000000e+00,  3.045729637094986e-02, -3.949037229957552e-01,  1.465519666867330e-01,  9.861127684747432e-02,  8.071080498904599e-01,  7.789774426622208e-02,  3.688146733264230e-01,  6.308200497602595e-01, -1.413282723055699e-01,  1.710384879123756e+00, -1.849805477874158e+00,  5.589406289226955e-01,  2.307004320507185e+00
  1.050000000000000e+00,  3.182959964753031e-02, -3.969630479318481e-01,  1.481821615807402e-01,  1.014085369103542e-01,  8.094312221525670e-01,  7.938018826763177e-02,  3.793132630309936e-01,  6.389695204925111e-01, -1.366738561495236e-01,  1.743613979837259e+00, -1.857340896664645e+00,  5.609377504013727e-01,  2.346087869134247e+00
  1.060000000000000e+00,  3.322512577229191e-02, -3.988895439220430e-01,  1.497682887994591e-01,  1.042079163329779e-01,  8.118124310683533e-01,  8.082390828452052e-02,  3.901418678785127e-01,  6.481727211939136e-01, -1.304141079412378e-01,  1.776973148107577e+00, -1.870213139927374e+00,  5.679945857656101e-01,  2.382403070070242e+00
  1.070000000000000e+00,  3.464452996875332e-02, -4.006699532246983e-01,  1.513042073375102e-01,  1.070062309850888e-01,  8.142553689317454e-01,  8.222552002964686e-02,  4.012820595057043e-01,  6.584354173118726e-01, -1.224069870609417e-01,  1.810231952665806e+00, -1.887725776374859e+00,  5.789062821010632e-01,  2.416271419157636e+00
  1.080000000000000e+00,  3.609305585105749e-02, -4.023087227936981e-01,  1.527941912135162e-01,  1.098129369301348e-01,  8.167699442515289e-01,  8.358974811913392e-02,  4.127235663285035e-01,  6.696755106316447e-01, -1.125957330480421e-01,  1.843225372859227e+00, -1.909671929512129e+00,  5.930447849000476e-01,  2.447978342088744e+00
  1.090000000000000e+00,  3.757305267134851e-02, -4.037998092054449e-01,  1.542362517503502e-01,  1.126297849387826e-01,  8.193621278652333e-01,  8.491632817571274e-02,  4.244380232730773e-01,  6.818841447354695e-01, -1.008668757411725e-01,  1.875702473631029e+00, -1.935224367755789e+00,  6.095304361904682e-01,  2.477837398470110e+00
  1.100000000000000e+00,  3.909010585465529e-02, -4.051515530612457e-01,  1.556366876495743e-01,  1.154680814103521e-01,  8.220419190773581e-01,  8.621111726548464e-02,  4.363984699035069e-01,  6.949799179300802e-01, -8.718384571059674e-02,  1.907477631787746e+00, -1.963994188026617e+00,  6.279210682242305e-01,  2.506095183347312e+00
  1.110000000000000e+00,  4.064890253051554e-02, -4.063703131636649e-01,  1.570004847577736e-01,  1.183371881670874e-01,  8.248178768011571e-01,  8.747867249008026e-02,  4.485652246109416e-01,  7.088983951640582e-01, -7.150226515612645e-02,  1.938324522932224e+00, -1.995264076660985e+00,  6.476968204869662e-01,  2.532959304212005e+00
  1.120000000000000e+00,  4.225484834951268e-02, -4.074682542597363e-01,  1.583357449984317e-01,  1.212494593448679e-01,  8.276989908895711e-01,  8.872549133865562e-02,  4.608909466108410e-01,  7.235465535722445e-01, -5.381722752386510e-02,  1.968046057810872e+00, -2.028458708856130e+00,  6.685199111675386e-01,  2.558576547180047e+00
  1.130000000000000e+00,  4.391337637343209e-02, -4.084592771168336e-01,  1.596514706978980e-01,  1.242179161054314e-01,  8.306939536258351e-01,  8.995836575987141e-02,  4.733198578091754e-01,  7.388180601304311e-01, -3.413970208950962e-02,  1.996412962188902e+00, -2.062708281548083e+00,  6.900091139706441e-01,  2.583016011680874e+00
  1.140000000000000e+00,  4.562997170047352e-02, -4.093619370254181e-01,  1.609589487481264e-01,  1.272571724832828e-01,  8.338107079344727e-01,  9.118521433878295e-02,  4.857877570128845e-01,  7.545814718615338e-01, -1.252293211729367e-02,  2.023244674727035e+00, -2.097382518072798e+00,  7.119720721024153e-01,  2.606293606345811e+00
  1.150000000000000e+00,  4.741065093588789e-02, -4.102007554822534e-01,  1.622726417469249e-01,  1.303846151807888e-01,  8.370570760838169e-01,  9.241567097673051e-02,  4.982280865399396e-01,  7.706734856594629e-01,  1.093035107627964e-02,  2.048392907989950e+00, -2.131981065797456e+00,  7.343396076250549e-01,  2.628387410032071e+00
  1.160000000000000e+00,  4.925971064060865e-02, -4.109968704598768e-01,  1.636046722972147e-01,  1.336139343499577e-01,  8.404379517568256e-01,  9.365711580306307e-02,  5.105629650419979e-01,  7.869440051295136e-01,  3.611739408676867e-02,  2.071699107152449e+00, -2.165800439529415e+00,  7.569834374748866e-01,  2.649218224853572e+00
  1.170000000000000e+00,  5.118158591998045e-02, -4.117765446723772e-01,  1.649697707018004e-01,  1.369606944924432e-01,  8.439574037550733e-01,  9.491815141116498e-02,  5.227156768654314e-01,  8.032203933582237e-01,  6.288534156879134e-02,  2.093058656694413e+00, -2.198396709515638e+00,  7.799229806937337e-01,  2.668700903894561e+00
  1.180000000000000e+00,  5.318085626918768e-02, -4.125694088589421e-01,  1.663844921314526e-01,  1.404418179662628e-01,  8.476188892894274e-01,  9.620803979021665e-02,  5.346154921850688e-01,  8.193098312122273e-01,  9.104321174379804e-02,  2.112371270596972e+00, -2.229226513119195e+00,  8.031811833422582e-01,  2.686709065741496e+00
  1.190000000000000e+00,  5.525832124734123e-02, -4.133965802554934e-01,  1.678595772575378e-01,  1.440655921843833e-01,  8.514198013517246e-01,  9.753128463108089e-02,  5.461751412641139e-01,  8.350895377866986e-01,  1.204207802256994e-01,  2.129623542364913e+00, -2.258218082225626e+00,  8.268882311814492e-01,  2.703198395635904e+00
  1.200000000000000e+00,  5.741570722806964e-02, -4.142839441307624e-01,  1.694086596238120e-01,  1.478433215938760e-01,  8.553581205399193e-01,  9.889392796044452e-02,  5.573224745562023e-01,  8.504121507539720e-01,  1.508071867284644e-01,  2.144795461668110e+00, -2.285135287685089e+00,  8.511465583524044e-01,  2.718091507070409e+00
  1.210000000000000e+00,  5.965606714840178e-02, -4.152637818602549e-01,  1.710493089974009e-01,  1.517904978632144e-01,  8.594327594503605e-01,  1.003040859323895e-01,  5.680092413243691e-01,  8.650962607490240e-01,  1.819389728142764e-01,  2.157861574692075e+00, -2.309577557022363e+00,  8.760542004089487e-01,  2.731264517218924e+00
  1.220000000000000e+00,  6.197850411752900e-02, -4.163571549445646e-01,  1.727919100567999e-01,  1.559128221662800e-01,  8.636366641570458e-01,  1.017643898152220e-01,  5.781738955314257e-01,  8.790526334084350e-01,  2.135976960866601e-01,  2.168875324291816e+00, -2.331584805380718e+00,  9.017684917829770e-01,  2.742701797870902e+00
  1.230000000000000e+00,  6.438223667274386e-02, -4.175861301450892e-01,  1.746475802408574e-01,  1.602165270018481e-01,  8.679623682180285e-01,  1.032775296555449e-01,  5.877711671513143e-01,  8.921959142999832e-01,  2.455489825356249e-01,  2.177896927643220e+00, -2.351142741581866e+00,  9.284326352549132e-01,  2.752384649148267e+00
  1.240000000000000e+00,  6.686657457029221e-02, -4.189735382883519e-01,  1.766280697833167e-01,  1.647082652304210e-01,  8.724019365286623e-01,  1.048461395510955e-01,  5.967746959181717e-01,  9.044454311640017e-01,  2.775443296540828e-01,  2.184992855292241e+00, -2.368189625546246e+00,  9.561829285905101e-01,  2.760289345751831e+00
  1.250000000000000e+00,  6.942624563316535e-02, -4.205258219414748e-01,  1.787350081822237e-01,  1.693821655991174e-01,  8.769414506557851e-01,  1.064660572714570e-01,  6.051314883116686e-01,  9.158411555677488e-01,  3.094269785285287e-01,  2.190304619128423e+00, -2.383122616899046e+00,  9.851665481310068e-01,  2.766536876536996e+00
  1.260000000000000e+00,  7.206078555424367e-02, -4.222660611071342e-01,  1.809807728783437e-01,  1.742453380807893e-01,  8.815724539271774e-01,  1.081396627091260e-01,  6.128522514387146e-01,  9.263113743303406e-01,  3.409354963313200e-01,  2.193901177791343e+00, -2.395758672675143e+00,  1.015493478925417e+00,  2.771092509321953e+00
